 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F475W
 -4.9949 -4.8138 -5.0045 -4.9275 -4.6938 -4.3551 -3.9605 -3.7068 -3.4679 -3.2192
 -2.9812 -2.7600 -2.5542 -2.3608 -2.1756 -1.7674 -1.3557 -0.9829 -0.7198
 -4.8679 -4.5499 -4.2963 -4.1227 -4.0162 -3.8739 -3.6514 -3.3986 -3.1539 -2.9153
 -2.6866 -2.4732 -2.2765 -2.0947 -1.9247 -1.5372 -1.1938 -0.9069 -0.6858 -0.5155
 -4.5673 -4.2540 -3.9768 -3.7440 -3.5545 -3.4194 -3.3060 -3.1400 -2.9275 -2.6997
 -2.4802 -2.2737 -2.0840 -1.9109 -1.7524 -1.4050 -1.1080 -0.8576 -0.6608 -0.5077
 -0.3840
 -4.3206 -4.0373 -3.7685 -3.5281 -3.3166 -3.1292 -2.9683 -2.8395 -2.7034 -2.5270
 -2.3278 -2.1315 -1.9485 -1.7813 -1.6296 -1.3079 -1.0443 -0.8249 -0.6475 -0.5084
 -0.3950 -0.2983
 -4.0972 -3.8533 -3.6095 -3.3782 -3.1675 -2.9750 -2.7963 -2.6310 -2.4872 -2.3494
 -2.1989 -2.0294 -1.8578 -1.6962 -1.5489 -1.2418 -0.9997 -0.8018 -0.6417 -0.5144
 -0.4100 -0.3205 -0.2410 -0.1692
 -3.8902 -3.6801 -3.4698 -3.2585 -3.0573 -2.8697 -2.6935 -2.5259 -2.3669 -2.2170
 -2.0775 -1.9396 -1.7939 -1.6450 -1.5020 -1.2010 -0.9708 -0.7871 -0.6397 -0.5222
 -0.4261 -0.3437 -0.2702 -0.2028 -0.1374 -0.0759 -0.0213  0.0241  0.0585  0.0809
 -3.7007 -3.5168 -3.3350 -3.1499 -2.9645 -2.7867 -2.6174 -2.4555 -2.3001 -2.1494
 -2.0049 -1.8683 -1.7374 -1.6073 -1.4772 -1.1816 -0.9546 -0.7786 -0.6390 -0.5289
 -0.4403 -0.3651 -0.2982 -0.2366 -0.1788 -0.1236 -0.0722 -0.0261  0.0135  0.0440
  0.0583
 -3.5300 -3.3657 -3.2042 -3.0420 -2.8775 -2.7127 -2.5526 -2.3988 -2.2504 -2.1058
 -1.9648 -1.8289 -1.6993 -1.5759 -1.4564 -1.1781 -0.9498 -0.7755 -0.6394 -0.5332
 -0.4502 -0.3820 -0.3223 -0.2673 -0.2155 -0.1659 -0.1174 -0.0722 -0.0330 -0.0018
  0.0200
 -3.3789 -3.2290 -3.0814 -2.9315 -2.7870 -2.6392 -2.4907 -2.3451 -2.2046 -2.0675
