 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F390M
 -9.7497 -9.3955 -9.4327 -9.0623 -9.0025 -8.7117 -7.9447 -7.5108 -7.1398 -6.7578
 -6.3787 -6.0107 -5.6561 -5.3108 -4.9723 -4.1436 -3.1938 -2.1706 -1.6747
 -9.3370 -8.7443 -8.3322 -8.0747 -7.9187 -7.7380 -7.4682 -7.1141 -6.7226 -6.3302
 -5.9343 -5.5490 -5.1820 -4.8319 -4.4936 -3.6649 -2.8397 -2.1458 -1.6507 -1.2879
 -8.8887 -8.2653 -7.7933 -7.4484 -7.1897 -7.0060 -6.8565 -6.6574 -6.3725 -6.0184
 -5.6213 -5.2148 -4.8296 -4.4702 -4.1339 -3.3578 -2.6263 -2.0010 -1.5520 -1.2266
 -0.9760
 -8.6034 -7.9728 -7.4631 -7.0719 -6.7637 -6.4961 -6.2599 -6.0691 -5.8845 -5.6492
 -5.3364 -4.9626 -4.5710 -4.2020 -3.8653 -3.1296 -2.4743 -1.9181 -1.4905 -1.1923
 -0.9650 -0.7811
 -8.4405 -7.8039 -7.2694 -6.8372 -6.4943 -6.2022 -5.9249 -5.6543 -5.4142 -5.1951
 -4.9721 -4.7023 -4.3805 -4.0315 -3.6938 -2.9799 -2.3781 -1.8627 -1.4604 -1.1796
 -0.9688 -0.8000 -0.6581 -0.5352
 -8.3760 -7.7372 -7.1821 -6.7139 -6.3312 -6.0148 -5.7299 -5.4467 -5.1609 -4.8863
 -4.6380 -4.4051 -4.1588 -3.8855 -3.5933 -2.9002 -2.3299 -1.8431 -1.4565 -1.1836
 -0.9830 -0.8256 -0.6947 -0.5816 -0.4800 -0.3884 -0.3068 -0.2349 -0.1724 -0.1190
 -8.3926 -7.7567 -7.1871 -6.6900 -6.2651 -5.9127 -5.6095 -5.3285 -5.0446 -4.7539
 -4.4700 -4.2065 -3.9638 -3.7285 -3.4867 -2.8689 -2.3185 -1.8508 -1.4738 -1.2005
 -1.0039 -0.8543 -0.7326 -0.6285 -0.5373 -0.4557 -0.3827 -0.3181 -0.2614 -0.2129
 -0.1742
