 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F555W
 -3.5352 -3.4538 -3.6616 -3.5875 -3.3764 -3.0953 -2.7845 -2.5736 -2.3807 -2.1842
 -2.0012 -1.8331 -1.6763 -1.5295 -1.3903 -1.0906 -0.7993 -0.5423 -0.3787
 -3.5197 -3.2662 -3.0642 -2.9275 -2.8473 -2.7326 -2.5483 -2.3433 -2.1505 -1.9672
 -1.7942 -1.6335 -1.4854 -1.3486 -1.2213 -0.9369 -0.6969 -0.5065 -0.3646 -0.2570
 -3.2851 -3.0330 -2.8113 -2.6244 -2.4727 -2.3682 -2.2826 -2.1523 -1.9856 -1.8106
 -1.6470 -1.4952 -1.3555 -1.2276 -1.1102 -0.8557 -0.6476 -0.4827 -0.3578 -0.2617
 -0.1844
 -3.0999 -2.8657 -2.6484 -2.4550 -2.2854 -2.1369 -2.0127 -1.9176 -1.8185 -1.6877
 -1.5396 -1.3958 -1.2636 -1.1427 -1.0322 -0.7973 -0.6116 -0.4674 -0.3563 -0.2699
 -0.1991 -0.1391
 -2.9426 -2.7306 -2.5269 -2.3383 -2.1687 -2.0158 -1.8774 -1.7529 -1.6490 -1.5520
 -1.4455 -1.3236 -1.1998 -1.0843 -0.9793 -0.7574 -0.5859 -0.4559 -0.3570 -0.2796
 -0.2152 -0.1596 -0.1106 -0.0673
 -2.8076 -2.6126 -2.4267 -2.2480 -2.0829 -1.9326 -1.7952 -1.6688 -1.5530 -1.4472
 -1.3502 -1.2544 -1.1518 -1.0462 -0.9447 -0.7310 -0.5679 -0.4466 -0.3566 -0.2879
 -0.2303 -0.1800 -0.1351 -0.0942 -0.0551 -0.0195  0.0102  0.0322  0.0451  0.0482
 -2.6941 -2.5102 -2.3375 -2.1718 -2.0136 -1.8676 -1.7334 -1.6098 -1.4960 -1.3898
 -1.2901 -1.1960 -1.1054 -1.0146 -0.9232 -0.7150 -0.5555 -0.4377 -0.3536 -0.2920
 -0.2420 -0.1980 -0.1582 -0.1214 -0.0870 -0.0534 -0.0227  0.0023  0.0194  0.0269
  0.0236
 -2.6019 -2.4241 -2.2586 -2.1026 -1.9539 -1.8129 -1.6821 -1.5617 -1.4509 -1.3479
 -1.2511 -1.1590 -1.0707 -0.9857 -0.9026 -0.7080 -0.5489 -0.4315 -0.3487 -0.2911
 -0.2476 -0.2108 -0.1773 -0.1458 -0.1161 -0.0874 -0.0584 -0.0319 -0.0114  0.0004
  0.0019
 -2.5304 -2.3547 -2.1918 -2.0368 -1.8969 -1.7629 -1.6359 -1.5180 -1.4098 -1.3096
 -1.2159 -1.1276 -1.0431 -0.9616 -0.8825 -0.6994 -0.5452 -0.4272 -0.3427 -0.2858
 -0.2464 -0.2160 -0.1896 -0.1650 -0.1410 -0.1173 -0.0941 -0.0717 -0.0526 -0.0370
 -0.0247
 -2.4790 -2.3024 -2.1391 -1.9877 -1.8474 -1.7172 -1.5957 -1.4807 -1.3738 -1.2757
 -1.1847 -1.0995 -1.0187 -0.9407 -0.8656 -0.6920 -0.5430 -0.4256 -0.3394 -0.2805
 -0.2414 -0.2147 -0.1945 -0.1769 -0.1600 -0.1427 -0.1251 -0.1073 -0.0899 -0.0739
 -0.0591
 -2.4430 -2.2631 -2.0976 -1.9452 -1.8047 -1.6752 -1.5557 -1.4449 -1.3404 -1.2431
 -1.1537 -1.0709 -0.9932 -0.9195 -0.8488 -0.6835 -0.5395 -0.4236 -0.3369 -0.2757
 -0.2352 -0.2091 -0.1923 -0.1806 -0.1707 -0.1606 -0.1499 -0.1381 -0.1257 -0.1133
 -0.1019
 -2.4047 -2.2180 -2.0501 -1.8982 -1.7599 -1.6330 -1.5157 -1.4065 -1.3049 -1.2104
 -1.1226 -1.0412 -0.9658 -0.8950 -0.8279 -0.6724 -0.5342 -0.4206 -0.3337
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F555W
 -3.9096 -3.7997 -3.6464 -3.3778 -3.0770 -2.7910 -2.5470 -2.3394 -2.1488 -1.9690
 -1.8001 -1.6446 -1.5022 -1.3713 -1.2500 -0.9858 -0.7455 -0.5329 -0.3735
 -3.5445 -3.3073 -3.1713 -3.0842 -2.8933 -2.6377 -2.3907 -2.1787 -1.9910 -1.8153
 -1.6511 -1.5005 -1.3637 -1.2397 -1.1265 -0.8798 -0.6706 -0.4951 -0.3562 -0.2487
 -3.3444 -3.0776 -2.8587 -2.6940 -2.5994 -2.4854 -2.2852 -2.0704 -1.8811 -1.7106
