 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F125W
  0.9453  0.8333  0.6735  0.6557  0.6620  0.6883  0.7389  0.7568  0.7724  0.7861
  0.7921  0.7923  0.7885  0.7821  0.7719  0.7275  0.6686  0.5843  0.4741
  0.8700  0.8424  0.8164  0.7824  0.7393  0.7220  0.7308  0.7446  0.7562  0.7633
  0.7654  0.7634  0.7579  0.7493  0.7375  0.6931  0.6259  0.5429  0.4540  0.3635
  0.9100  0.8793  0.8548  0.8328  0.8098  0.7781  0.7486  0.7410  0.7447  0.7489
  0.7476  0.7424  0.7345  0.7240  0.7111  0.6662  0.6015  0.5208  0.4336  0.3451
  0.2566
  0.9517  0.9154  0.8868  0.8629  0.8415  0.8209  0.7981  0.7706  0.7510  0.7429
  0.7378  0.7302  0.7196  0.7069  0.6924  0.6458  0.5824  0.5037  0.4174  0.3299
  0.2431  0.1566
  0.9963  0.9540  0.9197  0.8916  0.8671  0.8445  0.8228  0.8014  0.7777  0.7554
  0.7384  0.7253  0.7122  0.6973  0.6807  0.6315  0.5682  0.4905  0.4050  0.3177
  0.2314  0.1460  0.0614 -0.0233
  1.0415  0.9955  0.9554  0.9220  0.8933  0.8674  0.8428  0.8191  0.7960  0.7733
  0.7505  0.7296  0.7116  0.6941  0.6755  0.6226  0.5587  0.4819  0.3968  0.3086
  0.2217  0.1365  0.0525 -0.0306 -0.1136 -0.1967 -0.2804 -0.3646 -0.4495 -0.5352
  1.0837  1.0368  0.9938  0.9551  0.9217  0.8919  0.8642  0.8375  0.8114  0.7863
  0.7621  0.7386  0.7164  0.6954  0.6748  0.6185  0.5532  0.4777  0.3926  0.3033
  0.2149  0.1286  0.0443 -0.0384 -0.1199 -0.2001 -0.2801 -0.3612 -0.4445 -0.5299
 -0.6145
  1.1196  1.0743  1.0311  0.9902  0.9526  0.9186  0.8874  0.8579  0.8291  0.8012
  0.7741  0.7480  0.7233  0.6996  0.6767  0.6175  0.5508  0.4757  0.3916  0.3019
  0.2116  0.1233  0.0377 -0.0456 -0.1272 -0.2072 -0.2858 -0.3641 -0.4435 -0.5249
 -0.6090
  1.1457  1.1041  1.0632  1.0239  0.9839  0.9468  0.9122  0.8797  0.8484  0.8181
  0.7885  0.7597  0.7320  0.7057  0.6804  0.6176  0.5497  0.4744  0.3916  0.3023
  0.2108  0.1204  0.0325 -0.0527 -0.1353 -0.2158 -0.2947 -0.3724 -0.4502 -0.5282
 -0.6065
  1.1587  1.1225  1.0860  1.0492  1.0123  0.9752  0.9385  0.9035  0.8697  0.8372
  0.8055  0.7745  0.7443  0.7154  0.6874  0.6196  0.5504  0.4752  0.3935  0.3057
  0.2144  0.1227  0.0326 -0.0549 -0.1395 -0.2213 -0.3009 -0.3785 -0.4549 -0.5306
 -0.6071
  1.1561  1.1275  1.0972  1.0655  1.0324  0.9982  0.9630  0.9272  0.8919  0.8574
  0.8239  0.7911  0.7589  0.7274  0.6967  0.6236  0.5517  0.4765  0.3954  0.3091
  0.2189  0.1273  0.0361 -0.0535 -0.1404 -0.2244 -0.3057 -0.3844 -0.4610 -0.5363
 -0.6107
  1.1393  1.1229  1.1012  1.0754  1.0463  1.0148  0.9816  0.9473  0.9124  0.8774
  0.8426  0.8083  0.7745  0.7413  0.7086  0.6298  0.5542  0.4779  0.3975
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F125W
  0.7302  0.6679  0.6424  0.6625  0.6898  0.7161  0.7370  0.7527  0.7663  0.7772
  0.7827  0.7828  0.7782  0.7700  0.7585  0.7151  0.6561  0.5793  0.4837
  0.7867  0.7633  0.7230  0.6779  0.6812  0.7020  0.7206  0.7343  0.7456  0.7540
  0.7569  0.7545  0.7479  0.7380  0.7254  0.6825  0.6234  0.5475  0.4607  0.3705
  0.8252  0.8050  0.7880  0.7660  0.7262  0.7030  0.7117  0.7241  0.7328  0.7386
  0.7396  0.7354  0.7271  0.7157  0.7018  0.6574  0.5991  0.5257  0.4413  0.3531
  0.2643
  0.8652  0.8390  0.8208  0.8074  0.7916  0.7664  0.7346  0.7224  0.7262  0.7299
  0.7294  0.7236  0.7139  0.7010  0.6859  0.6394  0.5808  0.5089  0.4262  0.3391
  0.2517  0.1647
  0.9107  0.8760  0.8515  0.8329  0.8169  0.8020  0.7843  0.7620  0.7387  0.7285
  0.7244  0.7178  0.7069  0.6927  0.6763  0.6275  0.5679  0.4966  0.4149  0.3282
  0.2412  0.1551  0.0697 -0.0162
  0.9578  0.9187  0.8857  0.8612  0.8411  0.8231  0.8066  0.7904  0.7719  0.7501
  0.7313  0.7175  0.7045  0.6894  0.6718  0.6205  0.5597  0.4885  0.4073  0.3203
  0.2327  0.1466  0.0618 -0.0221 -0.1053 -0.1885 -0.2725 -0.3579 -0.4447 -0.5311
  1.0116  0.9666  0.9256  0.8935  0.8679  0.8456  0.8251  0.8061  0.7878  0.7691
  0.7490  0.7277  0.7082  0.6902  0.6715  0.6176  0.5553  0.4839  0.4032  0.3158
  0.2269  0.1396  0.0544 -0.0291 -0.1116 -0.1932 -0.2747 -0.3567 -0.4398 -0.5245
 -0.6105
  1.0646  1.0175  0.9705  0.9310  0.8985  0.8713  0.8467  0.8236  0.8016  0.7805
  0.7599  0.7386  0.7166  0.6947  0.6738  0.6181  0.5540  0.4822  0.4019  0.3146
  0.2243  0.1352  0.0486 -0.0356 -0.1180 -0.1984 -0.2778 -0.3574 -0.4380 -0.5204
 -0.6050
  1.1128  1.0664  1.0174  0.9728  0.9339  0.9005  0.8712  0.8444  0.8187  0.7940
  0.7702  0.7469  0.7237  0.7005  0.6774  0.6195  0.5545  0.4817  0.4017  0.3149
  0.2239  0.1328  0.0440 -0.0420 -0.1254 -0.2068 -0.2867 -0.3661 -0.4452 -0.5238
 -0.6021
  1.1526  1.1085  1.0604  1.0162  0.9733  0.9346  0.8999  0.8688  0.8395  0.8115
  0.7843  0.7580  0.7323  0.7072  0.6825  0.6214  0.5563  0.4836  0.4040  0.3182
  0.2276  0.1355  0.0446 -0.0437 -0.1290 -0.2117 -0.2922 -0.3708 -0.4481 -0.5247
 -0.6021
  1.1811  1.1427  1.0982  1.0558  1.0120  0.9714  0.9327  0.8969  0.8637  0.8324
  0.8022  0.7728  0.7443  0.7165  0.6896  0.6243  0.5580  0.4857  0.4066  0.3219
  0.2325  0.1405  0.0485 -0.0418 -0.1295 -0.2143 -0.2964 -0.3761 -0.4536 -0.5298
 -0.6050
  1.1998  1.1692  1.1307  1.0903  1.0488  1.0073  0.9670  0.9283  0.8914  0.8565
  0.8234  0.7912  0.7599  0.7294  0.6998  0.6292  0.5600  0.4876  0.4093
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F125W
