 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F555W
 -3.5181 -3.4417 -3.6594 -3.5803 -3.3541 -3.0587 -2.7367 -2.5150 -2.3133 -2.1099
 -1.9236 -1.7521 -1.5923 -1.4429 -1.3007 -0.9964 -0.7035 -0.4488 -0.2892
 -3.5110 -3.2404 -3.0279 -2.8842 -2.7988 -2.6777 -2.4850 -2.2716 -2.0720 -1.8838
 -1.7076 -1.5445 -1.3945 -1.2563 -1.1280 -0.8432 -0.6054 -0.4190 -0.2819 -0.1794
 -3.2629 -2.9932 -2.7611 -2.5673 -2.4100 -2.3005 -2.2100 -2.0735 -1.9014 -1.7227
 -1.5572 -1.4040 -1.2634 -1.1348 -1.0171 -0.7636 -0.5584 -0.3977 -0.2774 -0.1857
 -0.1129
 -3.0721 -2.8188 -2.5901 -2.3904 -2.2163 -2.0636 -1.9352 -1.8365 -1.7340 -1.6003
 -1.4505 -1.3060 -1.1734 -1.0521 -0.9415 -0.7077 -0.5248 -0.3845 -0.2776 -0.1951
 -0.1282 -0.0720
 -2.9157 -2.6830 -2.4656 -2.2696 -2.0960 -1.9402 -1.7988 -1.6717 -1.5658 -1.4673
 -1.3597 -1.2371 -1.1130 -0.9972 -0.8919 -0.6705 -0.5013 -0.3747 -0.2794 -0.2055
 -0.1445 -0.0924 -0.0470 -0.0073
 -2.7866 -2.5698 -2.3679 -2.1789 -2.0087 -1.8559 -1.7166 -1.5885 -1.4713 -1.3646
 -1.2670 -1.1707 -1.0679 -0.9622 -0.8606 -0.6466 -0.4850 -0.3665 -0.2797 -0.2142
 -0.1598 -0.1126 -0.0708 -0.0333  0.0019  0.0333  0.0587  0.0766  0.0856  0.0851
 -2.6830 -2.4765 -2.2863 -2.1074 -1.9410 -1.7911 -1.6553 -1.5306 -1.4159 -1.3090
 -1.2087 -1.1142 -1.0233 -0.9323 -0.8409 -0.6328 -0.4741 -0.3584 -0.2770 -0.2184
 -0.1713 -0.1301 -0.0932 -0.0595 -0.0283  0.0023  0.0299  0.0511  0.0637  0.0661
  0.0592
 -2.6033 -2.4024 -2.2182 -2.0471 -1.8873 -1.7394 -1.6055 -1.4840 -1.3725 -1.2688
 -1.1715 -1.0790 -0.9901 -0.9047 -0.8214 -0.6269 -0.4686 -0.3526 -0.2721 -0.2173
 -0.1766 -0.1424 -0.1117 -0.0831 -0.0562 -0.0305 -0.0045  0.0187  0.0357  0.0434
  0.0402
 -2.5458 -2.3467 -2.1642 -1.9936 -1.8399 -1.6962 -1.5633 -1.4425 -1.3333 -1.2326
 -1.1383 -1.0494 -0.9643 -0.8822 -0.8025 -0.6189 -0.4654 -0.3487 -0.2661 -0.2116
 -0.1748 -0.1471 -0.1233 -0.1013 -0.0801 -0.0591 -0.0389 -0.0196 -0.0037  0.0086
  0.0174
 -2.5087 -2.3086 -2.1252 -1.9570 -1.8027 -1.6611 -1.5308 -1.4101 -1.3005 -1.2012
 -1.1095 -1.0235 -0.9420 -0.8633 -0.7874 -0.6124 -0.4635 -0.3472 -0.2627 -0.2058
