 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F390M
 -9.0118 -8.6575 -8.6939 -8.3241 -8.2648 -7.9734 -7.2064 -6.7728 -6.4016 -6.0193
 -5.6399 -5.2722 -4.9179 -4.5726 -4.2338 -3.4053 -2.4565 -1.4354 -0.9365
 -8.5987 -8.0060 -7.5939 -7.3364 -7.1804 -6.9997 -6.7300 -6.3759 -5.9843 -5.5920
 -5.1960 -4.8108 -4.4438 -4.0937 -3.7553 -2.9266 -2.1014 -1.4075 -0.9125 -0.5497
 -8.1505 -7.5270 -7.0550 -6.7102 -6.4514 -6.2678 -6.1182 -5.9191 -5.6342 -5.2802
 -4.8831 -4.4766 -4.0913 -3.7319 -3.3956 -2.6196 -1.8881 -1.2628 -0.8137 -0.4883
 -0.2378
 -7.8651 -7.2345 -6.7248 -6.3337 -6.0255 -5.7579 -5.5217 -5.3309 -5.1463 -4.9109
 -4.5982 -4.2244 -3.8328 -3.4638 -3.1271 -2.3913 -1.7360 -1.1798 -0.7523 -0.4541
 -0.2267 -0.0429
 -7.7021 -7.0657 -6.5311 -6.0990 -5.7560 -5.4639 -5.1866 -4.9160 -4.6758 -4.4568
 -4.2339 -3.9641 -3.6423 -3.2933 -2.9556 -2.2416 -1.6399 -1.1246 -0.7222 -0.4413
 -0.2306 -0.0618  0.0801  0.2031
 -7.6376 -6.9990 -6.4439 -5.9757 -5.5930 -5.2765 -4.9917 -4.7085 -4.4227 -4.1480
 -3.8998 -3.6669 -3.4206 -3.1473 -2.8550 -2.1620 -1.5916 -1.1047 -0.7182 -0.4453
 -0.2448 -0.0874  0.0436  0.1567  0.2583  0.3498  0.4314  0.5033  0.5658  0.6192
 -7.6543 -7.0185 -6.4488 -5.9518 -5.5269 -5.1745 -4.8713 -4.5902 -4.3064 -4.0156
 -3.7318 -3.4683 -3.2255 -2.9903 -2.7484 -2.1306 -1.5802 -1.1125 -0.7356 -0.4623
 -0.2656 -0.1160  0.0057  0.1097  0.2009  0.2825  0.3555  0.4201  0.4768  0.5253
  0.5640
 -7.7347 -7.1058 -6.5315 -6.0172 -5.5577 -5.1599 -4.8211 -4.5260 -4.2475 -3.9656
 -3.6775 -3.3950 -3.1298 -2.8864 -2.6581 -2.1061 -1.5875 -1.1398 -0.7683 -0.4896
 -0.2904 -0.1445 -0.0301  0.0656  0.1482  0.2214  0.2879  0.3471  0.3978  0.4389
  0.4701
 -7.8615 -7.2426 -6.6720 -6.1509 -5.6680 -5.2355 -4.8547 -4.5223 -4.2275 -3.9496
 -3.6712 -3.3888 -3.1124 -2.8527 -2.6134 -2.0808 -1.5934 -1.1637 -0.8043 -0.5215
 -0.3161 -0.1692 -0.0596  0.0281  0.1022  0.1669  0.2238  0.2743  0.3183  0.3561
  0.3883
 -8.0173 -7.4105 -6.8486 -6.3275 -5.8438 -5.3944 -4.9801 -4.6099 -4.2778 -3.9801
 -3.7018 -3.4275 -3.1524 -2.8885 -2.6394 -2.0818 -1.6092 -1.1928 -0.8427 -0.5602
 -0.3473 -0.1946 -0.0851 -0.0027  0.0636  0.1196  0.1680  0.2106  0.2480  0.2805
  0.3101
 -8.1824 -7.5989 -7.0520 -6.5387 -6.0561 -5.6019 -5.1738 -4.7732 -4.4088 -4.0753
 -3.7736 -3.4931 -3.2211 -2.9530 -2.6923 -2.1124 -1.6334 -1.2236 -0.8780 -0.5969
 -0.3791 -0.2193 -0.1055 -0.0241  0.0363  0.0840  0.1235  0.1574  0.1868  0.2121
  0.2333
 -8.3331 -7.8227 -7.3137 -6.8126 -6.3257 -5.8581 -5.4136 -4.9953 -4.6045 -4.2420
 -3.9082 -3.6022 -3.3175 -3.0457 -2.7817 -2.1738 -1.6714 -1.2585 -0.9148
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F390M
 -9.4799 -9.1502 -8.8275 -8.4303 -8.0059 -7.4802 -6.8989 -6.4426 -6.0718 -5.7299
 -5.3965 -5.0740 -4.7637 -4.4620 -4.1664 -3.4394 -2.6523 -1.8095 -1.1819
 -8.6028 -8.0712 -7.7960 -7.6403 -7.4100 -7.0898 -6.6523 -6.1643 -5.7536 -5.3845
 -5.0264 -4.6820 -4.3544 -4.0428 -3.7431 -3.0247 -2.3120 -1.6205 -1.0613 -0.6563
 -8.1477 -7.5259 -7.1050 -6.8442 -6.7097 -6.5745 -6.3299 -5.9626 -5.5317 -5.1357
 -4.7537 -4.3872 -4.0421 -3.7192 -3.4156 -2.7191 -2.0726 -1.4624 -0.9551 -0.5857
 -0.3095
 -7.9153 -7.2401 -6.7410 -6.3792 -6.1225 -5.9452 -5.8108 -5.6301 -5.3333 -4.9636
 -4.5794 -4.1962 -3.8341 -3.4989 -3.1892 -2.5056 -1.9074 -1.3595 -0.8917 -0.5461
 -0.2909 -0.0899
 -7.8448 -7.1257 -6.5586 -6.1354 -5.8186 -5.5584 -5.3281 -5.1323 -4.9594 -4.7344
 -4.4372 -4.0902 -3.7273 -3.3796 -3.0601 -2.3759 -1.8067 -1.3018 -0.8632 -0.5316
 -0.2898 -0.1027  0.0505  0.1845
 -7.9233 -7.1519 -6.5218 -6.0258 -5.6474 -5.3489 -5.0846 -4.8285 -4.5886 -4.3803
 -4.1786 -3.9421 -3.6562 -3.3372 -3.0144 -2.3163 -1.7586 -1.2799 -0.8622 -0.5374
 -0.3021 -0.1243  0.0185  0.1390  0.2441  0.3371  0.4204  0.4960  0.5643  0.6212
 -8.0964 -7.2947 -6.6121 -6.0452 -5.5957 -5.2436 -4.9542 -4.6886 -4.4248 -4.1670
 -3.9280 -3.7129 -3.4987 -3.2614 -2.9966 -2.3126 -1.7519 -1.2853 -0.8817 -0.5586
 -0.3241 -0.1514 -0.0165  0.0953  0.1916  0.2772  0.3531  0.4198  0.4775  0.5266
  0.5678
 -8.3340 -7.5279 -6.8123 -6.1846 -5.6613 -5.2407 -4.9046 -4.6202 -4.3558 -4.0919
 -3.8285 -3.5768 -3.3465 -3.1320 -2.9167 -2.3361 -1.7758 -1.3107 -0.9149 -0.5919
 -0.3534 -0.1813 -0.0515  0.0527  0.1409  0.2193  0.2887  0.3489  0.3998  0.4413
  0.4736
 -8.6022 -7.8070 -7.0825 -6.4183 -5.8340 -5.3408 -4.9398 -4.6125 -4.3307 -4.0676
 -3.8055 -3.5421 -3.2873 -3.0505 -2.8323 -2.3200 -1.8091 -1.3455 -0.9529 -0.6299
 -0.3853 -0.2101 -0.0828  0.0153  0.0957  0.1645  0.2241  0.2759  0.3207  0.3592
  0.3919
 -8.8647 -8.0909 -7.3802 -6.7283 -6.1075 -5.5565 -5.0838 -4.6919 -4.3670 -4.0851
 -3.8233 -3.5643 -3.3045 -3.0516 -2.8146 -2.3007 -1.8341 -1.3897 -1.0000 -0.6769
 -0.4254 -0.2423 -0.1125 -0.0176  0.0564  0.1173  0.1689  0.2135  0.2519  0.2848
  0.3145
 -9.0892 -8.3714 -7.6967 -7.0627 -6.4313 -5.8531 -5.3300 -4.8726 -4.4838 -4.1566
 -3.8725 -3.6106 -3.3552 -3.1009 -2.8529 -2.3063 -1.8491 -1.4280 -1.0460 -0.7240
 -0.4676 -0.2757 -0.1391 -0.0430  0.0269  0.0807  0.1242  0.1605  0.1913  0.2170
  0.2383
 -9.2751 -8.6486 -8.0320 -7.4085 -6.7921 -6.1983 -5.6449 -5.1447 -4.6993 -4.3100
 -3.9786 -3.6903 -3.4271 -3.1749 -2.9270 -2.3515 -1.8740 -1.4624 -1.0908
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F390M
 -9.8933 -9.4098 -8.8820 -8.3821 -7.7090 -7.0229 -6.5083 -6.1300 -5.7997 -5.4997
