 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F438W
 -6.4692 -6.2312 -6.3120 -6.1855 -6.0061 -5.6255 -5.0554 -4.7168 -4.3956 -4.0717
 -3.7679 -3.4834 -3.2112 -2.9458 -2.6871 -2.1179 -1.5131 -0.9643 -0.5763
 -6.2079 -5.7782 -5.4480 -5.2243 -5.0829 -4.9058 -4.6341 -4.3069 -3.9768 -3.6596
 -3.3572 -3.0729 -2.8063 -2.5554 -2.3173 -1.7648 -1.2627 -0.8384 -0.5144 -0.2693
 -5.8091 -5.3774 -5.0112 -4.7123 -4.4694 -4.2907 -4.1383 -3.9246 -3.6482 -3.3479
 -3.0553 -2.7770 -2.5180 -2.2780 -2.0556 -1.5612 -1.1279 -0.7559 -0.4656 -0.2452
 -0.0706
 -5.4879 -5.0854 -4.7206 -4.4057 -4.1318 -3.8851 -3.6682 -3.4903 -3.3056 -3.0740
 -2.8138 -2.5529 -2.3037 -2.0726 -1.8614 -1.4081 -1.0274 -0.7017 -0.4373 -0.2359
 -0.0762  0.0580
 -5.2050 -4.8434 -4.5002 -4.1887 -3.9121 -3.6585 -3.4181 -3.1921 -2.9944 -2.8066
 -2.6057 -2.3816 -2.1524 -1.9326 -1.7292 -1.3022 -0.9574 -0.6644 -0.4239 -0.2371
 -0.0893  0.0349  0.1443  0.2429
 -4.9499 -4.6259 -4.3151 -4.0187 -3.7475 -3.4997 -3.2649 -3.0369 -2.8186 -2.6141
 -2.4251 -2.2391 -2.0432 -1.8429 -1.6491 -1.2362 -0.9133 -0.6434 -0.4206 -0.2444
 -0.1060  0.0093  0.1107  0.2031  0.2931  0.3787  0.4562  0.5228  0.5761  0.6150
 -4.7219 -4.4300 -4.1494 -3.8764 -3.6155 -3.3748 -3.1493 -2.9323 -2.7206 -2.5143
 -2.3174 -2.1320 -1.9546 -1.7788 -1.6034 -1.2032 -0.8898 -0.6360 -0.4238 -0.2546
 -0.1230 -0.0156  0.0779  0.1631  0.2424  0.3166  0.3860  0.4509  0.5115  0.5640
  0.5935
 -4.5201 -4.2552 -3.9996 -3.7506 -3.5070 -3.2729 -3.0539 -2.8478 -2.6484 -2.4519
 -2.2595 -2.0737 -1.8969 -1.7295 -1.5685 -1.1938 -0.8825 -0.6362 -0.4316 -0.2659
 -0.1381 -0.0371  0.0487  0.1263  0.1984  0.2668  0.3326  0.3943  0.4502  0.4989
  0.5396
 -4.3438 -4.1014 -3.8660 -3.6341 -3.4099 -3.1892 -2.9756 -2.7737 -2.5836 -2.3990
 -2.2165 -2.0369 -1.8631 -1.6975 -1.5407 -1.1859 -0.8835 -0.6388 -0.4399 -0.2764
 -0.1496 -0.0523  0.0267  0.0961  0.1603  0.2214  0.2796  0.3351  0.3864  0.4334
  0.4764
 -4.1922 -3.9683 -3.7492 -3.5348 -3.3247 -3.1188 -2.9169 -2.7199 -2.5323 -2.3549
 -2.1831 -2.0135 -1.8463 -1.6851 -1.5313 -1.1831 -0.8900 -0.6481 -0.4513 -0.2897
 -0.1620 -0.0651  0.0100  0.0724  0.1284  0.1812  0.2316  0.2803  0.3270  0.3709
  0.4112
 -4.0609 -3.8491 -3.6423 -3.4402 -3.2427 -3.0494 -2.8603 -2.6748 -2.4927 -2.3175
 -2.1508 -1.9899 -1.8318 -1.6762 -1.5251 -1.1825 -0.8954 -0.6563 -0.4605 -0.3013
 -0.1736 -0.0757 -0.0016  0.0564  0.1054  0.1498  0.1918  0.2325  0.2720  0.3099
  0.3457
 -3.9350 -3.7170 -3.5148 -3.3246 -3.1427 -2.9662 -2.7925 -2.6202 -2.4501 -2.2835
 -2.1215 -1.9649 -1.8137 -1.6660 -1.5211 -1.1839 -0.8988 -0.6633 -0.4690
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F438W
 -6.7965 -6.5858 -6.3492 -5.9960 -5.5775 -5.1230 -4.7013 -4.3433 -4.0181 -3.7160
 -3.4319 -3.1687 -2.9245 -2.6942 -2.4741 -1.9704 -1.4714 -1.0034 -0.6260
 -6.1626 -5.7798 -5.5632 -5.4256 -5.1746 -4.8154 -4.4175 -4.0433 -3.7093 -3.4024
 -3.1161 -2.8526 -2.6108 -2.3872 -2.1778 -1.7009 -1.2688 -0.8773 -0.5496 -0.2931
 -5.7960 -5.3647 -5.0311 -4.7900 -4.6427 -4.4704 -4.1727 -3.8210 -3.4811 -3.1722
 -2.8848 -2.6210 -2.3806 -2.1608 -1.9584 -1.5128 -1.1290 -0.7888 -0.4982 -0.2661
 -0.0825
 -5.5392 -5.1109 -4.7485 -4.4424 -4.1917 -3.9974 -3.8364 -3.6145 -3.3146 -3.0123
 -2.7281 -2.4644 -2.2242 -2.0063 -1.8075 -1.3812 -1.0299 -0.7276 -0.4671 -0.2545
 -0.0851  0.0548
 -5.3382 -4.9312 -4.5661 -4.2530 -3.9823 -3.7332 -3.5057 -3.3058 -3.1194 -2.8850
 -2.6231 -2.3669 -2.1284 -1.9105 -1.7127 -1.2959 -0.9644 -0.6878 -0.4507 -0.2537
 -0.0956  0.0347  0.1472  0.2491
 -5.1827 -4.7919 -4.4368 -4.1182 -3.8405 -3.5907 -3.3511 -3.1179 -2.9024 -2.7118
 -2.5176 -2.2990 -2.0736 -1.8590 -1.6612 -1.2460 -0.9246 -0.6641 -0.4440 -0.2596
 -0.1105  0.0115  0.1163  0.2102  0.2969  0.3771  0.4511  0.5188  0.5786  0.6217
 -5.0444 -4.6784 -4.3402 -4.0238 -3.7394 -3.4880 -3.2562 -3.0299 -2.8064 -2.5938
 -2.3974 -2.2151 -2.0284 -1.8336 -1.6410 -1.2231 -0.9041 -0.6522 -0.4434 -0.2683
 -0.1265 -0.0117  0.0856  0.1724  0.2523  0.3287  0.4001  0.4644  0.5197  0.5651
  0.6010
 -4.9208 -4.5822 -4.2655 -3.9588 -3.6720 -3.4127 -3.1814 -2.9658 -2.7545 -2.5448
 -2.3416 -2.1503 -1.9730 -1.8026 -1.6311 -1.2229 -0.8982 -0.6490 -0.4469 -0.2783
 -0.1415 -0.0323  0.0580  0.1374  0.2102  0.2796  0.3452  0.4056  0.4600  0.5076
  0.5481
 -4.8170 -4.4991 -4.2013 -3.9098 -3.6285 -3.3642 -3.1246 -2.9088 -2.7075 -2.5105
 -2.3149 -2.1235 -1.9412 -1.7706 -1.6095 -1.2300 -0.9029 -0.6503 -0.4510 -0.2867
 -0.1528 -0.0475  0.0368  0.1086  0.1737  0.2347  0.2924  0.3461  0.3960  0.4423
  0.4854
 -4.7376 -4.4267 -4.1428 -3.8746 -3.6059 -3.3459 -3.0999 -2.8750 -2.6717 -2.4823
 -2.2986 -2.1163 -1.9369 -1.7646 -1.6020 -1.2372 -0.9198 -0.6613 -0.4604 -0.2978
 -0.1652 -0.0608  0.0200  0.0856  0.1429  0.1958  0.2458  0.2937  0.3393  0.3820
  0.4210
 -4.6740 -4.3646 -4.0894 -3.8360 -3.5821 -3.3373 -3.0965 -2.8665 -2.6540 -2.4608
 -2.2814 -2.1088 -1.9385 -1.7706 -1.6081 -1.2433 -0.9344 -0.6764 -0.4713 -0.3085
 -0.1765 -0.0718  0.0081  0.0698  0.1204  0.1653  0.2070  0.2470  0.2856  0.3224
  0.3569
 -4.6149 -4.3126 -4.0412 -3.7895 -3.5514 -3.3208 -3.0929 -2.8705 -2.6564 -2.4555
 -2.2712 -2.1001 -1.9369 -1.7772 -1.6200 -1.2548 -0.9468 -0.6912 -0.4833
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F438W
 -6.9940 -6.6733 -6.2281 -5.7445 -5.2255 -4.7490 -4.3732 -4.0429 -3.7331 -3.4495
 -3.1840 -2.9383 -2.7135 -2.5066 -2.3132 -1.8673 -1.4477 -1.0457 -0.6849
 -6.1683 -5.9774 -5.7999 -5.4564 -5.0340 -4.5782 -4.1615 -3.8105 -3.4916 -3.2025
 -2.9328 -2.6849 -2.4596 -2.2547 -2.0658 -1.6438 -1.2654 -0.9165 -0.6018 -0.3358
 -5.7925 -5.4041 -5.1926 -5.0793 -4.8234 -4.4479 -4.0397 -3.6624 -3.3328 -3.0381
 -2.7656 -2.5150 -2.2876 -2.0822 -1.8951 -1.4868 -1.1354 -0.8234 -0.5448 -0.3048
 -0.1081
 -5.5955 -5.1526 -4.8145 -4.5789 -4.4365 -4.2648 -3.9498 -3.5873 -3.2430 -2.9391
 -2.6641 -2.4106 -2.1803 -1.9726 -1.7848 -1.3823 -1.0473 -0.7596 -0.5077 -0.2887
 -0.1063  0.0438
 -5.4716 -5.0198 -4.6429 -4.3360 -4.0906 -3.8919 -3.7316 -3.5073 -3.2007 -2.8906
 -2.6120 -2.3559 -2.1218 -1.9104 -1.7198 -1.3170 -0.9904 -0.7182 -0.4851 -0.2830
 -0.1126  0.0282  0.1470  0.2501
 -5.3927 -4.9445 -4.5478 -4.2124 -3.9293 -3.6845 -3.4660 -3.2687 -3.0857 -2.8546
 -2.5898 -2.3363 -2.0998 -1.8839 -1.6890 -1.2803 -0.9561 -0.6928 -0.4724 -0.2837
 -0.1238  0.0088  0.1203  0.2174  0.3041  0.3833  0.4575  0.5289  0.5931  0.6317
 -5.3460 -4.9075 -4.5042 -4.1489 -3.8462 -3.5880 -3.3532 -3.1268 -2.9129 -2.7202
 -2.5318 -2.3208 -2.0979 -1.8829 -1.6841 -1.2654 -0.9383 -0.6790 -0.4667 -0.2879
 -0.1368 -0.0114  0.0930  0.1834  0.2646  0.3388  0.4073  0.4712  0.5314  0.5840
  0.6126
 -5.3142 -4.8964 -4.4953 -4.1282 -3.8048 -3.5273 -3.2862 -3.0628 -2.8448 -2.6330
 -2.4358 -2.2540 -2.0745 -1.8863 -1.6955 -1.2686 -0.9338 -0.6740 -0.4658 -0.2938
 -0.1496 -0.0304  0.0678  0.1512  0.2257  0.2942  0.3587  0.4186  0.4728  0.5205
  0.5613
 -5.2949 -4.8945 -4.5059 -4.1363 -3.7981 -3.5003 -3.2430 -3.0165 -2.8054 -2.5986
 -2.3965 -2.2044 -2.0250 -1.8570 -1.6918 -1.2839 -0.9383 -0.6737 -0.4667 -0.2986
 -0.1593 -0.0449  0.0478  0.1246  0.1918  0.2532  0.3102  0.3630  0.4118  0.4570
  0.4988
 -5.2894 -4.9041 -4.5314 -4.1712 -3.8285 -3.5145 -3.2366 -2.9946 -2.7805 -2.5811
 -2.3870 -2.1966 -2.0128 -1.8394 -1.6778 -1.3034 -0.9606 -0.6849 -0.4744 -0.3070
 -0.1702 -0.0585  0.0308  0.1023  0.1626  0.2164  0.2660  0.3129  0.3571  0.3981
  0.4353
 -5.2949 -4.9040 -4.5502 -4.2089 -3.8768 -3.5586 -3.2653 -3.0035 -2.7740 -2.5699
 -2.3810 -2.1988 -2.0198 -1.8456 -1.6797 -1.3114 -0.9864 -0.7056 -0.4866 -0.3168
 -0.1804 -0.0697  0.0180  0.0863  0.1408  0.1872  0.2290  0.2683  0.3055  0.3407
  0.3735
 -5.3055 -4.9081 -4.5569 -4.2335 -3.9181 -3.6113 -3.3180 -3.0436 -2.7960 -2.5767
 -2.3811 -2.2013 -2.0293 -1.8612 -1.6968 -1.3221 -1.0050 -0.7304 -0.5041
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F438W
 -7.0441 -6.6169 -6.1082 -5.5955 -5.0782 -4.6102 -4.2397 -3.9201 -3.6253 -3.3497
 -3.0931 -2.8547 -2.6364 -2.4368 -2.2523 -1.8324 -1.4426 -1.0681 -0.7178
 -6.2672 -6.1250 -5.8144 -5.3931 -4.9364 -4.4665 -4.0618 -3.7204 -3.4141 -3.1337
 -2.8726 -2.6316 -2.4121 -2.2130 -2.0309 -1.6281 -1.2694 -0.9374 -0.6325 -0.3652
