 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F098M
 -1.1209 -1.1519 -1.3308 -1.3634 -1.3365 -1.2628 -1.1503 -1.0864 -1.0339 -0.9805
 -0.9310 -0.8864 -0.8458 -0.8099 -0.7809 -0.7277 -0.7261 -0.7967 -0.8602
 -1.1537 -1.1313 -1.1174 -1.1242 -1.1534 -1.1609 -1.1287 -1.0795 -1.0299 -0.9837
 -0.9409 -0.9016 -0.8667 -0.8369 -0.8128 -0.7812 -0.7902 -0.8283 -0.8784 -0.9324
 -1.0785 -1.0590 -1.0380 -1.0216 -1.0144 -1.0271 -1.0488 -1.0480 -1.0223 -0.9857
 -0.9496 -0.9150 -0.8838 -0.8570 -0.8355 -0.8076 -0.8158 -0.8525 -0.9023 -0.9558
 -1.0101
 -1.0063 -0.9981 -0.9816 -0.9638 -0.9489 -0.9387 -0.9383 -0.9528 -0.9662 -0.9636
 -0.9457 -0.9206 -0.8943 -0.8707 -0.8516 -0.8275 -0.8356 -0.8710 -0.9209 -0.9746
 -1.0288 -1.0826
 -0.9270 -0.9353 -0.9298 -0.9174 -0.9039 -0.8924 -0.8840 -0.8801 -0.8850 -0.8948
 -0.9030 -0.9018 -0.8916 -0.8760 -0.8604 -0.8404 -0.8492 -0.8843 -0.9343 -0.9892
 -1.0443 -1.0987 -1.1522 -1.2049
 -0.8401 -0.8628 -0.8728 -0.8710 -0.8636 -0.8549 -0.8476 -0.8421 -0.8386 -0.8382
 -0.8433 -0.8513 -0.8570 -0.8584 -0.8560 -0.8463 -0.8564 -0.8913 -0.9419 -0.9993
 -1.0564 -1.1124 -1.1672 -1.2207 -1.2725 -1.3238 -1.3757 -1.4293 -1.4853 -1.5442
 -0.7480 -0.7818 -0.8057 -0.8171 -0.8198 -0.8177 -0.8140 -0.8107 -0.8084 -0.8066
 -0.8063 -0.8090 -0.8148 -0.8221 -0.8287 -0.8417 -0.8573 -0.8909 -0.9431 -1.0037
 -1.0644 -1.1230 -1.1799 -1.2352 -1.2889 -1.3398 -1.3899 -1.4414 -1.4962 -1.5550
 -1.6158
 -0.6532 -0.6952 -0.7290 -0.7524 -0.7669 -0.7746 -0.7777 -0.7789 -0.7796 -0.7804
 -0.7813 -0.7829 -0.7861 -0.7918 -0.7995 -0.8235 -0.8506 -0.8864 -0.9385 -1.0016
 -1.0666 -1.1293 -1.1894 -1.2473 -1.3032 -1.3571 -1.4082 -1.4587 -1.5107 -1.5662
 -1.6264
 -0.5580 -0.6060 -0.6464 -0.6782 -0.7037 -0.7217 -0.7341 -0.7424 -0.7483 -0.7528
 -0.7568 -0.7607 -0.7652 -0.7707 -0.7778 -0.8035 -0.8375 -0.8784 -0.9302 -0.9945
 -1.0632 -1.1308 -1.1953 -1.2569 -1.3159 -1.3725 -1.4272 -1.4801 -1.5329 -1.5861
 -1.6395
 -0.4650 -0.5173 -0.5621 -0.6003 -0.6325 -0.6591 -0.6806 -0.6973 -0.7107 -0.7210
 -0.7295 -0.7371 -0.7444 -0.7521 -0.7605 -0.7869 -0.8227 -0.8665 -0.9192 -0.9827
 -1.0530 -1.1244 -1.1936 -1.2598 -1.3228 -1.3830 -1.4408 -1.4963 -1.5502 -1.6031
 -1.6557
