 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F125W
 -0.8447 -0.9566 -1.1166 -1.1344 -1.1277 -1.1016 -1.0511 -1.0333 -1.0177 -1.0037
 -0.9982 -0.9978 -1.0013 -1.0079 -1.0187 -1.0626 -1.1239 -1.2055 -1.3160
 -0.9201 -0.9477 -0.9736 -1.0077 -1.0508 -1.0680 -1.0593 -1.0455 -1.0339 -1.0268
 -1.0247 -1.0267 -1.0322 -1.0408 -1.0525 -1.0969 -1.1642 -1.2472 -1.3361 -1.4266
 -0.8801 -0.9107 -0.9353 -0.9573 -0.9802 -1.0120 -1.0415 -1.0491 -1.0454 -1.0412
 -1.0424 -1.0476 -1.0556 -1.0661 -1.0790 -1.1238 -1.1885 -1.2692 -1.3565 -1.4450
 -1.5335
 -0.8383 -0.8747 -0.9033 -0.9271 -0.9485 -0.9691 -0.9920 -1.0195 -1.0390 -1.0471
 -1.0523 -1.0599 -1.0705 -1.0832 -1.0977 -1.1443 -1.2077 -1.2864 -1.3727 -1.4601
 -1.5470 -1.6335
 -0.7936 -0.8361 -0.8704 -0.8985 -0.9230 -0.9456 -0.9672 -0.9887 -1.0125 -1.0347
 -1.0517 -1.0648 -1.0779 -1.0928 -1.1093 -1.1586 -1.2219 -1.2996 -1.3851 -1.4724
 -1.5587 -1.6440 -1.7287 -1.8133
 -0.7484 -0.7946 -0.8347 -0.8681 -0.8968 -0.9227 -0.9473 -0.9710 -0.9941 -1.0168
 -1.0396 -1.0605 -1.0785 -1.0960 -1.1146 -1.1675 -1.2314 -1.3082 -1.3933 -1.4814
 -1.5683 -1.6536 -1.7375 -1.8206 -1.9036 -1.9868 -2.0704 -2.1547 -2.2396 -2.3253
 -0.7062 -0.7532 -0.7963 -0.8350 -0.8684 -0.8982 -0.9259 -0.9526 -0.9787 -1.0038
 -1.0280 -1.0515 -1.0737 -1.0947 -1.1152 -1.1716 -1.2369 -1.3124 -1.3975 -1.4867
 -1.5752 -1.6615 -1.7458 -1.8285 -1.9100 -1.9902 -2.0702 -2.1513 -2.2346 -2.3200
 -2.4046
 -0.6704 -0.7158 -0.7590 -0.7999 -0.8375 -0.8715 -0.9026 -0.9322 -0.9609 -0.9889
 -1.0161 -1.0421 -1.0667 -1.0905 -1.1134 -1.1725 -1.2393 -1.3144 -1.3985 -1.4882
 -1.5785 -1.6667 -1.7524 -1.8358 -1.9173 -1.9973 -2.0759 -2.1542 -2.2336 -2.3150
 -2.3991
 -0.6442 -0.6860 -0.7269 -0.7662 -0.8061 -0.8433 -0.8779 -0.9104 -0.9417 -0.9720
 -1.0016 -1.0304 -1.0580 -1.0844 -1.1097 -1.1725 -1.2404 -1.3156 -1.3984 -1.4878
 -1.5793 -1.6697 -1.7576 -1.8428 -1.9254 -2.0059 -2.0847 -2.1625 -2.2404 -2.3184
