 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F475W
 -5.0983 -4.9171 -5.1075 -5.0310 -4.7976 -4.4583 -4.0638 -3.8103 -3.5714 -3.3219
 -3.0850 -2.8635 -2.6574 -2.4641 -2.2794 -1.8716 -1.4580 -1.0858 -0.8221
 -4.9711 -4.6531 -4.3996 -4.2260 -4.1195 -3.9771 -3.7547 -3.5018 -3.2571 -3.0186
 -2.7899 -2.5765 -2.3798 -2.1980 -2.0279 -1.6404 -1.2970 -1.0102 -0.7890 -0.6188
 -4.6706 -4.3572 -4.0800 -3.8472 -3.6577 -3.5227 -3.4092 -3.2432 -3.0307 -2.8029
 -2.5834 -2.3769 -2.1873 -2.0142 -1.8556 -1.5083 -1.2112 -0.9609 -0.7641 -0.6110
 -0.4873
 -4.4239 -4.1405 -3.8718 -3.6313 -3.4199 -3.2324 -3.0716 -2.9428 -2.8066 -2.6302
 -2.4311 -2.2348 -2.0517 -1.8845 -1.7329 -1.4112 -1.1476 -0.9282 -0.7507 -0.6116
 -0.4983 -0.4016
 -4.2004 -3.9565 -3.7127 -3.4815 -3.2708 -3.0782 -2.8996 -2.7343 -2.5906 -2.4527
 -2.3021 -2.1327 -1.9610 -1.7994 -1.6521 -1.3450 -1.1029 -0.9051 -0.7450 -0.6176
 -0.5133 -0.4238 -0.3443 -0.2725
 -3.9934 -3.7833 -3.5731 -3.3618 -3.1606 -2.9729 -2.7968 -2.6291 -2.4701 -2.3202
 -2.1807 -2.0429 -1.8971 -1.7482 -1.6052 -1.3042 -1.0741 -0.8904 -0.7429 -0.6255
 -0.5294 -0.4470 -0.3735 -0.3061 -0.2407 -0.1792 -0.1245 -0.0791 -0.0447 -0.0223
 -3.8040 -3.6201 -3.4382 -3.2532 -3.0677 -2.8899 -2.7206 -2.5587 -2.4033 -2.2526
 -2.1081 -1.9716 -1.8407 -1.7106 -1.5805 -1.2848 -1.0578 -0.8819 -0.7422 -0.6322
 -0.5436 -0.4684 -0.4015 -0.3398 -0.2821 -0.2270 -0.1756 -0.1295 -0.0898 -0.0592
 -0.0449
 -3.6332 -3.4689 -3.3074 -3.1452 -2.9807 -2.8159 -2.6559 -2.5021 -2.3537 -2.2090
 -2.0681 -1.9322 -1.8026 -1.6792 -1.5597 -1.2814 -1.0530 -0.8788 -0.7426 -0.6365
 -0.5535 -0.4853 -0.4255 -0.3704 -0.3187 -0.2692 -0.2207 -0.1754 -0.1361 -0.1050
 -0.0833
 -3.4821 -3.3322 -3.1846 -3.0348 -2.8902 -2.7425 -2.5939 -2.4483 -2.3078 -2.1708
 -2.0361 -1.9048 -1.7782 -1.6571 -1.5413 -1.2771 -1.0540 -0.8787 -0.7431 -0.6380
