 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F390M
 -9.6504 -9.2962 -9.3328 -8.9630 -8.9032 -8.6121 -7.8454 -7.4115 -7.0405 -6.6582
 -6.2794 -5.9114 -5.5568 -5.2115 -4.8730 -4.0428 -3.0969 -2.0714 -1.5754
 -9.2377 -8.6449 -8.2328 -7.9754 -7.8194 -7.6387 -7.3689 -7.0148 -6.6233 -6.2309
 -5.8349 -5.4497 -5.0827 -4.7326 -4.3943 -3.5656 -2.7403 -2.0465 -1.5514 -1.1886
 -8.7894 -8.1660 -7.6940 -7.3491 -7.0904 -6.9067 -6.7572 -6.5580 -6.2731 -5.9191
 -5.5220 -5.1155 -4.7302 -4.3709 -4.0346 -3.2585 -2.5270 -1.9017 -1.4527 -1.1273
 -0.8767
 -8.5041 -7.8735 -7.3638 -6.9726 -6.6644 -6.3968 -6.1606 -5.9698 -5.7852 -5.5499
 -5.2371 -4.8633 -4.4717 -4.1027 -3.7660 -3.0303 -2.3750 -1.8188 -1.3912 -1.0930
 -0.8657 -0.6818
 -8.3412 -7.7046 -7.1701 -6.7379 -6.3950 -6.1028 -5.8256 -5.5550 -5.3148 -5.0958
 -4.8728 -4.6030 -4.2812 -3.9322 -3.5945 -2.8806 -2.2788 -1.7634 -1.3611 -1.0803
 -0.8695 -0.7007 -0.5588 -0.4359
 -8.2767 -7.6379 -7.0828 -6.6146 -6.2319 -5.9155 -5.6306 -5.3474 -5.0616 -4.7870
 -4.5387 -4.3058 -4.0595 -3.7862 -3.4940 -2.8009 -2.2306 -1.7438 -1.3572 -1.0843
 -0.8837 -0.7263 -0.5954 -0.4823 -0.3807 -0.2891 -0.2075 -0.1356 -0.0731 -0.0197
 -8.2933 -7.6575 -7.0878 -6.5907 -6.1658 -5.8134 -5.5102 -5.2292 -4.9453 -4.6546
 -4.3707 -4.1072 -3.8645 -3.6292 -3.3874 -2.7696 -2.2192 -1.7514 -1.3745 -1.1012
 -0.9046 -0.7550 -0.6333 -0.5292 -0.4380 -0.3564 -0.2834 -0.2188 -0.1621 -0.1136
 -0.0749
 -8.3737 -7.7449 -7.1707 -6.6561 -6.1966 -5.7989 -5.4601 -5.1649 -4.8864 -4.6045
 -4.3165 -4.0340 -3.7687 -3.5254 -3.2971 -2.7451 -2.2265 -1.7787 -1.4072 -1.1285
 -0.9294 -0.7834 -0.6690 -0.5733 -0.4907 -0.4176 -0.3511 -0.2919 -0.2412 -0.2000
 -0.1688
 -8.5005 -7.8817 -7.3112 -6.7898 -6.3069 -5.8744 -5.4936 -5.1613 -4.8664 -4.5886
 -4.3101 -4.0278 -3.7513 -3.4917 -3.2524 -2.7197 -2.2324 -1.8026 -1.4432 -1.1604
 -0.9551 -0.8082 -0.6985 -0.6108 -0.5367 -0.4720 -0.4151 -0.3646 -0.3206 -0.2828
 -0.2506
 -8.6562 -8.0496 -7.4877 -6.9666 -6.4829 -6.0334 -5.6190 -5.2488 -4.9168 -4.6190
 -4.3407 -4.0664 -3.7914 -3.5276 -3.2784 -2.7207 -2.2481 -1.8317 -1.4816 -1.1991
 -0.9863 -0.8336 -0.7240 -0.6416 -0.5754 -0.5193 -0.4709 -0.4284 -0.3910 -0.3584
 -0.3289
 -8.8213 -8.2378 -7.6909 -7.1776 -6.6950 -6.2408 -5.8127 -5.4121 -5.0477 -4.7142
 -4.4125 -4.1320 -3.8600 -3.5920 -3.3313 -2.7513 -2.2723 -1.8625 -1.5169 -1.2358
 -1.0180 -0.8583 -0.7444 -0.6631 -0.6026 -0.5549 -0.5155 -0.4816 -0.4522 -0.4269
 -0.4057
