 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F555W
 -3.5596 -3.4782 -3.6860 -3.6119 -3.4008 -3.1197 -2.8089 -2.5980 -2.4051 -2.2086
 -2.0256 -1.8575 -1.7007 -1.5539 -1.4147 -1.1150 -0.8237 -0.5667 -0.4016
 -3.5441 -3.2906 -3.0886 -2.9519 -2.8717 -2.7570 -2.5727 -2.3677 -2.1749 -1.9916
 -1.8186 -1.6579 -1.5098 -1.3730 -1.2457 -0.9613 -0.7213 -0.5309 -0.3890 -0.2814
 -3.3095 -3.0574 -2.8357 -2.6488 -2.4971 -2.3926 -2.3070 -2.1767 -2.0100 -1.8350
 -1.6714 -1.5196 -1.3799 -1.2520 -1.1346 -0.8801 -0.6720 -0.5071 -0.3822 -0.2861
 -0.2088
 -3.1243 -2.8901 -2.6728 -2.4794 -2.3098 -2.1613 -2.0371 -1.9420 -1.8429 -1.7121
 -1.5640 -1.4201 -1.2880 -1.1671 -1.0566 -0.8217 -0.6360 -0.4918 -0.3807 -0.2943
 -0.2235 -0.1635
 -2.9670 -2.7550 -2.5513 -2.3627 -2.1931 -2.0402 -1.9018 -1.7773 -1.6734 -1.5764
 -1.4699 -1.3480 -1.2242 -1.1087 -1.0037 -0.7818 -0.6103 -0.4803 -0.3814 -0.3040
 -0.2396 -0.1840 -0.1350 -0.0917
 -2.8320 -2.6370 -2.4511 -2.2724 -2.1073 -1.9570 -1.8196 -1.6932 -1.5774 -1.4716
 -1.3746 -1.2788 -1.1762 -1.0706 -0.9691 -0.7554 -0.5923 -0.4710 -0.3810 -0.3123
 -0.2547 -0.2044 -0.1595 -0.1186 -0.0795 -0.0439 -0.0142  0.0078  0.0207  0.0238
 -2.7185 -2.5346 -2.3619 -2.1962 -2.0380 -1.8920 -1.7578 -1.6342 -1.5204 -1.4142
 -1.3145 -1.2204 -1.1298 -1.0390 -0.9476 -0.7394 -0.5799 -0.4621 -0.3780 -0.3164
 -0.2664 -0.2224 -0.1826 -0.1458 -0.1114 -0.0778 -0.0471 -0.0221 -0.0050  0.0025
 -0.0008
 -2.6263 -2.4485 -2.2830 -2.1270 -1.9783 -1.8373 -1.7065 -1.5861 -1.4753 -1.3723
 -1.2755 -1.1834 -1.0951 -1.0101 -0.9270 -0.7324 -0.5733 -0.4559 -0.3731 -0.3155
 -0.2720 -0.2352 -0.2017 -0.1702 -0.1405 -0.1118 -0.0828 -0.0563 -0.0358 -0.0240
 -0.0225
 -2.5548 -2.3791 -2.2162 -2.0612 -1.9213 -1.7873 -1.6603 -1.5424 -1.4342 -1.3340
 -1.2403 -1.1520 -1.0675 -0.9860 -0.9069 -0.7238 -0.5696 -0.4516 -0.3671 -0.3102
 -0.2708 -0.2404 -0.2140 -0.1893 -0.1654 -0.1417 -0.1185 -0.0961 -0.0770 -0.0614
 -0.0491
 -2.5034 -2.3268 -2.1635 -2.0121 -1.8718 -1.7416 -1.6201 -1.5051 -1.3982 -1.3001
 -1.2091 -1.1239 -1.0431 -0.9651 -0.8900 -0.7164 -0.5674 -0.4500 -0.3638 -0.3049
 -0.2658 -0.2391 -0.2188 -0.2013 -0.1844 -0.1671 -0.1495 -0.1317 -0.1143 -0.0983
 -0.0835
 -2.4674 -2.2875 -2.1220 -1.9696 -1.8291 -1.6996 -1.5801 -1.4693 -1.3648 -1.2675
 -1.1781 -1.0953 -1.0176 -0.9439 -0.8732 -0.7079 -0.5639 -0.4480 -0.3613 -0.3001
 -0.2596 -0.2335 -0.2167 -0.2050 -0.1951 -0.1850 -0.1743 -0.1625 -0.1501 -0.1377
 -0.1263
 -2.4291 -2.2424 -2.0745 -1.9226 -1.7843 -1.6574 -1.5401 -1.4309 -1.3293 -1.2348
 -1.1470 -1.0656 -0.9902 -0.9194 -0.8523 -0.6968 -0.5586 -0.4450 -0.3581
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F555W
 -3.9340 -3.8241 -3.6708 -3.4022 -3.1014 -2.8154 -2.5714 -2.3638 -2.1732 -1.9934
 -1.8245 -1.6690 -1.5266 -1.3957 -1.2744 -1.0102 -0.7699 -0.5573 -0.3973
 -3.5689 -3.3317 -3.1957 -3.1086 -2.9177 -2.6621 -2.4151 -2.2031 -2.0154 -1.8397
 -1.6755 -1.5249 -1.3881 -1.2641 -1.1509 -0.9042 -0.6950 -0.5195 -0.3806 -0.2731
 -3.3688 -3.1020 -2.8831 -2.7184 -2.6238 -2.5098 -2.3096 -2.0948 -1.9055 -1.7350
 -1.5754 -1.4287 -1.2957 -1.1757 -1.0674 -0.8365 -0.6480 -0.4939 -0.3716 -0.2758
 -0.1984
 -3.2334 -2.9696 -2.7361 -2.5301 -2.3599 -2.2346 -2.1420 -2.0114 -1.8344 -1.6655
 -1.5098 -1.3668 -1.2367 -1.1194 -1.0138 -0.7923 -0.6166 -0.4771 -0.3678 -0.2816
 -0.2111 -0.1510
 -3.1331 -2.8796 -2.6470 -2.4402 -2.2575 -2.0936 -1.9529 -1.8389 -1.7406 -1.6144
 -1.4694 -1.3284 -1.2003 -1.0850 -0.9811 -0.7645 -0.5964 -0.4661 -0.3664 -0.2886
 -0.2247 -0.1696 -0.1211 -0.0787
 -3.0655 -2.8138 -2.5866 -2.3790 -2.1938 -2.0279 -1.8757 -1.7366 -1.6156 -1.5157
 -1.4168 -1.3017 -1.1799 -1.0649 -0.9617 -0.7476 -0.5832 -0.4582 -0.3650 -0.2946
 -0.2375 -0.1880 -0.1437 -0.1036 -0.0659 -0.0321 -0.0040  0.0170  0.0296  0.0326
 -3.0102 -2.7648 -2.5438 -2.3378 -2.1509 -1.9842 -1.8334 -1.6941 -1.5648 -1.4481
 -1.3446 -1.2512 -1.1554 -1.0536 -0.9525 -0.7378 -0.5745 -0.4518 -0.3621 -0.2972
 -0.2470 -0.2039 -0.1650 -0.1292 -0.0958 -0.0632 -0.0338 -0.0103  0.0051  0.0110
  0.0080
 -2.9714 -2.7291 -2.5137 -2.3107 -2.1232 -1.9535 -1.8023 -1.6651 -1.5383 -1.4199
 -1.3109 -1.2109 -1.1195 -1.0323 -0.9442 -0.7339 -0.5689 -0.4463 -0.3578 -0.2959
 -0.2514 -0.2151 -0.1825 -0.1522 -0.1234 -0.0938 -0.0656 -0.0415 -0.0237 -0.0140
 -0.0134
 -2.9527 -2.7074 -2.4920 -2.2921 -2.1052 -1.9331 -1.7785 -1.6402 -1.5150 -1.3993
 -1.2914 -1.1907 -1.0969 -1.0097 -0.9274 -0.7324 -0.5656 -0.4410 -0.3518 -0.2905
 -0.2493 -0.2192 -0.1937 -0.1700 -0.1471 -0.1246 -0.1028 -0.0833 -0.0664 -0.0518
 -0.0393
 -2.9568 -2.7013 -2.4822 -2.2856 -2.0999 -1.9270 -1.7681 -1.6254 -1.4982 -1.3831
 -1.2772 -1.1785 -1.0857 -0.9986 -0.9166 -0.7304 -0.5680 -0.4399 -0.3479 -0.2849
 -0.2440 -0.2172 -0.1977 -0.1811 -0.1651 -0.1490 -0.1327 -0.1163 -0.1005 -0.0861
 -0.0727
 -2.9789 -2.7111 -2.4855 -2.2872 -2.1020 -1.9294 -1.7686 -1.6208 -1.4882 -1.3701
 -1.2637 -1.1662 -1.0755 -0.9900 -0.9092 -0.7267 -0.5692 -0.4409 -0.3457 -0.2798
 -0.2372 -0.2110 -0.1950 -0.1841 -0.1751 -0.1662 -0.1567 -0.1462 -0.1352 -0.1242
 -0.1143
 -3.0128 -2.7368 -2.5019 -2.2956 -2.1097 -1.9373 -1.7759 -1.6259 -1.4879 -1.3637
 -1.2532 -1.1542 -1.0639 -0.9801 -0.9013 -0.7228 -0.5688 -0.4417 -0.3444
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F555W
 -4.1212 -3.8961 -3.5444 -3.1936 -2.8661 -2.5858 -2.3661 -2.1721 -1.9914 -1.8239
 -1.6669 -1.5218 -1.3896 -1.2695 -1.1601 -0.9230 -0.7193 -0.5395 -0.3878
 -3.6247 -3.5112 -3.3801 -3.0933 -2.7836 -2.4980 -2.2592 -2.0608 -1.8806 -1.7148
 -1.5599 -1.4172 -1.2876 -1.1711 -1.0660 -0.8436 -0.6592 -0.5015 -0.3689 -0.2619
 -3.4250 -3.1658 -3.0163 -2.9340 -2.7254 -2.4544 -2.2027 -1.9918 -1.8110 -1.6472
 -1.4946 -1.3538 -1.2258 -1.1107 -1.0076 -0.7927 -0.6197 -0.4762 -0.3577 -0.2619
 -0.1840
 -3.3337 -3.0416 -2.8034 -2.6269 -2.5234 -2.4010 -2.1832 -1.9606 -1.7707 -1.6072
 -1.4570 -1.3179 -1.1909 -1.0764 -0.9738 -0.7620 -0.5953 -0.4606 -0.3519 -0.2648
 -0.1939 -0.1338
 -3.2849 -2.9872 -2.7282 -2.5076 -2.3251 -2.1836 -2.0821 -1.9436 -1.7581 -1.5859
