 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  i   
 -1.0588 -1.0349 -1.2190 -1.2122 -1.1183 -0.9677 -0.7900 -0.6701 -0.5669 -0.4574
 -0.3517 -0.2505 -0.1566 -0.0712  0.0019  0.1550  0.2160  0.2191  0.2389
 -1.0477 -0.9534 -0.8767 -0.8330 -0.8229 -0.7868 -0.7006 -0.5970 -0.4967 -0.3993
 -0.3046 -0.2149 -0.1326 -0.0593  0.0043  0.1235  0.1923  0.2217  0.2273  0.2190
 -0.9073 -0.8207 -0.7367 -0.6621 -0.6035 -0.5745 -0.5597 -0.5165 -0.4435 -0.3580
 -0.2737 -0.1926 -0.1175 -0.0507  0.0073  0.1158  0.1787  0.2045  0.2080  0.1996
  0.1835
 -0.7818 -0.7129 -0.6385 -0.5642 -0.4956 -0.4363 -0.3924 -0.3697 -0.3473 -0.3041
 -0.2418 -0.1729 -0.1059 -0.0449  0.0082  0.1084  0.1671  0.1904  0.1919  0.1828
  0.1674  0.1469
 -0.6568 -0.6090 -0.5513 -0.4873 -0.4225 -0.3615 -0.3069 -0.2604 -0.2276 -0.2021
 -0.1743 -0.1350 -0.0868 -0.0358  0.0118  0.1040  0.1594  0.1806  0.1800  0.1690
  0.1530  0.1330  0.1093  0.0815
 -0.5316 -0.4998 -0.4611 -0.4128 -0.3587 -0.3029 -0.2498 -0.2013 -0.1578 -0.1204
 -0.0908 -0.0657 -0.0385 -0.0073  0.0261  0.1047  0.1567  0.1765  0.1738  0.1592
  0.1410  0.1201  0.0965  0.0702  0.0408  0.0077 -0.0293 -0.0705 -0.1162 -0.1663
 -0.4100 -0.3884 -0.3647 -0.3312 -0.2913 -0.2462 -0.1993 -0.1538 -0.1119 -0.0733
 -0.0385 -0.0086  0.0162  0.0384  0.0606  0.1151  0.1599  0.1800  0.1746  0.1556
  0.1330  0.1095  0.0846  0.0581  0.0298  0.0006 -0.0314 -0.0681 -0.1112 -0.1607
 -0.2126
 -0.2958 -0.2796 -0.2637 -0.2420 -0.2149 -0.1830 -0.1465 -0.1077 -0.0698 -0.0344
 -0.0018  0.0279  0.0544  0.0769  0.0965  0.1377  0.1701  0.1875  0.1818  0.1594
  0.1314  0.1032  0.0752  0.0469  0.0179 -0.0120 -0.0424 -0.0752 -0.1125 -0.1559
 -0.2065
 -0.1928 -0.1786 -0.1648 -0.1486 -0.1308 -0.1095 -0.0847 -0.0561 -0.0253  0.0054
  0.0341  0.0603  0.0842  0.1058  0.1250  0.1624  0.1869  0.1988  0.1934  0.1695
  0.1370  0.1030  0.0701  0.0382  0.0068 -0.0244 -0.0560 -0.0885 -0.1238 -0.1620
 -0.2029
 -0.1048 -0.0904 -0.0758 -0.0609 -0.0458 -0.0306 -0.0147  0.0038  0.0248  0.0483
  0.0719  0.0939  0.1139  0.1323  0.1491  0.1831  0.2047  0.2130  0.2069  0.1839
  0.1496  0.1111  0.0726  0.0356  0.0002 -0.0338 -0.0673 -0.1005 -0.1340 -0.1689
 -0.2059
 -0.0334 -0.0139  0.0038  0.0199  0.0345  0.0478  0.0598  0.0711  0.0835  0.0980
  0.1146  0.1314  0.1471  0.1612  0.1740  0.2016  0.2210  0.2273  0.2198  0.1986
  0.1651  0.1249  0.0823  0.0400 -0.0005 -0.0389 -0.0757 -0.1112 -0.1460 -0.1808
 -0.2165
  0.0268  0.0715  0.1000  0.1167  0.1259  0.1312  0.1354  0.1406  0.1471  0.1549
  0.1638  0.1738  0.1844  0.1942  0.2030  0.2213  0.2359  0.2410  0.2328
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  i   
 -1.3567 -1.3481 -1.3021 -1.1715 -1.0129 -0.8576 -0.7252 -0.6155 -0.5160 -0.4211
 -0.3305 -0.2441 -0.1624 -0.0860 -0.0164  0.1284  0.2117  0.2444  0.2565
 -1.1528 -1.0638 -1.0282 -1.0200 -0.9399 -0.8107 -0.6810 -0.5708 -0.4752 -0.3860
 -0.3012 -0.2205 -0.1442 -0.0736 -0.0097  0.1155  0.1931  0.2299  0.2382  0.2306
 -1.0294 -0.9273 -0.8386 -0.7766 -0.7594 -0.7309 -0.6434 -0.5385 -0.4449 -0.3608
 -0.2816 -0.2061 -0.1348 -0.0689 -0.0094  0.1063  0.1782  0.2131  0.2203  0.2125
  0.1963
 -0.9269 -0.8351 -0.7429 -0.6552 -0.5844 -0.5426 -0.5263 -0.4889 -0.4161 -0.3383
 -0.2646 -0.1943 -0.1277 -0.0659 -0.0102  0.0979  0.1655  0.1991  0.2059  0.1975
  0.1816  0.1605
 -0.8283 -0.7525 -0.6708 -0.5882 -0.5104 -0.4404 -0.3855 -0.3511 -0.3320 -0.2965
 -0.2417 -0.1800 -0.1188 -0.0613 -0.0090  0.0926  0.1565  0.1890  0.1952  0.1855
  0.1688  0.1479  0.1233  0.0938
 -0.7309 -0.6681 -0.6009 -0.5288 -0.4556 -0.3858 -0.3214 -0.2649 -0.2216 -0.1947
 -0.1727 -0.1417 -0.0994 -0.0511 -0.0036  0.0915  0.1520  0.1834  0.1891  0.1774
  0.1585  0.1364  0.1118  0.0843  0.0544  0.0212 -0.0164 -0.0595 -0.1079 -0.1592
 -0.6284 -0.5783 -0.5248 -0.4668 -0.4041 -0.3403 -0.2786 -0.2210 -0.1689 -0.1246
 -0.0903 -0.0656 -0.0429 -0.0163  0.0150  0.0956  0.1523  0.1826  0.1880  0.1744
  0.1520  0.1272  0.1010  0.0733  0.0437  0.0124 -0.0218 -0.0600 -0.1032 -0.1519
 -0.2058
 -0.5301 -0.4836 -0.4428 -0.3961 -0.3465 -0.2929 -0.2381 -0.1845 -0.1340 -0.0876
 -0.0463 -0.0114  0.0162  0.0381  0.0583  0.1102  0.1578  0.1863  0.1918  0.1771
