 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  r   
 -2.3133 -2.2625 -2.4616 -2.3946 -2.2096 -1.9752 -1.7245 -1.5518 -1.4001 -1.2437
 -1.0987 -0.9654 -0.8451 -0.7357 -0.6361 -0.4293 -0.2518 -0.0936 -0.0257
 -2.3202 -2.1174 -1.9540 -1.8459 -1.7879 -1.6991 -1.5509 -1.3892 -1.2412 -1.1031
 -0.9732 -0.8530 -0.7431 -0.6429 -0.5514 -0.3568 -0.2085 -0.1047 -0.0363  0.0088
 -2.1311 -1.9332 -1.7546 -1.6031 -1.4827 -1.4058 -1.3474 -1.2528 -1.1297 -1.0013
 -0.8832 -0.7744 -0.6746 -0.5835 -0.5006 -0.3263 -0.1964 -0.1063 -0.0465 -0.0060
  0.0219
 -1.9804 -1.8015 -1.6293 -1.4728 -1.3365 -1.2213 -1.1301 -1.0667 -1.0036 -0.9172
 -0.8158 -0.7166 -0.6259 -0.5429 -0.4669 -0.3069 -0.1890 -0.1093 -0.0566 -0.0205
  0.0053  0.0235
 -1.8498 -1.6930 -1.5357 -1.3849 -1.2478 -1.1272 -1.0230 -0.9341 -0.8660 -0.8070
 -0.7429 -0.6666 -0.5868 -0.5111 -0.4417 -0.2934 -0.1835 -0.1112 -0.0648 -0.0335
 -0.0106  0.0061  0.0177  0.0247
 -1.7353 -1.5950 -1.4562 -1.3165 -1.1840 -1.0635 -0.9576 -0.8656 -0.7865 -0.7191
 -0.6606 -0.6045 -0.5439 -0.4801 -0.4177 -0.2816 -0.1778 -0.1099 -0.0686 -0.0432
 -0.0246 -0.0106 -0.0006  0.0061  0.0100  0.0102  0.0054 -0.0052 -0.0224 -0.0464
 -1.6380 -1.5075 -1.3824 -1.2565 -1.1320 -1.0150 -0.9091 -0.8162 -0.7367 -0.6679
 -0.6066 -0.5502 -0.4971 -0.4444 -0.3912 -0.2679 -0.1704 -0.1036 -0.0665 -0.0470
 -0.0343 -0.0247 -0.0178 -0.0131 -0.0105 -0.0081 -0.0085 -0.0148 -0.0293 -0.0527
 -0.0810
 -1.5585 -1.4327 -1.3142 -1.1988 -1.0847 -0.9738 -0.8701 -0.7767 -0.6960 -0.6272
 -0.5674 -0.5128 -0.4608 -0.4113 -0.3633 -0.2521 -0.1610 -0.0959 -0.0594 -0.0438
 -0.0374 -0.0339 -0.0316 -0.0304 -0.0304 -0.0313 -0.0319 -0.0349 -0.0436 -0.0604
 -0.0870
 -1.4978 -1.3726 -1.2553 -1.1412 -1.0366 -0.9337 -0.8346 -0.7424 -0.6604 -0.5900
 -0.5302 -0.4779 -0.4296 -0.3830 -0.3377 -0.2342 -0.1492 -0.0868 -0.0492 -0.0347
 -0.0329 -0.0359 -0.0398 -0.0438 -0.0479 -0.0519 -0.0563 -0.0615 -0.0697 -0.0812
 -0.0956
 -1.4568 -1.3291 -1.2097 -1.0979 -0.9930 -0.8945 -0.8015 -0.7127 -0.6308 -0.5584
 -0.4966 -0.4442 -0.3983 -0.3549 -0.3133 -0.2180 -0.1374 -0.0775 -0.0394 -0.0232
 -0.0226 -0.0300 -0.0401 -0.0505 -0.0602 -0.0689 -0.0771 -0.0849 -0.0930 -0.1024
 -0.1128
 -1.4310 -1.2980 -1.1750 -1.0612 -0.9558 -0.8580 -0.7674 -0.6829 -0.6032 -0.5303
 -0.4662 -0.4118 -0.3657 -0.3255 -0.2884 -0.2014 -0.1253 -0.0677 -0.0304 -0.0121
 -0.0102 -0.0188 -0.0330 -0.0492 -0.0652 -0.0798 -0.0932 -0.1054 -0.1167 -0.1279
 -0.1400
 -1.4000 -1.2554 -1.1287 -1.0164 -0.9151 -0.8221 -0.7350 -0.6524 -0.5749 -0.5035
 -0.4390 -0.3823 -0.3343 -0.2938 -0.2588 -0.1820 -0.1127 -0.0576 -0.0209
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  r   
