 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  B   
 -6.3970 -6.1793 -6.3330 -6.2501 -6.0325 -5.6708 -5.1946 -4.9040 -4.6179 -4.3210
 -4.0390 -3.7774 -3.5341 -3.3009 -3.0747 -2.5643 -2.0303 -1.5285 -1.1679
 -6.2172 -5.8478 -5.5577 -5.3602 -5.2373 -5.0790 -4.8329 -4.5419 -4.2491 -3.9616
 -3.6860 -3.4287 -3.1901 -2.9671 -2.7561 -2.2640 -1.8111 -1.4227 -1.1220 -0.8914
 -5.8722 -5.5039 -5.1836 -4.9182 -4.7025 -4.5458 -4.4126 -4.2214 -3.9717 -3.6983
 -3.4303 -3.1768 -2.9430 -2.7280 -2.5290 -2.0844 -1.6899 -1.3471 -1.0769 -0.8690
 -0.7029
 -5.5890 -5.2506 -4.9353 -4.6575 -4.4142 -4.1959 -4.0045 -3.8478 -3.6828 -3.4713
 -3.2313 -2.9908 -2.7629 -2.5532 -2.3618 -1.9495 -1.5996 -1.2976 -1.0505 -0.8605
 -0.7085 -0.5803
 -5.3331 -5.0359 -4.7443 -4.4729 -4.2281 -4.0029 -3.7894 -3.5878 -3.4095 -3.2386
 -3.0547 -2.8488 -2.6380 -2.4359 -2.2494 -1.8566 -1.5368 -1.2634 -1.0379 -0.8618
 -0.7212 -0.6027 -0.4985 -0.4050
 -5.0960 -4.8358 -4.5783 -4.3249 -4.0877 -3.8677 -3.6582 -3.4541 -3.2565 -3.0687
 -2.8946 -2.7240 -2.5448 -2.3609 -2.1824 -1.7994 -1.4976 -1.2442 -1.0346 -0.8688
 -0.7374 -0.6276 -0.5311 -0.4437 -0.3593 -0.2795 -0.2075 -0.1457 -0.0961 -0.0597
 -4.8779 -4.6483 -4.4220 -4.1942 -3.9704 -3.7593 -3.5586 -3.3638 -3.1721 -2.9828
 -2.8005 -2.6291 -2.4660 -2.3046 -2.1432 -1.7717 -1.4772 -1.2374 -1.0375 -0.8784
 -0.7539 -0.6518 -0.5631 -0.4826 -0.4080 -0.3383 -0.2735 -0.2137 -0.1588 -0.1121
 -0.0853
 -4.6791 -4.4746 -4.2727 -4.0701 -3.8663 -3.6654 -3.4733 -3.2893 -3.1091 -2.9294
 -2.7515 -2.5791 -2.4155 -2.2609 -2.1122 -1.7642 -1.4717 -1.2382 -1.0447 -0.8889
 -0.7683 -0.6726 -0.5914 -0.5184 -0.4509 -0.3872 -0.3261 -0.2692 -0.2183 -0.1750
 -0.1401
 -4.4997 -4.3157 -4.1328 -3.9472 -3.7647 -3.5800 -3.3969 -3.2199 -3.0500 -2.8824
 -2.7146 -2.5482 -2.3870 -2.2334 -2.0878 -1.7573 -1.4733 -1.2415 -1.0526 -0.8983
 -0.7789 -0.6872 -0.6126 -0.5476 -0.4879 -0.4314 -0.3780 -0.3274 -0.2810 -0.2390
 -0.2009
 -4.3400 -4.1729 -4.0050 -3.8367 -3.6681 -3.4996 -3.3310 -3.1626 -2.9985 -2.8400
 -2.6840 -2.5281 -2.3733 -2.2236 -2.0806 -1.7555 -1.4798 -1.2505 -1.0635 -0.9106
 -0.7903 -0.6990 -0.6285 -0.5703 -0.5186 -0.4703 -0.4244 -0.3805 -0.3387 -0.2997
 -0.2638
 -4.1967 -4.0400 -3.8835 -3.7272 -3.5714 -3.4161 -3.2616 -3.1073 -2.9522 -2.7996
 -2.6511 -2.5054 -2.3604 -2.2167 -2.0765 -1.7562 -1.4854 -1.2589 -1.0728 -0.9216
 -0.8008 -0.7085 -0.6390 -0.5851 -0.5402 -0.5001 -0.4626 -0.4265 -0.3918 -0.3586
 -0.3277
 -4.0559 -3.8893 -3.7360 -3.5918 -3.4530 -3.3163 -3.1791 -3.0397 -2.8989 -2.7578
 -2.6173 -2.4784 -2.3420 -2.2070 -2.0733 -1.7591 -1.4898 -1.2662 -1.0814
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  B   
 -6.6992 -6.5225 -6.3093 -5.9724 -5.5826 -5.1868 -4.8348 -4.5335 -4.2544 -3.9883
 -3.7342 -3.4972 -3.2780 -3.0732 -2.8791 -2.4332 -1.9924 -1.5698 -1.2227
 -6.1724 -5.8354 -5.6397 -5.5127 -5.2721 -4.9400 -4.5935 -4.2782 -3.9935 -3.7240
 -3.4676 -3.2294 -3.0113 -2.8113 -2.6252 -2.2022 -1.8146 -1.4581 -1.1554 -0.9155
 -5.8692 -5.4927 -5.1905 -4.9674 -4.8326 -4.6753 -4.4060 -4.0984 -3.8075 -3.5374
 -3.2796 -3.0395 -2.8203 -2.6213 -2.4392 -2.0391 -1.6910 -1.3781 -1.1079 -0.8902
 -0.7162
 -5.6519 -5.2846 -4.9616 -4.6825 -4.4527 -4.2772 -4.1369 -3.9426 -3.6790 -3.4129
 -3.1574 -2.9160 -2.6946 -2.4943 -2.3130 -1.9254 -1.6033 -1.3229 -1.0791 -0.8792
 -0.7186 -0.5851
 -5.4739 -5.1328 -4.8145 -4.5325 -4.2848 -4.0593 -3.8572 -3.6827 -3.5214 -3.3153
 -3.0793 -2.8435 -2.6216 -2.4189 -2.2359 -1.8523 -1.5456 -1.2873 -1.0642 -0.8784
 -0.7285 -0.6044 -0.4969 -0.3998
 -5.3266 -5.0063 -4.7053 -4.4249 -4.1738 -3.9465 -3.7309 -3.5236 -3.3328 -3.1639
 -2.9901 -2.7913 -2.5827 -2.3821 -2.1971 -1.8109 -1.5112 -1.2665 -1.0583 -0.8840
 -0.7428 -0.6266 -0.5268 -0.4377 -0.3557 -0.2801 -0.2109 -0.1480 -0.0929 -0.0529
 -5.1840 -4.8921 -4.6139 -4.3437 -4.0928 -3.8659 -3.6555 -3.4518 -3.2515 -3.0599
 -2.8812 -2.7141 -2.5428 -2.3633 -2.1846 -1.7939 -1.4944 -1.2566 -1.0583 -0.8923
 -0.7581 -0.6490 -0.5566 -0.4743 -0.3990 -0.3274 -0.2609 -0.2015 -0.1508 -0.1097
 -0.0778
 -5.0498 -4.7836 -4.5305 -4.2769 -4.0318 -3.8036 -3.5956 -3.4001 -3.2089 -3.0188
 -2.8329 -2.6556 -2.4910 -2.3336 -2.1756 -1.7968 -1.4910 -1.2548 -1.0622 -0.9019
 -0.7724 -0.6689 -0.5833 -0.5084 -0.4400 -0.3749 -0.3139 -0.2581 -0.2087 -0.1665
 -0.1318
 -4.9286 -4.6809 -4.4470 -4.2129 -3.9801 -3.7548 -3.5451 -3.3519 -3.1694 -2.9901
 -2.8109 -2.6336 -2.4635 -2.3045 -2.1551 -1.8035 -1.4971 -1.2572 -1.0668 -0.9100
 -0.7831 -0.6836 -0.6039 -0.5364 -0.4755 -0.4189 -0.3659 -0.3169 -0.2719 -0.2304
 -0.1922
 -4.8249 -4.5854 -4.3642 -4.1518 -3.9359 -3.7212 -3.5126 -3.3170 -3.1362 -2.9650
 -2.7970 -2.6289 -2.4618 -2.3008 -2.1492 -1.8098 -1.5132 -1.2686 -1.0764 -0.9209
 -0.7948 -0.6962 -0.6200 -0.5586 -0.5054 -0.4566 -0.4110 -0.3677 -0.3269 -0.2890
 -0.2542
 -4.7380 -4.4974 -4.2828 -4.0843 -3.8848 -3.6868 -3.4887 -3.2949 -3.1115 -2.9407
 -2.7792 -2.6215 -2.4642 -2.3079 -2.1563 -1.8158 -1.5268 -1.2834 -1.0876 -0.9316
 -0.8056 -0.7065 -0.6312 -0.5736 -0.5268 -0.4859 -0.4484 -0.4128 -0.3788 -0.3467
 -0.3169
 -4.6624 -4.4170 -4.2029 -4.0076 -3.8229 -3.6411 -3.4583 -3.2760 -3.0966 -2.9242
 -2.7624 -2.6094 -2.4610 -2.3140 -2.1681 -1.8276 -1.5387 -1.2976 -1.0998
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  B   
 -6.8467 -6.5498 -6.1107 -5.6511 -5.2008 -4.8069 -4.4972 -4.2217 -3.9618 -3.7201
 -3.4909 -3.2761 -3.0775 -2.8946 -2.7244 -2.3345 -1.9661 -1.6082 -1.2807
 -6.1633 -5.9921 -5.8172 -5.4674 -5.0652 -4.6685 -4.3238 -4.0335 -3.7669 -3.5204
 -3.2869 -3.0687 -2.8682 -2.6853 -2.5175 -2.1445 -1.8083 -1.4937 -1.2052 -0.9578
 -5.8665 -5.5141 -5.3117 -5.1977 -4.9404 -4.5875 -4.2324 -3.9183 -3.6438 -3.3930
 -3.1565 -2.9348 -2.7306 -2.5451 -2.3765 -2.0110 -1.6951 -1.4108 -1.1532 -0.9287
 -0.7431
 -5.7134 -5.3211 -5.0059 -4.7776 -4.6390 -4.4755 -4.1856 -3.8684 -3.5782 -3.3209
 -3.0822 -2.8574 -2.6491 -2.4594 -2.2878 -1.9227 -1.6184 -1.3540 -1.1195 -0.9135
 -0.7410 -0.5983
 -5.6104 -5.2214 -4.8804 -4.5918 -4.3567 -4.1702 -4.0256 -3.8267 -3.5572 -3.2904
 -3.0492 -2.8222 -2.6099 -2.4152 -2.2390 -1.8687 -1.5693 -1.3173 -1.0991 -0.9082
 -0.7466 -0.6128 -0.4995 -0.4010
 -5.5333 -5.1592 -4.8124 -4.5063 -4.2409 -4.0102 -3.8083 -3.6329 -3.4740 -3.2732
 -3.0415 -2.8164 -2.6019 -2.4024 -2.2206 -1.8404 -1.5404 -1.2954 -1.0882 -0.9092
 -0.7571 -0.6311 -0.5250 -0.4325 -0.3500 -0.2749 -0.2052 -0.1390 -0.0799 -0.0431
 -5.4718 -5.1167 -4.7762 -4.4633 -4.1864 -3.9446 -3.7258 -3.5202 -3.3300 -3.1610
 -2.9967 -2.8108 -2.6098 -2.4115 -2.2254 -1.8323 -1.5269 -1.2841 -1.0838 -0.9137
 -0.7696 -0.6504 -0.5511 -0.4653 -0.3884 -0.3182 -0.2539 -0.1946 -0.1399 -0.0928
 -0.0662
 -5.4151 -5.0840 -4.7563 -4.4445 -4.1593 -3.9063 -3.6824 -3.4759 -3.2782 -3.0889
 -2.9132 -2.7509 -2.5894 -2.4182 -2.2419 -1.8408 -1.5259 -1.2811 -1.0840 -0.9198
 -0.7821 -0.6687 -0.5755 -0.4965 -0.4262 -0.3620 -0.3018 -0.2463 -0.1968 -0.1542
 -0.1190
 -5.3640 -5.0499 -4.7403 -4.4367 -4.1491 -3.8873 -3.6546 -3.4459 -3.2518 -3.0638
 -2.8814 -2.7075 -2.5436 -2.3891 -2.2370 -1.8586 -1.5334 -1.2828 -1.0859 -0.9251
 -0.7918 -0.6828 -0.5950 -0.5224 -0.4592 -0.4019 -0.3492 -0.3009 -0.2567 -0.2162
 -0.1792
 -5.3219 -5.0208 -4.7268 -4.4389 -4.1571 -3.8910 -3.6487 -3.4320 -3.2366 -3.0537
 -2.8764 -2.7028 -2.5341 -2.3733 -2.2230 -1.8757 -1.5563 -1.2954 -1.0945 -0.9341
 -0.8027 -0.6960 -0.6114 -0.5440 -0.4876 -0.4377 -0.3922 -0.3496 -0.3099 -0.2735
 -0.2409
 -5.2909 -4.9803 -4.7027 -4.4338 -4.1680 -3.9071 -3.6601 -3.4339 -3.2306 -3.0462
 -2.8736 -2.7066 -2.5420 -2.3805 -2.2257 -1.8820 -1.5799 -1.3164 -1.1076 -0.9445
 -0.8132 -0.7071 -0.6238 -0.5595 -0.5087 -0.4659 -0.4280 -0.3928 -0.3599 -0.3291
 -0.3009
 -5.2749 -4.9475 -4.6691 -4.4148 -4.1654 -3.9197 -3.6804 -3.4509 -3.2388 -3.0466
 -2.8717 -2.7084 -2.5508 -2.3956 -2.2425 -1.8921 -1.5963 -1.3396 -1.1255
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  B   
 -6.8624 -6.4450 -5.9458 -5.4741 -5.0355 -4.6560 -4.3528 -4.0878 -3.8421 -3.6102
 -3.3923 -3.1877 -2.9981 -2.8237 -2.6624 -2.2973 -1.9573 -1.6263 -1.3109
 -6.2397 -6.1080 -5.7853 -5.3601 -4.9390 -4.5417 -4.2106 -3.9299 -3.6756 -3.4392
 -3.2168 -3.0086 -2.8163 -2.6406 -2.4797 -2.1255 -1.8088 -1.5116 -1.2342 -0.9867
 -5.8642 -5.5747 -5.4634 -5.2452 -4.8809 -4.5013 -4.1431 -3.8399 -3.5762 -3.3348
 -3.1090 -2.8971 -2.7010 -2.5218 -2.3588 -2.0072 -1.7042 -1.4298 -1.1795 -0.9550
 -0.7637
 -5.7301 -5.3351 -5.0522 -4.8991 -4.7645 -4.4743 -4.1338 -3.8090 -3.5285 -3.2799
 -3.0512 -2.8360 -2.6357 -2.4519 -2.2849 -1.9299 -1.6335 -1.3739 -1.1429 -0.9367
 -0.7588 -0.6101
 -5.6621 -5.2497 -4.9002 -4.6284 -4.4305 -4.2953 -4.1057 -3.8184 -3.5253 -3.2630
 -3.0298 -2.8118 -2.6074 -2.4186 -2.2464 -1.8833 -1.5883 -1.3374 -1.1197 -0.9279
 -0.7616 -0.6217 -0.5039 -0.4022
 -5.6248 -5.2155 -4.8471 -4.5325 -4.2745 -4.0595 -3.8836 -3.7318 -3.5293 -3.2767
 -3.0348 -2.8143 -2.6065 -2.4128 -2.2348 -1.8599 -1.5617 -1.3151 -1.1064 -0.9256
 -0.7693 -0.6374 -0.5266 -0.4312 -0.3467 -0.2699 -0.1987 -0.1339 -0.0780 -0.0374
 -5.6059 -5.2075 -4.8350 -4.5017 -4.2155 -3.9723 -3.7585 -3.5646 -3.3945 -3.2338
 -3.0421 -2.8315 -2.6248 -2.4279 -2.2444 -1.8550 -1.5495 -1.3035 -1.0999 -0.9274
 -0.7795 -0.6546 -0.5504 -0.4615 -0.3830 -0.3120 -0.2479 -0.1886 -0.1333 -0.0858
 -0.0588
 -5.5924 -5.2136 -4.8457 -4.5045 -4.2004 -3.9380 -3.7103 -3.5041 -3.3108 -3.1306
 -2.9670 -2.8079 -2.6350 -2.4512 -2.2691 -1.8660 -1.5496 -1.3002 -1.0990 -0.9316
 -0.7902 -0.6714 -0.5731 -0.4905 -0.4185 -0.3536 -0.2934 -0.2384 -0.1892 -0.1465
 -0.1106
 -5.5817 -5.2190 -4.8641 -4.5236 -4.2098 -3.9312 -3.6887 -3.4753 -3.2793 -3.0923
 -2.9143 -2.7482 -2.5924 -2.4392 -2.2806 -1.8873 -1.5583 -1.3021 -1.1002 -0.9355
 -0.7987 -0.6848 -0.5917 -0.5151 -0.4499 -0.3917 -0.3389 -0.2903 -0.2457 -0.2059
 -0.1708
 -5.5737 -5.2244 -4.8882 -4.5578 -4.2421 -3.9524 -3.6949 -3.4690 -3.2683 -3.0825
 -2.9045 -2.7331 -2.5694 -2.4142 -2.2671 -1.9128 -1.5826 -1.3156 -1.1091 -0.9440
 -0.8090 -0.6980 -0.6082 -0.5364 -0.4773 -0.4262 -0.3803 -0.3380 -0.2990 -0.2634
 -0.2316
 -5.5713 -5.2203 -4.9014 -4.5892 -4.2834 -3.9912 -3.7226 -3.4827 -3.2707 -3.0808
 -2.9048 -2.7363 -2.5725 -2.4137 -2.2618 -1.9210 -1.6113 -1.3384 -1.1232 -0.9549
 -0.8194 -0.7093 -0.6212 -0.5523 -0.4982 -0.4536 -0.4150 -0.3800 -0.3476 -0.3176
 -0.2898
 -5.5832 -5.2127 -4.8983 -4.6053 -4.3175 -4.0350 -3.7651 -3.5152 -3.2904 -3.0900
 -2.9097 -2.7428 -2.5831 -2.4273 -2.2750 -1.9272 -1.6304 -1.3663 -1.1436
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  B   
 -6.8166 -6.2955 -5.7735 -5.3114 -4.9049 -4.5422 -4.2437 -3.9791 -3.7408 -3.5194
 -3.3116 -3.1165 -2.9351 -2.7679 -2.6136 -2.2682 -1.9514 -1.6437 -1.3419
 -6.3811 -6.1318 -5.6997 -5.2426 -4.8244 -4.4446 -4.1242 -3.8486 -3.5994 -3.3737
 -3.1615 -2.9627 -2.7783 -2.6090 -2.4539 -2.1150 -1.8145 -1.5319 -1.2648 -1.0201
 -5.8835 -5.7186 -5.5646 -5.2077 -4.8015 -4.4172 -4.0712 -3.7775 -3.5196 -3.2875
 -3.0718 -2.8694 -2.6813 -2.5083 -2.3503 -2.0105 -1.7187 -1.4528 -1.2081 -0.9853
 -0.7897
 -5.7343 -5.3599 -5.1580 -5.0548 -4.7854 -4.4272 -4.0756 -3.7576 -3.4853 -3.2453
 -3.0261 -2.8203 -2.6281 -2.4506 -2.2883 -1.9424 -1.6537 -1.3983 -1.1692 -0.9634
 -0.7817 -0.6269
 -5.6948 -5.2644 -4.9249 -4.6954 -4.5664 -4.3989 -4.1009 -3.7830 -3.4903 -3.2371
 -3.0124 -2.8034 -2.6074 -2.4251 -2.2575 -1.9016 -1.6116 -1.3622 -1.1437 -0.9510
 -0.7811 -0.6353 -0.5120 -0.4064
 -5.6953 -5.2522 -4.8669 -4.5553 -4.3177 -4.1412 -4.0017 -3.7992 -3.5275 -3.2597
 -3.0228 -2.8102 -2.6106 -2.4238 -2.2506 -1.8820 -1.5868 -1.3397 -1.1282 -0.9452
 -0.7856 -0.6479 -0.5315 -0.4320 -0.3448 -0.2666 -0.1952 -0.1284 -0.0692 -0.0314
 -5.7203 -5.2764 -4.8732 -4.5252 -4.2367 -4.0032 -3.8057 -3.6382 -3.4826 -3.2858
 -3.0535 -2.8344 -2.6320 -2.4412 -2.2629 -1.8796 -1.5758 -1.3277 -1.1203 -0.9442
 -0.7928 -0.6626 -0.5526 -0.4593 -0.3783 -0.3060 -0.2405 -0.1808 -0.1258 -0.0783
 -0.0505
 -5.7532 -5.3211 -4.9127 -4.5438 -4.2253 -3.9587 -3.7347 -3.5357 -3.3543 -3.1904
 -3.0319 -2.8530 -2.6618 -2.4722 -2.2907 -1.8927 -1.5769 -1.3244 -1.1184 -0.9466
 -0.8013 -0.6775 -0.5733 -0.4860 -0.4112 -0.3449 -0.2856 -0.2319 -0.1825 -0.1377
 -0.1013
 -5.7880 -5.3662 -4.9656 -4.5886 -4.2505 -3.9581 -3.7105 -3.4974 -3.3045 -3.1235
 -2.9544 -2.7980 -2.6455 -2.4856 -2.3184 -1.9162 -1.5869 -1.3268 -1.1193 -0.9496
 -0.8083 -0.6896 -0.5906 -0.5089 -0.4404 -0.3807 -0.3275 -0.2791 -0.2350 -0.1954
 -0.1609
 -5.8210 -5.4171 -5.0289 -4.6547 -4.3064 -3.9948 -3.7244 -3.4926 -3.2905 -3.1058
 -2.9309 -2.7647 -2.6087 -2.4606 -2.3160 -1.9500 -1.6124 -1.3414 -1.1287 -0.9580
 -0.8181 -0.7023 -0.6070 -0.5297 -0.4667 -0.4135 -0.3669 -0.3248 -0.2863 -0.2516
 -0.2206
 -5.8520 -5.4525 -5.0831 -4.7234 -4.3771 -4.0554 -3.7670 -3.5152 -3.2969 -3.1046
 -2.9284 -2.7613 -2.6012 -2.4482 -2.3020 -1.9645 -1.6458 -1.3654 -1.1440 -0.9694
 -0.8286 -0.7136 -0.6204 -0.5461 -0.4875 -0.4401 -0.4003 -0.3651 -0.3331 -0.3040
 -0.2765
 -5.8925 -5.4772 -5.1180 -4.7781 -4.4465 -4.1278 -3.8306 -3.5626 -3.3264 -3.1197
 -2.9362 -2.7681 -2.6091 -2.4558 -2.3073 -1.9671 -1.6691 -1.3970 -1.1664
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  B   
 -6.6981 -6.1295 -5.6095 -5.1704 -4.7899 -4.4500 -4.1621 -3.8955 -3.6574 -3.4482
 -3.2493 -3.0625 -2.8886 -2.7278 -2.5792 -2.2491 -1.9507 -1.6615 -1.3766
 -6.3108 -6.0828 -5.5943 -5.1300 -4.7209 -4.3615 -4.0561 -3.7840 -3.5396 -3.3235
 -3.1205 -2.9304 -2.7536 -2.5904 -2.4404 -2.1134 -1.8260 -1.5556 -1.2975 -1.0566
 -5.9761 -5.8749 -5.5666 -5.1415 -4.7214 -4.3384 -4.0104 -3.7255 -3.4742 -3.2512
 -3.0448 -2.8514 -2.6711 -2.5044 -2.3513 -2.0212 -1.7389 -1.4805 -1.2401 -1.0191
 -0.8210
 -5.7354 -5.4291 -5.3310 -5.1160 -4.7497 -4.3700 -4.0187 -3.7132 -3.4495 -3.2172
 -3.0071 -2.8105 -2.6264 -2.4555 -2.2980 -1.9606 -1.6790 -1.4280 -1.1999 -0.9938
 -0.8096 -0.6492
 -5.7058 -5.2730 -4.9729 -4.8291 -4.6988 -4.4038 -4.0651 -3.7425 -3.4595 -3.2141
 -2.9977 -2.7976 -2.6098 -2.4345 -2.2721 -1.9240 -1.6394 -1.3924 -1.1728 -0.9779
 -0.8054 -0.6544 -0.5250 -0.4148
 -5.7393 -5.2669 -4.8774 -4.5882 -4.3982 -4.2751 -4.0830 -3.7952 -3.5029 -3.2396
 -3.0104 -2.8060 -2.6147 -2.4352 -2.2677 -1.9067 -1.6156 -1.3695 -1.1556 -0.9691
 -0.8062 -0.6636 -0.5411 -0.4364 -0.3463 -0.2663 -0.1925 -0.1230 -0.0638 -0.0255
 -5.8076 -5.3176 -4.8895 -4.5353 -4.2599 -4.0504 -3.8886 -3.7434 -3.5414 -3.2896
 -3.0460 -2.8313 -2.6363 -2.4531 -2.2810 -1.9060 -1.6051 -1.3569 -1.1462 -0.9657
 -0.8102 -0.6751 -0.5591 -0.4603 -0.3755 -0.3009 -0.2350 -0.1745 -0.1177 -0.0703
 -0.0419
 -5.8938 -5.4004 -4.9520 -4.5618 -4.2384 -3.9764 -3.7647 -3.5831 -3.4233 -3.2676
 -3.0819 -2.8711 -2.6714 -2.4851 -2.3090 -1.9202 -1.6070 -1.3536 -1.1433 -0.9664
 -0.8161 -0.6875 -0.5773 -0.4842 -0.4053 -0.3366 -0.2761 -0.2209 -0.1711 -0.1277
 -0.0912
 -5.9770 -5.4931 -5.0391 -4.6275 -4.2698 -3.9706 -3.7253 -3.5192 -3.3353 -3.1661
 -3.0096 -2.8568 -2.6916 -2.5182 -2.3445 -1.9450 -1.6182 -1.3563 -1.1439 -0.9684
 -0.8216 -0.6977 -0.5929 -0.5052 -0.4321 -0.3696 -0.3152 -0.2665 -0.2228 -0.1839
 -0.1496
 -6.0579 -5.5888 -5.1429 -4.7247 -4.3457 -4.0164 -3.7387 -3.5068 -3.3086 -3.1293
 -2.9613 -2.8036 -2.6557 -2.5116 -2.3640 -1.9846 -1.6449 -1.3719 -1.1538 -0.9768
 -0.8309 -0.7096 -0.6086 -0.5252 -0.4571 -0.4006 -0.3524 -0.3099 -0.2718 -0.2372
 -0.2076
 -6.1304 -5.6713 -5.2412 -4.8305 -4.4449 -4.0962 -3.7915 -3.5318 -3.3120 -3.1216
 -2.9489 -2.7865 -2.6324 -2.4870 -2.3475 -2.0109 -1.6819 -1.3971 -1.1703 -0.9890
 -0.8418 -0.7211 -0.6221 -0.5418 -0.4777 -0.4264 -0.3843 -0.3483 -0.3165 -0.2881
 -0.2613
 -6.2052 -5.7358 -5.3205 -4.9268 -4.5497 -4.1957 -3.8741 -3.5908 -3.3466 -3.1370
 -2.9540 -2.7882 -2.6325 -2.4841 -2.3417 -2.0127 -1.7114 -1.4313 -1.1942
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  B   
 -6.5440 -5.9663 -5.4664 -5.0535 -4.6865 -4.3630 -4.0907 -3.8365 -3.6005 -3.3978
 -3.2067 -3.0268 -2.8593 -2.7038 -2.5600 -2.2413 -1.9489 -1.6731 -1.4121
 -6.3832 -5.9943 -5.4847 -5.0285 -4.6364 -4.2906 -4.0025 -3.7390 -3.4987 -3.2904
 -3.0953 -2.9125 -2.7423 -2.5846 -2.4389 -2.1211 -1.8440 -1.5838 -1.3338 -1.0962
 -6.1478 -5.9376 -5.5210 -5.0661 -4.6474 -4.2770 -3.9618 -3.6889 -3.4436 -3.2279
 -3.0297 -2.8442 -2.6709 -2.5100 -2.3613 -2.0393 -1.7648 -1.5132 -1.2768 -1.0570
 -0.8575
 -5.8688 -5.5840 -5.4508 -5.1034 -4.6987 -4.3149 -3.9721 -3.6789 -3.4240 -3.1986
 -2.9968 -2.8082 -2.6317 -2.4670 -2.3144 -1.9847 -1.7094 -1.4631 -1.2363 -1.0292
 -0.8427 -0.6776
 -5.7021 -5.2930 -5.0829 -4.9930 -4.7280 -4.3734 -4.0241 -3.7076 -3.4346 -3.1972
