 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  U   
 -9.9927 -9.6790 -9.7237 -9.3751 -9.3115 -8.9149 -8.1725 -7.6812 -7.2833 -6.8768
 -6.4745 -6.0828 -5.7065 -5.3426 -4.9859 -4.1335 -3.1418 -2.2128 -1.6657
 -9.5769 -8.9686 -8.5476 -8.2857 -8.1270 -7.9422 -7.6621 -7.2841 -6.8632 -6.4496
 -6.0310 -5.6209 -5.2287 -4.8546 -4.4918 -3.5934 -2.7149 -2.0100 -1.5251 -1.1895
 -9.0786 -8.4420 -7.9621 -7.6135 -7.3529 -7.1664 -7.0112 -6.8022 -6.5051 -6.1361
 -5.7190 -5.2831 -4.8647 -4.4721 -4.1030 -3.2453 -2.4522 -1.8072 -1.3642 -1.0647
 -0.8546
 -8.7388 -8.0995 -7.5850 -7.1921 -6.8832 -6.6134 -6.3715 -6.1732 -5.9819 -5.7402
 -5.4172 -5.0172 -4.5851 -4.1730 -3.7957 -2.9703 -2.2499 -1.6654 -1.2401 -0.9658
 -0.7778 -0.6438
 -8.5125 -7.8739 -7.3386 -6.9086 -6.5680 -6.2760 -5.9937 -5.7126 -5.4595 -5.2283
 -4.9950 -4.7104 -4.3593 -3.9677 -3.5850 -2.7784 -2.1109 -1.5602 -1.1517 -0.8897
 -0.7153 -0.5938 -0.5062 -0.4397
 -8.3790 -7.7422 -7.1909 -6.7281 -6.3523 -6.0405 -5.7549 -5.4634 -5.1618 -4.8660
 -4.5972 -4.3461 -4.0796 -3.7780 -3.4495 -2.6668 -2.0323 -1.5046 -1.1007 -0.8355
 -0.6649 -0.5501 -0.4695 -0.4112 -0.3672 -0.3328 -0.3046 -0.2796 -0.2556 -0.2310
 -8.3263 -7.6930 -7.1291 -6.6395 -6.2238 -5.8809 -5.5835 -5.3008 -5.0061 -4.6950
 -4.3863 -4.0990 -3.8347 -3.5776 -3.3096 -2.6145 -2.0028 -1.4920 -1.0865 -0.8058
 -0.6265 -0.5114 -0.4338 -0.3797 -0.3415 -0.3135 -0.2923 -0.2755 -0.2612 -0.2476
 -0.2334
 -8.3426 -7.7142 -7.1444 -6.6365 -6.1861 -5.7988 -5.4709 -5.1823 -4.9024 -4.6088
 -4.3006 -3.9946 -3.7071 -3.4434 -3.1944 -2.5798 -2.0013 -1.5094 -1.1021 -0.8021
 -0.6038 -0.4786 -0.3986 -0.3456 -0.3104 -0.2869 -0.2706 -0.2592 -0.2515 -0.2462
 -0.2425
 -8.4157 -7.7933 -7.2234 -6.7036 -6.2292 -5.8051 -5.4337 -5.1124 -4.8258 -4.5481
 -4.2603 -3.9614 -3.6662 -3.3884 -3.1315 -2.5498 -2.0064 -1.5294 -1.1313 -0.8173
 -0.5975 -0.4544 -0.3648 -0.3090 -0.2741 -0.2529 -0.2413 -0.2357 -0.2329 -0.2322
 -0.2333
 -8.5339 -7.9182 -7.3512 -6.8287 -6.3468 -5.9021 -5.4944 -5.1312 -4.8097 -4.5214
 -4.2463 -3.9674 -3.6817 -3.4055 -3.1430 -2.5463 -2.0263 -1.5619 -1.1693 -0.8502
 -0.6122 -0.4479 -0.3411 -0.2751 -0.2358 -0.2136 -0.2030 -0.2001 -0.2021 -0.2066
 -0.2116
 -8.6828 -8.0809 -7.5208 -6.9991 -6.5124 -6.0579 -5.6330 -5.2378 -4.8785 -4.5541
 -4.2620 -3.9878 -3.7165 -3.4437 -3.1752 -2.5688 -2.0529 -1.5975 -1.2069 -0.8866
 -0.6378 -0.4564 -0.3309 -0.2492 -0.1996 -0.1721 -0.1595 -0.1568 -0.1607 -0.1687
 -0.1789
 -8.8432 -8.2884 -7.7502 -7.2316 -6.7359 -6.2655 -5.8223 -5.4075 -5.0219 -4.6661
 -4.3401 -4.0427 -3.7662 -3.4994 -3.2360 -2.6160 -2.0879 -1.6364 -1.2480
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  U   
-10.4862-10.1441 -9.8135 -9.4133 -8.9946 -8.4759 -7.8556 -7.3421 -6.9371 -6.5676
