 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  V   
 -3.3715 -3.2913 -3.5080 -3.4312 -3.2121 -2.9252 -2.6167 -2.4023 -2.2103 -2.0149
 -1.8362 -1.6710 -1.5176 -1.3743 -1.2389 -0.9539 -0.6790 -0.4409 -0.2985
 -3.3578 -3.1017 -2.8986 -2.7612 -2.6804 -2.5647 -2.3793 -2.1747 -1.9839 -1.8043
 -1.6358 -1.4796 -1.3360 -1.2039 -1.0818 -0.8129 -0.5912 -0.4194 -0.2942 -0.2017
 -3.1198 -2.8660 -2.6444 -2.4581 -2.3070 -2.2030 -2.1178 -1.9886 -1.8250 -1.6550
 -1.4977 -1.3518 -1.2176 -1.0948 -0.9827 -0.7426 -0.5509 -0.4026 -0.2928 -0.2098
 -0.1445
 -2.9339 -2.6985 -2.4818 -2.2900 -2.1224 -1.9760 -1.8542 -1.7618 -1.6663 -1.5410
 -1.3999 -1.2632 -1.1372 -1.0217 -0.9162 -0.6941 -0.5225 -0.3928 -0.2951 -0.2204
 -0.1602 -0.1100
 -2.7787 -2.5655 -2.3623 -2.1757 -2.0086 -1.8588 -1.7239 -1.6037 -1.5046 -1.4133
 -1.3137 -1.1994 -1.0828 -0.9732 -0.8730 -0.6623 -0.5028 -0.3853 -0.2983 -0.2315
 -0.1766 -0.1300 -0.0896 -0.0547
 -2.6488 -2.4521 -2.2663 -2.0891 -1.9265 -1.7793 -1.6458 -1.5241 -1.4138 -1.3141
 -1.2235 -1.1345 -1.0392 -0.9405 -0.8451 -0.6420 -0.4891 -0.3788 -0.2995 -0.2404
 -0.1916 -0.1496 -0.1126 -0.0794 -0.0485 -0.0214 -0.0002  0.0136  0.0189  0.0150
 -2.5442 -2.3574 -2.1838 -2.0188 -1.8623 -1.7189 -1.5883 -1.4690 -1.3604 -1.2603
 -1.1669 -1.0790 -0.9946 -0.9102 -0.8250 -0.6297 -0.4796 -0.3713 -0.2970 -0.2446
 -0.2028 -0.1665 -0.1340 -0.1044 -0.0771 -0.0501 -0.0261 -0.0084  0.0005 -0.0008
 -0.0108
 -2.4651 -2.2824 -2.1143 -1.9575 -1.8096 -1.6703 -1.5423 -1.4254 -1.3191 -1.2213
 -1.1304 -1.0443 -0.9616 -0.8821 -0.8045 -0.6229 -0.4743 -0.3657 -0.2919 -0.2431
 -0.2077 -0.1782 -0.1516 -0.1268 -0.1036 -0.0813 -0.0585 -0.0384 -0.0246 -0.0200
 -0.0264
 -2.4113 -2.2281 -2.0602 -1.9022 -1.7614 -1.6281 -1.5030 -1.3876 -1.2828 -1.1868
 -1.0981 -1.0151 -0.9360 -0.8595 -0.7852 -0.6138 -0.4702 -0.3613 -0.2853 -0.2368
 -0.2054 -0.1823 -0.1626 -0.1442 -0.1264 -0.1086 -0.0913 -0.0748 -0.0616 -0.0520
 -0.0457
 -2.3830 -2.1957 -2.0243 -1.8674 -1.7237 -1.5922 -1.4711 -1.3576 -1.2531 -1.1580
 -1.0708 -0.9899 -0.9138 -0.8404 -0.7697 -0.6064 -0.4671 -0.3588 -0.2809 -0.2301
 -0.1988 -0.1794 -0.1659 -0.1545 -0.1433 -0.1316 -0.1194 -0.1069 -0.0947 -0.0840
 -0.0740
 -2.3760 -2.1817 -2.0048 -1.8437 -1.6970 -1.5635 -1.4420 -1.3310 -1.2276 -1.1323
 -1.0454 -0.9658 -0.8916 -0.8219 -0.7551 -0.5989 -0.4633 -0.3559 -0.2773 -0.2238
 -0.1909 -0.1720 -0.1620 -0.1564 -0.1521 -0.1474 -0.1417 -0.1348 -0.1270 -0.1193
 -0.1125
 -2.3739 -2.1699 -1.9871 -1.8227 -1.6743 -1.5397 -1.4172 -1.3051 -1.2025 -1.1083
 -1.0219 -0.9425 -0.8695 -0.8016 -0.7374 -0.5897 -0.4587 -0.3524 -0.2731
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  V   
 -3.7485 -3.6363 -3.4807 -3.2097 -2.9084 -2.6237 -2.3805 -2.1725 -1.9820 -1.8032
 -1.6370 -1.4849 -1.3465 -1.2200 -1.1033 -0.8532 -0.6291 -0.4348 -0.2946
 -3.3779 -3.1393 -3.0028 -2.9151 -2.7234 -2.4687 -2.2244 -2.0146 -1.8290 -1.6564
 -1.4967 -1.3511 -1.2194 -1.1004 -0.9923 -0.7594 -0.5661 -0.4078 -0.2854 -0.1930
 -3.1759 -2.9086 -2.6904 -2.5265 -2.4324 -2.3191 -2.1211 -1.9101 -1.7249 -1.5592
 -1.4057 -1.2656 -1.1386 -1.0242 -0.9210 -0.7032 -0.5288 -0.3895 -0.2818 -0.1993
 -0.1340
 -3.0408 -2.7765 -2.5443 -2.3402 -2.1721 -2.0488 -1.9583 -1.8310 -1.6591 -1.4961
 -1.3477 -1.2126 -1.0897 -0.9785 -0.8781 -0.6685 -0.5052 -0.3785 -0.2819 -0.2076
 -0.1479 -0.0979
 -2.9433 -2.6886 -2.4568 -2.2521 -2.0722 -1.9113 -1.7739 -1.6635 -1.5697 -1.4499
 -1.3128 -1.1805 -1.0607 -0.9523 -0.8540 -0.6484 -0.4909 -0.3718 -0.2832 -0.2162
 -0.1620 -0.1160 -0.0762 -0.0426
 -2.8817 -2.6273 -2.3997 -2.1935 -2.0109 -1.8481 -1.6997 -1.5650 -1.4489 -1.3548
 -1.2632 -1.1572 -1.0448 -0.9378 -0.8410 -0.6376 -0.4823 -0.3670 -0.2837 -0.2230
 -0.1748 -0.1336 -0.0973 -0.0650 -0.0349 -0.0086  0.0117  0.0243  0.0282  0.0235
 -2.8361 -2.5857 -2.3625 -2.1566 -1.9714 -1.8073 -1.6600 -1.5250 -1.4009 -1.2901
 -1.1934 -1.1076 -1.0205 -0.9278 -0.8347 -0.6324 -0.4771 -0.3628 -0.2820 -0.2260
 -0.1840 -0.1486 -0.1171 -0.0885 -0.0622 -0.0367 -0.0144  0.0019  0.0100  0.0085
 -0.0022
 -2.8118 -2.5612 -2.3412 -2.1363 -1.9490 -1.7809 -1.6323 -1.4988 -1.3766 -1.2639
 -1.1613 -1.0685 -0.9846 -0.9050 -0.8248 -0.6307 -0.4743 -0.3590 -0.2783 -0.2246
 -0.1879 -0.1588 -0.1332 -0.1096 -0.0873 -0.0640 -0.0419 -0.0241 -0.0130 -0.0105
 -0.0177
 -2.8133 -2.5558 -2.3322 -2.1277 -1.9390 -1.7670 -1.6139 -1.4781 -1.3565 -1.2455
