 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = BX   
 -6.3430 -6.1263 -6.2817 -6.2001 -5.9810 -5.6201 -5.1473 -4.8583 -4.5742 -4.2788
 -3.9983 -3.7387 -3.4965 -3.2656 -3.0417 -2.5361 -2.0077 -1.5151 -1.1583
 -6.1651 -5.7978 -5.5092 -5.3126 -5.1904 -5.0326 -4.7873 -4.4977 -4.2066 -3.9209
 -3.6471 -3.3918 -3.1553 -2.9344 -2.7255 -2.2389 -1.7917 -1.4085 -1.1118 -0.8841
 -5.8214 -5.4555 -5.1370 -4.8730 -4.6583 -4.5024 -4.3699 -4.1794 -3.9307 -3.6589
 -3.3929 -3.1416 -2.9103 -2.6975 -2.5008 -2.0616 -1.6723 -1.3343 -1.0677 -0.8626
 -0.6985
 -5.5391 -5.2031 -4.8900 -4.6139 -4.3719 -4.1548 -3.9646 -3.8088 -3.6446 -3.4341
 -3.1956 -2.9572 -2.7318 -2.5246 -2.3356 -1.9285 -1.5832 -1.2855 -1.0420 -0.8545
 -0.7044 -0.5778
 -5.2837 -4.9889 -4.6997 -4.4303 -4.1871 -3.9632 -3.7512 -3.5511 -3.3741 -3.2043
 -3.0216 -2.8171 -2.6082 -2.4085 -2.2244 -1.8368 -1.5213 -1.2518 -1.0297 -0.8560
 -0.7172 -0.6002 -0.4972 -0.4047
 -5.0468 -4.7889 -4.5339 -4.2827 -4.0474 -3.8290 -3.6210 -3.4185 -3.2226 -3.0364
 -2.8638 -2.6946 -2.5168 -2.3348 -2.1583 -1.7802 -1.4825 -1.2329 -1.0265 -0.8631
 -0.7335 -0.6250 -0.5297 -0.4432 -0.3596 -0.2808 -0.2096 -0.1487 -0.0998 -0.0640
 -4.8286 -4.6012 -4.3774 -4.1519 -3.9304 -3.7212 -3.5221 -3.3288 -3.1388 -2.9513
 -2.7709 -2.6012 -2.4396 -2.2798 -2.1200 -1.7528 -1.4623 -1.2260 -1.0292 -0.8725
 -0.7498 -0.6491 -0.5614 -0.4818 -0.4081 -0.3391 -0.2749 -0.2156 -0.1615 -0.1157
 -0.0895
 -4.6295 -4.4270 -4.2275 -4.0274 -3.8258 -3.6272 -3.4369 -3.2546 -3.0761 -2.8982
 -2.7222 -2.5517 -2.3899 -2.2370 -2.0898 -1.7456 -1.4568 -1.2266 -1.0360 -0.8827
 -0.7640 -0.6696 -0.5895 -0.5173 -0.4506 -0.3877 -0.3272 -0.2709 -0.2205 -0.1777
 -0.1434
 -4.4498 -4.2675 -4.0868 -3.9037 -3.7235 -3.5411 -3.3602 -3.1851 -3.0170 -2.8512
 -2.6852 -2.5207 -2.3614 -2.2097 -2.0658 -1.7390 -1.4583 -1.2295 -1.0435 -0.8918
 -0.7743 -0.6839 -0.6105 -0.5464 -0.4874 -0.4316 -0.3787 -0.3286 -0.2827 -0.2412
 -0.2035
 -4.2896 -4.1242 -3.9582 -3.7919 -3.6256 -3.4595 -3.2933 -3.1270 -2.9650 -2.8084
 -2.6542 -2.5001 -2.3473 -2.1996 -2.0583 -1.7371 -1.4647 -1.2384 -1.0541 -0.9036
