 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  I   
 -0.2534 -0.2473 -0.4345 -0.4470 -0.3737 -0.2536 -0.1041 -0.0071  0.0801  0.1727
  0.2620  0.3459  0.4237  0.4935  0.5527  0.6768  0.7176  0.6935  0.6925
 -0.2561 -0.1898 -0.1379 -0.1145 -0.1204 -0.1020 -0.0370  0.0463  0.1287  0.2094
  0.2878  0.3619  0.4297  0.4899  0.5418  0.6351  0.6811  0.6908  0.6799  0.6578
 -0.1347 -0.0752 -0.0169  0.0337  0.0714  0.0838  0.0844  0.1116  0.1675  0.2364
  0.3052  0.3717  0.4332  0.4880  0.5351  0.6202  0.6629  0.6710  0.6591  0.6374
  0.6094
 -0.0234  0.0206  0.0707  0.1209  0.1669  0.2065  0.2341  0.2433  0.2525  0.2810
  0.3281  0.3829  0.4371  0.4866  0.5296  0.6078  0.6480  0.6552  0.6423  0.6203
  0.5932  0.5619
  0.0885  0.1150  0.1506  0.1921  0.2344  0.2746  0.3111  0.3422  0.3616  0.3746
  0.3896  0.4157  0.4512  0.4909  0.5288  0.6001  0.6380  0.6440  0.6299  0.6066
  0.5792  0.5485  0.5145  0.4770
  0.2019  0.2143  0.2342  0.2624  0.2956  0.3305  0.3643  0.3962  0.4253  0.4498
  0.4676  0.4812  0.4970  0.5171  0.5404  0.5986  0.6336  0.6388  0.6233  0.5970
  0.5677  0.5364  0.5027  0.4665  0.4275  0.3853  0.3398  0.2907  0.2381  0.1819
  0.3145  0.3168  0.3243  0.3394  0.3606  0.3861  0.4136  0.4412  0.4677  0.4931
  0.5162  0.5351  0.5497  0.5619  0.5745  0.6076  0.6355  0.6414  0.6235  0.5933
  0.5603  0.5267  0.4920  0.4558  0.4179  0.3789  0.3376  0.2921  0.2414  0.1854
  0.1274
  0.4240  0.4194  0.4187  0.4235  0.4337  0.4481  0.4663  0.4869  0.5082  0.5295
  0.5502  0.5693  0.5860  0.5993  0.6100  0.6303  0.6452  0.6482  0.6302  0.5968
  0.5588  0.5211  0.4838  0.4463  0.4080  0.3688  0.3289  0.2868  0.2408  0.1896
  0.1325
  0.5282  0.5191  0.5134  0.5114  0.5134  0.5189  0.5273  0.5387  0.5525  0.5680
  0.5839  0.5993  0.6137  0.6265  0.6373  0.6550  0.6621  0.6593  0.6413  0.6064
