 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  R   
 -1.7489 -1.7073 -1.8978 -1.8542 -1.7072 -1.5002 -1.2717 -1.1200 -0.9875 -0.8501
 -0.7205 -0.6000 -0.4894 -0.3889 -0.2987 -0.1115  0.0275  0.1425  0.1933
 -1.7533 -1.5929 -1.4605 -1.3740 -1.3316 -1.2601 -1.1328 -0.9915 -0.8616 -0.7393
 -0.6228 -0.5139 -0.4141 -0.3235 -0.2417 -0.0722  0.0511  0.1328  0.1833  0.2137
 -1.5903 -1.4348 -1.2888 -1.1616 -1.0601 -0.9983 -0.9543 -0.8773 -0.7720 -0.6592
 -0.5536 -0.4549 -0.3639 -0.2813 -0.2069 -0.0540  0.0553  0.1266  0.1704  0.1975
  0.2137
 -1.4551 -1.3182 -1.1795 -1.0484 -0.9317 -0.8329 -0.7566 -0.7067 -0.6576 -0.5864
 -0.4987 -0.4100 -0.3277 -0.2523 -0.1839 -0.0430  0.0570  0.1202  0.1585  0.1823
  0.1972  0.2053
 -1.3310 -1.2168 -1.0942 -0.9707 -0.8540 -0.7495 -0.6594 -0.5837 -0.5273 -0.4799
 -0.4283 -0.3645 -0.2953 -0.2279 -0.1657 -0.0351  0.0585  0.1160  0.1492  0.1690
  0.1816  0.1888  0.1915  0.1898
 -1.2153 -1.1186 -1.0161 -0.9061 -0.7964 -0.6929 -0.6006 -0.5206 -0.4524 -0.3950
 -0.3463 -0.3007 -0.2511 -0.1980 -0.1449 -0.0268  0.0617  0.1158  0.1448  0.1593
  0.1681  0.1730  0.1745  0.1730  0.1689  0.1611  0.1489  0.1312  0.1076  0.0778
 -1.1099 -1.0246 -0.9382 -0.8437 -0.7451 -0.6477 -0.5565 -0.4752 -0.4057 -0.3460
 -0.2934 -0.2459 -0.2022 -0.1594 -0.1161 -0.0141  0.0679  0.1213  0.1465  0.1555
  0.1588  0.1598  0.1587  0.1556  0.1507  0.1455  0.1378  0.1245  0.1035  0.0743
  0.0408
 -1.0169 -0.9380 -0.8604 -0.7787 -0.6930 -0.6052 -0.5189 -0.4383 -0.3676 -0.3075
 -0.2557 -0.2092 -0.1656 -0.1248 -0.0858  0.0038  0.0775  0.1290  0.1537  0.1589
  0.1562  0.1515  0.1460  0.1399  0.1328  0.1249  0.1173  0.1075  0.0924  0.0696
  0.0377
 -0.9380 -0.8619 -0.7874 -0.7109 -0.6362 -0.5588 -0.4806 -0.4043 -0.3339 -0.2724
 -0.2204 -0.1758 -0.1351 -0.0965 -0.0594  0.0238  0.0909  0.1388  0.1644  0.1684
  0.1610  0.1500  0.1387  0.1277  0.1169  0.1064  0.0956  0.0841  0.0697  0.0523
  0.0320
 -0.8753 -0.7994 -0.7249 -0.6519 -0.5802 -0.5099 -0.4404 -0.3708 -0.3037 -0.2420
 -0.1885 -0.1435 -0.1049 -0.0690 -0.0351  0.0413  0.1044  0.1496  0.1753  0.1808
  0.1721  0.1566  0.1391  0.1221  0.1061  0.0913  0.0771  0.0635  0.0496  0.0344
  0.0182
 -0.8263 -0.7472 -0.6713 -0.5986 -0.5286 -0.4613 -0.3965 -0.3337 -0.2721 -0.2131
 -0.1592 -0.1126 -0.0737 -0.0406 -0.0106  0.0585  0.1178  0.1607  0.1855  0.1930
  0.1854  0.1685  0.1470  0.1243  0.1023  0.0819  0.0629  0.0454  0.0287  0.0122
 -0.0052
 -0.7753 -0.6818 -0.6020 -0.5322 -0.4691 -0.4097 -0.3518 -0.2939 -0.2370 -0.1824
 -0.1311 -0.0843 -0.0439 -0.0103  0.0179  0.0778  0.1310  0.1718  0.1960
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  R   
 -2.0891 -2.0403 -1.9485 -1.7556 -1.5322 -1.3190 -1.1415 -0.9974 -0.8690 -0.7485
 -0.6340 -0.5264 -0.4264 -0.3342 -0.2501 -0.0759  0.0535  0.1511  0.2062
 -1.8374 -1.6867 -1.6060 -1.5607 -1.4280 -1.2409 -1.0614 -0.9134 -0.7884 -0.6738
 -0.5660 -0.4651 -0.3719 -0.2868 -0.2098 -0.0515  0.0652  0.1455  0.1962  0.2268
 -1.6973 -1.5262 -1.3780 -1.2667 -1.2122 -1.1439 -1.0068 -0.8578 -0.7311 -0.6218
 -0.5202 -0.4255 -0.3382 -0.2586 -0.1869 -0.0399  0.0673  0.1401  0.1850  0.2121
  0.2280
 -1.5946 -1.4316 -1.2750 -1.1302 -1.0106 -0.9287 -0.8785 -0.8028 -0.6902 -0.5829
 -0.4863 -0.3973 -0.3152 -0.2405 -0.1730 -0.0346  0.0663  0.1342  0.1750  0.1988
  0.2129  0.2205
 -1.5071 -1.3596 -1.2104 -1.0672 -0.9362 -0.8198 -0.7257 -0.6578 -0.6080 -0.5406
 -0.4575 -0.3736 -0.2963 -0.2260 -0.1623 -0.0313  0.0649  0.1296  0.1673  0.1876
  0.1992  0.2054  0.2072  0.2038
 -1.4311 -1.2956 -1.1589 -1.0223 -0.8919 -0.7721 -0.6645 -0.5716 -0.4974 -0.4445
 -0.3979 -0.3411 -0.2760 -0.2107 -0.1509 -0.0269  0.0653  0.1278  0.1631  0.1798
