 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = UX   
 -9.9938 -9.6775 -9.7217 -9.3704 -9.3054 -8.9107 -8.1646 -7.6733 -7.2756 -6.8701
 -6.4681 -6.0767 -5.7018 -5.3386 -4.9829 -4.1362 -3.1476 -2.2202 -1.6727
 -9.5777 -8.9675 -8.5445 -8.2810 -8.1211 -7.9350 -7.6537 -7.2749 -6.8541 -6.4409
 -6.0229 -5.6137 -5.2225 -4.8495 -4.4878 -3.5921 -2.7159 -2.0113 -1.5257 -1.1900
 -9.0790 -8.4407 -7.9588 -7.6081 -7.3457 -7.1579 -7.0018 -6.7919 -6.4945 -6.1257
 -5.7091 -5.2742 -4.8572 -4.4659 -4.0980 -3.2428 -2.4512 -1.8061 -1.3620 -1.0621
 -0.8525
 -8.7382 -8.0977 -7.5815 -7.1866 -6.8757 -6.6041 -6.3608 -6.1617 -5.9700 -5.7282
 -5.4051 -5.0059 -4.5753 -4.1648 -3.7890 -2.9660 -2.2466 -1.6616 -1.2352 -0.9602
 -0.7724 -0.6394
 -8.5092 -7.8708 -7.3343 -6.9027 -6.5604 -6.2665 -5.9826 -5.7003 -5.4467 -5.2155
 -4.9822 -4.6974 -4.3470 -3.9568 -3.5758 -2.7718 -2.1055 -1.5544 -1.1446 -0.8815
 -0.7070 -0.5862 -0.4997 -0.4345
 -8.3714 -7.7360 -7.1850 -6.7213 -6.3441 -6.0308 -5.7436 -5.4506 -5.1484 -4.8526
 -4.5841 -4.3332 -4.0667 -3.7654 -3.4377 -2.6579 -2.0248 -1.4970 -1.0920 -0.8253
 -0.6542 -0.5397 -0.4599 -0.4027 -0.3599 -0.3266 -0.2994 -0.2753 -0.2520 -0.2279
 -8.3130 -7.6820 -7.1199 -6.6304 -6.2142 -5.8704 -5.5718 -5.2877 -4.9921 -4.6809
 -4.3726 -4.0858 -3.8220 -3.5651 -3.2973 -2.6036 -1.9934 -1.4832 -1.0766 -0.7942
 -0.6140 -0.4987 -0.4215 -0.3681 -0.3308 -0.3038 -0.2837 -0.2678 -0.2540 -0.2407
 -0.2268
 -8.3224 -7.6970 -7.1299 -6.6236 -6.1739 -5.7866 -5.4582 -5.1687 -4.8880 -4.5939
 -4.2859 -3.9806 -3.6939 -3.4307 -3.1821 -2.5681 -1.9906 -1.4994 -1.0915 -0.7899
 -0.5901 -0.4643 -0.3842 -0.3314 -0.2968 -0.2740 -0.2584 -0.2477 -0.2406 -0.2358
 -0.2324
 -8.3880 -7.7690 -7.2022 -6.6853 -6.2126 -5.7897 -5.4188 -5.0975 -4.8106 -4.5325
 -4.2446 -3.9462 -3.6519 -3.3748 -3.1186 -2.5378 -1.9950 -1.5185 -1.1200 -0.8047
 -0.5834 -0.4391 -0.3489 -0.2929 -0.2582 -0.2373 -0.2261 -0.2210 -0.2187 -0.2184
 -0.2199
 -8.4981 -7.8863 -7.3228 -6.8033 -6.3240 -5.8816 -5.4757 -5.1134 -4.7926 -4.5046
 -4.2296 -3.9510 -3.6659 -3.3905 -3.1288 -2.5338 -2.0144 -1.5503 -1.1575 -0.8374
 -0.5980 -0.4323 -0.3245 -0.2579 -0.2182 -0.1959 -0.1855 -0.1828 -0.1850 -0.1898
 -0.1952
 -8.6391 -8.0411 -7.4846 -6.9661 -6.4824 -6.0306 -5.6083 -5.2153 -4.8576 -4.5345
 -4.2433 -3.9697 -3.6990 -3.4270 -3.1594 -2.5551 -2.0405 -1.5854 -1.1946 -0.8736
 -0.6235 -0.4408 -0.3141 -0.2314 -0.1812 -0.1531 -0.1403 -0.1374 -0.1413 -0.1494
 -0.1597
 -8.7934 -8.2401 -7.7043 -7.1887 -6.6964 -6.2294 -5.7896 -5.3780 -4.9953 -4.6418
 -4.3177 -4.0217 -3.7464 -3.4805 -3.2182 -2.6007 -2.0744 -1.6237 -1.2352
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = UX   
-10.4863-10.1429 -9.8108 -9.4085 -8.9871 -8.4654 -7.8436 -7.3301 -6.9251 -6.5561
 -6.1955 -5.8462 -5.5105 -5.1849 -4.8658 -4.0881 -3.2532 -2.4371 -1.8346
 -9.5455 -9.0016 -8.7226 -8.5666 -8.3392 -8.0262 -7.5855 -7.0552 -6.6067 -6.2111
 -5.8252 -5.4511 -5.0934 -4.7524 -4.4239 -3.6357 -2.8693 -2.1726 -1.6425 -1.2758
 -9.0383 -8.4066 -7.9841 -7.7262 -7.5954 -7.4645 -7.2244 -6.8513 -6.3878 -5.9649
 -5.5521 -5.1500 -4.7670 -4.4067 -4.0674 -3.2907 -2.5859 -1.9624 -1.4789 -1.1455
 -0.9157
 -8.7510 -8.0711 -7.5734 -7.2164 -6.9654 -6.7926 -6.6602 -6.4794 -6.1765 -5.7851
 -5.3702 -4.9457 -4.5378 -4.1577 -3.8063 -3.0353 -2.3756 -1.8068 -1.3567 -1.0441
 -0.8331 -0.6853
 -8.6164 -7.9000 -7.3388 -6.9240 -6.6147 -6.3589 -6.1285 -5.9288 -5.7495 -5.5152
 -5.1989 -4.8176 -4.4076 -4.0102 -3.6450 -2.8694 -2.2364 -1.7026 -1.2729 -0.9688
 -0.7668 -0.6295 -0.5322 -0.4546
 -8.6206 -7.8598 -7.2414 -6.7577 -6.3910 -6.1000 -5.8365 -5.5733 -5.3200 -5.0975
 -4.8796 -4.6224 -4.3049 -3.9434 -3.5753 -2.7841 -2.1612 -1.6461 -1.2254 -0.9183
 -0.7154 -0.5817 -0.4903 -0.4253 -0.3769 -0.3392 -0.3081 -0.2801 -0.2528 -0.2260
 -8.7154 -7.9295 -7.2646 -6.7132 -6.2782 -5.9381 -5.6545 -5.3861 -5.1096 -4.8329
 -4.5728 -4.3367 -4.1008 -3.8365 -3.5377 -2.7659 -2.1391 -1.6304 -1.2117 -0.8929
 -0.6786 -0.5411 -0.4510 -0.3895 -0.3463 -0.3146 -0.2906 -0.2714 -0.2546 -0.2387
 -0.2233
 -8.8790 -8.0884 -7.3935 -6.7854 -6.2787 -5.8720 -5.5462 -5.2658 -4.9964 -4.7185
 -4.4350 -4.1607 -3.9092 -3.6745 -3.4366 -2.7834 -2.1574 -1.6465 -1.2259 -0.8936
 -0.6598 -0.5092 -0.4142 -0.3527 -0.3117 -0.2832 -0.2634 -0.2500 -0.2409 -0.2345
