 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  H   
  2.7019  2.7242  2.7504  2.7720  2.7865  2.7938  2.7935  2.7719  2.7396  2.6980
  2.6495  2.6357  2.5752  2.5094  2.4421  2.2766  2.1132  1.9629  1.8115
  2.5936  2.5734  2.5945  2.6526  2.7196  2.7508  2.7511  2.7342  2.7066  2.6706
  2.6267  2.5762  2.5211  2.4634  2.4045  2.2564  2.1068  1.9556  1.8051  1.6570
  2.5336  2.5212  2.5144  2.5194  2.5407  2.5851  2.6389  2.6646  2.6587  2.6309
  2.5921  2.5461  2.4938  2.4374  2.3794  2.2341  2.0904  1.9448  1.7979  1.6529
  1.5108
  2.4868  2.4786  2.4693  2.4625  2.4620  2.4703  2.4882  2.5188  2.5499  2.5581
  2.5411  2.5069  2.4618  2.4091  2.3528  2.2099  2.0707  1.9320  1.7900  1.6480
  1.5085  1.3721
  2.4251  2.4258  2.4222  2.4165  2.4111  2.4088  2.4109  2.4168  2.4268  2.4409
  2.4480  2.4373  2.4107  2.3714  2.3225  2.1846  2.0483  1.9159  1.7806  1.6426
  1.5055  1.3712  1.2401  1.1120
  2.3451  2.3574  2.3631  2.3639  2.3615  2.3578  2.3550  2.3540  2.3534  2.3524
  2.3510  2.3469  2.3343  2.3105  2.2757  2.1569  2.0244  1.8963  1.7683  1.6361
  1.5022  1.3699  1.2405  1.1142  0.9903  0.8691  0.7509  0.6361  0.5248  0.4172
  2.2465  2.2716  2.2887  2.2988  2.3032  2.3035  2.3015  2.2990  2.2963  2.2921
  2.2851  2.2744  2.2602  2.2415  2.2160  2.1208  1.9993  1.8749  1.7526  1.6272
  1.4980  1.3682  1.2406  1.1158  0.9941  0.8754  0.7595  0.6459  0.5346  0.4258
  0.3215
  2.1295  2.1678  2.1974  2.2186  2.2321  2.2393  2.2421  2.2419  2.2398  2.2367
  2.2307  2.2202  2.2045  2.1843  2.1600  2.0786  1.9713  1.8528  1.7345  1.6152
  1.4920  1.3660  1.2404  1.1171  0.9968  0.8794  0.7648  0.6529  0.5433  0.4359
  0.3305
  1.9990  2.0487  2.0893  2.1217  2.1458  2.1622  2.1722  2.1773  2.1787  2.1778
  2.1746  2.1678  2.1558  2.1378  2.1142  2.0375  1.9405  1.8293  1.7142  1.5989
  1.4814  1.3603  1.2374  1.1156  0.9964  0.8801  0.7666  0.6557  0.5474  0.4413
  0.3376
  1.8551  1.9143  1.9663  2.0086  2.0430  2.0696  2.0886  2.1013  2.1087  2.1122
  2.1127  2.1103  2.1038  2.0917  2.0733  2.0019  1.9119  1.8080  1.6967  1.5838
  1.4702  1.3544  1.2363  1.1172  0.9994  0.8842  0.7718  0.6623  0.5531  0.4484
  0.3465
  1.6976  1.7646  1.8284  1.8836  1.9246  1.9603  1.9891  2.0109  2.0264  2.0366
  2.0426  2.0451  2.0443  2.0390  2.0278  1.9705  1.8843  1.7874  1.6806  1.5700
  1.4583  1.3459  1.2322  1.1171  1.0020  0.8884  0.7770  0.6684  0.5626  0.4592
  0.3582
  1.5267  1.5996  1.6756  1.7478  1.7941  1.8365  1.8734  1.9042  1.9288  1.9477
  1.9613  1.9705  1.9758  1.9772  1.9777  1.9433  1.8577  1.7675  1.6659
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  H   
  2.7426  2.7690  2.7937  2.8118  2.8208  2.8205  2.8108  2.7874  2.7544  2.7132
  2.6652  2.6255  2.5680  2.5068  2.4438  2.2846  2.1243  1.9690  1.8142
  2.6104  2.6542  2.7249  2.7629  2.7764  2.7781  2.7703  2.7528  2.7254  2.6889
  2.6444  2.5932  2.5373  2.4785  2.4181  2.2648  2.1113  1.9585  1.8075  1.6592
  2.5676  2.5547  2.5590  2.5888  2.6537  2.7086  2.7248  2.7151  2.6919  2.6596
  2.6196  2.5722  2.5183  2.4604  2.4005  2.2487  2.0980  1.9488  1.8009  1.6555
  1.5133
  2.5523  2.5309  2.5138  2.5062  2.5116  2.5329  2.5795  2.6279  2.6423  2.6250
  2.5903  2.5472  2.4974  2.4416  2.3829  2.2321  2.0837  1.9382  1.7938  1.6511
  1.5113  1.3746
  2.5293  2.5117  2.4929  2.4759  2.4642  2.4594  2.4622  2.4758  2.5067  2.5355
  2.5364  2.5115  2.4707  2.4201  2.3636  2.2152  2.0683  1.9261  1.7859  1.6464
  1.5088  1.3742  1.2428  1.1145
  2.4887  2.4799  2.4669  2.4519  2.4366  2.4233  2.4133  2.4070  2.4046  2.4105
  2.4252  2.4310  2.4163  2.3843  2.3389  2.1975  2.0523  1.9122  1.7763  1.6409
  1.5060  1.3733  1.2436  1.1170  0.9935  0.8728  0.7549  0.6394  0.5266  0.4190
  2.4261  2.4294  2.4260  2.4179  2.4067  2.3936  2.3800  2.3672  2.3554  2.3445
  2.3362  2.3329  2.3294  2.3162  2.2892  2.1761  2.0356  1.8973  1.7645  1.6338
  1.5026  1.3721  1.2440  1.1189  0.9969  0.8778  0.7615  0.6478  0.5366  0.4277
  0.3234
  2.3416  2.3582  2.3666  2.3683  2.3647  2.3568  2.3457  2.3327  2.3186  2.3037
  2.2880  2.2717  2.2568  2.2417  2.2229  2.1389  2.0159  1.8816  1.7510  1.6243
  1.4978  1.3704  1.2442  1.1206  1.0000  0.8822  0.7672  0.6550  0.5453  0.4378
  0.3324
  2.2389  2.2678  2.2887  2.3015  2.3073  2.3072  2.3019  2.2928  2.2805  2.2661
  2.2498  2.2311  2.2104  2.1884  2.1653  2.0921  1.9869  1.8624  1.7349  1.6110
