 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  K   
  2.9508  2.9344  2.9310  2.9327  2.9420  2.9542  3.0163  3.0079  2.9834  2.9422
  2.8863  2.8204  2.7487  2.6731  2.5968  2.4133  2.2434  2.0812  1.9180
  2.9036  2.8703  2.8610  2.8732  2.9043  2.9290  2.9386  2.9352  2.9198  2.8920
  2.8489  2.7910  2.7238  2.6533  2.5822  2.4075  2.2372  2.0711  1.9101  1.7544
  2.8254  2.8171  2.8035  2.7927  2.7942  2.8135  2.8444  2.8635  2.8607  2.8390
  2.8050  2.7585  2.6983  2.6309  2.5616  2.3903  2.2240  2.0605  1.9014  1.7478
  1.5994
  2.7384  2.7478  2.7451  2.7359  2.7269  2.7255  2.7350  2.7529  2.7701  2.7705
  2.7499  2.7151  2.6667  2.6060  2.5399  2.3725  2.2101  2.0506  1.8936  1.7415
  1.5951  1.4535
  2.6189  2.6526  2.6687  2.6715  2.6665  2.6600  2.6578  2.6623  2.6695  2.6744
  2.6700  2.6503  2.6175  2.5710  2.5138  2.3536  2.1948  2.0402  1.8865  1.7359
  1.5907  1.4507  1.3156  1.1845
  2.4655  2.5250  2.5659  2.5883  2.5961  2.5948  2.5906  2.5886  2.5899  2.5907
  2.5860  2.5729  2.5508  2.5171  2.4726  2.3318  2.1781  2.0280  1.8792  1.7310
  1.5867  1.4477  1.3139  1.1845  1.0585  0.9359  0.8165  0.7005  0.5878  0.4783
  2.2908  2.3662  2.4321  2.4788  2.5063  2.5181  2.5203  2.5184  2.5165  2.5160
  2.5133  2.5034  2.4848  2.4579  2.4219  2.3019  2.1593  2.0141  1.8705  1.7263
  1.5835  1.4450  1.3119  1.1836  1.0597  0.9395  0.8225  0.7083  0.5965  0.4872
  0.3815
  2.0982  2.1872  2.2694  2.3389  2.3900  2.4214  2.4373  2.4427  2.4427  2.4416
  2.4401  2.4356  2.4238  2.4030  2.3727  2.2674  2.1372  1.9985  1.8598  1.7205
  1.5808  1.4431  1.3101  1.1823  1.0592  0.9402  0.8248  0.7126  0.6030  0.4956
  0.3902
  1.9040  1.9988  2.0880  2.1721  2.2445  2.2985  2.3337  2.3532  2.3617  2.3641
  2.3639  2.3624  2.3575  2.3458  2.3241  2.2326  2.1125  1.9802  1.8456  1.7109
  1.5752  1.4395  1.3067  1.1786  1.0556  0.9371  0.8225  0.7112  0.6029  0.4974
  0.3946
  1.7083  1.8010  1.8986  1.9885  2.0729  2.1464  2.2030  2.2417  2.2653  2.2774
  2.2826  2.2841  2.2834  2.2793  2.2686  2.1989  2.0898  1.9644  1.8336  1.7022
  1.5708  1.4386  1.3074  1.1793  1.0559  0.9373  0.8230  0.7127  0.6034  0.4993
  0.3986
  1.5110  1.5938  1.7012  1.8026  1.8873  1.9700  2.0434  2.1025  2.1452  2.1733
  2.1899  2.1985  2.2026  2.2037  2.2011  2.1600  2.0661  1.9489  1.8224  1.6936
  1.5649  1.4364  1.3080  1.1811  1.0574  0.9382  0.8235  0.7132  0.6067  0.5036
  0.4033
  1.3121  1.3772  1.4958  1.6175  1.7000  1.7824  1.8630  1.9361  1.9970  2.0442
  2.0776  2.0993  2.1125  2.1199  2.1216  2.1159  2.0414  1.9337  1.8120
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  K   
  2.9815  2.9784  2.9842  2.9931  3.0028  3.0095  3.0270  3.0137  2.9868  2.9454
  2.8901  2.8246  2.7537  2.6801  2.6059  2.4241  2.2504  2.0838  1.9209
  2.9385  2.9217  2.9280  2.9388  2.9470  2.9538  2.9567  2.9519  2.9356  2.9056
  2.8606  2.8016  2.7334  2.6619  2.5897  2.4118  2.2397  2.0735  1.9124  1.7565
  2.9164  2.8843  2.8588  2.8498  2.8641  2.8883  2.8994  2.8964  2.8833  2.8605
  2.8259  2.7769  2.7142  2.6447  2.5736  2.3978  2.2278  2.0634  1.9041  1.7503
  1.6019
  2.8794  2.8556  2.8280  2.8032  2.7885  2.7880  2.8038  2.8272  2.8336  2.8177
  2.7873  2.7465  2.6931  2.6280  2.5591  2.3848  2.2168  2.0545  1.8967  1.7445
  1.5978  1.4561
  2.8139  2.8071  2.7903  2.7687  2.7476  2.7322  2.7259  2.7276  2.7372  2.7462
  2.7366  2.7081  2.6649  2.6086  2.5432  2.3725  2.2061  2.0461  1.8903  1.7393
  1.5938  1.4537  1.3184  1.1870
  2.7128  2.7294  2.7310  2.7217  2.7060  2.6890  2.6748  2.6659  2.6600  2.6551
  2.6513  2.6404  2.6155  2.5755  2.5220  2.3598  2.1955  2.0375  1.8844  1.7349
  1.5902  1.4510  1.3170  1.1874  1.0617  0.9394  0.8200  0.7034  0.5896  0.4802
  2.5758  2.6174  2.6427  2.6524  2.6500  2.6399  2.6266  2.6139  2.6036  2.5935
  2.5802  2.5641  2.5451  2.5182  2.4795  2.3434  2.1843  2.0284  1.8780  1.7310
  1.5874  1.4486  1.3153  1.1868  1.0627  0.9421  0.8248  0.7104  0.5985  0.4891
  0.3834
  2.4138  2.4743  2.5223  2.5552  2.5719  2.5753  2.5697  2.5598  2.5487  2.5379
  2.5256  2.5080  2.4855  2.4584  2.4259  2.3134  2.1700  2.0183  1.8706  1.7267
  1.5852  1.4471  1.3138  1.1858  1.0625  0.9433  0.8275  0.7149  0.6051  0.4976
  0.3921
  2.2400  2.3111  2.3757  2.4294  2.4674  2.4892  2.4972  2.4955  2.4883  2.4788
  2.4682  2.4548  2.4356  2.4099  2.3780  2.2759  2.1470  2.0041  1.8600  1.7192
  1.5806  1.4438  1.3107  1.1824  1.0591  0.9404  0.8255  0.7141  0.6058  0.5002
  0.3966
  2.0662  2.1388  2.2114  2.2790  2.3356  2.3775  2.4033  2.4154  2.4172  2.4125
  2.4046  2.3947  2.3817  2.3629  2.3365  2.2421  2.1231  1.9895  1.8504  1.7127
  1.5774  1.4435  1.3116  1.1832  1.0596  0.9408  0.8263  0.7157  0.6085  0.5042
  0.4007
  1.8994  1.9695  2.0401  2.1133  2.1815  2.2403  2.2845  2.3137  2.3293  2.3344
  2.3324  2.3264  2.3177  2.3058  2.2883  2.2105  2.0994  1.9735  1.8402  1.7056
  1.5731  1.4422  1.3127  1.1852  1.0613  0.9418  0.8269  0.7164  0.6096  0.5062
  0.4056
  1.7442  1.8066  1.8732  1.9433  2.0146  2.0822  2.1412  2.1871  2.2190  2.2383
  2.2470  2.2482  2.2573  2.2464  2.2334  2.1811  2.0759  1.9561  1.8294
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  K   
  3.0382  3.0438  3.0544  3.0653  3.0720  3.0710  3.0598  3.0365  3.0008  2.9529
  2.8937  2.8264  2.7553  2.6829  2.6104  2.4311  2.2564  2.0877  1.9248
  2.9893  2.9826  2.9845  2.9916  2.9989  3.0020  2.9973  2.9830  2.9575  2.9198
  2.8691  2.8067  2.7373  2.6654  2.5933  2.4157  2.2432  2.0770  1.9161  1.7602
  2.9546  2.9297  2.9262  2.9319  2.9360  2.9383  2.9363  2.9273  2.9097  2.8818
  2.8415  2.7877  2.7224  2.6518  2.5801  2.4032  2.2322  2.0675  1.9083  1.7544
  1.6057
  2.9500  2.9090  2.8764  2.8573  2.8569  2.8731  2.8838  2.8798  2.8648  2.8413
  2.8087  2.7648  2.7076  2.6403  2.5696  2.3934  2.2232  2.0596  1.9017  1.7491
  1.6022  1.4602
  2.9355  2.8988  2.8604  2.8259  2.8001  2.7874  2.7896  2.8014  2.8123  2.8031
  2.7759  2.7372  2.6886  2.6282  2.5602  2.3854  2.2159  2.0532  1.8962  1.7446
  1.5988  1.4584  1.3227  1.1910
  2.8954  2.8722  2.8415  2.8080  2.7758  2.7493  2.7302  2.7189  2.7148  2.7194
  2.7191  2.7000  2.6627  2.6114  2.5494  2.3784  2.2096  2.0477  1.8917  1.7410
  1.5958  1.4562  1.3219  1.1919  1.0658  0.9431  0.8234  0.7065  0.5926  0.4832
  2.8192  2.8171  2.8023  2.7790  2.7514  2.7232  2.6974  2.6761  2.6584  2.6428
  2.6307  2.6223  2.6068  2.5759  2.5294  2.3710  2.2038  2.0427  1.8878  1.7383
  1.5936  1.4544  1.3207  1.1919  1.0673  0.9464  0.8286  0.7138  0.6017  0.4922
  0.3865
  2.7041  2.7265  2.7333  2.7272  2.7118  2.6906  2.6667  2.6431  2.6207  2.5992
  2.5768  2.5537  2.5324  2.5109  2.4808  2.3580  2.1975  2.0377  1.8840  1.7358
  1.5923  1.4534  1.3197  1.1913  1.0676  0.9480  0.8318  0.7187  0.6085  0.5008
  0.3952
  2.5596  2.6036  2.6321  2.6467  2.6486  2.6403  2.6250  2.6055  2.5841  2.5618
  2.5381  2.5116  2.4823  2.4523  2.4220  2.3233  2.1851  2.0297  1.8775  1.7309
  1.5889  1.4507  1.3170  1.1883  1.0647  0.9456  0.8302  0.7184  0.6097  0.5036
  0.3998
  2.3993  2.4568  2.5028  2.5371  2.5586  2.5674  2.5654  2.5552  2.5395  2.5204
  2.4989  2.4746  2.4464  2.4143  2.3794  2.2832  2.1628  2.0210  1.8726  1.7279
  1.5878  1.4514  1.3184  1.1896  1.0656  0.9464  0.8315  0.7204  0.6127  0.5081
  0.4041
  2.2362  2.2992  2.3553  2.4042  2.4429  2.4695  2.4838  2.4868  2.4808  2.4683
  2.4515  2.4314  2.4078  2.3795  2.3467  2.2488  2.1359  2.0061  1.8656  1.7239
  1.5859  1.4516  1.3203  1.1919  1.0676  0.9478  0.8325  0.7215  0.6143  0.5104
  0.4094
  2.0764  2.1402  2.2007  2.2574  2.3074  2.3487  2.3791  2.3972  2.4041  2.4017
  2.3923  2.3777  2.3637  2.3382  2.3239  2.2201  2.1044  1.9850  1.8565
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =  K   
  3.1209  3.1307  3.1415  3.1494  3.1495  3.1387  3.1147  3.0763  3.0254  2.9647
  2.8971  2.8258  2.7536  2.6816  2.6102  2.4342  2.2615  2.0929  1.9298
  3.0575  3.0612  3.0697  3.0786  3.0832  3.0791  3.0630  3.0340  2.9928  2.9406
  2.8790  2.8105  2.7387  2.6664  2.5945  2.4187  2.2481  2.0822  1.9218  1.7659
  3.0106  3.0033  3.0050  3.0111  3.0165  3.0165  3.0072  2.9869  2.9553  2.9127
  2.8596  2.7969  2.7276  2.6557  2.5837  2.4074  2.2375  2.0733  1.9147  1.7609
  1.6118
  2.9780  2.9533  2.9478  2.9515  2.9553  2.9562  2.9505  2.9364  2.9127  2.8792
  2.8356  2.7813  2.7175  2.6478  2.5762  2.3996  2.2297  2.0663  1.9089  1.7565
  1.6092  1.4667
  2.9782  2.9274  2.8949  2.8788  2.8774  2.8869  2.8942  2.8882  2.8703  2.8428
  2.8064  2.7608  2.7051  2.6402  2.5704  2.3942  2.2242  2.0611  1.9043  1.7529
  1.6067  1.4657  1.3295  1.1972
  2.9777  2.9334  2.8901  2.8522  2.8245  2.8073  2.7998  2.8011  2.8067  2.8000
  2.7751  2.7362  2.6877  2.6301  2.5646  2.3905  2.2204  2.0574  1.9010  1.7502
  1.6047  1.4646  1.3296  1.1990  1.0723  0.9489  0.8285  0.7112  0.5973  0.4881
  2.9604  2.9246  2.8844  2.8432  2.8045  2.7717  2.7462  2.7270  2.7131  2.7062
  2.7038  2.6916  2.6610  2.6139  2.5557  2.3874  2.2178  2.0550  1.8988  1.7484
  1.6034  1.4636  1.3293  1.1999  1.0746  0.9530  0.8346  0.7191  0.6065  0.4971
  0.3916
  2.9130  2.8940  2.8651  2.8301  2.7925  2.7553  2.7211  2.6913  2.6654  2.6420
  2.6213  2.6056  2.5920  2.5696  2.5317  2.3835  2.2158  2.0532  1.8973  1.7475
  1.6029  1.4634  1.3292  1.2002  1.0758  0.9554  0.8385  0.7247  0.6139  0.5058
  0.4003
  2.8263  2.8301  2.8198  2.7984  2.7697  2.7370  2.7030  2.6695  2.6377  2.6075
  2.5779  2.5486  2.5210  2.4968  2.4717  2.3674  2.2111  2.0496  1.8940  1.7446
  1.6007  1.4615  1.3272  1.1979  1.0737  0.9538  0.8377  0.7252  0.6157  0.5090
  0.4049
  2.7037  2.7298  2.7417  2.7391  2.7257  2.7040  2.6771  2.6472  2.6156  2.5834
  2.5507  2.5171  2.4824  2.4476  2.4142  2.3271  2.2020  2.0478  1.8934  1.7448
  1.6017  1.4633  1.3293  1.1998  1.0752  0.9554  0.8397  0.7279  0.6195  0.5141
  0.4114
  2.5594  2.6027  2.6334  2.6497  2.6542  2.6481  2.6335  2.6124  2.5867  2.5577
  2.5262  2.4925  2.4566  2.4187  2.3797  2.2828  2.1749  2.0409  1.8919  1.7446
  1.6025  1.4652  1.3320  1.2027  1.0777  0.9573  0.8414  0.7298  0.6218  0.5171
  0.4155
  2.4060  2.4616  2.5050  2.5366  2.5571  2.5672  2.5674  2.5589  2.5430  2.5213
  2.4951  2.4650  2.4317  2.3952  2.3682  2.2345  2.1298  2.0289  1.8895
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =  K   
  3.1720  3.1822  3.1914  3.1959  3.1915  3.1749  3.1438  3.0970  3.0375  2.9699
  2.8980  2.8246  2.7515  2.6794  2.6084  2.4343  2.2637  2.0960  1.9327
  3.1038  3.1105  3.1198  3.1277  3.1294  3.1209  3.0987  3.0618  3.0115  2.9510
  2.8834  2.8117  2.7387  2.6659  2.5941  2.4193  2.2502  2.0854  1.9250  1.7694
  3.0477  3.0466  3.0520  3.0594  3.0643  3.0620  3.0482  3.0209  2.9807  2.9291
  2.8684  2.8009  2.7295  2.6568  2.5846  2.4088  2.2399  2.0765  1.9183  1.7648
  1.6157
  3.0055  2.9943  2.9921  2.9955  3.0000  3.0006  2.9931  2.9743  2.9436  2.9018
  2.8498  2.7890  2.7215  2.6504  2.5784  2.4018  2.2325  2.0697  1.9127  1.7608
  1.6135  1.4707
  2.9903  2.9601  2.9312  2.9288  2.9363  2.9414  2.9380  2.9250  2.9017  2.8684
  2.8254  2.7731  2.7121  2.6446  2.5740  2.3975  2.2276  2.0649  1.9085  1.7576
  1.6115  1.4703  1.3338  1.2012
  2.9914  2.9460  2.9053  2.8753  2.8584  2.8537  2.8583  2.8627  2.8550  2.8320
  2.7967  2.7518  2.6985  2.6371  2.5698  2.3948  2.2247  2.0618  1.9056  1.7552
  1.6100  1.4697  1.3345  1.2036  1.0765  0.9526  0.8319  0.7144  0.6004  0.4913
  2.9908  2.9466  2.9021  2.8603  2.8250  2.7984  2.7797  2.7669  2.7601  2.7574
  2.7480  2.7217  2.6789  2.6251  2.5636  2.3930  2.2231  2.0601  1.9039  1.7538
  1.6090  1.4693  1.3348  1.2050  1.0793  0.9573  0.8384  0.7227  0.6098  0.5003
  0.3951
  2.9715  2.9369  2.8972  2.8552  2.8138  2.7759  2.7433  2.7162  2.6926  2.6718
  2.6555  2.6436  2.6273  2.5965  2.5494  2.3910  2.2223  2.0594  1.9032  1.7533
  1.6089  1.4695  1.3352  1.2059  1.0811  0.9603  0.8430  0.7288  0.6176  0.5092
  0.4037
  2.9206  2.9037  2.8764  2.8420  2.8037  2.7641  2.7258  2.6904  2.6579  2.6277
  2.5986  2.5710  2.5469  2.5256  2.4995  2.3826  2.2195  2.0570  1.9009  1.7511
  1.6070  1.4678  1.3335  1.2041  1.0795  0.9592  0.8427  0.7297  0.6198  0.5128
  0.4084
  2.8309  2.8358  2.8283  2.8085  2.7806  2.7472  2.7112  2.6743  2.6380  2.6027
  2.5682  2.5336  2.4990  2.4657  2.4351  2.3494  2.2164  2.0572  1.9017  1.7523
  1.6087  1.4700  1.3358  1.2062  1.0815  0.9613  0.8452  0.7330  0.6241  0.5183
  0.4152
  2.7084  2.7343  2.7466  2.7462  2.7339  2.7128  2.6853  2.6537  2.6195  2.5839
  2.5475  2.5102  2.4720  2.4330  2.3940  2.3015  2.1940  2.0551  1.9022  1.7536
  1.6105  1.4725  1.3389  1.2094  1.0843  0.9636  0.8474  0.7353  0.6269  0.5218
  0.4197
  2.5660  2.6082  2.6379  2.6551  2.6600  2.6544  2.6399  2.6184  2.5915  2.5607
  2.5268  2.4905  2.4520  2.4117  2.3762  2.2389  2.1523  2.0507  1.9024
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =  K   
  3.2269  3.2365  3.2433  3.2435  3.2334  3.2100  3.1708  3.1151  3.0474  2.9739
  2.8984  2.8231  2.7490  2.6765  2.6056  2.4332  2.2651  2.0991  1.9360
  3.1552  3.1640  3.1731  3.1785  3.1760  3.1621  3.1330  3.0875  3.0283  2.9601
  2.8873  2.8128  2.7385  2.6652  2.5932  2.4192  2.2517  2.0882  1.9285  1.7733
  3.0923  3.0956  3.1031  3.1106  3.1137  3.1078  3.0887  3.0539  3.0047  2.9443
  2.8766  2.8047  2.7313  2.6578  2.5853  2.4098  2.2419  2.0797  1.9220  1.7691
  1.6201
  3.0419  3.0358  3.0379  3.0438  3.0488  3.0484  3.0378  3.0132  2.9746  2.9237
  2.8633  2.7963  2.7254  2.6529  2.5804  2.4038  2.2352  2.0733  1.9168  1.7655
  1.6184  1.4755
  3.0043  2.9832  2.9784  2.9813  2.9857  2.9875  2.9822  2.9661  2.9372  2.8963
  2.8449  2.7850  2.7188  2.6488  2.5772  2.4004  2.2310  2.0689  1.9130  1.7626
  1.6169  1.4756  1.3388  1.2059
  3.0011  2.9577  2.9260  2.9101  2.9091  2.9166  2.9214  2.9146  2.8947  2.8626
  2.8201  2.7685  2.7091  2.6436  2.5744  2.3986  2.2287  2.0662  1.9104  1.7606
  1.6158  1.4756  1.3401  1.2089  1.0815  0.9574  0.8363  0.7183  0.6041  0.4951
  3.0053  2.9581  2.9141  2.8773  2.8511  2.8356  2.8279  2.8253  2.8230  2.8124
  2.7864  2.7456  2.6941  2.6351  2.5702  2.3978  2.2278  2.0650  1.9091  1.7594
  1.6151  1.4757  1.3411  1.2109  1.0849  0.9625  0.8432  0.7270  0.6138  0.5042
  0.3992
  3.0027  2.9588  2.9139  2.8703  2.8307  2.7977  2.7717  2.7505  2.7318  2.7161
  2.7038  2.6888  2.6613  2.6178  2.5618  2.3970  2.2278  2.0648  1.9089  1.7592
  1.6152  1.4761  1.3420  1.2124  1.0874  0.9661  0.8483  0.7336  0.6219  0.5133
  0.4078
  2.9814  2.9479  2.9088  2.8668  2.8241  2.7831  2.7458  2.7127  2.6828  2.6544
  2.6271  2.6025  2.5815  2.5592  2.5273  2.3926  2.2262  2.0633  1.9071  1.7574
  1.6135  1.4746  1.3406  1.2112  1.0863  0.9657  0.8487  0.7352  0.6248  0.5173
  0.4127
  2.9286  2.9123  2.8869  2.8536  2.8154  2.7748  2.7339  2.6945  2.6573  2.6220
  2.5876  2.5533  2.5200  2.4891  2.4607  2.3704  2.2262  2.0648  1.9089  1.7593
  1.6156  1.4770  1.3431  1.2136  1.0888  0.9683  0.8518  0.7391  0.6297  0.5234
  0.4198
  2.8376  2.8430  2.8359  2.8184  2.7913  2.7580  2.7208  2.6817  2.6422  2.6031
  2.5646  2.5261  2.4873  2.4484  2.4105  2.3220  2.2118  2.0655  1.9107  1.7615
  1.6181  1.4799  1.3464  1.2170  1.0919  0.9711  0.8546  0.7421  0.6332  0.5275
  0.4249
  2.7160  2.7412  2.7538  2.7538  2.7431  2.7224  2.6946  2.6619  2.6258  2.5877
  2.5484  2.5082  2.4672  2.4253  2.3767  2.2474  2.1830  2.0654  1.9125
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =  K   
  3.2809  3.2889  3.2921  3.2873  3.2708  3.2399  3.1921  3.1276  3.0531  2.9752
  2.8971  2.8201  2.7451  2.6720  2.6009  2.4298  2.2643  2.1008  1.9388
  3.2081  3.2176  3.2251  3.2270  3.2193  3.1987  3.1618  3.1074  3.0400  2.9657
  2.8891  2.8125  2.7369  2.6629  2.5907  2.4172  2.2514  2.0899  1.9312  1.7764
  3.1401  3.1466  3.1550  3.1611  3.1608  3.1499  3.1243  3.0814  3.0234  2.9553
  2.8821  2.8069  2.7317  2.6574  2.5845  2.4090  2.2423  2.0815  1.9248  1.7725
  1.6240
  3.0817  3.0813  3.0864  3.0931  3.0971  3.0939  3.0788  3.0477  3.0008  2.9412
  2.8735  2.8015  2.7278  2.6540  2.5810  2.4042  2.2363  2.0754  1.9198  1.7691
  1.6226  1.4799
  3.0357  3.0251  3.0234  3.0272  3.0319  3.0330  3.0259  3.0057  2.9701  2.9208
  2.8610  2.7943  2.7237  2.6514  2.5790  2.4018  2.2327  2.0714  1.9163  1.7665
  1.6214  1.4804  1.3435  1.2103
