 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F606W
 -1.7633 -1.2630 -0.9559 -0.8768 -1.0876 -1.4300 -1.8836 -1.7676 -1.6550 -1.5332
 -1.4044 -1.3124 -1.1676 -1.0228 -0.8886 -0.6169 -0.4005 -0.2490 -0.1390
 -2.5709 -2.2474 -2.0144 -1.8628 -1.7666 -1.6808 -1.5912 -1.5017 -1.4144 -1.3271
 -1.2298 -1.1179 -0.9969 -0.8785 -0.7685 -0.5346 -0.3568 -0.2298 -0.1419 -0.0797
 -2.3989 -2.0971 -1.8590 -1.6758 -1.5420 -1.4535 -1.3969 -1.3388 -1.2642 -1.1777
 -1.0911 -1.0010 -0.8993 -0.7944 -0.6961 -0.4903 -0.3362 -0.2260 -0.1485 -0.0925
 -0.0505
 -2.2673 -1.9981 -1.7763 -1.5931 -1.4446 -1.3291 -1.2423 -1.1788 -1.1267 -1.0647
 -0.9873 -0.9075 -0.8232 -0.7326 -0.6443 -0.4582 -0.3214 -0.2251 -0.1570 -0.1064
 -0.0676 -0.0368
 -2.1355 -1.9043 -1.7082 -1.5381 -1.3905 -1.2657 -1.1642 -1.0828 -1.0154 -0.9566
 -0.8970 -0.8300 -0.7599 -0.6832 -0.6056 -0.4353 -0.3099 -0.2240 -0.1646 -0.1200
 -0.0847 -0.0563 -0.0329 -0.0122
 -1.9948 -1.8001 -1.6330 -1.4836 -1.3471 -1.2239 -1.1164 -1.0262 -0.9507 -0.8844
 -0.8227 -0.7621 -0.7025 -0.6388 -0.5720 -0.4179 -0.3002 -0.2205 -0.1686 -0.1307
 -0.1003 -0.0752 -0.0541 -0.0363 -0.0204 -0.0078 -0.0003  0.0010 -0.0052 -0.0193
 -1.8519 -1.6857 -1.5455 -1.4185 -1.2991 -1.1857 -1.0801 -0.9861 -0.9056 -0.8363
 -0.7733 -0.7133 -0.6554 -0.5986 -0.5406 -0.4027 -0.2913 -0.2145 -0.1671 -0.1359
 -0.1117 -0.0913 -0.0740 -0.0589 -0.0454 -0.0321 -0.0214 -0.0163 -0.0193 -0.0313
 -0.0504
 -1.7093 -1.5674 -1.4482 -1.3410 -1.2398 -1.1409 -1.0438 -0.9522 -0.8697 -0.7975
 -0.7343 -0.6762 -0.6205 -0.5667 -0.5131 -0.3875 -0.2834 -0.2074 -0.1609 -0.1341
 -0.1163 -0.1022 -0.0900 -0.0791 -0.0690 -0.0597 -0.0498 -0.0421 -0.0400 -0.0462
 -0.0623
 -1.5705 -1.4509 -1.3457 -1.2535 -1.1678 -1.0834 -0.9988 -0.9150 -0.8350 -0.7622
 -0.6980 -0.6410 -0.5884 -0.5381 -0.4885 -0.3713 -0.2736 -0.2001 -0.1525 -0.1266
 -0.1132 -0.1056 -0.0999 -0.0946 -0.0893 -0.0839 -0.0786 -0.0753 -0.0742 -0.0751
 -0.0778
 -1.4354 -1.3362 -1.2473 -1.1640 -1.0887 -1.0169 -0.9449 -0.8718 -0.7991 -0.7292
 -0.6650 -0.6081 -0.5573 -0.5105 -0.4655 -0.3572 -0.2644 -0.1933 -0.1449 -0.1174
 -0.1049 -0.1013 -0.1017 -0.1031 -0.1039 -0.1038 -0.1030 -0.1018 -0.1053 -0.1048
 -0.1015
 -1.3041 -1.2233 -1.1530 -1.0781 -1.0077 -0.9434 -0.8815 -0.8192 -0.7559 -0.6929
 -0.6320 -0.5757 -0.5256 -0.4810 -0.4398 -0.3425 -0.2546 -0.1858 -0.1376 -0.1085
 -0.0949 -0.0921 -0.0962 -0.1033 -0.1107 -0.1170 -0.1221 -0.1259 -0.1286 -0.1312
 -0.1347
 -1.1767 -1.1122 -1.0628 -0.9967 -0.9296 -0.8690 -0.8128 -0.7585 -0.7043 -0.6498
 -0.5954 -0.5428 -0.4940 -0.4504 -0.4114 -0.3272 -0.2442 -0.1776 -0.1306
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F606W
 -3.2724 -2.7442 -2.3290 -2.0390 -1.8938 -1.8365 -1.8564 -1.7167 -1.5842 -1.4531
 -1.3198 -1.1989 -1.0627 -0.9337 -0.8157 -0.5711 -0.3786 -0.2364 -0.1331
 -3.0585 -2.6671 -2.3811 -2.1398 -1.9322 -1.7603 -1.6187 -1.4987 -1.3903 -1.2856
 -1.1783 -1.0642 -0.9459 -0.8324 -0.7281 -0.5105 -0.3444 -0.2216 -0.1345 -0.0711
 -2.7917 -2.3742 -2.0592 -1.8325 -1.6829 -1.5714 -1.4619 -1.3536 -1.2531 -1.1602
 -1.0702 -0.9764 -0.8739 -0.7701 -0.6734 -0.4737 -0.3253 -0.2170 -0.1400 -0.0841
 -0.0420
 -2.6530 -2.2510 -1.9372 -1.6962 -1.5151 -1.3834 -1.2960 -1.2335 -1.1630 -1.0782
 -0.9913 -0.9077 -0.8212 -0.7284 -0.6395 -0.4508 -0.3136 -0.2157 -0.1470 -0.0968
 -0.0580 -0.0274
 -2.5561 -2.1821 -1.8845 -1.6483 -1.4605 -1.3131 -1.1993 -1.1132 -1.0510 -0.9979
 -0.9324 -0.8569 -0.7788 -0.6972 -0.6148 -0.4366 -0.3063 -0.2153 -0.1534 -0.1088
 -0.0740 -0.0458 -0.0228 -0.0040
 -2.4609 -2.1220 -1.8481 -1.6258 -1.4423 -1.2899 -1.1648 -1.0637 -0.9818 -0.9146
 -0.8579 -0.8008 -0.7378 -0.6681 -0.5946 -0.4267 -0.3008 -0.2136 -0.1567 -0.1181
 -0.0882 -0.0636 -0.0430 -0.0258 -0.0113  0.0003  0.0079  0.0096  0.0013 -0.0135
 -2.3556 -2.0526 -1.8061 -1.6025 -1.4301 -1.2814 -1.1525 -1.0427 -0.9506 -0.8730
 -0.8053 -0.7446 -0.6886 -0.6315 -0.5696 -0.4171 -0.2952 -0.2098 -0.1556 -0.1223
 -0.0985 -0.0788 -0.0620 -0.0475 -0.0349 -0.0240 -0.0158 -0.0110 -0.0124 -0.0249
 -0.0442
 -2.2416 -1.9725 -1.7528 -1.5691 -1.4111 -1.2712 -1.1457 -1.0330 -0.9343 -0.8497
 -0.7763 -0.7108 -0.6512 -0.5951 -0.5402 -0.4043 -0.2888 -0.2043 -0.1507 -0.1204
 -0.1024 -0.0889 -0.0773 -0.0670 -0.0576 -0.0491 -0.0420 -0.0367 -0.0342 -0.0394
 -0.0562
 -2.1216 -1.8829 -1.6864 -1.5217 -1.3790 -1.2507 -1.1325 -1.0229 -0.9226 -0.8332
 -0.7552 -0.6868 -0.6250 -0.5680 -0.5139 -0.3876 -0.2796 -0.1972 -0.1430 -0.1132
 -0.0991 -0.0918 -0.0866 -0.0819 -0.0773 -0.0726 -0.0682 -0.0645 -0.0624 -0.0635
 -0.0714
 -2.0076 -1.7958 -1.6180 -1.4684 -1.3388 -1.2218 -1.1127 -1.0094 -0.9120 -0.8216
 -0.7401 -0.6682 -0.6051 -0.5482 -0.4951 -0.3733 -0.2704 -0.1907 -0.1357 -0.1043
 -0.0908 -0.0874 -0.0882 -0.0900 -0.0914 -0.0920 -0.0921 -0.0917 -0.0916 -0.0927
 -0.0946
 -1.9030 -1.7130 -1.5500 -1.4116 -1.2917 -1.1842 -1.0838 -0.9880 -0.8961 -0.8085
 -0.7266 -0.6521 -0.5864 -0.5289 -0.4770 -0.3604 -0.2610 -0.1836 -0.1287 -0.0955
 -0.0806 -0.0780 -0.0825 -0.0901 -0.0980 -0.1049 -0.1108 -0.1154 -0.1191 -0.1227
 -0.1271
 -1.8077 -1.6373 -1.4876 -1.3568 -1.2430 -1.1417 -1.0482 -0.9593 -0.8736 -0.7908
