 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F350LP
 -1.8234 -1.7403 -1.6481 -1.5601 -1.4871 -1.4413 -1.5170 -1.4823 -1.4355 -1.3694
 -1.2878 -1.2165 -1.1196 -1.0172 -0.9201 -0.7102 -0.5443 -0.4189 -0.3170
 -1.7462 -1.6156 -1.5259 -1.4730 -1.4483 -1.4228 -1.3871 -1.3452 -1.2997 -1.2499
 -1.1876 -1.1093 -1.0199 -0.9301 -0.8455 -0.6616 -0.5148 -0.4014 -0.3161 -0.2510
 -1.6724 -1.5565 -1.4555 -1.3728 -1.3122 -1.2767 -1.2607 -1.2403 -1.2031 -1.1518
 -1.0966 -1.0344 -0.9585 -0.8770 -0.7990 -0.6307 -0.4975 -0.3945 -0.3168 -0.2572
 -0.2102
 -1.6063 -1.5043 -1.4100 -1.3250 -1.2519 -1.1932 -1.1496 -1.1202 -1.0979 -1.0661
 -1.0187 -0.9658 -0.9043 -0.8334 -0.7619 -0.6057 -0.4837 -0.3903 -0.3197 -0.2654
 -0.2223 -0.1870
 -1.5234 -1.4408 -1.3609 -1.2840 -1.2117 -1.1467 -1.0914 -1.0457 -1.0076 -0.9746
 -0.9398 -0.8973 -0.8495 -0.7922 -0.7302 -0.5858 -0.4721 -0.3868 -0.3232 -0.2743
 -0.2353 -0.2032 -0.1758 -0.1514
 -1.4236 -1.3606 -1.2983 -1.2352 -1.1714 -1.1090 -1.0507 -0.9990 -0.9537 -0.9124
 -0.8730 -0.8334 -0.7933 -0.7476 -0.6966 -0.5687 -0.4621 -0.3825 -0.3251 -0.2818
 -0.2475 -0.2191 -0.1949 -0.1738 -0.1536 -0.1354 -0.1213 -0.1125 -0.1103 -0.1152
 -1.3146 -1.2661 -1.2206 -1.1730 -1.1219 -1.0680 -1.0135 -0.9612 -0.9134 -0.8698
 -0.8284 -0.7875 -0.7471 -0.7063 -0.6626 -0.5513 -0.4526 -0.3770 -0.3237 -0.2857
 -0.2566 -0.2328 -0.2127 -0.1949 -0.1787 -0.1629 -0.1491 -0.1391 -0.1343 -0.1363
 -0.1469
 -1.1985 -1.1639 -1.1312 -1.0972 -1.0599 -1.0179 -0.9716 -0.9238 -0.8774 -0.8335
 -0.7925 -0.7528 -0.7134 -0.6742 -0.6338 -0.5336 -0.4431 -0.3707 -0.3194 -0.2848
 -0.2606 -0.2420 -0.2267 -0.2133 -0.2009 -0.1893 -0.1772 -0.1667 -0.1604 -0.1604
 -0.1680
 -1.0836 -1.0594 -1.0354 -1.0116 -0.9857 -0.9553 -0.9200 -0.8804 -0.8388 -0.7974
 -0.7578 -0.7201 -0.6833 -0.6467 -0.6092 -0.5161 -0.4323 -0.3636 -0.3131 -0.2798
 -0.2587 -0.2449 -0.2350 -0.2268 -0.2193 -0.2119 -0.2048 -0.1992 -0.1952 -0.1927
 -0.1915
 -0.9699 -0.9526 -0.9389 -0.9218 -0.9038 -0.8834 -0.8586 -0.8290 -0.7954 -0.7596
 -0.7233 -0.6880 -0.6541 -0.6208 -0.5872 -0.5015 -0.4227 -0.3571 -0.3074 -0.2736
 -0.2531 -0.2421 -0.2366 -0.2339 -0.2319 -0.2298 -0.2274 -0.2247 -0.2257 -0.2234
 -0.2193
 -0.8574 -0.8435 -0.8417 -0.8326 -0.8188 -0.8047 -0.7883 -0.7681 -0.7437 -0.7157
 -0.6852 -0.6539 -0.6231 -0.5931 -0.5633 -0.4872 -0.4130 -0.3503 -0.3017 -0.2675
 -0.2463 -0.2356 -0.2324 -0.2338 -0.2371 -0.2407 -0.2439 -0.2463 -0.2480 -0.2495
 -0.2518
 -0.7461 -0.7321 -0.7438 -0.7448 -0.7344 -0.7240 -0.7128 -0.6996 -0.6834 -0.6639
 -0.6410 -0.6159 -0.5895 -0.5630 -0.5375 -0.4732 -0.4032 -0.3432 -0.2960
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =F350LP
 -1.9181 -1.8334 -1.7518 -1.6759 -1.6062 -1.5463 -1.5282 -1.4735 -1.4104 -1.3366
 -1.2514 -1.1645 -1.0671 -0.9716 -0.8824 -0.6896 -0.5348 -0.4135 -0.3172
 -1.8038 -1.6964 -1.6237 -1.5569 -1.4929 -1.4366 -1.3871 -1.3401 -1.2902 -1.2333
 -1.1658 -1.0859 -0.9975 -0.9099 -0.8275 -0.6510 -0.5102 -0.3994 -0.3141 -0.2476
 -1.7543 -1.6137 -1.4980 -1.4132 -1.3646 -1.3326 -1.2935 -1.2463 -1.1970 -1.1469
 -1.0919 -1.0274 -0.9504 -0.8687 -0.7907 -0.6242 -0.4939 -0.3921 -0.3140 -0.2538
 -0.2062
 -1.7250 -1.5837 -1.4589 -1.3545 -1.2726 -1.2137 -1.1799 -1.1605 -1.1309 -1.0846
 -1.0313 -0.9752 -0.9111 -0.8376 -0.7650 -0.6051 -0.4822 -0.3878 -0.3161 -0.2609
 -0.2172 -0.1814
 -1.6885 -1.5579 -1.4386 -1.3332 -1.2430 -1.1687 -1.1103 -1.0663 -1.0374 -1.0137
 -0.9774 -0.9296 -0.8745 -0.8111 -0.7435 -0.5915 -0.4738 -0.3850 -0.3188 -0.2687
 -0.2290 -0.1965 -0.1690 -0.1454
 -1.6340 -1.5202 -1.4135 -1.3158 -1.2275 -1.1492 -1.0817 -1.0252 -0.9780 -0.9389
 -0.9064 -0.8724 -0.8317 -0.7815 -0.7236 -0.5810 -0.4673 -0.3822 -0.3205 -0.2753
 -0.2401 -0.2114 -0.1871 -0.1660 -0.1474 -0.1312 -0.1179 -0.1082 -0.1048 -0.1095
 -1.5604 -1.4647 -1.3741 -1.2888 -1.2086 -1.1335 -1.0644 -1.0025 -0.9481 -0.9000
 -0.8566 -0.8169 -0.7802 -0.7410 -0.6951 -0.5705 -0.4613 -0.3786 -0.3197 -0.2787
 -0.2484 -0.2242 -0.2039 -0.1862 -0.1704 -0.1561 -0.1438 -0.1341 -0.1284 -0.1306
 -0.1412
 -1.4721 -1.3934 -1.3188 -1.2476 -1.1787 -1.1115 -1.0465 -0.9844 -0.9271 -0.8753
 -0.8278 -0.7834 -0.7421 -0.7024 -0.6623 -0.5551 -0.4545 -0.3740 -0.3166 -0.2781
 -0.2521 -0.2328 -0.2172 -0.2039 -0.1918 -0.1805 -0.1706 -0.1620 -0.1554 -0.1544
 -0.1622
 -1.3746 -1.3100 -1.2492 -1.1911 -1.1344 -1.0775 -1.0199 -0.9623 -0.9064 -0.8535
 -0.8046 -0.7592 -0.7161 -0.6749 -0.6346 -0.5359 -0.4443 -0.3678 -0.3112 -0.2736
 -0.2503 -0.2355 -0.2252 -0.2169 -0.2096 -0.2025 -0.1960 -0.1900 -0.1852 -0.1828
 -0.1856
 -1.2764 -1.2228 -1.1726 -1.1252 -1.0790 -1.0324 -0.9840 -0.9337 -0.8826 -0.8320
 -0.7835 -0.7380 -0.6954 -0.6548 -0.6152 -0.5200 -0.4340 -0.3616 -0.3059 -0.2679
 -0.2451 -0.2328 -0.2267 -0.2237 -0.2218 -0.2199 -0.2181 -0.2160 -0.2141 -0.2132
 -0.2131
 -1.1815 -1.1358 -1.0925 -1.0529 -1.0150 -0.9771 -0.9375 -0.8954 -0.8512 -0.8057
 -0.7601 -0.7160 -0.6743 -0.6350 -0.5973 -0.5066 -0.4241 -0.3548 -0.3005 -0.2620
 -0.2384 -0.2264 -0.2226 -0.2237 -0.2269 -0.2307 -0.2343 -0.2372 -0.2396 -0.2420
 -0.2450
 -1.0927 -1.0521 -1.0142 -0.9790 -0.9464 -0.9149 -0.8825 -0.8479 -0.8111 -0.7722
 -0.7318 -0.6911 -0.6524 -0.6136 -0.5809 -0.4957 -0.4146 -0.3474 -0.2950
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =F350LP
 -2.1366 -2.0483 -1.9696 -1.8959 -1.8225 -1.7432 -1.6526 -1.5492 -1.4416 -1.3353
 -1.2302 -1.1267 -1.0264 -0.9342 -0.8499 -0.6696 -0.5243 -0.4075 -0.3150
 -2.0289 -1.9245 -1.8310 -1.7456 -1.6654 -1.5874 -1.5075 -1.4221 -1.3350 -1.2482
 -1.1603 -1.0695 -0.9775 -0.8898 -0.8090 -0.6378 -0.5029 -0.3957 -0.3112 -0.2449
 -1.9184 -1.7988 -1.7108 -1.6310 -1.5502 -1.4725 -1.3977 -1.3232 -1.2493 -1.1764
 -1.1029 -1.0255 -0.9427 -0.8596 -0.7816 -0.6164 -0.4883 -0.3883 -0.3101 -0.2489
 -0.2004
 -1.8805 -1.7264 -1.5951 -1.4899 -1.4143 -1.3639 -1.3121 -1.2502 -1.1836 -1.1174
 -1.0524 -0.9867 -0.9153 -0.8386 -0.7636 -0.6029 -0.4793 -0.3843 -0.3111 -0.2545
 -0.2098 -0.1734
 -1.8665 -1.7041 -1.5571 -1.4309 -1.3267 -1.2466 -1.1906 -1.1520 -1.1190 -1.0717
 -1.0131 -0.9518 -0.8893 -0.8216 -0.7511 -0.5946 -0.4740 -0.3824 -0.3131 -0.2606
 -0.2198 -0.1868 -0.1591 -0.1357
 -1.8510 -1.6926 -1.5446 -1.4132 -1.3007 -1.2069 -1.1303 -1.0691 -1.0231 -0.9918
 -0.9610 -0.9178 -0.8640 -0.8041 -0.7400 -0.5890 -0.4705 -0.3812 -0.3149 -0.2660
 -0.2292 -0.1999 -0.1755 -0.1547 -0.1366 -0.1209 -0.1083 -0.0998 -0.0966 -0.1012
 -1.8198 -1.6739 -1.5335 -1.4057 -1.2928 -1.1948 -1.1110 -1.0400 -0.9803 -0.9302
 -0.8898 -0.8570 -0.8221 -0.7782 -0.7253 -0.5843 -0.4676 -0.3797 -0.3153 -0.2692
 -0.2363 -0.2113 -0.1908 -0.1733 -0.1580 -0.1445 -0.1333 -0.1245 -0.1196 -0.1218
 -0.1324
 -1.7673 -1.6383 -1.5116 -1.3931 -1.2858 -1.1900 -1.1049 -1.0295 -0.9633 -0.9054
 -0.8541 -0.8089 -0.7703 -0.7347 -0.6951 -0.5771 -0.4644 -0.3774 -0.3138 -0.2695
 -0.2397 -0.2189 -0.2029 -0.1897 -0.1781 -0.1677 -0.1588 -0.1512 -0.1456 -0.1454
 -0.1534
 -1.6942 -1.5829 -1.4722 -1.3667 -1.2690 -1.1796 -1.0979 -1.0230 -0.9545 -0.8924
 -0.8363 -0.7854 -0.7392 -0.6976 -0.6591 -0.5595 -0.4582 -0.3731 -0.3101 -0.2664
 -0.2385 -0.2214 -0.2101 -0.2018 -0.1948 -0.1885 -0.1829 -0.1780 -0.1743 -0.1738
 -0.1767
 -1.6111 -1.5160 -1.4206 -1.3286 -1.2420 -1.1613 -1.0859 -1.0148 -0.9479 -0.8851
 -0.8267 -0.7731 -0.7236 -0.6781 -0.6359 -0.5398 -0.4489 -0.3686 -0.3061 -0.2621
 -0.2344 -0.2191 -0.2116 -0.2081 -0.2063 -0.2050 -0.2039 -0.2029 -0.2021 -0.2024
 -0.2036
 -1.5252 -1.4419 -1.3591 -1.2793 -1.2038 -1.1324 -1.0645 -0.9993 -0.9364 -0.8759
 -0.8181 -0.7637 -0.7129 -0.6658 -0.6219 -0.5237 -0.4376 -0.3623 -0.3015 -0.2572
 -0.2287 -0.2134 -0.2078 -0.2081 -0.2112 -0.2152 -0.2195 -0.2233 -0.2267 -0.2302
 -0.2344
 -1.4416 -1.3665 -1.2935 -1.2231 -1.1569 -1.0943 -1.0341 -0.9753 -0.9178 -0.8613
 -0.8063 -0.7532 -0.7012 -0.6533 -0.6171 -0.5112 -0.4243 -0.3542 -0.2963
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =F350LP
 -2.4788 -2.3851 -2.3014 -2.2200 -2.1359 -2.0318 -1.8902 -1.7094 -1.5291 -1.3655
 -1.2242 -1.1032 -0.9974 -0.9049 -0.8225 -0.6503 -0.5127 -0.4009 -0.3104
 -2.3353 -2.2298 -2.1379 -2.0519 -1.9649 -1.8674 -1.7423 -1.5920 -1.4408 -1.2998
 -1.1731 -1.0607 -0.9607 -0.8713 -0.7910 -0.6237 -0.4931 -0.3894 -0.3063 -0.2397
 -2.2299 -2.1147 -2.0131 -1.9195 -1.8284 -1.7341 -1.6258 -1.4996 -1.3710 -1.2485
 -1.1355 -1.0321 -0.9371 -0.8503 -0.7716 -0.6073 -0.4808 -0.3822 -0.3042 -0.2420
 -0.1923
 -2.1068 -1.9859 -1.8927 -1.8066 -1.7173 -1.6250 -1.5275 -1.4204 -1.3100 -1.2030
 -1.1026 -1.0090 -0.9207 -0.8375 -0.7605 -0.5983 -0.4740 -0.3784 -0.3041 -0.2456
 -0.1994 -0.1621
 -2.0557 -1.8936 -1.7600 -1.6520 -1.5672 -1.4997 -1.4307 -1.3474 -1.2548 -1.1612
 -1.0711 -0.9865 -0.9061 -0.8283 -0.7539 -0.5938 -0.4707 -0.3770 -0.3052 -0.2498
 -0.2069 -0.1728 -0.1449 -0.1217
 -2.0423 -1.8703 -1.7135 -1.5760 -1.4600 -1.3639 -1.2855 -1.2230 -1.1706 -1.1109
 -1.0399 -0.9644 -0.8905 -0.8191 -0.7489 -0.5918 -0.4694 -0.3767 -0.3067 -0.2538
 -0.2139 -0.1832 -0.1585 -0.1380 -0.1207 -0.1064 -0.0951 -0.0877 -0.0853 -0.0896
 -2.0396 -1.8652 -1.6997 -1.5491 -1.4178 -1.3059 -1.2114 -1.1314 -1.0646 -1.0124
 -0.9708 -0.9260 -0.8703 -0.8074 -0.7427 -0.5908 -0.4689 -0.3766 -0.3077 -0.2567
 -0.2194 -0.1921 -0.1711 -0.1539 -0.1395 -0.1273 -0.1175 -0.1104 -0.1069 -0.1095
 -0.1195
 -2.0286 -1.8618 -1.6979 -1.5438 -1.4056 -1.2858 -1.1832 -1.0955 -1.0200 -0.9552
 -0.9003 -0.8561 -0.8186 -0.7775 -0.7285 -0.5894 -0.4686 -0.3763 -0.3077 -0.2578
 -0.2225 -0.1983 -0.1811 -0.1680 -0.1572 -0.1480 -0.1406 -0.1349 -0.1316 -0.1322
 -0.1401
 -1.9966 -1.8437 -1.6892 -1.5398 -1.4022 -1.2804 -1.1742 -1.0820 -1.0017 -0.9315
 -0.8696 -0.8153 -0.7683 -0.7284 -0.6909 -0.5818 -0.4666 -0.3743 -0.3058 -0.2563
 -0.2223 -0.2005 -0.1871 -0.1784 -0.1720 -0.1668 -0.1628 -0.1596 -0.1579 -0.1591
 -0.1632
 -1.9463 -1.8102 -1.6689 -1.5306 -1.3995 -1.2800 -1.1744 -1.0811 -0.9985 -0.9249
 -0.8589 -0.7998 -0.7466 -0.6991 -0.6570 -0.5623 -0.4631 -0.3730 -0.3039 -0.2541
 -0.2202 -0.1995 -0.1887 -0.1840 -0.1823 -0.1818 -0.1821 -0.1827 -0.1838 -0.1861
 -0.1903
 -1.8832 -1.7610 -1.6340 -1.5084 -1.3873 -1.2749 -1.1732 -1.0817 -0.9995 -0.9250
 -0.8569 -0.7948 -0.7381 -0.6866 -0.6398 -0.5408 -0.4527 -0.3698 -0.3014 -0.2509
 -0.2163 -0.1955 -0.1860 -0.1843 -0.1868 -0.1912 -0.1964 -0.2016 -0.2067 -0.2121
 -0.2182
 -1.8140 -1.7035 -1.5894 -1.4755 -1.3653 -1.2619 -1.1664 -1.0789 -0.9990 -0.9255
 -0.8575 -0.7944 -0.7359 -0.6819 -0.6393 -0.5173 -0.4354 -0.3647 -0.2983
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =F350LP
 -2.6963 -2.5992 -2.5101 -2.4211 -2.3291 -2.2106 -2.0410 -1.8170 -1.5919 -1.3930
 -1.2291 -1.0968 -0.9873 -0.8933 -0.8107 -0.6409 -0.5065 -0.3974 -0.3072
 -2.5277 -2.4203 -2.3262 -2.2377 -2.1469 -2.0409 -1.8938 -1.7067 -1.5149 -1.3394
 -1.1881 -1.0618 -0.9557 -0.8643 -0.7836 -0.6173 -0.4881 -0.3857 -0.3035 -0.2369
 -2.4058 -2.2865 -2.1833 -2.0894 -1.9981 -1.9003 -1.7757 -1.6196 -1.4558 -1.3004
 -1.1613 -1.0409 -0.9374 -0.8474 -0.7676 -0.6032 -0.4771 -0.3789 -0.3011 -0.2385
 -0.1881
 -2.2859 -2.1731 -2.0684 -1.9703 -1.8755 -1.7794 -1.6720 -1.5418 -1.4020 -1.2655
 -1.1393 -1.0264 -0.9266 -0.8383 -0.7594 -0.5960 -0.4712 -0.3753 -0.3006 -0.2413
 -0.1940 -0.1560
 -2.1984 -2.0538 -1.9176 -1.8301 -1.7534 -1.6708 -1.5762 -1.4675 -1.3489 -1.2298
 -1.1166 -1.0126 -0.9183 -0.8329 -0.7553 -0.5930 -0.4688 -0.3740 -0.3014 -0.2447
 -0.2003 -0.1652 -0.1368 -0.1134
 -2.1492 -1.9690 -1.8213 -1.6964 -1.5927 -1.5072 -1.4364 -1.3662 -1.2833 -1.1885
 -1.0907 -0.9966 -0.9090 -0.8281 -0.7531 -0.5924 -0.4682 -0.3740 -0.3026 -0.2480
 -0.2062 -0.1741 -0.1487 -0.1280 -0.1110 -0.0970 -0.0864 -0.0798 -0.0779 -0.0823
 -2.1315 -1.9524 -1.7875 -1.6398 -1.5120 -1.4028 -1.3087 -1.2265 -1.1566 -1.0977
 -1.0389 -0.9708 -0.8960 -0.8215 -0.7503 -0.5928 -0.4687 -0.3744 -0.3037 -0.2506
 -0.2110 -0.1817 -0.1596 -0.1422 -0.1280 -0.1164 -0.1074 -0.1012 -0.0985 -0.1015
 -0.1111
 -2.1325 -1.9537 -1.7825 -1.6234 -1.4809 -1.3572 -1.2510 -1.1587 -1.0775 -1.0068
 -0.9482 -0.9009 -0.8555 -0.8029 -0.7432 -0.5933 -0.4695 -0.3749 -0.3042 -0.2519
 -0.2139 -0.1871 -0.1685 -0.1548 -0.1442 -0.1356 -0.1289 -0.1243 -0.1220 -0.1235
 -0.1315
 -2.1220 -1.9511 -1.7833 -1.6218 -1.4729 -1.3410 -1.2267 -1.1279 -1.0419 -0.9664
 -0.8998 -0.8422 -0.7939 -0.7529 -0.7119 -0.5901 -0.4690 -0.3740 -0.3031 -0.2511
 -0.2141 -0.1893 -0.1737 -0.1641 -0.1576 -0.1529 -0.1497 -0.1475 -0.1469 -0.1486
 -0.1542
 -2.0940 -1.9383 -1.7794 -1.6236 -1.4757 -1.3413 -1.2233 -1.1201 -1.0303 -0.9513
 -0.8812 -0.8188 -0.7632 -0.7146 -0.6724 -0.5747 -0.4686 -0.3740 -0.3023 -0.2498
 -0.2129 -0.1890 -0.1755 -0.1693 -0.1671 -0.1669 -0.1678 -0.1692 -0.1714 -0.1749
 -0.1802
 -2.0489 -1.9071 -1.7624 -1.6162 -1.4754 -1.3443 -1.2263 -1.1219 -1.0301 -0.9488
 -0.8760 -0.8106 -0.7515 -0.6982 -0.6503 -0.5513 -0.4606 -0.3731 -0.3010 -0.2476
 -0.2102 -0.1863 -0.1737 -0.1699 -0.1714 -0.1756 -0.1812 -0.1871 -0.1932 -0.1997
 -0.2070
 -1.9933 -1.8650 -1.7323 -1.5974 -1.4664 -1.3425 -1.2286 -1.1258 -1.0342 -0.9521
 -0.8780 -0.8106 -0.7490 -0.6929 -0.6456 -0.5199 -0.4450 -0.3713 -0.2992
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =F350LP
