 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F098M
  0.4558  0.4346  0.4068  0.3795  0.3653  0.3670  0.4120  0.3983  0.3935  0.4000
  0.4185  0.4561  0.4771  0.5047  0.5297  0.5677  0.5451  0.4831  0.4189
  0.5375  0.5489  0.5421  0.5190  0.4827  0.4513  0.4299  0.4154  0.4056  0.4008
  0.4060  0.4229  0.4470  0.4706  0.4892  0.5059  0.4876  0.4458  0.3949  0.3407
  0.5388  0.5390  0.5387  0.5349  0.5233  0.4999  0.4662  0.4368  0.4196  0.4134
  0.4118  0.4165  0.4313  0.4499  0.4656  0.4812  0.4625  0.4209  0.3702  0.3166
  0.2623
  0.5523  0.5443  0.5402  0.5377  0.5338  0.5254  0.5106  0.4883  0.4614  0.4403
  0.4293  0.4234  0.4261  0.4371  0.4489  0.4612  0.4432  0.4017  0.3506  0.2969
  0.2429  0.1892
  0.5873  0.5685  0.5564  0.5492  0.5444  0.5391  0.5313  0.5198  0.5045  0.4859
  0.4675  0.4531  0.4421  0.4390  0.4420  0.4481  0.4302  0.3886  0.3360  0.2813
  0.2266  0.1725  0.1193  0.0683
  0.6412  0.6110  0.5888  0.5737  0.5637  0.5562  0.5490  0.5405  0.5299  0.5175
  0.5039  0.4898  0.4749  0.4630  0.4550  0.4435  0.4239  0.3825  0.3276  0.2702
  0.2136  0.1581  0.1038  0.0508 -0.0004 -0.0508 -0.1020 -0.1549 -0.2104 -0.2690
  0.7064  0.6690  0.6369  0.6124  0.5947  0.5817  0.5713  0.5617  0.5516  0.5404
  0.5286  0.5166  0.5039  0.4908  0.4790  0.4524  0.4248  0.3831  0.3263  0.2650
  0.2049  0.1469  0.0905  0.0357 -0.0173 -0.0675 -0.1168 -0.1676 -0.2217 -0.2799
 -0.3404
  0.7812  0.7367  0.6974  0.6646  0.6381  0.6175  0.6015  0.5881  0.5756  0.5634
  0.5509  0.5382  0.5255  0.5127  0.5003  0.4686  0.4332  0.3894  0.3317  0.2669
  0.2022  0.1402  0.0806  0.0232 -0.0321 -0.0854 -0.1359 -0.1855 -0.2368 -0.2915
 -0.3510
  0.8552  0.8076  0.7647  0.7261  0.6923  0.6642  0.6410  0.6218  0.6050  0.5896
  0.5748  0.5603  0.5458  0.5315  0.5179  0.4842  0.4452  0.3986  0.3410  0.2744
  0.2055  0.1385  0.0745  0.0134 -0.0451 -0.1012 -0.1552 -0.2084 -0.2610 -0.3131
 -0.3646
  0.9286  0.8817  0.8343  0.7927  0.7545  0.7200  0.6899  0.6641  0.6416  0.6215
  0.6029  0.5853  0.5683  0.5516  0.5354  0.4980  0.4575  0.4096  0.3526  0.2866
  0.2159  0.1449  0.0761  0.0104 -0.0522 -0.1119 -0.1690 -0.2240 -0.2810 -0.3330
 -0.3813
  1.0012  0.9590  0.9062  0.8578  0.8191  0.7812  0.7460  0.7141  0.6856  0.6599
  0.6364  0.6146  0.5940  0.5743  0.5552  0.5110  0.4689  0.4203  0.3636  0.2991
  0.2289  0.1564  0.0841  0.0138 -0.0533 -0.1173 -0.1785 -0.2369 -0.2930 -0.3475
 -0.4010
