 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F606W
 -1.9333 -1.4330 -1.1255 -1.0461 -1.2576 -1.6007 -2.0535 -1.9373 -1.8249 -1.7032
 -1.5746 -1.4830 -1.3382 -1.1942 -1.0604 -0.7869 -0.5705 -0.4194 -0.3097
 -2.7409 -2.4174 -2.1844 -2.0328 -1.9366 -1.8508 -1.7612 -1.6717 -1.5843 -1.4970
 -1.3998 -1.2879 -1.1669 -1.0485 -0.9385 -0.7046 -0.5268 -0.3998 -0.3118 -0.2496
 -2.5689 -2.2670 -2.0290 -1.8458 -1.7120 -1.6235 -1.5669 -1.5088 -1.4341 -1.3476
 -1.2611 -1.1709 -1.0692 -0.9644 -0.8661 -0.6603 -0.5062 -0.3960 -0.3185 -0.2624
 -0.2204
 -2.4373 -2.1681 -1.9463 -1.7631 -1.6146 -1.4990 -1.4122 -1.3488 -1.2966 -1.2347
 -1.1572 -1.0775 -0.9932 -0.9026 -0.8143 -0.6282 -0.4914 -0.3951 -0.3269 -0.2764
 -0.2375 -0.2068
 -2.3054 -2.0743 -1.8781 -1.7081 -1.5604 -1.4357 -1.3342 -1.2528 -1.1854 -1.1266
 -1.0670 -0.9999 -0.9299 -0.8532 -0.7756 -0.6053 -0.4799 -0.3940 -0.3346 -0.2899
 -0.2547 -0.2263 -0.2029 -0.1822
 -2.1648 -1.9701 -1.8030 -1.6536 -1.5171 -1.3939 -1.2863 -1.1961 -1.1207 -1.0544
 -0.9926 -0.9321 -0.8725 -0.8088 -0.7420 -0.5879 -0.4701 -0.3905 -0.3386 -0.3007
 -0.2703 -0.2452 -0.2241 -0.2062 -0.1903 -0.1777 -0.1701 -0.1689 -0.1751 -0.1892
 -2.0220 -1.8557 -1.7154 -1.5885 -1.4691 -1.3556 -1.2501 -1.1561 -1.0755 -1.0062
 -0.9433 -0.8832 -0.8253 -0.7686 -0.7105 -0.5726 -0.4613 -0.3845 -0.3371 -0.3058
 -0.2817 -0.2613 -0.2439 -0.2288 -0.2154 -0.2021 -0.1914 -0.1864 -0.1893 -0.2013
 -0.2204
 -1.8793 -1.7374 -1.6181 -1.5110 -1.4098 -1.3108 -1.2138 -1.1221 -1.0396 -0.9675
 -0.9043 -0.8462 -0.7905 -0.7366 -0.6831 -0.5575 -0.4533 -0.3774 -0.3309 -0.3040
 -0.2863 -0.2722 -0.2600 -0.2491 -0.2390 -0.2296 -0.2196 -0.2119 -0.2099 -0.2161
 -0.2323
 -1.7405 -1.6209 -1.5157 -1.4235 -1.3378 -1.2534 -1.1688 -1.0849 -1.0050 -0.9321
 -0.8680 -0.8110 -0.7584 -0.7081 -0.6584 -0.5413 -0.4436 -0.3701 -0.3225 -0.2965
 -0.2832 -0.2756 -0.2698 -0.2646 -0.2593 -0.2538 -0.2485 -0.2452 -0.2441 -0.2450
 -0.2478
 -1.6055 -1.5062 -1.4172 -1.3340 -1.2587 -1.1869 -1.1149 -1.0418 -0.9691 -0.8992
 -0.8350 -0.7780 -0.7273 -0.6805 -0.6355 -0.5271 -0.4344 -0.3632 -0.3149 -0.2873
 -0.2749 -0.2713 -0.2717 -0.2730 -0.2739 -0.2738 -0.2730 -0.2718 -0.2753 -0.2748
 -0.2715
 -1.4743 -1.3933 -1.3226 -1.2481 -1.1776 -1.1134 -1.0515 -0.9892 -0.9259 -0.8628
 -0.8020 -0.7457 -0.6956 -0.6510 -0.6098 -0.5124 -0.4246 -0.3557 -0.3076 -0.2785
 -0.2649 -0.2621 -0.2661 -0.2732 -0.2807 -0.2870 -0.2921 -0.2958 -0.2986 -0.3012
 -0.3047
 -1.3470 -1.2822 -1.2319 -1.1667 -1.0996 -1.0389 -0.9827 -0.9285 -0.8743 -0.8197
 -0.7653 -0.7128 -0.6640 -0.6203 -0.5813 -0.4972 -0.4142 -0.3476 -0.3006
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F606W
 -3.4424 -2.9142 -2.4989 -2.2087 -2.0637 -2.0068 -2.0264 -1.8866 -1.7542 -1.6231
 -1.4898 -1.3691 -1.2329 -1.1042 -0.9864 -0.7411 -0.5486 -0.4065 -0.3032
 -3.2285 -2.8370 -2.5511 -2.3097 -2.1022 -1.9303 -1.7887 -1.6687 -1.5603 -1.4556
 -1.3483 -1.2342 -1.1159 -1.0024 -0.8981 -0.6805 -0.5144 -0.3916 -0.3045 -0.2411
 -2.9616 -2.5441 -2.2292 -2.0025 -1.8529 -1.7414 -1.6319 -1.5236 -1.4230 -1.3302
 -1.2402 -1.1464 -1.0438 -0.9400 -0.8434 -0.6436 -0.4952 -0.3870 -0.3100 -0.2541
 -0.2120
 -2.8230 -2.4209 -2.1072 -1.8662 -1.6851 -1.5534 -1.4660 -1.4034 -1.3329 -1.2482
 -1.1612 -1.0777 -0.9912 -0.8984 -0.8094 -0.6207 -0.4836 -0.3857 -0.3170 -0.2667
 -0.2280 -0.1974
 -2.7260 -2.3521 -2.0545 -1.8182 -1.6305 -1.4831 -1.3693 -1.2831 -1.2209 -1.1679
 -1.1023 -1.0268 -0.9488 -0.8672 -0.7848 -0.6066 -0.4763 -0.3852 -0.3234 -0.2788
 -0.2439 -0.2158 -0.1928 -0.1739
 -2.6308 -2.2919 -2.0180 -1.7957 -1.6122 -1.4599 -1.3348 -1.2336 -1.1517 -1.0846
 -1.0279 -0.9707 -0.9078 -0.8381 -0.7645 -0.5967 -0.4707 -0.3835 -0.3267 -0.2881
 -0.2582 -0.2336 -0.2130 -0.1957 -0.1812 -0.1696 -0.1620 -0.1604 -0.1686 -0.1834
 -2.5256 -2.2226 -1.9761 -1.7725 -1.6001 -1.4513 -1.3225 -1.2126 -1.1206 -1.0430
 -0.9753 -0.9146 -0.8586 -0.8015 -0.7396 -0.5871 -0.4652 -0.3797 -0.3256 -0.2923
 -0.2684 -0.2488 -0.2320 -0.2175 -0.2048 -0.1940 -0.1857 -0.1810 -0.1823 -0.1949
 -0.2142
 -2.4115 -2.1424 -1.9228 -1.7391 -1.5810 -1.4412 -1.3156 -1.2030 -1.1043 -1.0197
 -0.9462 -0.8807 -0.8211 -0.7650 -0.7102 -0.5743 -0.4588 -0.3743 -0.3207 -0.2904
 -0.2724 -0.2589 -0.2472 -0.2370 -0.2276 -0.2190 -0.2119 -0.2067 -0.2043 -0.2094
 -0.2261
 -2.2916 -2.0528 -1.8563 -1.6917 -1.5490 -1.4207 -1.3025 -1.1929 -1.0926 -1.0031
 -0.9251 -0.8568 -0.7950 -0.7380 -0.6839 -0.5576 -0.4496 -0.3672 -0.3129 -0.2832
 -0.2691 -0.2618 -0.2566 -0.2519 -0.2472 -0.2425 -0.2382 -0.2344 -0.2323 -0.2335
 -0.2413
 -2.1776 -1.9658 -1.7880 -1.6384 -1.5088 -1.3918 -1.2827 -1.1794 -1.0820 -0.9916
 -0.9101 -0.8382 -0.7751 -0.7182 -0.6651 -0.5433 -0.4404 -0.3607 -0.3057 -0.2742
 -0.2608 -0.2574 -0.2582 -0.2600 -0.2614 -0.2620 -0.2621 -0.2617 -0.2616 -0.2627
 -0.2646
 -2.0729 -1.8830 -1.7200 -1.5816 -1.4617 -1.3541 -1.2538 -1.1580 -1.0661 -0.9785
 -0.8966 -0.8220 -0.7564 -0.6989 -0.6470 -0.5304 -0.4310 -0.3536 -0.2987 -0.2655
 -0.2506 -0.2480 -0.2525 -0.2600 -0.2680 -0.2749 -0.2808 -0.2854 -0.2891 -0.2927
 -0.2971
 -1.9777 -1.8073 -1.6576 -1.5268 -1.4130 -1.3117 -1.2182 -1.1293 -1.0436 -0.9608
 -0.8816 -0.8073 -0.7383 -0.6787 -0.6296 -0.5189 -0.4214 -0.3459 -0.2919
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = F606W
 -4.6277 -4.1138 -3.6597 -3.2625 -2.9171 -2.6089 -2.3232 -2.0542 -1.8180 -1.6180
 -1.4456 -1.2932 -1.1554 -1.0332 -0.9243 -0.6985 -0.5239 -0.3903 -0.2917
 -4.2745 -3.7654 -3.3095 -2.9147 -2.5803 -2.2981 -2.0536 -1.8338 -1.6423 -1.4778
 -1.3330 -1.2003 -1.0762 -0.9628 -0.8609 -0.6524 -0.4962 -0.3788 -0.2928 -0.2306
 -3.7870 -3.3228 -2.9560 -2.6363 -2.3472 -2.0943 -1.8758 -1.6853 -1.5204 -1.3783
 -1.2533 -1.1378 -1.0262 -0.9202 -0.8234 -0.6256 -0.4806 -0.3740 -0.2969 -0.2409
 -0.1989
 -3.5005 -2.9928 -2.5934 -2.2871 -2.0601 -1.8912 -1.7355 -1.5810 -1.4354 -1.3060
 -1.1925 -1.0903 -0.9919 -0.8943 -0.8022 -0.6116 -0.4731 -0.3732 -0.3023 -0.2516
 -0.2133 -0.1831
 -3.3653 -2.8474 -2.4352 -2.1150 -1.8672 -1.6800 -1.5430 -1.4404 -1.3527 -1.2542
 -1.1506 -1.0534 -0.9638 -0.8760 -0.7895 -0.6049 -0.4699 -0.3741 -0.3077 -0.2616
 -0.2273 -0.1998 -0.1775 -0.1596
 -3.2952 -2.7844 -2.3734 -2.0514 -1.8000 -1.6024 -1.4470 -1.3248 -1.2313 -1.1624
 -1.0978 -1.0224 -0.9407 -0.8593 -0.7793 -0.6012 -0.4683 -0.3748 -0.3113 -0.2692
 -0.2395 -0.2158 -0.1962 -0.1799 -0.1665 -0.1554 -0.1490 -0.1499 -0.1589 -0.1731
 -3.2354 -2.7470 -2.3479 -2.0316 -1.7816 -1.5814 -1.4194 -1.2873 -1.1798 -1.0919
 -1.0211 -0.9624 -0.9034 -0.8379 -0.7670 -0.5979 -0.4666 -0.3739 -0.3120 -0.2731
 -0.2481 -0.2292 -0.2135 -0.2001 -0.1886 -0.1792 -0.1725 -0.1692 -0.1720 -0.1850
 -0.2044
 -3.1589 -2.7041 -2.3274 -2.0236 -1.7802 -1.5823 -1.4189 -1.2813 -1.1652 -1.0676
 -0.9847 -0.9138 -0.8533 -0.7985 -0.7418 -0.5919 -0.4639 -0.3712 -0.3096 -0.2722
 -0.2512 -0.2380 -0.2274 -0.2182 -0.2100 -0.2029 -0.1974 -0.1937 -0.1928 -0.1992
 -0.2165
 -3.0558 -2.6416 -2.2938 -2.0087 -1.7765 -1.5852 -1.4243 -1.2859 -1.1655 -1.0609
 -0.9704 -0.8920 -0.8233 -0.7631 -0.7086 -0.5773 -0.4578 -0.3660 -0.3040 -0.2669
 -0.2484 -0.2402 -0.2356 -0.2320 -0.2285 -0.2252 -0.2223 -0.2202 -0.2197 -0.2233
 -0.2313
 -2.9374 -2.5710 -2.2552 -1.9907 -1.7711 -1.5878 -1.4314 -1.2950 -1.1740 -1.0658
 -0.9697 -0.8852 -0.8110 -0.7458 -0.6875 -0.5608 -0.4499 -0.3607 -0.2979 -0.2595
 -0.2410 -0.2358 -0.2367 -0.2393 -0.2418 -0.2436 -0.2451 -0.2462 -0.2477 -0.2504
 -0.2538
 -2.8093 -2.4880 -2.2061 -1.9646 -1.7599 -1.5855 -1.4344 -1.3010 -1.1813 -1.0728
 -0.9741 -0.8852 -0.8062 -0.7368 -0.6755 -0.5466 -0.4402 -0.3542 -0.2915 -0.2514
 -0.2315 -0.2267 -0.2309 -0.2390 -0.2478 -0.2558 -0.2629 -0.2689 -0.2741 -0.2793
 -0.2852
 -2.6870 -2.4009 -2.1500 -1.9313 -1.7428 -1.5786 -1.4336 -1.3036 -1.1857 -1.0779
 -0.9789 -0.8882 -0.8019 -0.7290 -0.6726 -0.5347 -0.4287 -0.3465 -0.2848
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value = F606W
 -5.4893 -5.0318 -4.6081 -4.2075 -3.8178 -3.4070 -2.9439 -2.4401 -2.0163 -1.6879
 -1.4420 -1.2553 -1.1056 -0.9813 -0.8742 -0.6591 -0.4964 -0.3708 -0.2751
 -5.1905 -4.6862 -4.2227 -3.7973 -3.4033 -3.0222 -2.6169 -2.2110 -1.8624 -1.5812
 -1.3611 -1.1887 -1.0490 -0.9311 -0.8287 -0.6238 -0.4730 -0.3601 -0.2753 -0.2127
 -4.9264 -4.4254 -3.9515 -3.5130 -3.1146 -2.7525 -2.4029 -2.0619 -1.7629 -1.5142
 -1.3129 -1.1510 -1.0177 -0.9040 -0.8047 -0.6057 -0.4615 -0.3559 -0.2780 -0.2209
 -0.1788
 -4.4555 -4.0036 -3.6136 -3.2467 -2.8904 -2.5540 -2.2425 -1.9505 -1.6891 -1.4658
 -1.2803 -1.1278 -1.0003 -0.8905 -0.7937 -0.5985 -0.4574 -0.3557 -0.2823 -0.2293
 -0.1908 -0.1612
 -4.1345 -3.6198 -3.1874 -2.8294 -2.5387 -2.3006 -2.0747 -1.8438 -1.6227 -1.4249
 -1.2544 -1.1104 -0.9889 -0.8834 -0.7894 -0.5971 -0.4572 -0.3576 -0.2870 -0.2372
 -0.2021 -0.1754 -0.1543 -0.1378
 -4.0011 -3.4298 -2.9520 -2.5669 -2.2579 -2.0093 -1.8084 -1.6442 -1.5038 -1.3655
 -1.2261 -1.0951 -0.9792 -0.8780 -0.7874 -0.5983 -0.4588 -0.3598 -0.2908 -0.2436
 -0.2116 -0.1885 -0.1703 -0.1556 -0.1440 -0.1359 -0.1317 -0.1343 -0.1446 -0.1590
 -3.9699 -3.3740 -2.8672 -2.4569 -2.1325 -1.8745 -1.6655 -1.4931 -1.3510 -1.2381
 -1.1470 -1.0590 -0.9655 -0.8719 -0.7848 -0.6000 -0.4607 -0.3613 -0.2930 -0.2475
 -0.2184 -0.1992 -0.1849 -0.1732 -0.1637 -0.1564 -0.1520 -0.1514 -0.1565 -0.1704
 -0.1897
 -3.9618 -3.3691 -2.8520 -2.4263 -2.0876 -1.8208 -1.6071 -1.4324 -1.2868 -1.1653
 -1.0646 -0.9837 -0.9158 -0.8480 -0.7762 -0.6007 -0.4620 -0.3617 -0.2930 -0.2484
 -0.2213 -0.2059 -0.1962 -0.1888 -0.1827 -0.1778 -0.1746 -0.1736 -0.1758 -0.1838
 -0.2017
 -3.9225 -3.3557 -2.8497 -2.4245 -2.0807 -1.8078 -1.5899 -1.4120 -1.2639 -1.1387
 -1.0320 -0.9413 -0.8649 -0.8009 -0.7431 -0.5955 -0.4607 -0.3596 -0.2901 -0.2455
 -0.2197 -0.2075 -0.2026 -0.2004 -0.1990 -0.1978 -0.1975 -0.1979 -0.2001 -0.2062
 -0.2162
 -3.8497 -3.3267 -2.8461 -2.4361 -2.0964 -1.8204 -1.5995 -1.4188 -1.2678 -1.1388
 -1.0273 -0.9307 -0.8469 -0.7747 -0.7126 -0.5806 -0.4580 -0.3578 -0.2866 -0.2407
 -0.2148 -0.2041 -0.2032 -0.2064 -0.2106 -0.2145 -0.2183 -0.2219 -0.2260 -0.2314
 -0.2394
 -3.7375 -3.2641 -2.8238 -2.4385 -2.1110 -1.8410 -1.6199 -1.4373 -1.2840 -1.1523
 -1.0370 -0.9352 -0.8457 -0.7674 -0.6992 -0.5628 -0.4502 -0.3541 -0.2822 -0.2345
 -0.2074 -0.1968 -0.1980 -0.2058 -0.2157 -0.2255 -0.2346 -0.2428 -0.2505 -0.2582
 -0.2667
 -3.6003 -3.1755 -2.7805 -2.4277 -2.1222 -1.8629 -1.6451 -1.4619 -1.3064 -1.1722
 -1.0542 -0.9490 -0.8548 -0.7712 -0.7029 -0.5421 -0.4373 -0.3485 -0.2769
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value = F606W
 -5.7987 -5.3852 -5.0026 -4.6392 -4.2858 -3.8796 -3.3552 -2.7208 -2.1730 -1.7582
 -1.4621 -1.2506 -1.0911 -0.9625 -0.8536 -0.6406 -0.4816 -0.3598 -0.2649
 -5.5056 -5.0442 -4.6205 -4.2288 -3.8575 -3.4719 -3.0022 -2.4872 -2.0314 -1.6696
 -1.3974 -1.1965 -1.0435 -0.9203 -0.8159 -0.6105 -0.4608 -0.3491 -0.2652 -0.2022
 -5.2998 -4.8111 -4.3558 -3.9341 -3.5455 -3.1732 -2.7683 -2.3371 -1.9463 -1.6220
 -1.3667 -1.1714 -1.0208 -0.8997 -0.7974 -0.5961 -0.4512 -0.3457 -0.2675 -0.2095
 -0.1668
 -4.9719 -4.5420 -4.1184 -3.7069 -3.3147 -2.9468 -2.5897 -2.2230 -1.8827 -1.5906
 -1.3513 -1.1616 -1.0123 -0.8920 -0.7907 -0.5916 -0.4486 -0.3460 -0.2715 -0.2171
 -0.1777 -0.1481
 -4.6341 -4.1276 -3.6802 -3.3526 -3.0491 -2.7425 -2.4292 -2.1184 -1.8239 -1.5624
 -1.3405 -1.1581 -1.0108 -0.8909 -0.7902 -0.5924 -0.4497 -0.3482 -0.2761 -0.2243
 -0.1877 -0.1608 -0.1401 -0.1240
 -4.3746 -3.7719 -3.3209 -2.9519 -2.6469 -2.3887 -2.1645 -1.9504 -1.7329 -1.5194
 -1.3240 -1.1544 -1.0113 -0.8926 -0.7925 -0.5957 -0.4527 -0.3510 -0.2800 -0.2303
 -0.1962 -0.1724 -0.1544 -0.1403 -0.1297 -0.1222 -0.1196 -0.1238 -0.1350 -0.1498
 -4.2496 -3.6650 -3.1617 -2.7468 -2.4119 -2.1380 -1.9072 -1.7074 -1.5371 -1.3945
 -1.2642 -1.1341 -1.0080 -0.8943 -0.7953 -0.5997 -0.4562 -0.3535 -0.2826 -0.2343
 -0.2023 -0.1816 -0.1673 -0.1563 -0.1478 -0.1417 -0.1387 -0.1394 -0.1460 -0.1607
 -0.1799
 -4.2654 -3.6606 -3.1230 -2.6724 -2.3081 -2.0171 -1.7805 -1.5822 -1.4124 -1.2680
 -1.1498 -1.0549 -0.9698 -0.8830 -0.7950 -0.6030 -0.4593 -0.3553 -0.2835 -0.2356
 -0.2053 -0.1874 -0.1771 -0.1703 -0.1652 -0.1615 -0.1597 -0.1602 -0.1639 -0.1734
 -0.1918
 -4.2734 -3.6757 -3.1310 -2.6614 -2.2763 -1.9690 -1.7234 -1.5232 -1.3555 -1.2127
 -1.0907 -0.9883 -0.9044 -0.8344 -0.7690 -0.6028 -0.4601 -0.3550 -0.2819 -0.2338
 -0.2045 -0.1890 -0.1826 -0.1806 -0.1801 -0.1801 -0.1811 -0.1830 -0.1868 -0.1936
 -0.2058
 -4.2453 -3.6838 -3.1517 -2.6830 -2.2895 -1.9704 -1.7160 -1.5096 -1.3399 -1.1964
 -1.0732 -0.9669 -0.8757 -0.7983 -0.7330 -0.5925 -0.4608 -0.3550 -0.2800 -0.2304
 -0.2009 -0.1866 -0.1832 -0.1859 -0.1906 -0.1956 -0.2006 -0.2056 -0.2112 -0.2182
 -0.2277
