 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F606W
 -1.9644 -1.4551 -1.1442 -1.0702 -1.2900 -1.6391 -2.0853 -1.9676 -1.8528 -1.7297
 -1.5988 -1.5056 -1.3587 -1.2128 -1.0777 -0.7987 -0.5768 -0.4213 -0.3072
 -2.7749 -2.4500 -2.2157 -2.0629 -1.9658 -1.8790 -1.7881 -1.6972 -1.6084 -1.5194
 -1.4203 -1.3064 -1.1834 -1.0629 -0.9511 -0.7128 -0.5309 -0.4005 -0.3099 -0.2456
 -2.6003 -2.2967 -2.0572 -1.8729 -1.7380 -1.6484 -1.5907 -1.5313 -1.4551 -1.3669
 -1.2786 -1.1866 -1.0829 -0.9762 -0.8762 -0.6666 -0.5091 -0.3960 -0.3161 -0.2581
 -0.2145
 -2.4661 -2.1952 -1.9721 -1.7878 -1.6384 -1.5218 -1.4337 -1.3689 -1.3154 -1.2519
 -1.1727 -1.0911 -1.0050 -0.9126 -0.8226 -0.6331 -0.4934 -0.3945 -0.3242 -0.2719
 -0.2316 -0.1995
 -2.3321 -2.0992 -1.9017 -1.7307 -1.5823 -1.4567 -1.3542 -1.2715 -1.2027 -1.1424
 -1.0812 -1.0125 -0.9406 -0.8622 -0.7829 -0.6093 -0.4812 -0.3930 -0.3317 -0.2854
 -0.2488 -0.2191 -0.1945 -0.1726
 -2.1898 -1.9932 -1.8248 -1.6743 -1.5372 -1.4133 -1.3051 -1.2139 -1.1371 -1.0694
 -1.0061 -0.9441 -0.8828 -0.8175 -0.7490 -0.5915 -0.4711 -0.3893 -0.3356 -0.2961
 -0.2644 -0.2381 -0.2159 -0.1970 -0.1801 -0.1666 -0.1581 -0.1560 -0.1614 -0.1747
 -2.0459 -1.8776 -1.7358 -1.6077 -1.4875 -1.3736 -1.2676 -1.1729 -1.0914 -1.0208
 -0.9564 -0.8949 -0.8355 -0.7772 -0.7176 -0.5763 -0.4622 -0.3833 -0.3340 -0.3013
 -0.2759 -0.2543 -0.2359 -0.2198 -0.2054 -0.1911 -0.1795 -0.1737 -0.1759 -0.1873
 -0.2058
 -1.9028 -1.7588 -1.6377 -1.5291 -1.4270 -1.3275 -1.2300 -1.1379 -1.0548 -0.9817
 -0.9173 -0.8578 -0.8006 -0.7453 -0.6903 -0.5614 -0.4545 -0.3763 -0.3280 -0.2996
 -0.2806 -0.2653 -0.2521 -0.2402 -0.2292 -0.2190 -0.2082 -0.1997 -0.1969 -0.2025
 -0.2182
 -1.7644 -1.6423 -1.5350 -1.4411 -1.3542 -1.2690 -1.1839 -1.0997 -1.0194 -0.9459
 -0.8808 -0.8226 -0.7686 -0.7169 -0.6659 -0.5455 -0.4450 -0.3692 -0.3197 -0.2922
 -0.2775 -0.2688 -0.2620 -0.2559 -0.2498 -0.2435 -0.2374 -0.2333 -0.2316 -0.2318
 -0.2340
 -1.6307 -1.5281 -1.4368 -1.3517 -1.2748 -1.2019 -1.1292 -1.0556 -0.9825 -0.9123
 -0.8475 -0.7897 -0.7377 -0.6896 -0.6432 -0.5316 -0.4361 -0.3626 -0.3124 -0.2832
 -0.2693 -0.2646 -0.2640 -0.2645 -0.2645 -0.2637 -0.2622 -0.2603 -0.2632 -0.2620
 -0.2581
 -1.5017 -1.4162 -1.3431 -1.2662 -1.1940 -1.1283 -1.0653 -1.0023 -0.9385 -0.8751
 -0.8139 -0.7570 -0.7061 -0.6604 -0.6179 -0.5172 -0.4265 -0.3554 -0.3054 -0.2746
 -0.2596 -0.2556 -0.2586 -0.2648 -0.2714 -0.2770 -0.2815 -0.2846 -0.2868 -0.2888
 -0.2918
 -1.3774 -1.3066 -1.2539 -1.1855 -1.1164 -1.0541 -0.9965 -0.9412 -0.8862 -0.8312
 -0.7764 -0.7235 -0.6742 -0.6297 -0.5900 -0.5023 -0.4162 -0.3476 -0.2987
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F606W
 -3.4810 -2.9461 -2.5271 -2.2370 -2.0939 -2.0383 -2.0551 -1.9140 -1.7799 -1.6471
 -1.5118 -1.3891 -1.2508 -1.1201 -1.0007 -0.7512 -0.5545 -0.4086 -0.3018
 -3.2611 -2.8675 -2.5802 -2.3377 -2.1292 -1.9562 -1.8136 -1.6922 -1.5824 -1.4761
 -1.3670 -1.2509 -1.1306 -1.0152 -0.9091 -0.6878 -0.5184 -0.3925 -0.3028 -0.2373
 -2.9905 -2.5711 -2.2549 -2.0272 -1.8769 -1.7644 -1.6539 -1.5443 -1.4424 -1.3481
 -1.2564 -1.1609 -1.0564 -0.9507 -0.8524 -0.6492 -0.4980 -0.3871 -0.3078 -0.2500
 -0.2062
 -2.8495 -2.4458 -2.1308 -1.8889 -1.7070 -1.5745 -1.4862 -1.4226 -1.3507 -1.2644
 -1.1759 -1.0907 -1.0024 -0.9078 -0.8172 -0.6251 -0.4854 -0.3852 -0.3145 -0.2624
 -0.2222 -0.1902
 -2.7509 -2.3753 -2.0764 -1.8393 -1.6508 -1.5027 -1.3882 -1.3011 -1.2378 -1.1834
 -1.1163 -1.0391 -0.9594 -0.8761 -0.7919 -0.6103 -0.4775 -0.3843 -0.3206 -0.2744
 -0.2382 -0.2087 -0.1845 -0.1645
 -2.6546 -2.3140 -2.0387 -1.8154 -1.6312 -1.4783 -1.3526 -1.2507 -1.1678 -1.0995
 -1.0415 -0.9829 -0.9183 -0.8469 -0.7716 -0.6001 -0.4716 -0.3824 -0.3238 -0.2837
 -0.2525 -0.2266 -0.2049 -0.1866 -0.1710 -0.1585 -0.1499 -0.1474 -0.1549 -0.1690
 -2.5490 -2.2440 -1.9959 -1.7910 -1.6178 -1.4685 -1.3392 -1.2289 -1.1362 -1.0575
 -0.9887 -0.9266 -0.8692 -0.8106 -0.7470 -0.5908 -0.4661 -0.3786 -0.3227 -0.2879
 -0.2627 -0.2419 -0.2240 -0.2085 -0.1949 -0.1831 -0.1740 -0.1684 -0.1690 -0.1809
 -0.1996
 -2.4352 -2.1640 -1.9423 -1.7571 -1.5979 -1.4574 -1.3314 -1.2183 -1.1192 -1.0338
 -0.9594 -0.8927 -0.8318 -0.7743 -0.7180 -0.5785 -0.4599 -0.3732 -0.3179 -0.2861
 -0.2668 -0.2521 -0.2394 -0.2282 -0.2179 -0.2085 -0.2006 -0.1945 -0.1913 -0.1958
 -0.2120
 -2.3161 -2.0750 -1.8763 -1.7097 -1.5655 -1.4361 -1.3173 -1.2073 -1.1067 -1.0168
 -0.9381 -0.8688 -0.8058 -0.7475 -0.6920 -0.5622 -0.4512 -0.3664 -0.3103 -0.2790
 -0.2635 -0.2551 -0.2489 -0.2432 -0.2378 -0.2322 -0.2271 -0.2226 -0.2198 -0.2203
 -0.2276
