 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F098M
 -0.8219 -0.8452 -0.8717 -0.8989 -0.9121 -0.9095 -0.8664 -0.8797 -0.8852 -0.8784
 -0.8599 -0.8223 -0.8006 -0.7737 -0.7487 -0.7100 -0.7333 -0.7968 -0.8602
 -0.7412 -0.7295 -0.7362 -0.7594 -0.7956 -0.8271 -0.8485 -0.8630 -0.8727 -0.8775
 -0.8724 -0.8555 -0.8313 -0.8078 -0.7892 -0.7725 -0.7908 -0.8326 -0.8834 -0.9376
 -0.7396 -0.7394 -0.7397 -0.7435 -0.7551 -0.7785 -0.8122 -0.8415 -0.8588 -0.8650
 -0.8666 -0.8619 -0.8471 -0.8285 -0.8128 -0.7972 -0.8159 -0.8575 -0.9081 -0.9618
 -1.0160
 -0.7260 -0.7340 -0.7381 -0.7406 -0.7446 -0.7530 -0.7677 -0.7901 -0.8169 -0.8381
 -0.8491 -0.8549 -0.8523 -0.8413 -0.8295 -0.8172 -0.8352 -0.8767 -0.9278 -0.9814
 -1.0355 -1.0891
 -0.6910 -0.7099 -0.7220 -0.7292 -0.7340 -0.7392 -0.7470 -0.7585 -0.7738 -0.7925
 -0.8108 -0.8253 -0.8362 -0.8394 -0.8364 -0.8303 -0.8481 -0.8897 -0.9423 -0.9971
 -1.0518 -1.1059 -1.1591 -1.2101
 -0.6372 -0.6674 -0.6896 -0.7047 -0.7147 -0.7222 -0.7293 -0.7378 -0.7485 -0.7609
 -0.7745 -0.7886 -0.8035 -0.8153 -0.8233 -0.8348 -0.8544 -0.8958 -0.9508 -1.0082
 -1.0648 -1.1203 -1.1746 -1.2276 -1.2787 -1.3292 -1.3803 -1.4332 -1.4887 -1.5473
 -0.5720 -0.6094 -0.6415 -0.6660 -0.6837 -0.6967 -0.7071 -0.7167 -0.7268 -0.7379
 -0.7497 -0.7618 -0.7745 -0.7876 -0.7994 -0.8260 -0.8536 -0.8953 -0.9521 -1.0134
 -1.0735 -1.1315 -1.1879 -1.2427 -1.2957 -1.3459 -1.3952 -1.4460 -1.5001 -1.5583
 -1.6187
 -0.4972 -0.5417 -0.5810 -0.6138 -0.6402 -0.6609 -0.6769 -0.6903 -0.7028 -0.7150
 -0.7275 -0.7402 -0.7528 -0.7657 -0.7780 -0.8098 -0.8452 -0.8890 -0.9467 -1.0115
 -1.0761 -1.1382 -1.1978 -1.2552 -1.3105 -1.3637 -1.4141 -1.4638 -1.5151 -1.5699
 -1.6294
 -0.4232 -0.4708 -0.5137 -0.5523 -0.5861 -0.6142 -0.6374 -0.6565 -0.6734 -0.6888
 -0.7035 -0.7181 -0.7326 -0.7469 -0.7605 -0.7942 -0.8332 -0.8797 -0.9374 -1.0040
 -1.0728 -1.1399 -1.2039 -1.2650 -1.3235 -1.3795 -1.4335 -1.4867 -1.5393 -1.5914
 -1.6429
 -0.3499 -0.3967 -0.4440 -0.4857 -0.5239 -0.5584 -0.5884 -0.6142 -0.6368 -0.6569
 -0.6755 -0.6931 -0.7101 -0.7268 -0.7429 -0.7804 -0.8208 -0.8687 -0.9258 -0.9918
 -1.0625 -1.1335 -1.2023 -1.2680 -1.3306 -1.3903 -1.4474 -1.5024 -1.5594 -1.6113
 -1.6595
