 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F140W
 -1.0960 -1.0864 -1.0772 -1.0709 -1.0590 -1.0418 -0.9958 -0.9905 -0.9917 -0.9993
 -1.0126 -1.0116 -1.0363 -1.0651 -1.0952 -1.1889 -1.3044 -1.4170 -1.5351
 -0.9998 -1.0074 -1.0141 -1.0200 -1.0192 -1.0124 -1.0086 -1.0097 -1.0155 -1.0259
 -1.0417 -1.0616 -1.0846 -1.1108 -1.1405 -1.2285 -1.3307 -1.4409 -1.5535 -1.6666
 -0.9859 -1.0000 -1.0124 -1.0228 -1.0319 -1.0398 -1.0418 -1.0389 -1.0404 -1.0499
 -1.0654 -1.0862 -1.1108 -1.1381 -1.1680 -1.2536 -1.3521 -1.4590 -1.5690 -1.6793
 -1.7891
 -0.9673 -0.9862 -1.0035 -1.0195 -1.0342 -1.0484 -1.0621 -1.0735 -1.0793 -1.0832
 -1.0925 -1.1091 -1.1326 -1.1606 -1.1912 -1.2762 -1.3715 -1.4749 -1.5824 -1.6904
 -1.7977 -1.9043
 -0.9480 -0.9704 -0.9912 -1.0110 -1.0300 -1.0488 -1.0677 -1.0867 -1.1047 -1.1190
 -1.1296 -1.1416 -1.1588 -1.1822 -1.2112 -1.2958 -1.3891 -1.4892 -1.5940 -1.7001
 -1.8056 -1.9101 -2.0136 -2.1162
 -0.9329 -0.9569 -0.9800 -1.0019 -1.0234 -1.0451 -1.0671 -1.0897 -1.1129 -1.1356
 -1.1561 -1.1738 -1.1909 -1.2107 -1.2348 -1.3132 -1.4047 -1.5022 -1.6042 -1.7085
 -1.8127 -1.9159 -2.0177 -2.1183 -2.2186 -2.3186 -2.4179 -2.5165 -2.6141 -2.7106
 -0.9295 -0.9506 -0.9737 -0.9964 -1.0189 -1.0415 -1.0650 -1.0892 -1.1146 -1.1407
 -1.1667 -1.1916 -1.2148 -1.2372 -1.2606 -1.3316 -1.4188 -1.5138 -1.6133 -1.7157
 -1.8188 -1.9212 -2.0219 -2.1212 -2.2191 -2.3156 -2.4114 -2.5072 -2.6037 -2.7005
 -2.7948
 -0.9396 -0.9566 -0.9765 -0.9977 -1.0197 -1.0422 -1.0653 -1.0895 -1.1153 -1.1421
 -1.1701 -1.1985 -1.2265 -1.2536 -1.2802 -1.3505 -1.4326 -1.5244 -1.6215 -1.7218
 -1.8237 -1.9255 -2.0259 -2.1244 -2.2212 -2.3164 -2.4102 -2.5032 -2.5962 -2.6898
 -2.7843
 -0.9689 -0.9790 -0.9928 -1.0099 -1.0293 -1.0500 -1.0717 -1.0945 -1.1191 -1.1452
 -1.1728 -1.2020 -1.2319 -1.2620 -1.2918 -1.3665 -1.4465 -1.5352 -1.6299 -1.7284
 -1.8288 -1.9300 -2.0305 -2.1292 -2.2257 -2.3201 -2.4130 -2.5050 -2.5963 -2.6868
 -2.7764
 -1.0174 -1.0178 -1.0250 -1.0357 -1.0501 -1.0672 -1.0861 -1.1064 -1.1285 -1.1524
 -1.1782 -1.2060 -1.2355 -1.2663 -1.2977 -1.3772 -1.4577 -1.5439 -1.6364 -1.7329
 -1.8315 -1.9315 -2.0315 -2.1305 -2.2273 -2.3217 -2.4140 -2.5044 -2.5962 -2.6844
 -2.7703
 -1.0852 -1.0730 -1.0731 -1.0774 -1.0855 -1.0969 -1.1113 -1.1279 -1.1464 -1.1669
 -1.1896 -1.2146 -1.2418 -1.2712 -1.3022 -1.3837 -1.4669 -1.5517 -1.6422 -1.7369
 -1.8341 -1.9326 -2.0316 -2.1303 -2.2276 -2.3226 -2.4152 -2.5054 -2.5935 -2.6802
 -2.7659
 -1.1722 -1.1446 -1.1371 -1.1354 -1.1368 -1.1415 -1.1499 -1.1613 -1.1751 -1.1911
 -1.2095 -1.2304 -1.2539 -1.2801 -1.3053 -1.3860 -1.4741 -1.5586 -1.6473
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F140W
 -1.0599 -1.0527 -1.0441 -1.0362 -1.0268 -1.0170 -1.0001 -0.9999 -1.0050 -1.0151
 -1.0293 -1.0403 -1.0613 -1.0863 -1.1141 -1.1993 -1.3034 -1.4140 -1.5321
 -1.0290 -1.0362 -1.0418 -1.0387 -1.0333 -1.0282 -1.0246 -1.0242 -1.0290 -1.0394
 -1.0547 -1.0738 -1.0956 -1.1205 -1.1486 -1.2316 -1.3296 -1.4377 -1.5499 -1.6629
 -1.0211 -1.0300 -1.0387 -1.0465 -1.0529 -1.0509 -1.0459 -1.0451 -1.0496 -1.0592
 -1.0742 -1.0942 -1.1176 -1.1437 -1.1726 -1.2554 -1.3506 -1.4554 -1.5648 -1.6751
 -1.7850
 -1.0066 -1.0201 -1.0335 -1.0458 -1.0568 -1.0666 -1.0745 -1.0752 -1.0735 -1.0785
 -1.0913 -1.1102 -1.1340 -1.1613 -1.1911 -1.2747 -1.3685 -1.4704 -1.5774 -1.6856
 -1.7931 -1.8999
 -0.9844 -1.0027 -1.0205 -1.0375 -1.0536 -1.0690 -1.0837 -1.0972 -1.1076 -1.1117
 -1.1162 -1.1282 -1.1483 -1.1748 -1.2052 -1.2900 -1.3833 -1.4831 -1.5880 -1.6945
 -1.8005 -1.9053 -2.0091 -2.1123
 -0.9570 -0.9799 -1.0018 -1.0227 -1.0431 -1.0631 -1.0829 -1.1024 -1.1214 -1.1383
 -1.1506 -1.1597 -1.1721 -1.1913 -1.2176 -1.3020 -1.3953 -1.4939 -1.5969 -1.7020
