 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F606W
 -1.6781 -1.1786 -0.8706 -0.7916 -1.0031 -1.3458 -1.7981 -1.6824 -1.5698 -1.4483
 -1.3192 -1.2272 -1.0824 -0.9376 -0.8034 -0.5317 -0.3153 -0.1638 -0.0538
 -2.4857 -2.1622 -1.9292 -1.7776 -1.6814 -1.5956 -1.5060 -1.4165 -1.3292 -1.2419
 -1.1446 -1.0327 -0.9117 -0.7933 -0.6833 -0.4494 -0.2716 -0.1446 -0.0567  0.0055
 -2.3137 -2.0119 -1.7738 -1.5906 -1.4568 -1.3684 -1.3118 -1.2536 -1.1790 -1.0925
 -1.0060 -0.9158 -0.8141 -0.7092 -0.6109 -0.4051 -0.2510 -0.1408 -0.0633 -0.0073
  0.0347
 -2.1821 -1.9130 -1.6911 -1.5079 -1.3594 -1.2439 -1.1571 -1.0936 -1.0415 -0.9795
 -0.9021 -0.8223 -0.7380 -0.6474 -0.5591 -0.3730 -0.2362 -0.1399 -0.0718 -0.0212
  0.0176  0.0483
 -2.0503 -1.8191 -1.6230 -1.4529 -1.3053 -1.1805 -1.0790 -0.9976 -0.9302 -0.8714
 -0.8118 -0.7448 -0.6747 -0.5980 -0.5204 -0.3501 -0.2247 -0.1388 -0.0794 -0.0348
  0.0005  0.0289  0.0523  0.0730
 -1.9096 -1.7149 -1.5479 -1.3984 -1.2619 -1.1387 -1.0312 -0.9410 -0.8655 -0.7992
 -0.7375 -0.6769 -0.6173 -0.5536 -0.4868 -0.3327 -0.2150 -0.1353 -0.0834 -0.0455
 -0.0151  0.0100  0.0311  0.0489  0.0648  0.0774  0.0849  0.0862  0.0800  0.0659
 -1.7667 -1.6005 -1.4603 -1.3334 -1.2139 -1.1005 -0.9949 -0.9009 -0.8204 -0.7511
 -0.6881 -0.6281 -0.5702 -0.5134 -0.4554 -0.3175 -0.2061 -0.1293 -0.0819 -0.0507
 -0.0265 -0.0062  0.0112  0.0263  0.0398  0.0532  0.0639  0.0689  0.0659  0.0538
  0.0348
 -1.6241 -1.4822 -1.3630 -1.2558 -1.1546 -1.0557 -0.9586 -0.8670 -0.7845 -0.7124
 -0.6491 -0.5910 -0.5353 -0.4815 -0.4279 -0.3023 -0.1982 -0.1222 -0.0757 -0.0489
 -0.0311 -0.0170 -0.0048  0.0061  0.0162  0.0255  0.0354  0.0431  0.0452  0.0390
  0.0229
 -1.4856 -1.3658 -1.2605 -1.1683 -1.0826 -0.9982 -0.9136 -0.8298 -0.7498 -0.6770
 -0.6128 -0.5558 -0.5032 -0.4529 -0.4033 -0.2861 -0.1884 -0.1149 -0.0673 -0.0414
 -0.0280 -0.0204 -0.0147 -0.0094 -0.0041  0.0013  0.0066  0.0099  0.0110  0.0101
  0.0074
