 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  g   
 -4.6371 -4.2878 -4.1339 -4.1409 -4.2482 -4.3335 -4.0506 -3.8709 -3.6914 -3.4964
 -3.2791 -3.0618 -2.8374 -2.6106 -2.3954 -1.8741 -1.3998 -1.0441 -0.7360
 -4.7883 -4.4349 -4.1692 -3.9825 -3.8517 -3.7264 -3.5862 -3.4343 -3.2744 -3.1060
 -2.9163 -2.7021 -2.4778 -2.2620 -2.0607 -1.6073 -1.2272 -0.9252 -0.6991 -0.5258
 -4.5552 -4.2127 -3.9234 -3.6824 -3.4878 -3.3400 -3.2276 -3.1089 -2.9620 -2.7934
 -2.6199 -2.4362 -2.2367 -2.0406 -1.8599 -1.4680 -1.1390 -0.8741 -0.6732 -0.5180
 -0.3923
 -4.3670 -4.0486 -3.7671 -3.5182 -3.2993 -3.1094 -2.9477 -2.8127 -2.6910 -2.5529
 -2.3911 -2.2250 -2.0515 -1.8744 -1.7089 -1.3586 -1.0726 -0.8394 -0.6595 -0.5192
 -0.4044 -0.3059
 -4.1778 -3.8951 -3.6365 -3.3984 -3.1792 -2.9788 -2.7975 -2.6348 -2.4885 -2.3541
 -2.2183 -2.0709 -1.9172 -1.7574 -1.6038 -1.2807 -1.0248 -0.8166 -0.6537 -0.5259
 -0.4206 -0.3296 -0.2482 -0.1734
 -3.9780 -3.7348 -3.5075 -3.2911 -3.0844 -2.8887 -2.7047 -2.5336 -2.3758 -2.2293
 -2.0912 -1.9565 -1.8215 -1.6806 -1.5397 -1.2310 -0.9932 -0.8022 -0.6520 -0.5344
 -0.4380 -0.3544 -0.2791 -0.2098 -0.1422 -0.0784 -0.0215  0.0261  0.0625  0.0866
 -3.7770 -3.5663 -3.3713 -3.1820 -2.9959 -2.8135 -2.6368 -2.4675 -2.3073 -2.1572
 -2.0160 -1.8817 -1.7526 -1.6251 -1.4984 -1.2070 -0.9757 -0.7945 -0.6519 -0.5417
 -0.4531 -0.3770 -0.3086 -0.2452 -0.1854 -0.1282 -0.0748 -0.0266  0.0152  0.0479
  0.0638
 -3.5778 -3.3973 -3.2290 -3.0656 -2.9035 -2.7404 -2.5769 -2.4161 -2.2605 -2.1110
 -1.9698 -1.8364 -1.7093 -1.5868 -1.4682 -1.1963 -0.9705 -0.7929 -0.6534 -0.5466
 -0.4637 -0.3949 -0.3338 -0.2773 -0.2236 -0.1722 -0.1217 -0.0744 -0.0330  0.0001
  0.0237
 -3.3880 -3.2320 -3.0832 -2.9410 -2.8007 -2.6581 -2.5124 -2.3649 -2.2182 -2.0745
 -1.9359 -1.8039 -1.6788 -1.5593 -1.4446 -1.1859 -0.9685 -0.7939 -0.6557 -0.5492
 -0.4686 -0.4053 -0.3516 -0.3027 -0.2563 -0.2113 -0.1678 -0.1273 -0.0898 -0.0551
 -0.0231
 -3.2074 -3.0704 -2.9427 -2.8153 -2.6915 -2.5678 -2.4409 -2.3100 -2.1766 -2.0427
 -1.9105 -1.7821 -1.6591 -1.5422 -1.4307 -1.1795 -0.9692 -0.7975 -0.6606 -0.5534
 -0.4722 -0.4110 -0.3625 -0.3209 -0.2825 -0.2451 -0.2086 -0.1728 -0.1417 -0.1084
 -0.0749
 -3.0362 -2.9125 -2.8075 -2.6880 -2.5759 -2.4657 -2.3552 -2.2415 -2.1240 -2.0035
 -1.8816 -1.7604 -1.6419 -1.5279 -1.4191 -1.1738 -0.9684 -0.7997 -0.6643 -0.5573
 -0.4751 -0.4135 -0.3672 -0.3308 -0.2995 -0.2702 -0.2417 -0.2132 -0.1848 -0.1572
 -0.1312
 -2.8743 -2.7583 -2.6776 -2.5586 -2.4536 -2.3528 -2.2543 -2.1552 -2.0535 -1.9486
 -1.8405 -1.7305 -1.6202 -1.5118 -1.4098 -1.1688 -0.9661 -0.8005 -0.6668
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  g   
 -5.0623 -4.6629 -4.3864 -4.2118 -4.1081 -4.0226 -3.8290 -3.6720 -3.4988 -3.3033
