 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  r   
 -0.9737 -0.1355  0.2927  0.3153 -0.1551 -0.8378 -1.7110 -1.5812 -1.4583 -1.3306
 -1.1999 -1.1197 -0.9716 -0.8273 -0.6932 -0.4374 -0.2458 -0.1182 -0.0351
 -2.3869 -2.0505 -1.8099 -1.6555 -1.5584 -1.4720 -1.3820 -1.2926 -1.2061 -1.1207
 -1.0269 -0.9203 -0.8056 -0.6937 -0.5904 -0.3753 -0.2184 -0.1126 -0.0437  0.0015
 -2.1876 -1.8743 -1.6346 -1.4548 -1.3257 -1.2410 -1.1868 -1.1306 -1.0583 -0.9754
 -0.8938 -0.8102 -0.7165 -0.6196 -0.5288 -0.3412 -0.2064 -0.1154 -0.0551 -0.0143
  0.0136
 -2.0357 -1.7579 -1.5366 -1.3600 -1.2206 -1.1137 -1.0334 -0.9746 -0.9263 -0.8686
 -0.7965 -0.7235 -0.6474 -0.5659 -0.4860 -0.3180 -0.1985 -0.1194 -0.0667 -0.0300
 -0.0040  0.0144
 -1.8919 -1.6529 -1.4570 -1.2936 -1.1567 -1.0440 -0.9531 -0.8799 -0.8189 -0.7656
 -0.7117 -0.6513 -0.5890 -0.5212 -0.4527 -0.3014 -0.1920 -0.1217 -0.0765 -0.0446
 -0.0211 -0.0040  0.0082  0.0177
 -1.7472 -1.5438 -1.3752 -1.2303 -1.1034 -0.9931 -0.8989 -0.8204 -0.7541 -0.6953
 -0.6404 -0.5866 -0.5344 -0.4790 -0.4209 -0.2871 -0.1850 -0.1200 -0.0816 -0.0557
 -0.0363 -0.0217 -0.0111 -0.0037  0.0012  0.0025 -0.0012 -0.0109 -0.0274 -0.0511
 -1.6074 -1.4310 -1.2865 -1.1609 -1.0480 -0.9455 -0.8536 -0.7735 -0.7051 -0.6456
 -0.5910 -0.5385 -0.4882 -0.4393 -0.3894 -0.2716 -0.1768 -0.1142 -0.0801 -0.0606
 -0.0471 -0.0367 -0.0291 -0.0237 -0.0202 -0.0169 -0.0163 -0.0215 -0.0350 -0.0575
 -0.0854
 -1.4748 -1.3200 -1.1936 -1.0843 -0.9856 -0.8939 -0.8081 -0.7303 -0.6619 -0.6021
 -0.5491 -0.4998 -0.4523 -0.4066 -0.3611 -0.2547 -0.1676 -0.1061 -0.0729 -0.0580
 -0.0509 -0.0465 -0.0435 -0.0417 -0.0409 -0.0408 -0.0403 -0.0423 -0.0499 -0.0657
 -0.0914
 -1.3508 -1.2160 -1.1006 -1.0027 -0.9156 -0.8342 -0.7569 -0.6842 -0.6179 -0.5590
 -0.5074 -0.4609 -0.4176 -0.3759 -0.3347 -0.2368 -0.1560 -0.0972 -0.0628 -0.0490
 -0.0467 -0.0488 -0.0521 -0.0555 -0.0588 -0.0620 -0.0655 -0.0711 -0.0790 -0.0889
 -0.1007
 -1.2353 -1.1190 -1.0163 -0.9240 -0.8436 -0.7706 -0.7015 -0.6354 -0.5733 -0.5166
 -0.4661 -0.4218 -0.3819 -0.3446 -0.3086 -0.2203 -0.1447 -0.0883 -0.0532 -0.0378
 -0.0365 -0.0431 -0.0525 -0.0623 -0.0713 -0.0793 -0.0867 -0.0936 -0.1056 -0.1135
 -0.1186
 -1.1285 -1.0290 -0.9407 -0.8539 -0.7749 -0.7057 -0.6425 -0.5827 -0.5258 -0.4726
 -0.4241 -0.3813 -0.3437 -0.3101 -0.2787 -0.2028 -0.1327 -0.0789 -0.0440 -0.0270
 -0.0246 -0.0321 -0.0454 -0.0610 -0.0764 -0.0904 -0.1031 -0.1144 -0.1248 -0.1350
 -0.1463
 -1.0302 -0.9460 -0.8738 -0.7933 -0.7150 -0.6459 -0.5845 -0.5286 -0.4763 -0.4272
 -0.3817 -0.3406 -0.3046 -0.2733 -0.2450 -0.1843 -0.1200 -0.0690 -0.0352
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  r   
 -3.2953 -2.5287 -1.9747 -1.6286 -1.5166 -1.5380 -1.6780 -1.5250 -1.3841 -1.2491
 -1.1158 -1.0016 -0.8683 -0.7436 -0.6297 -0.4005 -0.2281 -0.1072 -0.0274
 -3.0286 -2.5790 -2.2564 -1.9893 -1.7637 -1.5790 -1.4280 -1.3009 -1.1884 -1.0830
 -0.9782 -0.8696 -0.7584 -0.6523 -0.5550 -0.3543 -0.2065 -0.1033 -0.0349  0.0114
 -2.6868 -2.2243 -1.8845 -1.6448 -1.4885 -1.3731 -1.2614 -1.1523 -1.0522 -0.9610
 -0.8751 -0.7880 -0.6940 -0.5991 -0.5106 -0.3283 -0.1965 -0.1055 -0.0452 -0.0045
  0.0234
 -2.5066 -2.0672 -1.7344 -1.4861 -1.3042 -1.1745 -1.0898 -1.0299 -0.9625 -0.8820
 -0.8002 -0.7235 -0.6460 -0.5633 -0.4836 -0.3137 -0.1920 -0.1094 -0.0556 -0.0191
  0.0067  0.0250
 -2.3844 -1.9777 -1.6637 -1.4223 -1.2367 -1.0953 -0.9885 -0.9086 -0.8517 -0.8036
 -0.7440 -0.6754 -0.6056 -0.5341 -0.4619 -0.3045 -0.1895 -0.1124 -0.0641 -0.0322
 -0.0092  0.0075  0.0191  0.0266
 -2.2745 -1.9053 -1.6159 -1.3883 -1.2070 -1.0619 -0.9465 -0.8551 -0.7816 -0.7215
 -0.6711 -0.6205 -0.5653 -0.5047 -0.4412 -0.2962 -0.1865 -0.1127 -0.0686 -0.0419
 -0.0232 -0.0093  0.0007  0.0074  0.0112  0.0119  0.0085 -0.0011 -0.0209 -0.0455
 -2.1643 -1.8314 -1.5684 -1.3580 -1.1861 -1.0434 -0.9246 -0.8265 -0.7457 -0.6776
 -0.6181 -0.5647 -0.5159 -0.4671 -0.4142 -0.2852 -0.1814 -0.1095 -0.0677 -0.0460
 -0.0329 -0.0233 -0.0164 -0.0118 -0.0092 -0.0085 -0.0104 -0.0161 -0.0281 -0.0512
 -0.0794
 -2.0540 -1.7547 -1.5164 -1.3231 -1.1625 -1.0260 -0.9085 -0.8072 -0.7212 -0.6485
 -0.5855 -0.5289 -0.4773 -0.4292 -0.3827 -0.2687 -0.1731 -0.1033 -0.0621 -0.0434
 -0.0361 -0.0324 -0.0301 -0.0291 -0.0291 -0.0299 -0.0324 -0.0367 -0.0441 -0.0591
 -0.0855
 -1.9445 -1.6756 -1.4583 -1.2806 -1.1317 -1.0028 -0.8891 -0.7883 -0.6999 -0.6235
 -0.5579 -0.5004 -0.4481 -0.3998 -0.3542 -0.2487 -0.1605 -0.0943 -0.0530 -0.0350
 -0.0318 -0.0343 -0.0382 -0.0423 -0.0464 -0.0504 -0.0549 -0.0602 -0.0671 -0.0773
 -0.0944
 -1.8452 -1.6047 -1.4048 -1.2392 -1.0992 -0.9771 -0.8680 -0.7694 -0.6807 -0.6021
 -0.5336 -0.4745 -0.4227 -0.3757 -0.3317 -0.2310 -0.1476 -0.0848 -0.0435 -0.0242
 -0.0218 -0.0285 -0.0384 -0.0488 -0.0585 -0.0673 -0.0756 -0.0835 -0.0917 -0.1012
 -0.1117
 -1.7577 -1.5413 -1.3564 -1.2002 -1.0666 -0.9497 -0.8445 -0.7484 -0.6606 -0.5812
 -0.5106 -0.4490 -0.3961 -0.3501 -0.3084 -0.2143 -0.1346 -0.0746 -0.0342 -0.0133
 -0.0096 -0.0174 -0.0312 -0.0474 -0.0633 -0.0781 -0.0916 -0.1038 -0.1153 -0.1266
 -0.1388
 -1.6810 -1.4871 -1.3167 -1.1677 -1.0383 -0.9243 -0.8216 -0.7274 -0.6406 -0.5610
 -0.4890 -0.4253 -0.3683 -0.3216 -0.2843 -0.1986 -0.1215 -0.0637 -0.0251
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  r   
 -4.9379 -4.2637 -3.6768 -3.1729 -2.7450 -2.3733 -2.0380 -1.7304 -1.4686 -1.2545
 -1.0772 -0.9261 -0.7932 -0.6771 -0.5744 -0.3638 -0.2060 -0.0913 -0.0135
 -4.4486 -3.8047 -3.2390 -2.7589 -2.3597 -2.0283 -1.7464 -1.4988 -1.2890 -1.1150
 -0.9681 -0.8390 -0.7218 -0.6163 -0.5220 -0.3301 -0.1897 -0.0895 -0.0212  0.0242
 -3.7890 -3.2279 -2.7916 -2.4185 -2.0872 -1.8009 -1.5559 -1.3451 -1.1667 -1.0177
 -0.8919 -0.7808 -0.6772 -0.5804 -0.4925 -0.3129 -0.1830 -0.0916 -0.0301  0.0108
  0.0385
 -3.3902 -2.7962 -2.3410 -2.0001 -1.7509 -1.5659 -1.3977 -1.2330 -1.0797 -0.9463
 -0.8329 -0.7352 -0.6451 -0.5575 -0.4754 -0.3052 -0.1819 -0.0959 -0.0390 -0.0020
  0.0233  0.0409
 -3.1932 -2.5955 -2.1346 -1.7859 -1.5220 -1.3262 -1.1846 -1.0796 -0.9907 -0.8925
 -0.7909 -0.6983 -0.6162 -0.5388 -0.4631 -0.3014 -0.1827 -0.1002 -0.0466 -0.0131
  0.0091  0.0248  0.0357  0.0421
 -3.0867 -2.5005 -2.0440 -1.6962 -1.4319 -1.2295 -1.0739 -0.9538 -0.8633 -0.7975
 -0.7368 -0.6664 -0.5916 -0.5193 -0.4503 -0.2975 -0.1828 -0.1028 -0.0516 -0.0213
 -0.0029  0.0098  0.0187  0.0243  0.0268  0.0269  0.0222  0.0097 -0.0109 -0.0349
 -3.0039 -2.4436 -2.0008 -1.6597 -1.3974 -1.1935 -1.0334 -0.9065 -0.8053 -0.7238
 -0.6590 -0.6058 -0.5531 -0.4955 -0.4343 -0.2914 -0.1806 -0.1025 -0.0528 -0.0252
 -0.0111 -0.0026  0.0030  0.0064  0.0078  0.0070  0.0033 -0.0039 -0.0175 -0.0413
 -0.0696
 -2.9145 -2.3910 -1.9711 -1.6421 -1.3857 -1.1834 -1.0216 -0.8899 -0.7822 -0.6935
 -0.6191 -0.5558 -0.5023 -0.4546 -0.4062 -0.2806 -0.1754 -0.0990 -0.0500 -0.0240
