 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  I   
  0.1836  0.1622  0.1187  0.0611  0.0113 -0.0056  0.1549  0.1811  0.2121  0.2529
  0.3055  0.3695  0.4262  0.4901  0.5498  0.6621  0.7056  0.7081  0.6929
  0.1513  0.2215  0.2606  0.2718  0.2621  0.2555  0.2597  0.2710  0.2869  0.3077
  0.3399  0.3861  0.4414  0.4962  0.5452  0.6324  0.6751  0.6836  0.6732  0.6518
  0.1928  0.2487  0.2936  0.3272  0.3469  0.3494  0.3375  0.3300  0.3367  0.3563
  0.3797  0.4095  0.4512  0.4978  0.5411  0.6206  0.6576  0.6631  0.6516  0.6307
  0.6035
  0.2409  0.2832  0.3209  0.3542  0.3817  0.4013  0.4118  0.4121  0.4064  0.4073
  0.4202  0.4380  0.4645  0.5005  0.5377  0.6096  0.6436  0.6466  0.6336  0.6127
  0.5865  0.5561
  0.3094  0.3350  0.3604  0.3860  0.4109  0.4329  0.4505  0.4629  0.4703  0.4734
  0.4765  0.4841  0.4948  0.5144  0.5406  0.6028  0.6347  0.6356  0.6199  0.5977
  0.5715  0.5419  0.5091  0.4737
  0.3958  0.4055  0.4167  0.4309  0.4478  0.4656  0.4826  0.4973  0.5092  0.5189
  0.5270  0.5344  0.5399  0.5489  0.5623  0.6034  0.6317  0.6316  0.6124  0.5869
  0.5591  0.5290  0.4965  0.4617  0.4241  0.3833  0.3390  0.2909  0.2390  0.1832
  0.4920  0.4909  0.4893  0.4913  0.4975  0.5072  0.5189  0.5310  0.5423  0.5524
  0.5618  0.5709  0.5788  0.5857  0.5941  0.6172  0.6358  0.6346  0.6126  0.5824
  0.5507  0.5186  0.4852  0.4502  0.4138  0.3763  0.3363  0.2920  0.2424  0.1873
  0.1298
  0.5960  0.5845  0.5737  0.5656  0.5611  0.5608  0.5646  0.5707  0.5778  0.5855
  0.5929  0.6004  0.6079  0.6147  0.6221  0.6384  0.6475  0.6435  0.6202  0.5857
  0.5488  0.5124  0.4764  0.4401  0.4032  0.3654  0.3269  0.2863  0.2416  0.1916
  0.1354
  0.6999  0.6810  0.6641  0.6490  0.6361  0.6269  0.6215  0.6197  0.6204  0.6230
  0.6266  0.6308  0.6353  0.6400  0.6455  0.6588  0.6632  0.6558  0.6325  0.5958
  0.5540  0.5121  0.4716  0.4322  0.3933  0.3547  0.3155  0.2743  0.2311  0.1860
  0.1393
  0.8036  0.7804  0.7572  0.7369  0.7185  0.7023  0.6889  0.6788  0.6718  0.6674
  0.6653  0.6647  0.6652  0.6664  0.6684  0.6763  0.6786  0.6693  0.6465  0.6106
  0.5667  0.5201  0.4743  0.4302  0.3879  0.3469  0.3065  0.2662  0.2216  0.1794
  0.1385
  0.9073  0.8827  0.8530  0.8259  0.8041  0.7833  0.7641  0.7470  0.7325  0.7206
  0.7113  0.7045  0.6996  0.6963  0.6941  0.6930  0.6929  0.6824  0.6598  0.6255
  0.5822  0.5340  0.4841  0.4351  0.3881  0.3432  0.2999  0.2579  0.2165  0.1750
  0.1324
  1.0108  0.9879  0.9515  0.9155  0.8906  0.8663  0.8430  0.8211  0.8007  0.7819
  0.7655  0.7515  0.7400  0.7309  0.7226  0.7089  0.7061  0.6951  0.6724
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  I   
  0.1113  0.1522  0.1672  0.1628  0.1504  0.1431  0.1931  0.2012  0.2211  0.2548
  0.3025  0.3615  0.4213  0.4812  0.5360  0.6426  0.6981  0.7136  0.7018
  0.1719  0.2361  0.2604  0.2739  0.2819  0.2831  0.2805  0.2795  0.2858  0.3029
  0.3330  0.3766  0.4292  0.4819  0.5302  0.6227  0.6736  0.6877  0.6792  0.6589
  0.1876  0.2684  0.3222  0.3497  0.3490  0.3355  0.3289  0.3308  0.3370  0.3466
  0.3638  0.3919  0.4327  0.4787  0.5221  0.6066  0.6539  0.6674  0.6584  0.6381
  0.6111
  0.1954  0.2699  0.3263  0.3672  0.3934  0.4048  0.3991  0.3827  0.3740  0.3800
  0.3936  0.4123  0.4400  0.4773  0.5150  0.5930  0.6375  0.6508  0.6415  0.6211
  0.5950  0.5644
  0.2191  0.2813  0.3312  0.3719  0.4042  0.4278  0.4426  0.4488  0.4443  0.4346
  0.4329  0.4402  0.4562  0.4823  0.5142  0.5840  0.6259  0.6388  0.6287  0.6073
  0.5809  0.5510  0.5177  0.4811
  0.2645  0.3117  0.3510  0.3853  0.4158  0.4420  0.4632  0.4789  0.4898  0.4954
  0.4950  0.4935  0.4948  0.5042  0.5228  0.5810  0.6199  0.6324  0.6214  0.5977
  0.5695  0.5389  0.5059  0.4704  0.4323  0.3915  0.3471  0.2983  0.2437  0.1876
  0.3298  0.3623  0.3892  0.4141  0.4382  0.4614  0.4828  0.5011  0.5162  0.5286
  0.5384  0.5450  0.5470  0.5487  0.5551  0.5866  0.6199  0.6318  0.6203  0.5936
  0.5620  0.5292  0.4952  0.4596  0.4224  0.3832  0.3415  0.2967  0.2475  0.1919
  0.1342
  0.4092  0.4290  0.4448  0.4595  0.4751  0.4919  0.5092  0.5260  0.5410  0.5543
  0.5662  0.5768  0.5846  0.5901  0.5945  0.6092  0.6273  0.6367  0.6252  0.5964
  0.5604  0.5236  0.4871  0.4501  0.4125  0.3739  0.3336  0.2914  0.2465  0.1965
  0.1398
  0.4967  0.5068  0.5136  0.5198  0.5268  0.5357  0.5466  0.5587  0.5708  0.5821
  0.5926  0.6025  0.6114  0.6190  0.6255  0.6375  0.6447  0.6468  0.6346  0.6050
  0.5654  0.5235  0.4826  0.4427  0.4032  0.3638  0.3237  0.2827  0.2399  0.1943
  0.1439
  0.5846  0.5894  0.5900  0.5895  0.5899  0.5917  0.5955  0.6012  0.6081  0.6155
  0.6227  0.6295  0.6362  0.6427  0.6488  0.6611  0.6652  0.6612  0.6470  0.6181
