 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  U   
 -8.9479 -8.3719 -7.9551 -7.6667 -7.4532 -7.2747 -7.1848 -7.0086 -6.8149 -6.5849
 -6.3126 -5.8573 -5.5629 -5.2473 -4.9209 -3.9769 -2.9255 -2.3005 -1.6516
 -8.2167 -7.7625 -7.4140 -7.1607 -6.9782 -6.8140 -6.6418 -6.4540 -6.2499 -6.0216
 -5.7483 -5.4220 -5.0655 -4.7062 -4.3481 -3.4179 -2.5663 -1.9144 -1.4614 -1.1426
 -7.9635 -7.4701 -7.0390 -6.6739 -6.3788 -6.1567 -5.9953 -5.8480 -5.6768 -5.4639
 -5.2165 -4.9239 -4.5857 -4.2419 -3.9061 -3.0804 -2.3070 -1.7093 -1.3007 -1.0195
 -0.8206
 -7.8136 -7.2926 -6.8223 -6.4041 -6.0388 -5.7269 -5.4675 -5.2596 -5.0888 -4.9138
 -4.7017 -4.4535 -4.1597 -3.8399 -3.5275 -2.7879 -2.1017 -1.5500 -1.1737 -0.9208
 -0.7451 -0.6193
 -7.7180 -7.1855 -6.6952 -6.2487 -5.8468 -5.4884 -5.1722 -4.8960 -4.6563 -4.4484
 -4.2524 -4.0395 -3.7953 -3.5170 -3.2310 -2.5637 -1.9534 -1.4394 -1.0793 -0.8430
 -0.6831 -0.5704 -0.4890 -0.4285
 -7.6594 -7.1287 -6.6322 -6.1711 -5.7478 -5.3634 -5.0154 -4.7019 -4.4208 -4.1686
 -3.9407 -3.7279 -3.5140 -3.2764 -3.0223 -2.4083 -1.8589 -1.3772 -1.0200 -0.7852
 -0.6320 -0.5272 -0.4530 -0.3998 -0.3597 -0.3282 -0.3021 -0.2786 -0.2558 -0.2321
 -7.6388 -7.1116 -6.6178 -6.1532 -5.7194 -5.3189 -4.9515 -4.6151 -4.3083 -4.0295
 -3.7756 -3.5430 -3.3258 -3.1087 -2.8840 -2.3149 -1.8066 -1.3553 -0.9960 -0.7501
 -0.5916 -0.4881 -0.4177 -0.3687 -0.3344 -0.3093 -0.2902 -0.2750 -0.2616 -0.2487
 -0.2353
 -7.6577 -7.1378 -6.6470 -6.1834 -5.7474 -5.3387 -4.9576 -4.6059 -4.2820 -3.9833
 -3.7100 -3.4599 -3.2296 -3.0109 -2.7970 -2.2708 -1.7824 -1.3587 -1.0016 -0.7398
 -0.5656 -0.4539 -0.3821 -0.3347 -0.3034 -0.2829 -0.2687 -0.2587 -0.2519 -0.2473
 -0.2442
 -7.7187 -7.2012 -6.7129 -6.2514 -5.8157 -5.4036 -5.0149 -4.6517 -4.3139 -4.0007
 -3.7109 -3.4441 -3.1989 -2.9703 -2.7527 -2.2478 -1.7785 -1.3685 -1.0208 -0.7482
 -0.5552 -0.4278 -0.3475 -0.2976 -0.2669 -0.2487 -0.2392 -0.2339 -0.2317 -0.2322
 -0.2351
 -7.8218 -7.3018 -6.8247 -6.3628 -5.9267 -5.5140 -5.1220 -4.7508 -4.4016 -4.0752
 -3.7709 -3.4882 -3.2266 -2.9844 -2.7574 -2.2492 -1.7952 -1.3912 -1.0493 -0.7727
 -0.5645 -0.4182 -0.3221 -0.2628 -0.2279 -0.2089 -0.2005 -0.1992 -0.2013 -0.2060
 -0.2134
 -7.9671 -7.4396 -6.9824 -6.4988 -6.0643 -5.6497 -5.2569 -4.8821 -4.5254 -4.1878
 -3.8701 -3.5725 -3.2948 -3.0367 -2.7963 -2.2681 -1.8178 -1.4197 -1.0796 -0.8008
 -0.5839 -0.4230 -0.3097 -0.2355 -0.1909 -0.1667 -0.1565 -0.1554 -0.1604 -0.1693
 -0.1803
 -8.1545 -7.6146 -7.1860 -6.6538 -6.2170 -5.8002 -5.4052 -5.0292 -4.6689 -4.3242
 -3.9960 -3.6852 -3.3926 -3.1188 -2.8694 -2.3045 -1.8463 -1.4540 -1.1117
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  U   
 -7.8852 -7.5718 -7.3513 -7.2008 -7.0886 -6.9894 -6.9108 -6.7855 -6.6260 -6.4149
 -6.1424 -5.7690 -5.4315 -5.0961 -4.7670 -3.9175 -3.0243 -2.3439 -1.7206
 -7.5076 -7.2188 -7.0086 -6.8237 -6.6527 -6.4966 -6.3508 -6.2047 -6.0393 -5.8351
 -5.5787 -5.2667 -4.9239 -4.5834 -4.2536 -3.4518 -2.6694 -2.0076 -1.5295 -1.1871
 -7.2991 -6.9005 -6.5758 -6.3240 -6.1454 -6.0038 -5.8550 -5.6874 -5.5030 -5.3007
 -5.0636 -4.7795 -4.4548 -4.1248 -3.8099 -3.0742 -2.3873 -1.7980 -1.3664 -1.0685
 -0.8587
 -7.2433 -6.7858 -6.3893 -6.0505 -5.7676 -5.5368 -5.3595 -5.2147 -5.0511 -4.8466
 -4.6173 -4.3625 -4.0698 -3.7569 -3.4574 -2.7780 -2.1677 -1.6381 -1.2406 -0.9686
 -0.7810 -0.6471
 -7.2871 -6.7847 -6.3398 -5.9472 -5.6038 -5.3058 -5.0486 -4.8271 -4.6420 -4.4714
 -4.2701 -4.0365 -3.7763 -3.4909 -3.2046 -2.5675 -2.0131 -1.5277 -1.1502 -0.8919
 -0.7177 -0.5962 -0.5085 -0.4429
 -7.4155 -6.8752 -6.3881 -5.9519 -5.5640 -5.2200 -4.9152 -4.6447 -4.4021 -4.1850
 -3.9899 -3.7930 -3.5715 -3.3173 -3.0496 -2.4375 -1.9192 -1.4646 -1.0957 -0.8369
