 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  V   
 -2.5162 -1.9646 -1.6984 -1.7099 -1.9964 -2.3643 -2.6459 -2.4938 -2.3444 -2.1859
 -2.0181 -1.8815 -1.7015 -1.5232 -1.3586 -1.0020 -0.7019 -0.4839 -0.3179
 -3.3300 -2.9886 -2.7395 -2.5735 -2.4634 -2.3604 -2.2486 -2.1327 -2.0162 -1.8973
 -1.7652 -1.6155 -1.4566 -1.3029 -1.1607 -0.8541 -0.6141 -0.4361 -0.3091 -0.2158
 -3.1066 -2.7858 -2.5319 -2.3325 -2.1803 -2.0716 -1.9937 -1.9104 -1.8061 -1.6877
 -1.5691 -1.4456 -1.3094 -1.1726 -1.0459 -0.7801 -0.5742 -0.4205 -0.3088 -0.2250
 -0.1593
 -2.9303 -2.6416 -2.4040 -2.2063 -2.0417 -1.9060 -1.7954 -1.7067 -1.6283 -1.5368
 -1.4273 -1.3162 -1.2005 -1.0799 -0.9651 -0.7258 -0.5453 -0.4114 -0.3127 -0.2370
 -0.1763 -0.1257
 -2.7630 -2.5107 -2.2969 -2.1125 -1.9518 -1.8116 -1.6898 -1.5837 -1.4899 -1.4042
 -1.3166 -1.2202 -1.1201 -1.0140 -0.9099 -0.6886 -0.5242 -0.4048 -0.3175 -0.2496
 -0.1940 -0.1469 -0.1060 -0.0683
 -2.5982 -2.3798 -2.1920 -2.0258 -1.8765 -1.7416 -1.6196 -1.5095 -1.4098 -1.3174
 -1.2295 -1.1426 -1.0561 -0.9650 -0.8720 -0.6645 -0.5091 -0.3983 -0.3200 -0.2601
 -0.2104 -0.1677 -0.1300 -0.0961 -0.0642 -0.0361 -0.0138  0.0010  0.0071  0.0037
 -2.4446 -2.2505 -2.0856 -1.9381 -1.8029 -1.6779 -1.5617 -1.4540 -1.3543 -1.2616
 -1.1737 -1.0886 -1.0059 -0.9242 -0.8418 -0.6503 -0.4993 -0.3917 -0.3184 -0.2655
 -0.2228 -0.1857 -0.1525 -0.1222 -0.0940 -0.0660 -0.0409 -0.0220 -0.0121 -0.0125
 -0.0219
 -2.3050 -2.1297 -1.9807 -1.8483 -1.7271 -1.6134 -1.5055 -1.4037 -1.3081 -1.2176
 -1.1321 -1.0502 -0.9707 -0.8931 -0.8165 -0.6394 -0.4941 -0.3864 -0.3136 -0.2648
 -0.2285 -0.1981 -0.1709 -0.1455 -0.1214 -0.0982 -0.0744 -0.0531 -0.0381 -0.0324
 -0.0378
 -2.1831 -2.0221 -1.8811 -1.7582 -1.6476 -1.5440 -1.4453 -1.3509 -1.2611 -1.1754
 -1.0936 -1.0153 -0.9400 -0.8666 -0.7944 -0.6271 -0.4883 -0.3822 -0.3077 -0.2590
 -0.2266 -0.2027 -0.1823 -0.1633 -0.1448 -0.1262 -0.1079 -0.0919 -0.0783 -0.0671
 -0.0579
 -2.0789 -1.9277 -1.7958 -1.6760 -1.5702 -1.4741 -1.3835 -1.2966 -1.2133 -1.1335
 -1.0568 -0.9831 -0.9119 -0.8431 -0.7759 -0.6173 -0.4835 -0.3792 -0.3036 -0.2527
