 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  J   
  2.1120  2.0746  2.0169  1.9708  1.9381  1.8940  1.8306  1.7698  1.7290  1.7078
  1.6963  1.6916  1.6881  1.6816  1.6718  1.6286  1.5588  1.4748  1.3885
  2.0547  2.0271  1.9910  1.9542  1.9142  1.8708  1.8262  1.7833  1.7446  1.7117
  1.6858  1.6673  1.6556  1.6467  1.6361  1.5935  1.5276  1.4468  1.3610  1.2728
  2.0198  1.9940  1.9671  1.9358  1.8964  1.8563  1.8199  1.7842  1.7480  1.7124
  1.6806  1.6539  1.6346  1.6213  1.6087  1.5651  1.5018  1.4235  1.3386  1.2522
  1.1657
  2.0073  1.9753  1.9452  1.9156  1.8847  1.8505  1.8117  1.7725  1.7392  1.7099
  1.6807  1.6514  1.6251  1.6054  1.5896  1.5434  1.4814  1.4049  1.3212  1.2360
  1.1510  1.0664
  2.0146  1.9757  1.9401  1.9072  1.8757  1.8440  1.8110  1.7762  1.7401  1.7060
  1.6775  1.6514  1.6241  1.5990  1.5785  1.5282  1.4661  1.3911  1.3078  1.2227
  1.1384  1.0549  0.9721  0.8896
  2.0362  1.9912  1.9498  1.9122  1.8776  1.8447  1.8123  1.7795  1.7463  1.7134
  1.6817  1.6532  1.6266  1.5997  1.5756  1.5190  1.4559  1.3817  1.2986  1.2128
  1.1279  1.0444  0.9623  0.8810  0.8004  0.7198  0.6388  0.5557  0.4701  0.3853
  2.0647  2.0165  1.9706  1.9284  1.8900  1.8542  1.8201  1.7870  1.7539  1.7214
  1.6898  1.6599  1.6322  1.6043  1.5779  1.5158  1.4502  1.3764  1.2938  1.2069
  1.1204  1.0359  0.9533  0.8723  0.7925  0.7136  0.6347  0.5556  0.4744  0.3902
  0.3064
  2.0905  2.0441  1.9974  1.9524  1.9106  1.8716  1.8351  1.8001  1.7660  1.7324
  1.6999  1.6686  1.6390  1.6107  1.5825  1.5171  1.4485  1.3744  1.2925  1.2051
  1.1168  1.0302  0.9461  0.8643  0.7844  0.7061  0.6286  0.5515  0.4739  0.3945
  0.3115
  2.1040  2.0647  2.0220  1.9781  1.9353  1.8943  1.8555  1.8183  1.7823  1.7471
  1.7129  1.6797  1.6480  1.6179  1.5882  1.5193  1.4489  1.3739  1.2926  1.2055
  1.1160  1.0271  0.9406  0.8569  0.7758  0.6968  0.6195  0.5433  0.4677  0.3915
  0.3134
  2.0987  2.0706  2.0370  1.9991  1.9591  1.9189  1.8793  1.8408  1.8032  1.7663
  1.7302  1.6950  1.6609  1.6282  1.5967  1.5232  1.4513  1.3756  1.2950  1.2090
  1.1196  1.0295  0.9408  0.8545  0.7713  0.6908  0.6127  0.5364  0.4615  0.3872
  0.3120
  2.0735  2.0578  2.0350  2.0070  1.9745  1.9386  1.9012  1.8634  1.8255  1.7878
  1.7504  1.7133  1.6771  1.6419  1.6080  1.5287  1.4542  1.3780  1.2976  1.2128
  1.1245  1.0344  0.9445  0.8560  0.7702  0.6875  0.6074  0.5300  0.4547  0.3808
  0.3076
  2.0283  2.0263  2.0141  1.9972  1.9744  1.9466  1.9149  1.8806  1.8449  1.8081
  1.7708  1.7331  1.6954  1.6582  1.6221  1.5358  1.4576  1.3811  1.3004
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  J   
  2.1252  2.0791  2.0275  1.9728  1.9173  1.8635  1.8136  1.7694  1.7325  1.7040
  1.6844  1.6726  1.6661  1.6603  1.6506  1.6152  1.5560  1.4773  1.3897
  2.1186  2.0809  2.0352  1.9838  1.9297  1.8753  1.8228  1.7744  1.7318  1.6961
  1.6683  1.6488  1.6366  1.6277  1.6178  1.5805  1.5233  1.4489  1.3645  1.2767
  2.0844  2.0584  2.0221  1.9816  1.9359  1.8865  1.8358  1.7866  1.7410  1.7003
  1.6657  1.6383  1.6188  1.6056  1.5934  1.5534  1.4969  1.4254  1.3435  1.2578
  1.1712
  2.0478  2.0260  1.9965  1.9605  1.9202  1.8776  1.8344  1.7918  1.7499  1.7095
