 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F336W
 -9.6155 -9.4822 -9.4172 -9.2895 -9.0696 -8.8412 -8.7024 -8.6334 -8.5270 -8.3151
 -8.0299 -7.6825 -7.2941 -6.9043 -6.5069 -5.5037 -4.5432 -3.7719 -3.1788
 -9.2430 -8.9543 -8.7375 -8.5514 -8.3862 -8.2394 -8.1065 -7.9738 -7.8203 -7.6277
 -7.3808 -7.0672 -6.6933 -6.3013 -5.9157 -4.9866 -4.1213 -3.4155 -2.9041 -2.5686
 -8.9939 -8.6009 -8.2753 -8.0186 -7.8304 -7.6796 -7.5287 -7.3644 -7.1869 -6.9936
 -6.7633 -6.4805 -6.1377 -5.7616 -5.3935 -4.5376 -3.7623 -3.1176 -2.6619 -2.3662
 -2.1829
 -8.8682 -8.4220 -8.0306 -7.6911 -7.4022 -7.1618 -6.9690 -6.8052 -6.6268 -6.4128
 -6.1774 -5.9224 -5.6273 -5.2852 -4.9403 -4.1567 -3.4662 -2.8782 -2.4522 -2.1782
 -2.0099 -1.9128
 -8.8091 -8.3262 -7.8947 -7.5092 -7.1665 -6.8636 -6.5971 -6.3620 -6.1537 -5.9530
 -5.7230 -5.4629 -5.1932 -4.8969 -4.5815 -3.8628 -3.2430 -2.7042 -2.2942 -2.0285
 -1.8673 -1.7744 -1.7273 -1.7113
 -8.8007 -8.2911 -7.8290 -7.4105 -7.0330 -6.6925 -6.3855 -6.1075 -5.8533 -5.6169
 -5.3901 -5.1542 -4.8994 -4.6285 -4.3344 -3.6591 -3.0918 -2.5941 -2.1912 -1.9180
 -1.7527 -1.6575 -1.6074 -1.5881 -1.5895 -1.6031 -1.6216 -1.6392 -1.6508 -1.6517
 -8.8284 -8.3043 -7.8214 -7.3774 -6.9719 -6.6037 -6.2693 -5.9638 -5.6834 -5.4228
 -5.1765 -4.9384 -4.7009 -4.4616 -4.1978 -3.5434 -3.0029 -2.5371 -2.1402 -1.8500
 -1.6671 -1.5611 -1.5037 -1.4777 -1.4735 -1.4836 -1.5018 -1.5219 -1.5397 -1.5519
 -1.5548
 -8.8866 -8.3532 -7.8589 -7.3988 -6.9720 -6.5805 -6.2226 -5.8955 -5.5951 -5.3175
 -5.0576 -4.8109 -4.5738 -4.3437 -4.1101 -3.5013 -2.9641 -2.5175 -2.1298 -1.8231
 -1.6143 -1.4874 -1.4164 -1.3807 -1.3684 -1.3723 -1.3868 -1.4065 -1.4268 -1.4446
 -1.4584
 -8.9701 -8.4283 -7.9244 -7.4555 -7.0152 -6.6054 -6.2275 -5.8808 -5.5628 -5.2697
 -4.9972 -4.7418 -4.4999 -4.2689 -4.0453 -3.4812 -2.9592 -2.5161 -2.1390 -1.8248
 -1.5923 -1.4386 -1.3468 -1.2971 -1.2747 -1.2707 -1.2794 -1.2961 -1.3164 -1.3369
 -1.3553
