 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F547M
 -3.8213 -3.4850 -3.2524 -3.0050 -2.7346 -2.5187 -2.4028 -2.3317 -2.2358 -2.0956
 -1.9352 -1.7605 -1.5855 -1.4220 -1.2672 -0.9255 -0.6478 -0.4386 -0.2756
 -3.4395 -3.0570 -2.7788 -2.5550 -2.3745 -2.2316 -2.1156 -2.0135 -1.9134 -1.8075
 -1.6905 -1.5583 -1.4122 -1.2640 -1.1250 -0.8287 -0.5941 -0.4154 -0.2808 -0.1832
 -3.1761 -2.7790 -2.4804 -2.2633 -2.1146 -1.9993 -1.8892 -1.7841 -1.6868 -1.5952
 -1.4998 -1.3952 -1.2751 -1.1444 -1.0190 -0.7560 -0.5535 -0.3992 -0.2853 -0.1997
 -0.1324
 -3.0311 -2.6510 -2.3572 -2.1299 -1.9549 -1.8218 -1.7236 -1.6435 -1.5560 -1.4587
 -1.3631 -1.2712 -1.1742 -1.0632 -0.9492 -0.7074 -0.5260 -0.3900 -0.2890 -0.2115
 -0.1495 -0.0978
 -2.9177 -2.5633 -2.2857 -2.0655 -1.8879 -1.7439 -1.6262 -1.5291 -1.4479 -1.3713
 -1.2841 -1.1898 -1.0995 -1.0054 -0.9038 -0.6770 -0.5079 -0.3843 -0.2938 -0.2240
 -0.1672 -0.1191 -0.0771 -0.0400
 -2.7966 -2.4751 -2.2207 -2.0154 -1.8454 -1.7016 -1.5785 -1.4722 -1.3789 -1.2946
 -1.2153 -1.1338 -1.0487 -0.9637 -0.8721 -0.6587 -0.4962 -0.3794 -0.2967 -0.2344
 -0.1835 -0.1399 -0.1013 -0.0666 -0.0349 -0.0065  0.0180  0.0344  0.0398  0.0367
 -2.6591 -2.3722 -2.1441 -1.9584 -1.8017 -1.6656 -1.5450 -1.4368 -1.3393 -1.2500
 -1.1662 -1.0854 -1.0052 -0.9281 -0.8474 -0.6477 -0.4890 -0.3747 -0.2959 -0.2400
 -0.1958 -0.1578 -0.1238 -0.0927 -0.0637 -0.0367 -0.0126  0.0083  0.0207  0.0208
  0.0116
 -2.5153 -2.2584 -2.0539 -1.8877 -1.7468 -1.6226 -1.5095 -1.4052 -1.3084 -1.2184
 -1.1336 -1.0525 -0.9738 -0.8973 -0.8234 -0.6394 -0.4852 -0.3707 -0.2923 -0.2397
 -0.2016 -0.1702 -0.1421 -0.1160 -0.0911 -0.0672 -0.0448 -0.0246 -0.0081  0.0011
 -0.0038
 -2.3722 -2.1410 -1.9550 -1.8040 -1.6770 -1.5652 -1.4626 -1.3661 -1.2745 -1.1874
 -1.1044 -1.0250 -0.9482 -0.8734 -0.8017 -0.6283 -0.4810 -0.3673 -0.2870 -0.2345
 -0.1999 -0.1747 -0.1535 -0.1338 -0.1145 -0.0952 -0.0763 -0.0581 -0.0417 -0.0289
 -0.0236
 -2.2482 -2.0373 -1.8619 -1.7190 -1.6004 -1.4978 -1.4052 -1.3179 -1.2341 -1.1531
 -1.0747 -0.9990 -0.9255 -0.8542 -0.7850 -0.6196 -0.4772 -0.3653 -0.2837 -0.2287
 -0.1941 -0.1723 -0.1571 -0.1443 -0.1318 -0.1187 -0.1050 -0.0910 -0.0771 -0.0645
 -0.0526
 -2.1480 -1.9503 -1.7816 -1.6402 -1.5227 -1.4241 -1.3375 -1.2581 -1.1826 -1.1094
 -1.0377 -0.9677 -0.8992 -0.8324 -0.7671 -0.6108 -0.4728 -0.3624 -0.2805 -0.2236
 -0.1870 -0.1654 -0.1534 -0.1463 -0.1407 -0.1346 -0.1276 -0.1193 -0.1099 -0.1005
 -0.0919
 -2.0715 -1.8800 -1.7173 -1.5738 -1.4530 -1.3516 -1.2653 -1.1897 -1.1202 -1.0544
 -0.9905 -0.9277 -0.8659 -0.8050 -0.7480 -0.6019 -0.4678 -0.3586 -0.2774
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F547M
 -4.7099 -4.1969 -3.7616 -3.3967 -3.0924 -2.8315 -2.5977 -2.3801 -2.1801 -1.9987
 -1.8261 -1.6558 -1.4882 -1.3304 -1.1708 -0.8689 -0.6255 -0.4316 -0.2860
 -4.2995 -3.7827 -3.3441 -2.9829 -2.6899 -2.4514 -2.2518 -2.0733 -1.9129 -1.7666
 -1.6261 -1.4837 -1.3369 -1.1935 -1.0611 -0.7862 -0.5734 -0.4067 -0.2798 -0.1845
 -3.8888 -3.3793 -2.9673 -2.6813 -2.4149 -2.1947 -2.0125 -1.8566 -1.7195 -1.5960
 -1.4793 -1.3618 -1.2369 -1.1069 -0.9834 -0.7280 -0.5365 -0.3898 -0.2778 -0.1923
 -0.1241
