 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F160W
  0.9272  1.0254  1.1584  1.2203  1.2010  1.1765  1.1978  1.2364  1.2518  1.2366
  1.2071  1.1716  1.1328  1.0910  1.0446  0.9172  0.7800  0.6398  0.5008
  0.9401  0.9733  1.0282  1.0760  1.1172  1.1541  1.1836  1.2018  1.2065  1.1980
  1.1775  1.1470  1.1091  1.0663  1.0200  0.8953  0.7630  0.6269  0.4902  0.3538
  0.9571  0.9555  0.9644  0.9920  1.0437  1.0969  1.1320  1.1514  1.1595  1.1577
  1.1439  1.1188  1.0841  1.0423  0.9965  0.8739  0.7456  0.6138  0.4802  0.3471
  0.2154
  0.9782  0.9720  0.9670  0.9683  0.9805  1.0049  1.0430  1.0852  1.1108  1.1157
  1.1063  1.0870  1.0578  1.0190  0.9741  0.8530  0.7278  0.6005  0.4708  0.3408
  0.2121  0.0850
  0.9901  0.9859  0.9792  0.9728  0.9703  0.9739  0.9845  1.0003  1.0222  1.0443
  1.0528  1.0446  1.0248  0.9934  0.9519  0.8329  0.7096  0.5862  0.4612  0.3345
  0.2082  0.0836 -0.0390 -0.1599
  0.9896  0.9895  0.9856  0.9792  0.9720  0.9662  0.9637  0.9646  0.9668  0.9702
  0.9757  0.9780  0.9703  0.9522  0.9223  0.8130  0.6915  0.5708  0.4503  0.3278
  0.2043  0.0818 -0.0388 -0.1574 -0.2740 -0.3889 -0.5020 -0.6137 -0.7236 -0.8289
  0.9736  0.9788  0.9795  0.9766  0.9709  0.9630  0.9545  0.9470  0.9402  0.9329
  0.9248  0.9165  0.9075  0.8952  0.8753  0.7884  0.6733  0.5547  0.4378  0.3199
  0.1999  0.0797 -0.0390 -0.1557 -0.2704 -0.3831 -0.4941 -0.6032 -0.7110 -0.8173
 -0.9195
  0.9385  0.9504  0.9570  0.9593  0.9577  0.9524  0.9442  0.9340  0.9228  0.9104
  0.8965  0.8808  0.8635  0.8455  0.8262  0.7541  0.6525  0.5384  0.4241  0.3102
