 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F390M
 -6.5118 -6.4040 -6.3615 -6.2643 -6.0810 -5.8940 -5.7921 -5.7508 -5.6713 -5.4923
 -5.2447 -4.9446 -4.6153 -4.2816 -3.9445 -3.0893 -2.2410 -1.5398 -0.9672
 -6.2371 -5.9891 -5.8034 -5.6432 -5.5003 -5.3740 -5.2599 -5.1457 -5.0136 -4.8478
 -4.6365 -4.3741 -4.0680 -3.7483 -3.4361 -2.6806 -1.9547 -1.3401 -0.8610 -0.5038
 -6.0878 -5.7451 -5.4581 -5.2289 -5.0599 -4.9230 -4.7845 -4.6349 -4.4765 -4.3086
 -4.1136 -3.8814 -3.6063 -3.3085 -3.0198 -2.3492 -1.7266 -1.1876 -0.7755 -0.4658
 -0.2230
 -6.0639 -5.6720 -5.3256 -5.0214 -4.7598 -4.5410 -4.3659 -4.2184 -4.0600 -3.8747
 -3.6760 -3.4665 -3.2302 -2.9622 -2.6956 -2.0951 -1.5567 -1.0823 -0.7106 -0.4315
 -0.2132 -0.0343
 -6.1241 -5.6945 -5.3089 -4.9614 -4.6491 -4.3711 -4.1266 -3.9136 -3.7299 -3.5596
 -3.3721 -3.1644 -2.9503 -2.7162 -2.4696 -1.9184 -1.4416 -1.0182 -0.6758 -0.4179
 -0.2180 -0.0547  0.0840  0.2047
 -6.2602 -5.7985 -5.3785 -4.9962 -4.6485 -4.3320 -4.0452 -3.7867 -3.5547 -3.3462
 -3.1554 -2.9672 -2.7700 -2.5616 -2.3346 -1.8114 -1.3743 -0.9881 -0.6657 -0.4200
 -0.2326 -0.0815  0.0462  0.1570  0.2550  0.3430  0.4221  0.4955  0.5633  0.6166
 -6.4573 -5.9728 -5.5246 -5.1109 -4.7308 -4.3831 -4.0650 -3.7733 -3.5075 -3.2656
 -3.0452 -2.8424 -2.6505 -2.4633 -2.2622 -1.7629 -1.3454 -0.9845 -0.6747 -0.4339
 -0.2530 -0.1108  0.0072  0.1090  0.1986  0.2788  0.3507  0.4160  0.4738  0.5225
  0.5611
 -6.7004 -6.1984 -5.7303 -5.2923 -4.8840 -4.5070 -4.1601 -3.8409 -3.5470 -3.2775
 -3.0306 -2.8046 -2.5977 -2.4056 -2.2179 -1.7535 -1.3432 -0.9979 -0.6978 -0.4565
 -0.2763 -0.1393 -0.0292  0.0639  0.1451  0.2173  0.2820  0.3400  0.3918  0.4358
  0.4673
 -6.9680 -6.4544 -5.9710 -5.5169 -5.0877 -4.6855 -4.3120 -3.9668 -3.6483 -3.3544
 -3.0831 -2.8339 -2.6060 -2.3976 -2.2027 -1.7535 -1.3556 -1.0157 -0.7248 -0.4830
 -0.2996 -0.1635 -0.0590  0.0260  0.0985  0.1622  0.2188  0.2696  0.3149  0.3542
  0.3852
 -7.2549 -6.7450 -6.2472 -5.7789 -5.3350 -4.9145 -4.5193 -4.1504 -3.8078 -3.4907
 -3.1970 -2.9253 -2.6749 -2.4460 -2.2351 -1.7712 -1.3808 -1.0426 -0.7559 -0.5155
 -0.3272 -0.1874 -0.0841 -0.0048  0.0596  0.1146  0.1627  0.2054  0.2433  0.2764
  0.3068
 -7.5612 -7.0395 -6.5384 -6.0588 -5.6027 -5.1713 -4.7618 -4.3745 -4.0109 -3.6716
 -3.3559 -3.0628 -2.7909 -2.5398 -2.3082 -1.8089 -1.4116 -1.0738 -0.7867 -0.5465
 -0.3548 -0.2100 -0.1036 -0.0259  0.0326  0.0792  0.1182  0.1521  0.1819  0.2077
  0.2293
 -7.8868 -7.3379 -6.8178 -6.3375 -5.8760 -5.4375 -5.0207 -4.6231 -4.2448 -3.8879
 -3.5525 -3.2387 -2.9457 -2.6733 -2.4220 -1.8666 -1.4480 -1.1093 -0.8172
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F390M
 -5.8672 -5.7986 -5.7609 -5.7394 -5.7215 -5.6956 -5.6514 -5.5805 -5.4732 -5.3175
 -5.1057 -4.8366 -4.5280 -4.2142 -3.9120 -3.1627 -2.4085 -1.7051 -1.1453
