 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F850LP
 -0.5621 -0.5858 -0.6503 -0.7016 -0.7236 -0.7445 -0.7899 -0.8443 -0.8772 -0.8772
 -0.8585 -0.8264 -0.7892 -0.7556 -0.7246 -0.6753 -0.6685 -0.6916 -0.7215
 -0.6102 -0.6056 -0.6248 -0.6521 -0.6849 -0.7229 -0.7624 -0.7980 -0.8249 -0.8406
 -0.8431 -0.8315 -0.8074 -0.7778 -0.7503 -0.7059 -0.6990 -0.7212 -0.7555 -0.7973
 -0.6430 -0.6272 -0.6233 -0.6337 -0.6617 -0.6982 -0.7316 -0.7604 -0.7863 -0.8091
 -0.8231 -0.8260 -0.8151 -0.7930 -0.7699 -0.7309 -0.7244 -0.7458 -0.7823 -0.8246
 -0.8691
 -0.6605 -0.6506 -0.6458 -0.6464 -0.6540 -0.6704 -0.6975 -0.7315 -0.7614 -0.7827
 -0.7985 -0.8099 -0.8123 -0.8012 -0.7834 -0.7503 -0.7447 -0.7654 -0.8018 -0.8442
 -0.8889 -0.9342
 -0.6517 -0.6527 -0.6545 -0.6564 -0.6598 -0.6668 -0.6787 -0.6959 -0.7189 -0.7449
 -0.7665 -0.7824 -0.7952 -0.7981 -0.7888 -0.7631 -0.7590 -0.7793 -0.8164 -0.8598
 -0.9052 -0.9513 -0.9975 -1.0433
 -0.6155 -0.6300 -0.6422 -0.6511 -0.6574 -0.6629 -0.6698 -0.6793 -0.6918 -0.7068
 -0.7242 -0.7416 -0.7578 -0.7725 -0.7780 -0.7681 -0.7666 -0.7868 -0.8251 -0.8708
 -0.9180 -0.9656 -1.0131 -1.0605 -1.1070 -1.1531 -1.1992 -1.2479 -1.3007 -1.3551
 -0.5545 -0.5830 -0.6076 -0.6268 -0.6403 -0.6499 -0.6575 -0.6649 -0.6736 -0.6838
 -0.6948 -0.7067 -0.7189 -0.7341 -0.7468 -0.7607 -0.7672 -0.7879 -0.8270 -0.8760
 -0.9265 -0.9766 -1.0262 -1.0752 -1.1236 -1.1712 -1.2186 -1.2660 -1.3163 -1.3714
 -1.4288
 -0.4744 -0.5150 -0.5516 -0.5823 -0.6058 -0.6231 -0.6356 -0.6453 -0.6542 -0.6634
 -0.6729 -0.6825 -0.6921 -0.7026 -0.7153 -0.7387 -0.7585 -0.7829 -0.8225 -0.8739
 -0.9288 -0.9829 -1.0355 -1.0870 -1.1375 -1.1872 -1.2362 -1.2849 -1.3342 -1.3861
 -1.4437
 -0.3831 -0.4326 -0.4787 -0.5197 -0.5536 -0.5804 -0.6008 -0.6163 -0.6289 -0.6401
 -0.6506 -0.6608 -0.6706 -0.6801 -0.6912 -0.7159 -0.7423 -0.7727 -0.8134 -0.8663
 -0.9249 -0.9837 -1.0406 -1.0957 -1.1491 -1.2012 -1.2524 -1.3029 -1.3532 -1.4044
 -1.4586
 -0.2875 -0.3420 -0.3943 -0.4427 -0.4856 -0.5218 -0.5515 -0.5750 -0.5939 -0.6098
 -0.6236 -0.6364 -0.6483 -0.6595 -0.6708 -0.6969 -0.7251 -0.7593 -0.8012 -0.8537
 -0.9139 -0.9764 -1.0380 -1.0973 -1.1545 -1.2098 -1.2636 -1.3163 -1.3682 -1.4201
 -1.4730
 -0.1889 -0.2476 -0.3042 -0.3571 -0.4059 -0.4501 -0.4883 -0.5205 -0.5475 -0.5701
 -0.5894 -0.6065 -0.6221 -0.6364 -0.6499 -0.6806 -0.7099 -0.7456 -0.7888 -0.8405
 -0.9000 -0.9640 -1.0289 -1.0925 -1.1538 -1.2129 -1.2700 -1.3255 -1.3797 -1.4332
 -1.4866
 -0.0874 -0.1494 -0.2116 -0.2670 -0.3199 -0.3691 -0.4141 -0.4543 -0.4893 -0.5197
 -0.5460 -0.5691 -0.5899 -0.6087 -0.6285 -0.6670 -0.6967 -0.7316 -0.7762
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F850LP
 -0.6728 -0.6789 -0.7000 -0.7308 -0.7670 -0.8036 -0.8362 -0.8612 -0.8760 -0.8790
 -0.8686 -0.8456 -0.8139 -0.7806 -0.7497 -0.6957 -0.6763 -0.6910 -0.7248
 -0.6166 -0.6125 -0.6284 -0.6588 -0.6976 -0.7395 -0.7798 -0.8143 -0.8406 -0.8566
 -0.8600 -0.8499 -0.8276 -0.7997 -0.7731 -0.7255 -0.7084 -0.7210 -0.7536 -0.7948
 -0.6138 -0.5909 -0.5933 -0.6155 -0.6474 -0.6864 -0.7280 -0.7671 -0.8005 -0.8260
 -0.8414 -0.8447 -0.8342 -0.8132 -0.7906 -0.7493 -0.7346 -0.7459 -0.7773 -0.8181
 -0.8619
 -0.6379 -0.6045 -0.5939 -0.6029 -0.6260 -0.6579 -0.6942 -0.7308 -0.7639 -0.7926
 -0.8147 -0.8285 -0.8311 -0.8199 -0.8022 -0.7671 -0.7549 -0.7657 -0.7959 -0.8366
 -0.8810 -0.9265
 -0.6589 -0.6344 -0.6200 -0.6182 -0.6275 -0.6452 -0.6694 -0.6983 -0.7304 -0.7625
 -0.7871 -0.8052 -0.8165 -0.8176 -0.8070 -0.7787 -0.7692 -0.7803 -0.8099 -0.8510
 -0.8963 -0.9427 -0.9893 -1.0357
 -0.6585 -0.6430 -0.6348 -0.6315 -0.6326 -0.6386 -0.6500 -0.6667 -0.6886 -0.7163
 -0.7457 -0.7708 -0.7907 -0.8027 -0.8032 -0.7840 -0.7776 -0.7895 -0.8191 -0.8612
 -0.9082 -0.9562 -1.0043 -1.0521 -1.0994 -1.1464 -1.1934 -1.2429 -1.2961 -1.3502
 -0.6334 -0.6302 -0.6310 -0.6341 -0.6379 -0.6426 -0.6490 -0.6582 -0.6706 -0.6854
 -0.7028 -0.7233 -0.7450 -0.7660 -0.7808 -0.7829 -0.7803 -0.7933 -0.8230 -0.8664
 -0.9159 -0.9664 -1.0166 -1.0663 -1.1154 -1.1638 -1.2121 -1.2605 -1.3115 -1.3668
 -1.4242
 -0.5837 -0.5943 -0.6064 -0.6184 -0.6290 -0.6373 -0.6442 -0.6509 -0.6589 -0.6686
 -0.6794 -0.6914 -0.7050 -0.7218 -0.7402 -0.7679 -0.7771 -0.7920 -0.8218 -0.8660
 -0.9183 -0.9722 -1.0254 -1.0775 -1.1287 -1.1791 -1.2291 -1.2788 -1.3290 -1.3815
 -1.4393
 -0.5106 -0.5348 -0.5596 -0.5827 -0.6022 -0.6177 -0.6293 -0.6381 -0.6458 -0.6537
 -0.6622 -0.6713 -0.6808 -0.6914 -0.7052 -0.7381 -0.7641 -0.7858 -0.8167 -0.8610
 -0.9154 -0.9731 -1.0302 -1.0858 -1.1398 -1.1926 -1.2447 -1.2961 -1.3475 -1.3995
 -1.4543
 -0.4213 -0.4572 -0.4931 -0.5267 -0.5563 -0.5808 -0.5999 -0.6144 -0.6256 -0.6350
 -0.6439 -0.6529 -0.6618 -0.6710 -0.6813 -0.7108 -0.7421 -0.7732 -0.8073 -0.8514
