 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F350LP
 -1.5531 -1.5087 -1.5037 -1.4638 -1.3757 -1.2934 -1.2611 -1.2547 -1.2307 -1.1724
 -1.0953 -1.0036 -0.9086 -0.8183 -0.7309 -0.5357 -0.3770 -0.2535 -0.1539
 -1.5095 -1.4072 -1.3344 -1.2720 -1.2192 -1.1778 -1.1451 -1.1152 -1.0820 -1.0414
 -0.9901 -0.9250 -0.8462 -0.7613 -0.6791 -0.4997 -0.3559 -0.2437 -0.1565 -0.0904
 -1.4785 -1.3472 -1.2366 -1.1541 -1.1045 -1.0720 -1.0391 -1.0048 -0.9715 -0.9388
 -0.9003 -0.8523 -0.7893 -0.7136 -0.6373 -0.4708 -0.3391 -0.2368 -0.1592 -0.0998
 -0.0527
 -1.4601 -1.3287 -1.2103 -1.1101 -1.0316 -0.9760 -0.9431 -0.9235 -0.8992 -0.8646
 -0.8259 -0.7855 -0.7379 -0.6752 -0.6055 -0.4490 -0.3266 -0.2328 -0.1620 -0.1077
 -0.0647 -0.0293
 -1.4295 -1.3092 -1.1968 -1.0963 -1.0103 -0.9405 -0.8873 -0.8485 -0.8214 -0.7987
 -0.7681 -0.7290 -0.6885 -0.6396 -0.5793 -0.4327 -0.3170 -0.2299 -0.1654 -0.1163
 -0.0775 -0.0454 -0.0181  0.0055
 -1.3756 -1.2727 -1.1741 -1.0824 -0.9991 -0.9259 -0.8640 -0.8137 -0.7730 -0.7388
 -0.7081 -0.6757 -0.6392 -0.6004 -0.5519 -0.4193 -0.3091 -0.2266 -0.1674 -0.1237
 -0.0894 -0.0612 -0.0371 -0.0161  0.0027  0.0194  0.0335  0.0434  0.0473  0.0426
 -1.2969 -1.2133 -1.1322 -1.0547 -0.9813 -0.9125 -0.8496 -0.7937 -0.7458 -0.7044
 -0.6667 -0.6304 -0.5938 -0.5589 -0.5195 -0.4052 -0.3017 -0.2224 -0.1665 -0.1275
 -0.0983 -0.0747 -0.0547 -0.0370 -0.0210 -0.0063  0.0064  0.0172  0.0231  0.0213
  0.0109
 -1.1996 -1.1335 -1.0695 -1.0081 -0.9482 -0.8894 -0.8318 -0.7765 -0.7256 -0.6801
 -0.6389 -0.6000 -0.5619 -0.5244 -0.4885 -0.3879 -0.2934 -0.2172 -0.1629 -0.1268
 -0.1022 -0.0838 -0.0686 -0.0553 -0.0431 -0.0316 -0.0210 -0.0119 -0.0051 -0.0029
 -0.0103
 -1.0899 -1.0393 -0.9900 -0.9429 -0.8969 -0.8503 -0.8022 -0.7530 -0.7043 -0.6578
 -0.6149 -0.5751 -0.5369 -0.4991 -0.4631 -0.3695 -0.2826 -0.2104 -0.1572 -0.1221
 -0.1004 -0.0866 -0.0768 -0.0687 -0.0614 -0.0541 -0.0471 -0.0405 -0.0350 -0.0319
 -0.0341
