 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F390W
 -6.6031 -6.4475 -6.3711 -6.2502 -6.0567 -5.8721 -5.7780 -5.7344 -5.6421 -5.4532
 -5.2035 -4.9084 -4.5926 -4.2777 -3.9632 -3.1932 -2.4748 -1.8872 -1.4094
 -6.3439 -6.0717 -5.8696 -5.6976 -5.5469 -5.4159 -5.2988 -5.1823 -5.0486 -4.8837
 -4.6774 -4.4243 -4.1330 -3.8326 -3.5423 -2.8617 -2.2411 -1.7219 -1.3201 -1.0243
 -6.1965 -5.8505 -5.5632 -5.3343 -5.1642 -5.0242 -4.8814 -4.7302 -4.5737 -4.4106
 -4.2239 -4.0032 -3.7433 -3.4643 -3.1962 -2.5894 -2.0507 -1.5914 -1.2437 -0.9869
 -0.7890
 -6.1609 -5.7839 -5.4519 -5.1603 -4.9086 -4.6970 -4.5258 -4.3781 -4.2174 -4.0339
 -3.8430 -3.6451 -3.4235 -3.1728 -2.9249 -2.3763 -1.9036 -1.4957 -1.1802 -0.9484
 -0.7707 -0.6273
 -6.1836 -5.7868 -5.4298 -5.1057 -4.8121 -4.5492 -4.3170 -4.1135 -3.9357 -3.7674
 -3.5815 -3.3800 -3.1769 -2.9580 -2.7294 -2.2234 -1.7988 -1.4315 -1.1390 -0.9244
 -0.7621 -0.6318 -0.5222 -0.4270
 -6.2520 -5.8400 -5.4637 -5.1170 -4.7973 -4.5032 -4.2350 -3.9928 -3.7746 -3.5768
 -3.3932 -3.2096 -3.0180 -2.8185 -2.6056 -2.1252 -1.7328 -1.3949 -1.1171 -0.9113
 -0.7593 -0.6393 -0.5391 -0.4525 -0.3753 -0.3051 -0.2410 -0.1787 -0.1194 -0.0787
 -6.3591 -5.9356 -5.5439 -5.1787 -4.8378 -4.5213 -4.2287 -3.9592 -3.7135 -3.4897
 -3.2844 -3.0934 -2.9103 -2.7302 -2.5387 -2.0754 -1.6987 -1.3811 -1.1124 -0.9079
 -0.7597 -0.6468 -0.5548 -0.4758 -0.4060 -0.3428 -0.2850 -0.2313 -0.1807 -0.1353
 -0.1054
