 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F547M
 -3.8214 -3.4850 -3.2530 -3.0053 -2.7350 -2.5193 -2.4031 -2.3320 -2.2361 -2.0962
 -1.9358 -1.7608 -1.5856 -1.4224 -1.2679 -0.9261 -0.6484 -0.4390 -0.2754
 -3.4398 -3.0573 -2.7792 -2.5553 -2.3748 -2.2320 -2.1160 -2.0139 -1.9138 -1.8079
 -1.6909 -1.5586 -1.4125 -1.2643 -1.1254 -0.8291 -0.5945 -0.4157 -0.2811 -0.1834
 -3.1765 -2.7794 -2.4807 -2.2636 -2.1149 -1.9996 -1.8896 -1.7845 -1.6872 -1.5955
 -1.5001 -1.3955 -1.2755 -1.1447 -1.0193 -0.7563 -0.5538 -0.3995 -0.2857 -0.2000
 -0.1327
 -3.0315 -2.6513 -2.3575 -2.1302 -1.9553 -1.8221 -1.7239 -1.6438 -1.5563 -1.4590
 -1.3634 -1.2715 -1.1746 -1.0636 -0.9496 -0.7077 -0.5263 -0.3904 -0.2893 -0.2118
 -0.1498 -0.0981
 -2.9180 -2.5636 -2.2861 -2.0659 -1.8883 -1.7442 -1.6265 -1.5295 -1.4482 -1.3717
 -1.2844 -1.1901 -1.0999 -1.0057 -0.9041 -0.6774 -0.5083 -0.3846 -0.2942 -0.2243
 -0.1675 -0.1194 -0.0775 -0.0403
 -2.7969 -2.4755 -2.2210 -2.0157 -1.8457 -1.7019 -1.5788 -1.4725 -1.3792 -1.2950
 -1.2156 -1.1342 -1.0490 -0.9640 -0.8724 -0.6590 -0.4966 -0.3797 -0.2970 -0.2348
 -0.1839 -0.1402 -0.1016 -0.0669 -0.0352 -0.0068  0.0177  0.0341  0.0394  0.0363
 -2.6595 -2.3726 -2.1445 -1.9588 -1.8020 -1.6659 -1.5453 -1.4371 -1.3396 -1.2503
 -1.1665 -1.0857 -1.0056 -0.9285 -0.8478 -0.6480 -0.4894 -0.3750 -0.2962 -0.2404
 -0.1962 -0.1581 -0.1242 -0.0930 -0.0640 -0.0370 -0.0130  0.0080  0.0204  0.0204
  0.0113
 -2.5156 -2.2587 -2.0543 -1.8881 -1.7472 -1.6229 -1.5099 -1.4056 -1.3087 -1.2188
 -1.1340 -1.0528 -0.9741 -0.8976 -0.8238 -0.6397 -0.4856 -0.3710 -0.2926 -0.2400
 -0.2019 -0.1706 -0.1425 -0.1163 -0.0915 -0.0676 -0.0451 -0.0249 -0.0085  0.0007
 -0.0042
 -2.3725 -2.1414 -1.9553 -1.8043 -1.6773 -1.5655 -1.4629 -1.3664 -1.2748 -1.1878
 -1.1048 -1.0253 -0.9485 -0.8738 -0.8020 -0.6287 -0.4813 -0.3676 -0.2874 -0.2348
 -0.2003 -0.1751 -0.1539 -0.1341 -0.1148 -0.0956 -0.0766 -0.0584 -0.0420 -0.0293
 -0.0240
 -2.2485 -2.0376 -1.8623 -1.7193 -1.6008 -1.4982 -1.4056 -1.3183 -1.2345 -1.1535
 -1.0751 -0.9993 -0.9258 -0.8546 -0.7853 -0.6199 -0.4776 -0.3657 -0.2840 -0.2291
 -0.1945 -0.1726 -0.1574 -0.1446 -0.1321 -0.1190 -0.1054 -0.0913 -0.0774 -0.0649
 -0.0530
 -2.1483 -1.9506 -1.7820 -1.6405 -1.5231 -1.4244 -1.3378 -1.2584 -1.1829 -1.1097
 -1.0381 -0.9680 -0.8996 -0.8327 -0.7674 -0.6112 -0.4731 -0.3628 -0.2809 -0.2239
 -0.1874 -0.1658 -0.1537 -0.1466 -0.1410 -0.1350 -0.1279 -0.1196 -0.1103 -0.1008
 -0.0923
 -2.0718 -1.8804 -1.7176 -1.5742 -1.4533 -1.3520 -1.2657 -1.1900 -1.1205 -1.0548
 -0.9908 -0.9281 -0.8663 -0.8054 -0.7483 -0.6026 -0.4678 -0.3589 -0.2781
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F547M
 -4.7103 -4.1972 -3.7619 -3.3970 -3.0927 -2.8319 -2.5981 -2.3804 -2.1805 -1.9991
 -1.8264 -1.6561 -1.4885 -1.3307 -1.1711 -0.8690 -0.6259 -0.4319 -0.2864
 -4.2999 -3.7830 -3.3444 -2.9832 -2.6902 -2.4517 -2.2521 -2.0737 -1.9133 -1.7670
 -1.6264 -1.4840 -1.3373 -1.1938 -1.0615 -0.7865 -0.5737 -0.4070 -0.2802 -0.1849
 -3.8893 -3.3796 -2.9677 -2.6816 -2.4152 -2.1951 -2.0128 -1.8570 -1.7199 -1.5964
 -1.4797 -1.3622 -1.2372 -1.1072 -0.9838 -0.7284 -0.5368 -0.3901 -0.2782 -0.1927
 -0.1245
 -3.5854 -3.0834 -2.6932 -2.4002 -2.1783 -2.0028 -1.8528 -1.7144 -1.5877 -1.4736
 -1.3695 -1.2699 -1.1667 -1.0530 -0.9380 -0.6947 -0.5152 -0.3812 -0.2804 -0.2029
 -0.1409 -0.0892
 -3.4612 -2.9594 -2.5630 -2.2606 -2.0317 -1.8567 -1.7190 -1.6049 -1.5028 -1.4027
 -1.2998 -1.2028 -1.1106 -1.0150 -0.9109 -0.6769 -0.5035 -0.3771 -0.2841 -0.2137
 -0.1570 -0.1091 -0.0675 -0.0309
 -3.3963 -2.8991 -2.5057 -2.1995 -1.9610 -1.7737 -1.6256 -1.5067 -1.4096 -1.3293
 -1.2511 -1.1633 -1.0732 -0.9840 -0.8915 -0.6683 -0.4977 -0.3748 -0.2870 -0.2227
 -0.1717 -0.1284 -0.0904 -0.0562 -0.0253  0.0022  0.0257  0.0413  0.0464  0.0435
 -3.3342 -2.8573 -2.4736 -2.1731 -1.9372 -1.7495 -1.5972 -1.4715 -1.3659 -1.2742
 -1.1923 -1.1167 -1.0398 -0.9598 -0.8753 -0.6641 -0.4951 -0.3730 -0.2875 -0.2278
 -0.1828 -0.1452 -0.1117 -0.0812 -0.0530 -0.0269 -0.0038  0.0160  0.0277  0.0276
  0.0185
 -3.2580 -2.8076 -2.4413 -2.1512 -1.9216 -1.7371 -1.5848 -1.4562 -1.3457 -1.2488
 -1.1609 -1.0793 -1.0022 -0.9288 -0.8553 -0.6604 -0.4942 -0.3713 -0.2857 -0.2281
 -0.1882 -0.1567 -0.1291 -0.1036 -0.0795 -0.0564 -0.0350 -0.0158 -0.0005  0.0080
  0.0028
 -3.1591 -2.7386 -2.3952 -2.1189 -1.8986 -1.7202 -1.5716 -1.4440 -1.3320 -1.2323
 -1.1416 -1.0575 -0.9777 -0.9018 -0.8302 -0.6520 -0.4924 -0.3688 -0.2817 -0.2239
 -0.1868 -0.1610 -0.1399 -0.1207 -0.1020 -0.0836 -0.0656 -0.0484 -0.0332 -0.0215
 -0.0169
 -3.0517 -2.6725 -2.3511 -2.0868 -1.8732 -1.6995 -1.5548 -1.4301 -1.3196 -1.2198
 -1.1285 -1.0437 -0.9636 -0.8871 -0.8143 -0.6434 -0.4914 -0.3686 -0.2792 -0.2190
 -0.1815 -0.1587 -0.1434 -0.1309 -0.1189 -0.1064 -0.0936 -0.0805 -0.0678 -0.0564
 -0.0455
 -2.9525 -2.6096 -2.3105 -2.0573 -1.8477 -1.6754 -1.5318 -1.4091 -1.3009 -1.2030
 -1.1130 -1.0293 -0.9505 -0.8753 -0.8033 -0.6354 -0.4883 -0.3681 -0.2773 -0.2144
 -0.1748 -0.1520 -0.1398 -0.1329 -0.1277 -0.1221 -0.1158 -0.1083 -0.1000 -0.0917
 -0.0842
 -2.8649 -2.5549 -2.2810 -2.0402 -1.8318 -1.6552 -1.5084 -1.3839 -1.2757 -1.1794
 -1.0915 -1.0100 -0.9336 -0.8611 -0.7972 -0.6280 -0.4831 -0.3673 -0.2760
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F547M
 -5.6137 -5.1486 -4.7211 -4.3203 -3.9412 -3.5561 -3.1361 -2.6890 -2.3147 -2.0197
 -1.7817 -1.5805 -1.4042 -1.2480 -1.1091 -0.8232 -0.6000 -0.4208 -0.2802
 -5.2548 -4.7340 -4.2638 -3.8408 -3.4566 -3.0984 -2.7401 -2.3804 -2.0776 -1.8320
 -1.6285 -1.4513 -1.2912 -1.1459 -1.0153 -0.7492 -0.5487 -0.3926 -0.2700 -0.1751
 -4.9749 -4.4388 -3.9474 -3.5086 -3.1232 -2.7843 -2.4747 -2.1755 -1.9167 -1.7029
 -1.5240 -1.3672 -1.2225 -1.0867 -0.9624 -0.7076 -0.5193 -0.3768 -0.2667 -0.1811
 -0.1134
 -4.5876 -4.0581 -3.6357 -3.2441 -2.8831 -2.5609 -2.2798 -2.0247 -1.7985 -1.6074
 -1.4465 -1.3065 -1.1775 -1.0529 -0.9347 -0.6870 -0.5046 -0.3697 -0.2678 -0.1893
 -0.1271 -0.0755
