 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F098M
  1.3699  1.3264  1.2490  1.1862  1.1521  1.1207  1.0677  1.0080  0.9690  0.9610
  0.9710  0.9932  1.0198  1.0438  1.0645  1.0911  1.0772  1.0376  0.9932
  1.3042  1.2877  1.2536  1.2149  1.1730  1.1277  1.0820  1.0406  1.0077  0.9856
  0.9761  0.9798  0.9951  1.0154  1.0336  1.0567  1.0447  1.0068  0.9592  0.9061
  1.2587  1.2536  1.2420  1.2202  1.1840  1.1412  1.1021  1.0676  1.0361  1.0078
  0.9878  0.9784  0.9819  0.9955  1.0101  1.0290  1.0178  0.9814  0.9323  0.8791
  0.8250
  1.2334  1.2241  1.2142  1.2021  1.1851  1.1612  1.1280  1.0890  1.0542  1.0276
  1.0061  0.9890  0.9802  0.9841  0.9940  1.0080  0.9965  0.9614  0.9126  0.8595
  0.8055  0.7519
  1.2343  1.2165  1.2016  1.1888  1.1761  1.1612  1.1423  1.1188  1.0902  1.0591
  1.0325  1.0114  0.9932  0.9844  0.9866  0.9941  0.9816  0.9472  0.8979  0.8439
  0.7893  0.7351  0.6819  0.6299
  1.2597  1.2315  1.2084  1.1902  1.1757  1.1625  1.1485  1.1322  1.1135  1.0925
  1.0696  1.0469  1.0256  1.0060  0.9948  0.9880  0.9734  0.9393  0.8890  0.8328
  0.7764  0.7208  0.6664  0.6133  0.5617  0.5113  0.4614  0.4088  0.3519  0.2935
  1.3058  1.2674  1.2348  1.2087  1.1885  1.1723  1.1581  1.1442  1.1290  1.1127
  1.0955  1.0778  1.0600  1.0398  1.0220  0.9937  0.9721  0.9376  0.8867  0.8275
  0.7678  0.7097  0.6532  0.5983  0.5452  0.4938  0.4433  0.3934  0.3405  0.2824
  0.2220
  1.3662  1.3204  1.2792  1.2443  1.2164  1.1942  1.1764  1.1609  1.1460  1.1307
  1.1151  1.0995  1.0839  1.0678  1.0499  1.0129  0.9793  0.9417  0.8904  0.8289
  0.7651  0.7030  0.6433  0.5858  0.5304  0.4771  0.4253  0.3746  0.3239  0.2707
  0.2113
  1.4329  1.3833  1.3368  1.2948  1.2591  1.2297  1.2058  1.1858  1.1682  1.1515
  1.1352  1.1190  1.1033  1.0879  1.0713  1.0330  0.9934  0.9504  0.8983  0.8355
  0.7681  0.7013  0.6373  0.5761  0.5175  0.4614  0.4073  0.3549  0.3036  0.2520
  0.1976
  1.4989  1.4500  1.4018  1.3561  1.3145  1.2784  1.2474  1.2214  1.1989  1.1786
  1.1597  1.1415  1.1239  1.1069  1.0900  1.0500  1.0087  0.9624  0.9093  0.8469
  0.7780  0.7076  0.6389  0.5732  0.5105  0.4508  0.3934  0.3384  0.2851  0.2328
  0.1808
  1.5627  1.5156  1.4681  1.4221  1.3781  1.3370  1.3001  1.2677  1.2392  1.2137
  1.1906  1.1688  1.1482  1.1284  1.1094  1.0648  1.0223  0.9746  0.9204  0.8589
  0.7906  0.7189  0.6469  0.5767  0.5095  0.4454  0.3841  0.3255  0.2693  0.2147
  0.1611
  1.6244  1.5801  1.5313  1.4874  1.4434  1.4008  1.3603  1.3226  1.2884  1.2573
  1.2289  1.2025  1.1777  1.1542  1.1295  1.0774  1.0342  0.9870  0.9316
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F098M
  1.3382  1.2954  1.2435  1.1873  1.1306  1.0772  1.0307  0.9937  0.9683  0.9561
  0.9577  0.9717  0.9940  1.0177  1.0383  1.0706  1.0708  1.0397  0.9918
  1.3653  1.3351  1.2908  1.2373  1.1801  1.1236  1.0715  1.0269  0.9918  0.9680
  0.9571  0.9595  0.9734  0.9924  1.0102  1.0373  1.0364  1.0082  0.9623  0.9096
  1.3401  1.3311  1.3032  1.2631  1.2158  1.1642  1.1123  1.0643  1.0232  0.9907
  0.9687  0.9588  0.9621  0.9750  0.9893  1.0111  1.0086  0.9823  0.9381  0.8862
  0.8326
  1.2952  1.2984  1.2858  1.2596  1.2237  1.1819  1.1374  1.0933  1.0533  1.0181
  0.9900  0.9702  0.9614  0.9656  0.9756  0.9920  0.9874  0.9620  0.9192  0.8676
  0.8138  0.7599
  1.2642  1.2595  1.2515  1.2362  1.2139  1.1861  1.1540  1.1187  1.0809  1.0434
  1.0133  0.9895  0.9726  0.9654  0.9691  0.9795  0.9725  0.9470  0.9050  0.8531
  0.7985  0.7439  0.6902  0.6376
  1.2566  1.2445  1.2317  1.2189  1.2053  1.1890  1.1691  1.1451  1.1170  1.0839
  1.0496  1.0198  0.9949  0.9778  0.9712  0.9734  0.9637  0.9376  0.8957  0.8429
  0.7866  0.7304  0.6754  0.6216  0.5693  0.5180  0.4671  0.4137  0.3564  0.2981
  1.2716  1.2502  1.2303  1.2125  1.1971  1.1827  1.1679  1.1512  1.1321  1.1110
  1.0879  1.0622  1.0358  1.0104  0.9909  0.9737  0.9607  0.9336  0.8915  0.8374
  0.7786  0.7199  0.6628  0.6073  0.5534  0.5011  0.4498  0.3988  0.3452  0.2870
  0.2266
  1.3072  1.2757  1.2473  1.2227  1.2020  1.1850  1.1704  1.1566  1.1418  1.1257
  1.1087  1.0909  1.0718  1.0500  1.0272  0.9869  0.9632  0.9344  0.8922  0.8374
  0.7759  0.7138  0.6535  0.5953  0.5392  0.4851  0.4324  0.3808  0.3291  0.2752
  0.2156
  1.3604  1.3203  1.2829  1.2499  1.2224  1.2000  1.1819  1.1668  1.1528  1.1387
  1.1240  1.1089  1.0936  1.0773  1.0585  1.0134  0.9747  0.9397  0.8966  0.8416
