 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F125W
  2.0063  1.9755  1.9269  1.8936  1.8770  1.8503  1.8038  1.7574  1.7263  1.7092
  1.6989  1.6944  1.6906  1.6833  1.6726  1.6258  1.5534  1.4676  1.3790
  1.9651  1.9448  1.9164  1.8884  1.8586  1.8266  1.7937  1.7620  1.7329  1.7073
  1.6861  1.6700  1.6587  1.6490  1.6373  1.5914  1.5230  1.4401  1.3524  1.2622
  1.9421  1.9242  1.9044  1.8799  1.8475  1.8151  1.7868  1.7596  1.7318  1.7040
  1.6782  1.6553  1.6374  1.6237  1.6100  1.5634  1.4976  1.4172  1.3305  1.2423
  1.1540
  1.9373  1.9137  1.8909  1.8681  1.8437  1.8158  1.7831  1.7502  1.7230  1.6993
  1.6752  1.6503  1.6267  1.6074  1.5907  1.5418  1.4772  1.3989  1.3134  1.2265
  1.1398  1.0536
  1.9500  1.9197  1.8916  1.8654  1.8400  1.8139  1.7862  1.7564  1.7249  1.6951
  1.6705  1.6478  1.6235  1.5999  1.5792  1.5264  1.4619  1.3850  1.3001  1.2135
  1.1276  1.0425  0.9582  0.8742
  1.9765  1.9397  1.9056  1.8746  1.8457  1.8178  1.7900  1.7614  1.7319  1.7021
  1.6734  1.6473  1.6232  1.5984  1.5749  1.5167  1.4514  1.3754  1.2909  1.2037
  1.1173  1.0324  0.9489  0.8661  0.7841  0.7023  0.6201  0.5360  0.4497  0.3643
  2.0102  1.9691  1.9301  1.8941  1.8610  1.8299  1.7998  1.7700  1.7400  1.7100
  1.6806  1.6525  1.6262  1.6001  1.5748  1.5126  1.4451  1.3697  1.2857  1.1976
  1.1099  1.0241  0.9402  0.8578  0.7768  0.6966  0.6166  0.5365  0.4543  0.3694
  0.2850
  2.0412  2.0009  1.9600  1.9206  1.8838  1.8491  1.8162  1.7842  1.7526  1.7211
  1.6902  1.6602  1.6317  1.6044  1.5771  1.5122  1.4426  1.3671  1.2839  1.1956
  1.1062  1.0185  0.9333  0.8502  0.7691  0.6896  0.6109  0.5327  0.4542  0.3740
  0.2904
  2.0597  2.0252  1.9873  1.9481  1.9097  1.8728  1.8373  1.8030  1.7692  1.7358
  1.7028  1.6707  1.6397  1.6102  1.5813  1.5127  1.4418  1.3657  1.2834  1.1954
  1.1051  1.0153  0.9278  0.8430  0.7607  0.6807  0.6023  0.5251  0.4484  0.3714
  0.2925
  2.0585  2.0339  2.0040  1.9698  1.9336  1.8971  1.8606  1.8249  1.7896  1.7545
