 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  i   
 -0.6283 -0.5746 -0.5693 -0.5389 -0.4706 -0.4094 -0.3920 -0.3968 -0.3844 -0.3410
 -0.2805 -0.2077 -0.1326 -0.0638  0.0004  0.1274  0.2030  0.2373  0.2528
 -0.5932 -0.4915 -0.4274 -0.3790 -0.3434 -0.3202 -0.3053 -0.2922 -0.2753 -0.2513
 -0.2177 -0.1723 -0.1154 -0.0540  0.0039  0.1179  0.1859  0.2159  0.2245  0.2172
 -0.5697 -0.4458 -0.3501 -0.2854 -0.2534 -0.2386 -0.2245 -0.2093 -0.1952 -0.1816
 -0.1628 -0.1358 -0.0960 -0.0452  0.0059  0.1086  0.1706  0.1973  0.2016  0.1936
  0.1777
 -0.5578 -0.4375 -0.3374 -0.2581 -0.2006 -0.1646 -0.1496 -0.1481 -0.1441 -0.1319
 -0.1158 -0.0982 -0.0744 -0.0374  0.0064  0.0995  0.1571  0.1815  0.1842  0.1758
  0.1607  0.1404
 -0.5312 -0.4235 -0.3305 -0.2520 -0.1884 -0.1403 -0.1074 -0.0879 -0.0799 -0.0778
 -0.0711 -0.0585 -0.0445 -0.0227  0.0107  0.0935  0.1475  0.1703  0.1707  0.1608
  0.1453  0.1257  0.1024  0.0756
 -0.4792 -0.3892 -0.3098 -0.2401 -0.1798 -0.1294 -0.0896 -0.0603 -0.0401 -0.0265
 -0.0176 -0.0094  0.0000  0.0097  0.0282  0.0934  0.1433  0.1650  0.1630  0.1498
  0.1324  0.1120  0.0889  0.0631  0.0348  0.0036 -0.0312 -0.0719 -0.1194 -0.1691
 -0.4015 -0.3301 -0.2669 -0.2108 -0.1602 -0.1148 -0.0751 -0.0419 -0.0160  0.0037
  0.0195  0.0328  0.0449  0.0531  0.0632  0.1044  0.1455  0.1660  0.1624  0.1451
  0.1236  0.1007  0.0762  0.0503  0.0227 -0.0068 -0.0389 -0.0740 -0.1151 -0.1637
 -0.2152
 -0.3047 -0.2494 -0.2015 -0.1598 -0.1221 -0.0868 -0.0532 -0.0220  0.0055  0.0280
  0.0464  0.0622  0.0766  0.0893  0.0984  0.1282  0.1561  0.1728  0.1685  0.1480
  0.1214  0.0939  0.0665  0.0386  0.0102 -0.0190 -0.0496 -0.0824 -0.1182 -0.1595
 -0.2093
 -0.1950 -0.1538 -0.1185 -0.0890 -0.0638 -0.0402 -0.0166  0.0076  0.0315  0.0535
  0.0725  0.0885  0.1028  0.1161  0.1266  0.1534  0.1739  0.1846  0.1795  0.1575
  0.1265  0.0934  0.0611  0.0296 -0.0012 -0.0318 -0.0627 -0.0944 -0.1278 -0.1643
 -0.2063
 -0.0809 -0.0508 -0.0259 -0.0057  0.0098  0.0230  0.0359  0.0504  0.0668  0.0842
  0.1010  0.1160  0.1290  0.1406  0.1507  0.1745  0.1922  0.1989  0.1927  0.1714
  0.1387  0.1013  0.0635  0.0269 -0.0080 -0.0415 -0.0743 -0.1069 -0.1397 -0.1738
 -0.2100
  0.0358  0.0564  0.0726  0.0851  0.0935  0.0988  0.1030  0.1081  0.1152  0.1247
  0.1360  0.1477  0.1584  0.1677  0.1756  0.1933  0.2088  0.2135  0.2060  0.1857
  0.1539  0.1150  0.0732  0.0314 -0.0086 -0.0466 -0.0829 -0.1179 -0.1519 -0.1860
 -0.2211
  0.1550  0.1678  0.1732  0.1799  0.1825  0.1821  0.1801  0.1777  0.1764  0.1771
  0.1805  0.1859  0.1924  0.1986  0.2013  0.2098  0.2237  0.2284  0.2194
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  i   
 -0.9136 -0.8252 -0.7516 -0.6887 -0.6342 -0.5829 -0.5293 -0.4702 -0.4073 -0.3437
 -0.2774 -0.2078 -0.1363 -0.0677 -0.0004  0.1236  0.2036  0.2422  0.2521
 -0.7817 -0.6802 -0.5992 -0.5343 -0.4815 -0.4377 -0.3987 -0.3583 -0.3165 -0.2737
 -0.2278 -0.1762 -0.1182 -0.0584 -0.0023  0.1106  0.1838  0.2203  0.2293  0.2222
 -0.7096 -0.5803 -0.4861 -0.4285 -0.3759 -0.3348 -0.3017 -0.2719 -0.2431 -0.2143
 -0.1838 -0.1487 -0.1053 -0.0547 -0.0043  0.0988  0.1664  0.2012  0.2097  0.2029
  0.1873
 -0.6842 -0.5349 -0.4242 -0.3472 -0.2950 -0.2592 -0.2328 -0.2098 -0.1861 -0.1633
 -0.1411 -0.1178 -0.0892 -0.0503 -0.0064  0.0882  0.1514  0.1849  0.1933  0.1863
  0.1711  0.1505
 -0.6848 -0.5388 -0.4148 -0.3198 -0.2504 -0.2013 -0.1677 -0.1458 -0.1322 -0.1217
