 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  z   
  0.4710  0.4563  0.3985  0.3528  0.3357  0.3185  0.2760  0.2244  0.1939  0.1976
  0.2195  0.2552  0.2961  0.3338  0.3684  0.4265  0.4408  0.4236  0.3976
  0.4321  0.4458  0.4330  0.4106  0.3815  0.3465  0.3096  0.2765  0.2520  0.2390
  0.2392  0.2538  0.2812  0.3143  0.3453  0.3976  0.4113  0.3947  0.3647  0.3263
  0.4057  0.4303  0.4403  0.4344  0.4096  0.3758  0.3448  0.3183  0.2947  0.2741
  0.2625  0.2622  0.2760  0.3012  0.3276  0.3739  0.3867  0.3707  0.3387  0.2998
  0.2578
  0.3918  0.4098  0.4204  0.4242  0.4200  0.4064  0.3816  0.3498  0.3220  0.3029
  0.2894  0.2804  0.2805  0.2945  0.3153  0.3554  0.3670  0.3516  0.3195  0.2807
  0.2388  0.1953
  0.4035  0.4099  0.4135  0.4156  0.4155  0.4114  0.4021  0.3873  0.3664  0.3425
  0.3231  0.3095  0.2990  0.2986  0.3107  0.3431  0.3530  0.3379  0.3051  0.2655
  0.2231  0.1793  0.1345  0.0891
  0.4426  0.4348  0.4273  0.4221  0.4190  0.4162  0.4119  0.4049  0.3948  0.3821
  0.3670  0.3518  0.3378  0.3253  0.3222  0.3384  0.3456  0.3305  0.2965  0.2546
  0.2107  0.1657  0.1201  0.0739  0.0274 -0.0195 -0.0673 -0.1181 -0.1730 -0.2293
  0.5068  0.4842  0.4638  0.4479  0.4371  0.4301  0.4250  0.4201  0.4137  0.4060
  0.3973  0.3878  0.3779  0.3649  0.3544  0.3463  0.3453  0.3296  0.2947  0.2496
  0.2024  0.1553  0.1080  0.0606  0.0131 -0.0344 -0.0826 -0.1316 -0.1839 -0.2410
 -0.3001
  0.5902  0.5548  0.5219  0.4940  0.4730  0.4579  0.4477  0.4403  0.4338  0.4270
  0.4199  0.4127  0.4055  0.3973  0.3868  0.3688  0.3543  0.3348  0.2995  0.2517
  0.2002  0.1492  0.0993  0.0500  0.0010 -0.0478 -0.0967 -0.1460 -0.1966 -0.2502
 -0.3095
  0.6852  0.6400  0.5970  0.5585  0.5266  0.5018  0.4834  0.4700  0.4597  0.4509
  0.4427  0.4349  0.4275  0.4204  0.4116  0.3924  0.3710  0.3453  0.3088  0.2596
  0.2043  0.1486  0.0945  0.0420 -0.0094 -0.0598 -0.1100 -0.1602 -0.2108 -0.2630
 -0.3184
  0.7855  0.7341  0.6841  0.6377  0.5964  0.5619  0.5339  0.5122  0.4953  0.4817
  0.4701  0.4597  0.4502  0.4414  0.4324  0.4118  0.3886  0.3590  0.3212  0.2724
  0.2155  0.1560  0.0973  0.0406 -0.0142 -0.0673 -0.1195 -0.1709 -0.2221 -0.2738
 -0.3274
  0.8899  0.8332  0.7781  0.7264  0.6787  0.6357  0.5987  0.5679  0.5427  0.5221
  0.5049  0.4899  0.4767  0.4647  0.4536  0.4284  0.4041  0.3729  0.3339  0.2859
  0.2296  0.1687  0.1065  0.0455 -0.0133 -0.0700 -0.1250 -0.1786 -0.2312 -0.2835
 -0.3363
  0.9984  0.9373  0.8760  0.8211  0.7686  0.7198  0.6756  0.6364  0.6026  0.5737
  0.5492  0.5279  0.5093  0.4928  0.4752  0.4422  0.4175  0.3870  0.3469
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  z   
  0.3254  0.3341  0.3264  0.3070  0.2802  0.2514  0.2254  0.2061  0.1959  0.1969
  0.2111  0.2376  0.2729  0.3097  0.3444  0.4062  0.4325  0.4239  0.3942
  0.3943  0.4127  0.4092  0.3891  0.3587  0.3235  0.2886  0.2586  0.2362  0.2236
  0.2233  0.2365  0.2621  0.2932  0.3230  0.3781  0.4016  0.3946  0.3664  0.3285
  0.4096  0.4461  0.4548  0.4404  0.4154  0.3820  0.3450  0.3098  0.2798  0.2572
  0.2445  0.2440  0.2574  0.2814  0.3070  0.3555  0.3763  0.3703  0.3434  0.3061
  0.2648
  0.3951  0.4415  0.4621  0.4604  0.4428  0.4151  0.3823  0.3489  0.3188  0.2929
  0.2733  0.2619  0.2618  0.2758  0.2964  0.3384  0.3566  0.3510  0.3252  0.2882
  0.2466  0.2030
  0.3787  0.4161  0.4401  0.4490  0.4450  0.4313  0.4102  0.3839  0.3542  0.3245
  0.3023  0.2866  0.2776  0.2789  0.2922  0.3272  0.3426  0.3366  0.3115  0.2741
  0.2319  0.1878  0.1426  0.0966
  0.3820  0.4100  0.4275  0.4375  0.4415  0.4393  0.4311  0.4172  0.3978  0.3724
  0.3450  0.3221  0.3043  0.2946  0.2965  0.3221  0.3343  0.3276  0.3024  0.2642
  0.2205  0.1751  0.1289  0.0821  0.0349 -0.0128 -0.0615 -0.1131 -0.1684 -0.2245
  0.4098  0.4249  0.4330  0.4362  0.4372  0.4363  0.4331  0.4266  0.4167  0.4043
  0.3892  0.3708  0.3511  0.3323  0.3196  0.3234  0.3318  0.3239  0.2985  0.2590
  0.2130  0.1654  0.1176  0.0696  0.0213 -0.0271 -0.0762 -0.1262 -0.1791 -0.2363
 -0.2954
  0.4625  0.4631  0.4592  0.4532  0.4471  0.4422  0.4384  0.4344  0.4290  0.4217
  0.4132  0.4036  0.3922  0.3775  0.3612  0.3388  0.3351  0.3252  0.2998  0.2595
  0.2107  0.1598  0.1094  0.0595  0.0098 -0.0397 -0.0896 -0.1399 -0.1914 -0.2457
 -0.3051
  0.5391  0.5252  0.5078  0.4903  0.4749  0.4626  0.4539  0.4476  0.4425  0.4370
  0.4309  0.4242  0.4171  0.4087  0.3970  0.3693  0.3485  0.3316  0.3051  0.2647
  0.2137  0.1591  0.1049  0.0519  0.0000 -0.0512 -0.1023 -0.1534 -0.2051 -0.2580
 -0.3141
  0.6328  0.6056  0.5763  0.5477  0.5219  0.5004  0.4838  0.4718  0.4630  0.4559
  0.4494  0.4429  0.4362  0.4295  0.4214  0.3972  0.3708  0.3444  0.3146  0.2744
  0.2231  0.1658  0.1076  0.0507 -0.0045 -0.0583 -0.1112 -0.1636 -0.2158 -0.2684
 -0.3229
  0.7365  0.6997  0.6605  0.6224  0.5871  0.5560  0.5304  0.5102  0.4949  0.4830
  0.4734  0.4646  0.4564  0.4485  0.4405  0.4185  0.3924  0.3614  0.3270  0.2861
