 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  B   
 -5.7507 -5.5110 -5.3586 -5.1690 -4.9256 -4.7150 -4.6051 -4.5368 -4.4219 -4.2331
 -4.0087 -3.7595 -3.5037 -3.2559 -3.0136 -2.4410 -1.9237 -1.4972 -1.1484
 -5.4302 -5.0993 -4.8512 -4.6419 -4.4629 -4.3117 -4.1803 -4.0548 -3.9208 -3.7689
 -3.5928 -3.3889 -3.1622 -2.9317 -2.7116 -2.2112 -1.7691 -1.3967 -1.1002 -0.8722
 -5.2183 -4.8388 -4.5336 -4.2970 -4.1239 -3.9812 -3.8371 -3.6912 -3.5477 -3.4056
 -3.2515 -3.0786 -2.8814 -2.6714 -2.4704 -2.0267 -1.6454 -1.3197 -1.0625 -0.8625
 -0.7002
 -5.1150 -4.7295 -4.4058 -4.1343 -3.9086 -3.7235 -3.5755 -3.4460 -3.3026 -3.1432
 -2.9848 -2.8286 -2.6613 -2.4750 -2.2900 -1.8875 -1.5526 -1.2662 -1.0352 -0.8544
 -0.7071 -0.5813
 -5.0466 -4.6694 -4.3457 -4.0656 -3.8211 -3.6078 -3.4221 -3.2600 -3.1170 -2.9782
 -2.8228 -2.6580 -2.4990 -2.3342 -2.1640 -1.7904 -1.4875 -1.2314 -1.0212 -0.8556
 -0.7206 -0.6049 -0.5019 -0.4085
 -4.9803 -4.6224 -4.3091 -4.0317 -3.7831 -3.5584 -3.3551 -3.1714 -3.0048 -2.8517
 -2.7062 -2.5577 -2.4035 -2.2483 -2.0863 -1.7286 -1.4460 -1.2111 -1.0163 -0.8620
 -0.7373 -0.6308 -0.5357 -0.4488 -0.3683 -0.2935 -0.2247 -0.1594 -0.1000 -0.0630
 -4.9019 -4.5710 -4.2761 -4.0095 -3.7649 -3.5388 -3.3289 -3.1338 -2.9538 -2.7873
 -2.6316 -2.4833 -2.3382 -2.1963 -2.0483 -1.6982 -1.4236 -1.2018 -1.0173 -0.8703
 -0.7537 -0.6556 -0.5686 -0.4888 -0.4143 -0.3445 -0.2794 -0.2190 -0.1635 -0.1161
 -0.0888
 -4.8122 -4.5089 -4.2363 -3.9864 -3.7523 -3.5313 -3.3214 -3.1226 -2.9353 -2.7602
 -2.5965 -2.4426 -2.2970 -2.1577 -2.0214 -1.6920 -1.4173 -1.2010 -1.0227 -0.8791
 -0.7673 -0.6764 -0.5973 -0.5253 -0.4580 -0.3942 -0.3341 -0.2778 -0.2259 -0.1797
 -0.1439
 -4.7115 -4.4346 -4.1834 -3.9520 -3.7326 -3.5215 -3.3173 -3.1202 -2.9313 -2.7520
 -2.5828 -2.4239 -2.2747 -2.1340 -1.9999 -1.6873 -1.4200 -1.2041 -1.0294 -0.8872
 -0.7769 -0.6905 -0.6187 -0.5548 -0.4954 -0.4390 -0.3852 -0.3341 -0.2862 -0.2425
 -0.2054
 -4.6135 -4.3619 -4.1271 -3.9108 -3.7063 -3.5079 -3.3138 -3.1231 -2.9372 -2.7578
 -2.5864 -2.4240 -2.2712 -2.1280 -1.9929 -1.6865 -1.4272 -1.2127 -1.0394 -0.8982
 -0.7869 -0.7016 -0.6341 -0.5774 -0.5262 -0.4780 -0.4320 -0.3877 -0.3453 -0.3056
 -0.2688
 -4.5219 -4.2864 -4.0671 -3.8615 -3.6674 -3.4818 -3.2996 -3.1190 -2.9404 -2.7653
 -2.5952 -2.4320 -2.2771 -2.1311 -1.9938 -1.6873 -1.4329 -1.2209 -1.0485 -0.9082
 -0.7964 -0.7102 -0.6441 -0.5918 -0.5477 -0.5078 -0.4702 -0.4339 -0.3986 -0.3649
 -0.3333
 -4.4367 -4.2081 -4.0008 -3.8043 -3.6187 -3.4418 -3.2703 -3.1012 -2.9327 -2.7657
