 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = BX   
 -5.7217 -5.4802 -5.3258 -5.1349 -4.8900 -4.6791 -4.5680 -4.4997 -4.3841 -4.1958
 -3.9716 -3.7237 -3.4691 -3.2232 -2.9828 -2.4153 -1.9033 -1.4823 -1.1374
 -5.4000 -5.0678 -4.8187 -4.6086 -4.4290 -4.2774 -4.1456 -4.0200 -3.8860 -3.7344
 -3.5590 -3.3562 -3.1310 -2.9022 -2.6839 -2.1883 -1.7512 -1.3834 -1.0906 -0.8654
 -5.1869 -4.8066 -4.5011 -4.2643 -4.0913 -3.9485 -3.8046 -3.6588 -3.5157 -3.3740
 -3.2208 -3.0489 -2.8532 -2.6448 -2.4455 -2.0062 -1.6294 -1.3077 -1.0539 -0.8563
 -0.6960
 -5.0824 -4.6966 -4.3730 -4.1020 -3.8769 -3.6924 -3.5450 -3.4161 -3.2732 -3.1146
 -2.9570 -2.8018 -2.6357 -2.4510 -2.2676 -1.8690 -1.5379 -1.2552 -1.0272 -0.8487
 -0.7032 -0.5788
 -5.0125 -4.6356 -4.3125 -4.0331 -3.7896 -3.5774 -3.3928 -3.2317 -3.0897 -2.9518
 -2.7973 -2.6335 -2.4757 -2.3122 -2.1434 -1.7733 -1.4738 -1.2210 -1.0137 -0.8502
 -0.7169 -0.6025 -0.5007 -0.4083
 -4.9441 -4.5871 -4.2748 -3.9986 -3.7514 -3.5281 -3.3263 -3.1440 -2.9787 -2.8267
 -2.6823 -2.5348 -2.3817 -2.2277 -2.0671 -1.7125 -1.4329 -1.2010 -1.0089 -0.8566
 -0.7336 -0.6283 -0.5343 -0.4484 -0.3687 -0.2947 -0.2267 -0.1622 -0.1037 -0.0674
 -4.8630 -4.5335 -4.2402 -3.9752 -3.7323 -3.5079 -3.2998 -3.1064 -2.9280 -2.7629
 -2.6085 -2.4614 -2.3174 -2.1765 -2.0297 -1.6826 -1.4108 -1.1917 -1.0097 -0.8649
 -0.7498 -0.6530 -0.5670 -0.4881 -0.4145 -0.3453 -0.2809 -0.2212 -0.1663 -0.1197
 -0.0930
