 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  R   
 -1.9559 -1.7971 -1.6809 -1.5180 -1.3085 -1.1266 -1.0222 -0.9656 -0.9036 -0.8173
 -0.7178 -0.6084 -0.4997 -0.3994 -0.3055 -0.1066  0.0386  0.1341  0.2022
 -1.7788 -1.5430 -1.3575 -1.1976 -1.0626 -0.9538 -0.8670 -0.7948 -0.7291 -0.6641
 -0.5953 -0.5185 -0.4323 -0.3428 -0.2583 -0.0823  0.0438  0.1265  0.1808  0.2126
 -1.6580 -1.3838 -1.1600 -0.9928 -0.8812 -0.8003 -0.7274 -0.6602 -0.6011 -0.5486
 -0.4965 -0.4406 -0.3743 -0.2982 -0.2230 -0.0656  0.0461  0.1187  0.1634  0.1909
  0.2073
 -1.5935 -1.3195 -1.0884 -0.9036 -0.7643 -0.6661 -0.6034 -0.5618 -0.5196 -0.4708
 -0.4214 -0.3747 -0.3257 -0.2656 -0.1996 -0.0565  0.0455  0.1107  0.1501  0.1746
  0.1897  0.1981
 -1.5388 -1.2802 -1.0581 -0.8745 -0.7278 -0.6153 -0.5332 -0.4749 -0.4348 -0.4028
 -0.3655 -0.3221 -0.2804 -0.2347 -0.1802 -0.0503  0.0449  0.1049  0.1392  0.1601
  0.1731  0.1806  0.1837  0.1832
 -1.4678 -1.2338 -1.0303 -0.8582 -0.7151 -0.5983 -0.5061 -0.4359 -0.3827 -0.3409
 -0.3057 -0.2710 -0.2344 -0.1984 -0.1559 -0.0430  0.0463  0.1032  0.1331  0.1490
  0.1586  0.1640  0.1660  0.1650  0.1616  0.1554  0.1460  0.1294  0.1039  0.0745
 -1.3733 -1.1670 -0.9870 -0.8329 -0.7012 -0.5889 -0.4940 -0.4160 -0.3543 -0.3051
 -0.2636 -0.2260 -0.1899 -0.1577 -0.1239 -0.0299  0.0512  0.1059  0.1333  0.1441
  0.1485  0.1500  0.1494  0.1468  0.1427  0.1368  0.1285  0.1174  0.0990  0.0707
  0.0376
 -1.2612 -1.0811 -0.9244 -0.7900 -0.6740 -0.5721 -0.4818 -0.4024 -0.3349 -0.2798
 -0.2342 -0.1944 -0.1574 -0.1226 -0.0917 -0.0101  0.0609  0.1127  0.1392  0.1465
  0.1451  0.1412  0.1363  0.1305  0.1241  0.1170  0.1087  0.0985  0.0851  0.0654
  0.0343
 -1.1358 -0.9811 -0.8454 -0.7290 -0.6288 -0.5398 -0.4588 -0.3842 -0.3167 -0.2579
 -0.2085 -0.1669 -0.1299 -0.0953 -0.0642  0.0114  0.0753  0.1226  0.1490  0.1552
  0.1495  0.1394  0.1286  0.1181  0.1079  0.0980  0.0879  0.0773  0.0652  0.0498
  0.0280
