# "A Modern Mean Stellar Color and Effective Temperature Sequence for O9V-Y0V Dwarf Stars"
# http://www.pas.rochester.edu/~emamajek/EEM_dwarf_UBVIJHK_colors_Teff.txt
# Eric Mamajek (University of Rochester) 
# Version 2015.07.03
#
# Much of the content (but not all) of this table was incorporated
# into Table 5 of Pecaut & Mamajek (2013, ApJS, 208, 9;
# http://adsabs.harvard.edu/abs/2013ApJS..208....9P), so that
# reference should be cited. Parts of this table for A/F/G stars also
# appeared in Table 3 of Pecaut, Mamajek, & Bubar (2012, ApJ 756,
# 154).  For example, Table 5 of Pecaut & Mamajek did not include the
# absolute magnitude and luminosity estimates, nor the properties of
# the LTY dwarfs.
#
# The author's notes on standard stars and the mean properties for
# stars for each dwarf spectral type can be found in the directory at:
# http://www.pas.rochester.edu/~emamajek/spt/. See further notes and
# caveats after the table. Colors are based on Johnson UBV, 
# Tycho BtVt, Cousins RcIc, 2MASS JHKs, and WISE W1 photometry.
#
#Teff  logT  BCv    Mv    logL  B-V   Bt-Vt    U-B     V-Rc   V-Ic    V-Ks    J-H     H-K     Ks-W1  Msun   b-y       M_J    M_K    Mbol 
46000 4.663 -4.05  -5.7   5.80 -0.32  ...     -1.22    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -9.75
43000 4.633 -3.92  -5.5   5.67 -0.32  ...     -1.20    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -9.42
41500 4.618 -3.77  -5.4   5.58 -0.32  ...     -1.19    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -9.20
40000 4.602 -3.65  -5.2   5.46 -0.32  ...     -1.18    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -8.90
39000 4.591 -3.57  -5.1   5.37 -0.32  ...     -1.17    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -8.67
37300 4.573 -3.45  -4.9   5.24 -0.32  ...     -1.16    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -8.35 
36500 4.562 -3.38  -4.8   5.17 -0.32  ...     -1.15    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -8.18 
35000 4.544 -3.26  -4.6   5.05 -0.32  ...     -1.14    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -7.87 
34500 4.538 -3.22  -4.5   4.99 -0.32  ...     -1.13    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -7.72 
33000 4.519 -3.13  -4.3   4.87 -0.32  ...     -1.12    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -7.43
32500 4.512 -3.09  -4.2   4.82 -0.318 ...     -1.114   ...   -0.369  -1.000  -0.164  -0.071   ...    19.6  -0.128    -3.44  -3.20  -7.29 
32000 4.505 -3.05  -4.1   4.76 -0.312 ...     -1.087   ...   -0.361  -0.977  -0.161  -0.069   ...    18    -0.125    -3.35  -3.12  -7.15
31500 4.498 -3.02  -4.0   4.65 -0.307 ...     -1.067   ...   -0.355  -0.958  -0.159  -0.067   ...    17.5  -0.121    -3.27  -3.04  -6.79 
29000 4.462 -2.87  -3.6   4.47 -0.295 ...     -1.026   ...   -0.338  -0.913  -0.153  -0.063   ...    15    -0.120    -2.90  -2.69  -6.43 
26000 4.415 -2.61  -3.1   4.13 -0.278 ...     -0.995  -0.115 -0.325  -0.874  -0.148  -0.059   ...    11    -0.114    -2.43  -2.23  -5.68 
24500 4.389 -2.43  -2.8   3.89 -0.252 -0.274  -0.910  -0.114 -0.281  -0.752  -0.132  -0.047   0.035  10    -0.105    -2.23  -2.05  -5.24 
20600 4.314 -2.06  -1.7   3.38 -0.210 -0.219  -0.790  -0.094 -0.230  -0.602  -0.113  -0.032   0.036  7.3   -0.096    -1.24  -1.10  -3.71
18500 4.267 -1.79  -1.4   3.10 -0.198 -0.206  -0.732  -0.087 -0.210  -0.544  -0.105  -0.026   0.036  6.1   -0.090    -0.99  -0.86  -3.15 
17000 4.230 -1.58  -1.1   2.96 -0.178 -0.184  -0.673  -0.080 -0.192  -0.492  -0.098  -0.021   0.036  5.4   -0.085    -0.73  -0.61  -2.64 
16700 4.223 -1.53  -1.0   2.91 -0.165 -0.170  -0.619  -0.074 -0.176  -0.447  -0.092  -0.016   0.036  5.0   -0.081    -0.66  -0.55  -2.52
15700 4.196 -1.35  -0.9   2.80 -0.156 -0.160  -0.581  -0.070 -0.165  -0.417  -0.089  -0.013   0.036  4.6   -0.075    -0.59  -0.48  -2.25
14500 4.161 -1.16  -0.5   2.54 -0.140 -0.142  -0.504  -0.062 -0.145  -0.358  -0.081  -0.007   0.035  4.0   -0.068    -0.23  -0.14  -1.66 
14000 4.146 -1.07  -0.4   2.49 -0.128 -0.129  -0.459  -0.058 -0.133  -0.325  -0.077  -0.004   0.035  3.9   -0.061    -0.16  -0.08  -1.47 
12500 4.097 -0.81  -0.2   2.27 -0.109 -0.107  -0.364  -0.048 -0.108  -0.254  -0.067   0.003   0.034  3.4   -0.049    -0.01   0.05  -0.91
10700 4.029 -0.42   0.7   1.79 -0.070 -0.063  -0.200  -0.028 -0.061  -0.121  -0.050   0.016   0.032  2.8   -0.035     0.79   0.82   0.28
10400 4.017 -0.38   0.8   1.73 -0.050 -0.040  -0.130  -0.017 -0.035  -0.048  -0.044   0.021   0.031  2.5   -0.026     0.83   0.85   0.44
9700  3.987 -0.24   1.11  1.54  0.000  0.013  -0.005   0.001  0.004   0.041  -0.032   0.028   0.030  2.3    0.000     1.07   1.07   0.87
9200  3.965 -0.15   1.34  1.41  0.043  0.056   0.033   0.019  0.044   0.101  -0.024   0.031   0.030  2.15   0.017     1.25   1.24   1.19 
8840  3.946 -0.10   1.48  1.33  0.074  0.091   0.063   0.042  0.091   0.188  -0.010   0.034   0.029  2.05   0.038     1.32   1.29   1.38 
8550  3.932 -0.06   1.55  1.29  0.090  0.109   0.077   0.050  0.108   0.228  -0.002   0.034   0.029  2.00   0.055     1.35   1.32   1.49 
8270  3.917 -0.04   1.76  1.20  0.140  0.166   0.097   0.078  0.164   0.353   0.022   0.037   0.029  1.90   0.071     1.47   1.41   1.72 
8080  3.907 -0.03   1.84  1.16  0.160  0.185   0.100   0.089  0.186   0.403   0.031   0.038   0.029  1.85   0.090     1.51   1.44   1.81 
8000  3.903 -0.02   1.89  1.14  0.170  0.194   0.098   0.094  0.197   0.428   0.036   0.038   0.029  1.83   0.099     1.54   1.46   1.87 
