#  Bolometric corrections as a function of effective temperature for main sequence dwarf
#  stars with solar metallicity. Note, there is no log(g) dependence since all stars are
#  assumed to be on the main sequence.
#
#  Original Data: Pecaut & Mamajek (2013, ApJS, 208, 9). Online at 
#                    http://www.pas.rochester.edu/~emamajek
#
#  Reformatted: Gregory Feiden <gregory.a.feiden@gmail.com>
#  Date: 2015 Jul 06
#
#
#     Teff               BC_U              BC_B            BC_V             BC_Rc            BC_Ic             BC_J             BC_H             BC_K
   2450.00000000            -99.0            -99.0      -5.73000000      -3.84000000      -1.36000000       1.89000000       2.63900000       3.12000000
   2570.00000000            -99.0      -7.79000000      -5.66000000      -3.51000000      -1.06000000       1.91900000       2.59400000       3.04000000
   2650.00000000            -99.0      -7.12000000      -5.06000000      -2.88000000      -0.54000000       1.99100000       2.60400000       2.99000000
   2800.00000000            -99.0      -6.36000000      -4.36000000      -2.41000000      -0.26000000       1.98300000       2.58800000       2.94000000
   3050.00000000      -6.58700000      -5.15400000      -3.28000000      -1.83400000      -0.00300000       1.77100000       2.35100000       2.66200000
   3200.00000000      -5.46600000      -4.25100000      -2.59000000      -1.34900000       0.24100000       1.82100000       2.37800000       2.66000000
   3400.00000000      -4.69500000      -3.51400000      -1.97000000      -0.89100000       0.45000000       1.79900000       2.37800000       2.63000000
   3550.00000000      -4.32000000      -3.15000000      -1.65000000      -0.64900000       0.52300000       1.75600000       2.35600000       2.59000000
   3680.00000000      -4.18500000      -3.01400000      -1.53000000      -0.55600000       0.54400000       1.73500000       2.34300000       2.57000000
   3850.00000000      -3.92100000      -2.73100000      -1.30000000      -0.38700000       0.54800000       1.66500000       2.28700000       2.49000000
   3880.00000000      -3.86600000      -2.66800000      -1.25000000      -0.35000000       0.55200000       1.65700000       2.28100000       2.47800000
   3970.00000000      -3.70500000      -2.49200000      -1.11000000      -0.25100000       0.56100000       1.63300000       2.26300000       2.44400000
   4050.00000000      -3.55800000      -2.33600000      -1.00000000      -0.17600000       0.57400000       1.61600000       2.23900000       2.40700000
   4200.00000000      -3.31600000      -2.11700000      -0.86000000      -0.08900000       0.58800000       1.57400000       2.17900000       2.33000000
   4450.00000000      -2.86000000      -1.80400000      -0.67000000       0.00100000       0.57600000       1.47500000       2.03500000       2.16500000
   4620.00000000      -2.65400000      -1.65000000      -0.55000000       0.09000000       0.64000000       1.51400000       2.05800000       2.18300000
   4840.00000000      -2.20100000      -1.40000000      -0.41000000       0.13400000       0.61500000       1.40000000       1.89000000       2.00000000
   5040.00000000      -1.78300000      -1.18300000      -0.29000000       0.19700000       0.63900000       1.33400000       1.76600000       1.86500000
   5170.00000000      -1.60900000      -1.10700000      -0.26000000       0.20000000       0.62300000       1.27500000       1.68000000       1.77400000
   5280.00000000      -1.47200000      -1.03600000      -0.22000000       0.22300000       0.63300000       1.25500000       1.64200000       1.73300000
   5340.00000000      -1.34500000      -0.98700000      -0.21000000       0.21300000       0.61000000       1.19900000       1.56400000       1.65100000
   5490.00000000      -1.19100000      -0.90700000      -0.17000000       0.23400000       0.61600000       1.17400000       1.51600000       1.59800000
   5530.00000000      -1.11600000      -0.87300000      -0.16000000       0.23300000       0.60600000       1.14300000       1.47200000       1.55200000
   5590.00000000      -1.08100000      -0.85400000      -0.15000000       0.23800000       0.60800000       1.13800000       1.46200000       1.54100000
   5660.00000000      -0.99500000      -0.81000000      -0.13000000       0.24700000       0.60800000       1.11900000       1.42900000       1.50500000
   5680.00000000      -0.97900000      -0.80400000      -0.13000000       0.24400000       0.60300000       1.10900000       1.41600000       1.49100000
   5720.00000000      -0.93300000      -0.78100000      -0.12000000       0.24800000       0.60200000       1.09700000       1.39600000       1.47000000
   5770.00000000      -0.89300000      -0.76000000      -0.11000000       0.25300000       0.60300000       1.08800000       1.38100000       1.45400000
   5880.00000000      -0.77100000      -0.70400000      -0.10000000       0.24000000       0.57200000       1.02300000       1.29000000       1.35800000
   5920.00000000      -0.72700000      -0.67800000      -0.09000000       0.24100000       0.56600000       1.00700000       1.26500000       1.33100000
   6040.00000000      -0.64600000      -0.63200000      -0.08000000       0.23200000       0.54000000       0.96000000       1.19700000       1.26000000
   6150.00000000      -0.60100000      -0.60000000      -0.07000000       0.23000000       0.52900000       0.93400000       1.15900000       1.22000000
   6240.00000000      -0.55800000      -0.57000000      -0.06000000       0.23000000       0.51900000       0.91100000       1.12400000       1.18400000
   6340.00000000      -0.51300000      -0.53400000      -0.05000000       0.22600000       0.50300000       0.87900000       1.07800000       1.13500000
   6510.00000000      -0.44900000      -0.47800000      -0.04000000       0.21200000       0.46600000       0.81200000       0.98500000       1.03900000
   6640.00000000      -0.42600000      -0.45200000      -0.04000000       0.19600000       0.43600000       0.76600000       0.92500000       0.97700000
   6720.00000000      -0.40300000      -0.41900000      -0.03000000       0.19200000       0.41900000       0.73300000       0.88000000       0.93100000
   6810.00000000      -0.38600000      -0.39400000      -0.02000000       0.19300000       0.41200000       0.71500000       0.85500000       0.90500000
   7030.00000000      -0.36500000      -0.34400000      -0.01000000       0.18000000       0.37500000       0.65200000       0.77100000       0.81800000
   7200.00000000      -0.35700000      -0.30400000      -0.01000000       0.15600000       0.32900000       0.57900000       0.67700000       0.72200000
   7440.00000000      -0.33500000      -0.25500000       0.00000000       0.14300000       0.29400000       0.51700000       0.59500000       0.63800000
   7500.00000000      -0.33200000      -0.25000000       0.00000000       0.14000000       0.28800000       0.50900000       0.58400000       0.62600000
   7800.00000000      -0.30100000      -0.21000000       0.00000000       0.11700000       0.24200000       0.43300000       0.48800000       0.52800000
   8000.00000000      -0.28800000      -0.19000000      -0.02000000       0.07400000       0.17700000       0.33400000       0.37000000       0.40800000
   8080.00000000      -0.29000000      -0.19000000      -0.03000000       0.05900000       0.15600000       0.30400000       0.33500000       0.37300000
   8270.00000000      -0.27700000      -0.18000000      -0.04000000       0.03800000       0.12400000       0.25400000       0.27600000       0.31300000
   8550.00000000      -0.22700000      -0.15000000      -0.06000000      -0.01000000       0.04800000       0.13600000       0.13400000       0.16800000
   8840.00000000      -0.23700000      -0.17400000      -0.10000000      -0.05800000      -0.00900000       0.06400000       0.05400000       0.08800000
   9200.00000000      -0.22600000      -0.19300000      -0.15000000      -0.13100000      -0.10600000      -0.05600000      -0.08000000      -0.04900000
   9700.00000000      -0.23500000      -0.24000000      -0.24000000      -0.23900000      -0.23600000      -0.19500000      -0.22700000      -0.19900000
  10400.00000000      -0.20000000      -0.33000000      -0.38000000      -0.39700000      -0.41500000      -0.40500000      -0.44900000      -0.42800000
  10700.00000000      -0.15000000      -0.35000000      -0.42000000      -0.44800000      -0.48100000      -0.50700000      -0.55700000      -0.54100000
  12500.00000000      -0.33700000      -0.70100000      -0.81000000      -0.85800000      -0.91800000      -1.00000000      -1.06700000      -1.06400000
  14000.00000000      -0.48300000      -0.94200000      -1.07000000      -1.12800000      -1.20300000      -1.31400000      -1.39100000      -1.39500000
  14500.00000000      -0.51600000      -1.02000000      -1.16000000      -1.22200000      -1.30500000      -1.43000000      -1.51100000      -1.51800000
  15700.00000000      -0.61300000      -1.19400000      -1.35000000      -1.42000000      -1.51500000      -1.66500000      -1.75400000      -1.76700000
  16700.00000000      -0.74600000      -1.36500000      -1.53000000      -1.60400000      -1.70600000      -1.86900000      -1.96100000      -1.97700000
  17000.00000000      -0.72900000      -1.40200000      -1.58000000      -1.66000000      -1.77200000      -1.95300000      -2.05100000      -2.07200000
  18500.00000000      -0.86000000      -1.59200000      -1.79000000      -1.87700000      -2.00000000      -2.20300000      -2.30800000      -2.33400000
  20600.00000000      -1.06000000      -1.85000000      -2.06000000      -2.15400000      -2.29000000      -2.51700000      -2.63000000      -2.66200000
  24500.00000000      -1.26800000      -2.17800000      -2.43000000      -2.54400000      -2.71100000      -3.00300000      -3.13500000      -3.18200000
  26000.00000000      -1.33700000      -2.33200000      -2.61000000      -2.72500000      -2.93500000      -3.27700000      -3.42500000      -3.48400000
  29000.00000000      -1.54900000      -2.57500000      -2.87000000            -99.0      -3.20800000      -3.56700000      -3.72000000      -3.78300000
  31500.00000000      -1.64600000      -2.71300000      -3.02000000            -99.0      -3.37500000      -3.75200000      -3.91100000      -3.97800000
  32000.00000000      -1.65100000      -2.73800000      -3.05000000            -99.0      -3.41100000      -3.79700000      -3.95800000      -4.02700000
  32500.00000000      -1.65800000      -2.77200000      -3.09000000            -99.0      -3.45900000      -3.85500000      -4.01900000      -4.09000000
  33000.00000000      -1.69000000      -2.81000000      -3.13000000            -99.0            -99.0            -99.0            -99.0            -99.0
  34500.00000000      -1.77000000      -2.90000000      -3.22000000            -99.0            -99.0            -99.0            -99.0            -99.0
  35000.00000000      -1.80000000      -2.94000000      -3.26000000            -99.0            -99.0            -99.0            -99.0            -99.0
  36500.00000000      -1.91000000      -3.06000000      -3.38000000            -99.0            -99.0            -99.0            -99.0            -99.0
  37300.00000000      -1.97000000      -3.13000000      -3.45000000            -99.0            -99.0            -99.0            -99.0            -99.0
  39000.00000000      -2.08000000      -3.25000000      -3.57000000            -99.0            -99.0            -99.0            -99.0            -99.0
  40000.00000000      -2.15000000      -3.33000000      -3.65000000            -99.0            -99.0            -99.0            -99.0            -99.0
  41500.00000000      -2.26000000      -3.45000000      -3.77000000            -99.0            -99.0            -99.0            -99.0            -99.0
  43000.00000000      -2.40000000      -3.60000000      -3.92000000            -99.0            -99.0            -99.0            -99.0            -99.0
  46000.00000000      -2.51000000      -3.73000000      -4.05000000            -99.0            -99.0            -99.0            -99.0            -99.0
