 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  H   
  2.0296 -0.4110 -2.7027 -1.6461  2.6824  6.4244  4.6926  2.7947  1.9994  2.0521
  2.2510  2.3553  2.4247  2.4610  2.4573  2.3249
  2.6134  1.5131  0.3438  0.6255  2.3246  4.0366  3.4497  2.7730  2.4486  2.4145
  2.4357  2.4363  2.4317  2.4183  2.3898  2.2676  2.1133  1.9614  1.8008
  2.7253  2.4381  2.0312  1.9666  2.2262  2.6960  2.6923  2.6555  2.6066  2.5553
  2.5061  2.4639  2.4253  2.3869  2.3460  2.2322  2.1020  1.9536  1.8002  1.6508
  1.5101
  2.3653  2.3640  2.3595  2.3772  2.3874  2.4027  2.4204  2.4421  2.4734  2.4746
  2.4622  2.4379  2.4055  2.3668  2.3259  2.2187  2.0853  1.9405  1.7926  1.6493
  1.5083  1.3698  1.2341
  2.2573  2.2714  2.2797  2.2924  2.3016  2.3131  2.3268  2.3421  2.3571  2.3679
  2.3688  2.3582  2.3377  2.3086  2.2723  2.1714  2.0562  1.9259  1.7859  1.6445
  1.5052  1.3690  1.2360  1.1060  0.9789
  2.1267  2.1567  2.1790  2.1956  2.2089  2.2214  2.2348  2.2483  2.2606  2.2705
  2.2760  2.2748  2.2638  2.2444  2.2171  2.1262  2.0233  1.9057  1.7751  1.6383
  1.5017  1.3677  1.2369  1.1091  0.9843  0.8623
  1.9734  2.0199  2.0574  2.0868  2.1093  2.1276  2.1444  2.1607  2.1755  2.1873
  2.1948  2.1965  2.1920  2.1805  2.1603  2.0831  1.9866  1.8799  1.7602  1.6307
  1.4978  1.3659  1.2368  1.1109  0.9880  0.8680  0.7507  0.6355  0.5228  0.4151
  1.7975  1.8610  1.9149  1.9601  1.9968  2.0258  2.0502  2.0718  2.0916  2.1084
  2.1208  2.1274  2.1269  2.1193  2.1058  2.0417  1.9519  1.8508  1.7407  1.6202
  1.4927  1.3637  1.2365  1.1121  0.9908  0.8724  0.7568  0.6437  0.5326  0.4238
  0.3194
  1.6066  1.6828  1.7514  1.8132  1.8662  1.9102  1.9465  1.9773  2.0042  2.0278
  2.0472  2.0605  2.0667  2.0647  2.0548  2.0030  1.9204  1.8230  1.7181  1.6058
  1.4856  1.3608  1.2359  1.1131  0.9932  0.8762  0.7619  0.6503  0.5411  0.4339
  0.3285
  1.4174  1.4968  1.5730  1.6462  1.7152  1.7759  1.8277  1.8716  1.9090  1.9417
  1.9696  1.9914  2.0057  2.0114  2.0074  1.9644  1.8909  1.7973  1.6946  1.5869
  1.4735  1.3544  1.2326  1.1113  0.9925  0.8767  0.7635  0.6531  0.5451  0.4393
  0.3357
  1.2401  1.3145  1.3918  1.4716  1.5514  1.6262  1.6935  1.7523  1.8031  1.8467
  1.8849  1.9167  1.9402  1.9540  1.9574  1.9288  1.8631  1.7754  1.6752  1.5697
  1.4607  1.3475  1.2308  1.1126  0.9954  0.8806  0.7686  0.6594  0.5528  0.4486
  0.3445
  1.0576  1.1359  1.2157  1.2968  1.3810  1.4643  1.5442  1.6168  1.6819  1.7405
  1.7915  1.8339  1.8667  1.8889  1.9004  1.8895  1.8360  1.7546  1.6583  1.5545
  1.4474  1.3379  1.2260  1.1121  0.9978  0.8847  0.7737  0.6655  0.5600  0.4569
  0.3561
  0.8699  0.9609  1.0447  1.1218  1.2040  1.2902  1.3862  1.4690  1.5456  1.6144
  1.6754  1.7293  1.7765  1.8161  1.8363  1.8464  1.8096  1.7349  1.6439
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =  H   
  2.4729  2.4788  2.5318  2.6619  2.8775  3.1202  2.8388  2.6804  2.6270  2.6223
  2.6063  2.5694  2.5340  2.4963  2.4473  2.2939
  2.4933  2.4867  2.5102  2.5847  2.7180  2.8808  2.7801  2.7124  2.6749  2.6495
  2.6156  2.5711  2.5249  2.4764  2.4228  2.2745  2.1184  1.9635  1.8109
  2.4918  2.4787  2.4820  2.5153  2.5856  2.6836  2.6941  2.6884  2.6692  2.6391
  2.6005  2.5553  2.5052  2.4516  2.3959  2.2522  2.1050  1.9543  1.8040  1.6559
  1.5107
  2.4684  2.4548  2.4472  2.4537  2.4803  2.5286  2.5808  2.6082  2.6096  2.5913
  2.5612  2.5219  2.4749  2.4220  2.3666  2.2270  2.0873  1.9429  1.7964  1.6515
  1.5096  1.3706  1.2355
  2.4231  2.4150  2.4058  2.3999  2.4021  2.4158  2.4402  2.4720  2.4963  2.5060
  2.4976  2.4709  2.4340  2.3875  2.3349  2.1989  2.0653  1.9293  1.7881  1.6463
  1.5070  1.3707  1.2375  1.1074  0.9801
  2.3559  2.3593  2.3578  2.3539  2.3510  2.3525  2.3605  2.3734  2.3875  2.3998
