 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  J   
  1.0121  1.3085  1.8392  2.0284  1.7155  1.6249  2.2995  2.7786  2.8287  2.6491
  2.5868  2.5282  2.2934  1.9771  1.7448  1.6291
  1.6560  1.7293  1.9227  1.9690  1.8299  1.7557  1.9986  2.1967  2.2536  2.2210
  2.2042  2.1607  2.0311  1.8638  1.7342  1.6310  1.5498  1.4727  1.3624
  1.9950  1.9599  1.9658  1.9428  1.8978  1.8441  1.8526  1.8818  1.9124  1.9309
  1.9271  1.8960  1.8367  1.7671  1.7084  1.6163  1.5237  1.4423  1.3507  1.2603
  1.1796
  2.0291  2.0003  1.9685  1.9498  1.9193  1.8900  1.8615  1.8338  1.8052  1.7788
  1.7556  1.7340  1.7103  1.6870  1.6674  1.5850  1.5037  1.4192  1.3329  1.2461
  1.1592  1.0726  0.9863
  2.0482  2.0168  1.9842  1.9569  1.9261  1.8953  1.8642  1.8331  1.8013  1.7698
  1.7405  1.7141  1.6889  1.6648  1.6407  1.5681  1.4857  1.4002  1.3140  1.2283
  1.1433  1.0589  0.9751  0.8912  0.8064
  2.0434  2.0144  1.9846  1.9552  1.9260  1.8961  1.8651  1.8331  1.8005  1.7676
  1.7349  1.7035  1.6746  1.6470  1.6211  1.5527  1.4717  1.3860  1.2995  1.2139
  1.1296  1.0464  0.9642  0.8825  0.8009  0.7186
  2.0147  1.9931  1.9697  1.9447  1.9189  1.8924  1.8642  1.8338  1.8014  1.7680
  1.7343  1.7007  1.6682  1.6373  1.6086  1.5388  1.4617  1.3766  1.2894  1.2029
  1.1181  1.0351  0.9535  0.8731  0.7934  0.7138  0.6337  0.5514  0.4663  0.3816
  1.9620  1.9529  1.9395  1.9223  1.9026  1.8811  1.8578  1.8316  1.8020  1.7696
  1.7358  1.7016  1.6676  1.6344  1.6028  1.5295  1.4541  1.3714  1.2841  1.1961
  1.1099  1.0258  0.9438  0.8636  0.7848  0.7069  0.6296  0.5512  0.4703  0.3865
  0.3027
  1.8817  1.8894  1.8902  1.8847  1.8745  1.8605  1.8435  1.8232  1.7990  1.7703
  1.7383  1.7043  1.6698  1.6355  1.6022  1.5247  1.4492  1.3687  1.2826  1.1940
  1.1058  1.0197  0.9362  0.8551  0.7761  0.6987  0.6222  0.5464  0.4697  0.3906
  0.3079
  1.7818  1.8049  1.8200  1.8279  1.8304  1.8270  1.8189  1.8062  1.7888  1.7664
  1.7386  1.7068  1.6728  1.6382  1.6041  1.5227  1.4461  1.3668  1.2824  1.1943
  1.1049  1.0165  0.9305  0.8474  0.7671  0.6890  0.6127  0.5374  0.4626  0.3868
  0.3097
  1.6682  1.7027  1.7312  1.7543  1.7705  1.7804  1.7837  1.7807  1.7717  1.7567
  1.7345  1.7068  1.6755  1.6425  1.6091  1.5261  1.4455  1.3669  1.2841  1.1976
  1.1086  1.0190  0.9308  0.8451  0.7625  0.6828  0.6055  0.5301  0.4561  0.3826
  0.3081
  1.5256  1.5828  1.6287  1.6643  1.6941  1.7175  1.7338  1.7428  1.7444  1.7372
  1.7223  1.7012  1.6755  1.6462  1.6144  1.5298  1.4460  1.3674  1.2860  1.2010
  1.1133  1.0240  0.9347  0.8468  0.7615  0.6794  0.6002  0.5235  0.4489  0.3758
  0.3034
  1.3540  1.4453  1.5125  1.5579  1.6012  1.6383  1.6687  1.6904  1.7041  1.7088
  1.7048  1.6929  1.6737  1.6493  1.6200  1.5337  1.4476  1.3683  1.2881
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =  J   
  2.0573  2.0535  2.0403  2.0137  1.9668  1.9175  1.9190  1.8945  1.8639  1.8488
  1.8608  1.8727  1.8417  1.7831  1.7356  1.6727
  2.0294  2.0148  1.9959  1.9695  1.9305  1.8862  1.8671  1.8411  1.8147  1.7952
  1.7869  1.7793  1.7563  1.7226  1.6928  1.6357  1.5587  1.4732  1.3835
  2.0128  1.9890  1.9647  1.9375  1.9037  1.8641  1.8323  1.8042  1.7790  1.7560
  1.7348  1.7147  1.6953  1.6763  1.6573  1.6038  1.5291  1.4450  1.3576  1.2687
  1.1795
  2.0075  1.9761  1.9467  1.9177  1.8866  1.8512  1.8146  1.7835  1.7568  1.7312
  1.7044  1.6788  1.6588  1.6441  1.6291  1.5770  1.5045  1.4216  1.3356  1.2489
  1.1622  1.0756  0.9892
  2.0135  1.9761  1.9419  1.9101  1.8791  1.8475  1.8140  1.7793  1.7482  1.7207
  1.6958  1.6717  1.6468  1.6261  1.6082  1.5553  1.4849  1.4030  1.3176  1.2321
  1.1472  1.0627  0.9786  0.8942  0.8088
  2.0308  1.9890  1.9503  1.9147  1.8812  1.8487  1.8162  1.7832  1.7501  1.7186
  1.6905  1.6660  1.6410  1.6167  1.5951  1.5391  1.4702  1.3891  1.3037  1.2183
  1.1340  1.0507  0.9682  0.8861  0.8040  0.7212
  2.0507  2.0078  1.9665  1.9281  1.8919  1.8574  1.8238  1.7905  1.7574  1.7249
  1.6942  1.6660  1.6400  1.6131  1.5889  1.5284  1.4599  1.3800  1.2941  1.2078
  1.1231  1.0399  0.9580  0.8772  0.7969  0.7168  0.6363  0.5536  0.4682  0.3834
  2.0630  2.0244  1.9847  1.9454  1.9078  1.8717  1.8367  1.8023  1.7683  1.7348
  1.7023  1.6714  1.6427  1.6143  1.5874  1.5228  1.4534  1.3750  1.2892  1.2015
  1.1151  1.0309  0.9487  0.8680  0.7887  0.7102  0.6319  0.5533  0.4723  0.3883
  0.3045
  2.0512  2.0270  1.9966  1.9606  1.9242  1.8881  1.8526  1.8175  1.7825  1.7479
  1.7139  1.6809  1.6493  1.6192  1.5897  1.5210  1.4501  1.3729  1.2892  1.1996
  1.1131  1.0249  0.9412  0.8597  0.7802  0.7024  0.6254  0.5477  0.4690  0.3897
  0.3097
  2.0490  2.0228  1.9950  1.9660  1.9346  1.9013  1.8672  1.8326  1.7976  1.7625
  1.7274  1.6928  1.6590  1.6264  1.5946  1.5212  1.4487  1.3716  1.2881  1.2000
  1.1104  1.0217  0.9355  0.8521  0.7713  0.6928  0.6160  0.5403  0.4651  0.3893
  0.3115
  1.9954  1.9959  1.9824  1.9564  1.9334  1.9066  1.8767  1.8449  1.8116  1.7772
  1.7422  1.7068  1.6715  1.6369  1.6031  1.5242  1.4495  1.3724  1.2902  1.2035
  1.1141  1.0241  0.9356  0.8497  0.7667  0.6867  0.6089  0.5331  0.4587  0.3848
  0.3100
  1.9385  1.9464  1.9465  1.9396  1.9256  1.9052  1.8803  1.8490  1.8198  1.7883
  1.7549  1.7201  1.6846  1.6489  1.6135  1.5292  1.4513  1.3738  1.2925  1.2070
  1.1188  1.0290  0.9394  0.8512  0.7657  0.6832  0.6036  0.5266  0.4516  0.3782
  0.3054
  1.8782  1.8743  1.8874  1.9157  1.9112  1.8972  1.8708  1.8504  1.8259  1.7915
  1.7622  1.7301  1.6959  1.6604  1.6258  1.5362  1.4541  1.3758  1.2950
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  J   
  2.1917  2.1365  2.0448  1.9856  1.9681  1.9259  1.8331  1.7437  1.7012  1.7007
  1.7121  1.7268  1.7321  1.7260  1.7158  1.6704
  2.1120  2.0746  2.0169  1.9708  1.9381  1.8940  1.8306  1.7698  1.7290  1.7078
  1.6963  1.6916  1.6881  1.6816  1.6718  1.6286  1.5588  1.4748  1.3885
  2.0547  2.0271  1.9910  1.9542  1.9142  1.8708  1.8262  1.7833  1.7446  1.7117
  1.6858  1.6673  1.6556  1.6467  1.6361  1.5935  1.5276  1.4468  1.3610  1.2728
  1.1825
  2.0198  1.9940  1.9671  1.9358  1.8964  1.8563  1.8199  1.7842  1.7480  1.7124
  1.6806  1.6539  1.6346  1.6213  1.6087  1.5651  1.5018  1.4235  1.3386  1.2522
  1.1657  1.0789  0.9916
  2.0073  1.9753  1.9452  1.9156  1.8847  1.8505  1.8117  1.7725  1.7392  1.7099
  1.6807  1.6514  1.6251  1.6054  1.5896  1.5434  1.4814  1.4049  1.3212  1.2360
  1.1510  1.0664  0.9820  0.8976  0.8122
  2.0146  1.9757  1.9401  1.9072  1.8757  1.8440  1.8110  1.7762  1.7401  1.7060
  1.6775  1.6514  1.6241  1.5990  1.5785  1.5282  1.4661  1.3911  1.3078  1.2227
  1.1384  1.0549  0.9721  0.8896  0.8071  0.7239
  2.0362  1.9912  1.9498  1.9122  1.8776  1.8447  1.8123  1.7795  1.7463  1.7134
  1.6817  1.6532  1.6266  1.5997  1.5756  1.5190  1.4559  1.3817  1.2986  1.2128
  1.1279  1.0444  0.9623  0.8810  0.8004  0.7198  0.6388  0.5557  0.4701  0.3853
  2.0647  2.0165  1.9706  1.9284  1.8900  1.8542  1.8201  1.7870  1.7539  1.7214
  1.6898  1.6599  1.6322  1.6043  1.5779  1.5158  1.4502  1.3764  1.2938  1.2069
  1.1204  1.0359  0.9533  0.8723  0.7925  0.7136  0.6347  0.5556  0.4744  0.3902
  0.3064
  2.0905  2.0441  1.9974  1.9524  1.9106  1.8716  1.8351  1.8001  1.7660  1.7324
  1.6999  1.6686  1.6390  1.6107  1.5825  1.5171  1.4485  1.3744  1.2925  1.2051
  1.1168  1.0302  0.9461  0.8643  0.7844  0.7061  0.6286  0.5515  0.4739  0.3945
  0.3115
  2.1040  2.0647  2.0220  1.9781  1.9353  1.8943  1.8555  1.8183  1.7823  1.7471
  1.7129  1.6797  1.6480  1.6179  1.5882  1.5193  1.4489  1.3739  1.2926  1.2055
  1.1160  1.0271  0.9406  0.8569  0.7758  0.6968  0.6195  0.5433  0.4677  0.3915
  0.3134
  2.0987  2.0706  2.0370  1.9991  1.9591  1.9189  1.8793  1.8408  1.8032  1.7663
  1.7302  1.6950  1.6609  1.6282  1.5967  1.5232  1.4513  1.3756  1.2950  1.2090
  1.1196  1.0295  0.9408  0.8545  0.7713  0.6908  0.6127  0.5364  0.4615  0.3872
  0.3120
  2.0735  2.0578  2.0350  2.0070  1.9745  1.9386  1.9012  1.8634  1.8255  1.7878
  1.7504  1.7133  1.6771  1.6419  1.6080  1.5287  1.4542  1.3780  1.2976  1.2128
  1.1245  1.0344  0.9445  0.8560  0.7702  0.6875  0.6074  0.5300  0.4547  0.3808
  0.3076
  2.0283  2.0263  2.0141  1.9972  1.9744  1.9466  1.9149  1.8806  1.8449  1.8081
  1.7708  1.7331  1.6954  1.6582  1.6221  1.5358  1.4576  1.3811  1.3004
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  J   
  2.1042  2.0530  1.9990  1.9486  1.8987  1.8511  1.8082  1.7716  1.7431  1.7240
  1.7140  1.7097  1.7073  1.7034  1.6918  1.6575
  2.1252  2.0791  2.0275  1.9728  1.9173  1.8635  1.8136  1.7694  1.7325  1.7040
  1.6844  1.6726  1.6661  1.6603  1.6506  1.6152  1.5560  1.4773  1.3897
  2.1186  2.0809  2.0352  1.9838  1.9297  1.8753  1.8228  1.7744  1.7318  1.6961
