 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  K   
  3.6777  2.9205  1.6050  1.0331  2.0926  4.1664  3.3886  2.2047  1.5813  1.6021
  1.6790  1.8182  2.1428  2.4589  2.6132  2.4533
  3.1039  2.8971  2.3587  2.0825  2.4754  3.4307  3.1580  2.6871  2.3755  2.2953
  2.2644  2.2947  2.4165  2.5352  2.5784  2.4202  2.2459  2.0825  1.9167
  2.7557  2.7992  2.7011  2.6118  2.6521  2.9166  2.9058  2.8345  2.7432  2.6587
  2.5990  2.5746  2.5767  2.5747  2.5495  2.3968  2.2339  2.0693  1.9082  1.7533
  1.6027
  2.6331  2.6268  2.6322  2.6210  2.6226  2.6241  2.6320  2.6468  2.6843  2.6923
  2.6829  2.6578  2.6235  2.5775  2.5265  2.3831  2.2192  2.0554  1.8970  1.7447
  1.5971  1.4532  1.3136
  2.3968  2.4517  2.4985  2.5233  2.5380  2.5437  2.5472  2.5532  2.5652  2.5807
  2.5874  2.5778  2.5547  2.5200  2.4759  2.3471  2.2011  2.0461  1.8899  1.7380
  1.5917  1.4503  1.3133  1.1802  1.0505
  2.1533  2.2520  2.3322  2.3901  2.4262  2.4457  2.4548  2.4604  2.4664  2.4754
  2.4865  2.4913  2.4816  2.4592  2.4244  2.3104  2.1784  2.0333  1.8820  1.7319
  1.5868  1.4471  1.3121  1.1813  1.0541  0.9301
  1.9027  2.0277  2.1333  2.2214  2.2871  2.3301  2.3548  2.3684  2.3771  2.3846
  2.3930  2.4018  2.4047  2.3959  2.3720  2.2730  2.1511  2.0170  1.8733  1.7264
  1.5824  1.4436  1.3100  1.1810  1.0559  0.9342  0.8155  0.6993  0.5858  0.4763
  1.6450  1.7788  1.9018  2.0150  2.1112  2.1848  2.2358  2.2672  2.2860  2.2984
  2.3084  2.3174  2.3252  2.3271  2.3170  2.2374  2.1230  1.9969  1.8621  1.7208
  1.5788  1.4405  1.3076  1.1797  1.0561  0.9363  0.8197  0.7059  0.5944  0.4852
  0.3795
  1.4041  1.5280  1.6535  1.7802  1.8995  2.0031  2.0857  2.1449  2.1835  2.2078
  2.2248  2.2376  2.2479  2.2553  2.2562  2.2027  2.0974  1.9760  1.8479  1.7136
  1.5756  1.4384  1.3057  1.1781  1.0553  0.9367  0.8217  0.7098  0.6006  0.4935
  0.3882
  1.1738  1.2864  1.4068  1.5340  1.6633  1.7887  1.8997  1.9904  2.0577  2.1037
  2.1345  2.1561  2.1719  2.1836  2.1895  2.1639  2.0729  1.9558  1.8309  1.7021
  1.5692  1.4346  1.3022  1.1743  1.0515  0.9333  0.8191  0.7084  0.6008  0.4956
  0.3925
  0.9509  1.0595  1.1746  1.2954  1.4266  1.5583  1.6871  1.8039  1.9013  1.9760
  2.0302  2.0679  2.0932  2.1094  2.1188  2.1102  2.0487  1.9392  1.8172  1.6916
  1.5636  1.4332  1.3027  1.1749  1.0518  0.9334  0.8195  0.7095  0.6030  0.4993
  0.3963
  0.7463  0.8473  0.9567  1.0734  1.1991  1.3289  1.4632  1.5936  1.7138  1.8123
  1.8897  1.9493  1.9944  2.0276  2.0509  2.0665  2.0209  1.9228  1.8053  1.6819
  1.5567  1.4302  1.3030  1.1767  1.0533  0.9343  0.8199  0.7099  0.6037  0.5009
  0.4009
  0.5599  0.6499  0.7531  0.8680  0.9808  1.1005  1.2432  1.3772  1.5068  1.6226
  1.7235  1.8104  1.8845  1.9382  1.9858  2.0330  1.9895  1.9066  1.7952
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =  K   
  2.8026  2.7706  2.7599  2.7903  2.8969  3.1336  3.0342  2.9319  2.8541  2.7961
  2.7202  2.6563  2.6458  2.6477  2.6172  2.4378
  2.8367  2.8047  2.7835  2.7880  2.8428  2.9787  2.9535  2.9138  2.8733  2.8324
  2.7787  2.7248  2.6866  2.6502  2.5988  2.4225  2.2484  2.0810  1.9185
  2.8287  2.8036  2.7802  2.7693  2.7872  2.8493  2.8667  2.8680  2.8553  2.8305
  2.7954  2.7513  2.6996  2.6414  2.5778  2.4054  2.2358  2.0697  1.9088  1.7532
  1.6024
  2.7786  2.7673  2.7500  2.7342  2.7301  2.7454  2.7738  2.7945  2.8003  2.7907
  2.7702  2.7358  2.6848  2.6214  2.5542  2.3865  2.2219  2.0589  1.8999  1.7464
  1.5981  1.4544  1.3152
  2.6864  2.6958  2.6929  2.6827  2.6715  2.6670  2.6748  2.6932  2.7082  2.7128
  2.7032  2.6783  2.6422  2.5901  2.5280  2.3658  2.2067  2.0486  1.8919  1.7399
  1.5935  1.4520  1.3150  1.1817  1.0518
  2.5521  2.5891  2.6089  2.6148  2.6114  2.6052  2.6023  2.6070  2.6170  2.6252
  2.6237  2.6079  2.5820  2.5443  2.4940  2.3430  2.1892  2.0372  1.8844  1.7341
  1.5889  1.4491  1.3140  1.1830  1.0556  0.9314
  2.3769  2.4415  2.4898  2.5197  2.5339  2.5369  2.5351  2.5342  2.5372  2.5421
  2.5426  2.5336  2.5136  2.4862  2.4465  2.3158  2.1694  2.0236  1.8765  1.7289
  1.5847  1.4459  1.3122  1.1829  1.0576  0.9357  0.8168  0.7005  0.5869  0.4774
  2.1743  2.2583  2.3319  2.3899  2.4288  2.4500  2.4590  2.4612  2.4623  2.4649
  2.4663  2.4625  2.4489  2.4270  2.3953  2.2826  2.1472  2.0076  1.8668  1.7238
  1.5813  1.4430  1.3099  1.1818  1.0580  0.9380  0.8211  0.7071  0.5955  0.4863
  0.3806
  2.0185  2.0740  2.1432  2.2245  2.2900  2.3358  2.3637  2.3779  2.3838  2.3867
  2.3890  2.3893  2.3836  2.3688  2.3453  2.2481  2.1233  1.9898  1.8581  1.7174
  1.5795  1.4409  1.3081  1.1803  1.0574  0.9386  0.8233  0.7109  0.6012  0.4941
  0.3893
  1.7447  1.8586  1.9536  2.0314  2.1172  2.1885  2.2403  2.2741  2.2933  2.3031
  2.3085  2.3114  2.3115  2.3057  2.2921  2.2131  2.0986  1.9706  1.8395  1.7071
  1.5725  1.4372  1.3046  1.1766  1.0537  0.9353  0.8209  0.7100  0.6022  0.4969
  0.3936
  1.5581  1.6536  1.7423  1.8247  1.9225  2.0095  2.0848  2.1422  2.1817  2.2062
  2.2203  2.2283  2.2328  2.2339  2.2300  2.1772  2.0758  1.9545  1.8267  1.6975
  1.5675  1.4361  1.3052  1.1773  1.0539  0.9355  0.8213  0.7112  0.6044  0.5007
  0.3974
  1.3811  1.4589  1.5435  1.6339  1.7315  1.8317  1.9235  1.9784  2.0413  2.0866
  2.1168  2.1356  2.1473  2.1544  2.1576  2.1339  2.0510  1.9387  1.8152  1.6884
  1.5612  1.4335  1.3057  1.1790  1.0555  0.9363  0.8218  0.7116  0.6053  0.5023
  0.4021
  1.2137  1.2747  1.3572  1.4590  1.5443  1.6550  1.7217  1.8144  1.8938  1.9382
  1.9894  2.0257  2.0501  2.0662  2.0749  2.0832  2.0242  1.9232  1.8050
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  K   
  2.8008  2.8596  3.0085  3.1020  3.0611  2.9857  2.9974  3.0532  3.0622  3.0038
  2.9184  2.8300  2.7573  2.6934  2.6233  2.4408
  2.8408  2.8458  2.9029  2.9474  2.9450  2.9308  2.9459  2.9708  2.9707  2.9367
  2.8820  2.8150  2.7455  2.6764  2.6048  2.4250  2.2507  2.0825  1.9202
