 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F475W
 -3.1127 -1.2843  0.3416 -0.0147 -2.7593 -7.6346 -5.8123 -3.1234 -1.6798 -1.7050
 -1.5901 -1.4932 -1.9964 -2.5044 -2.5443 -1.7566
 -5.1698 -4.1069 -3.0178 -2.8325 -3.7159 -5.8863 -5.1024 -3.8798 -3.0227 -2.7122
 -2.4376 -2.2760 -2.3975 -2.5240 -2.4281 -1.7087 -1.2435 -0.9493 -0.8556
 -5.6773 -5.1361 -4.5055 -4.1058 -3.9983 -4.4751 -4.2413 -3.8672 -3.4614 -3.0959
 -2.8066 -2.6181 -2.5112 -2.4026 -2.2288 -1.6116 -1.1581 -0.8849 -0.7260 -0.5889
 -0.3796
 -4.6351 -4.3719 -4.1215 -3.8346 -3.6064 -3.4010 -3.2290 -3.0857 -2.9960 -2.8561
 -2.6969 -2.5194 -2.3375 -2.1401 -1.9464 -1.4653 -1.1058 -0.8445 -0.6522 -0.5050
 -0.3861 -0.2847 -0.1952
 -4.2371 -4.0281 -3.8199 -3.5920 -3.3772 -3.1697 -2.9791 -2.8099 -2.6604 -2.5224
 -2.3833 -2.2345 -2.0792 -1.9188 -1.7566 -1.3647 -1.0471 -0.8162 -0.6458 -0.5131
 -0.4040 -0.3098 -0.2256 -0.1495 -0.0800
 -3.8466 -3.6829 -3.5130 -3.3332 -3.1435 -2.9502 -2.7606 -2.5836 -2.4234 -2.2790
 -2.1454 -2.0154 -1.8818 -1.7468 -1.6089 -1.2832 -1.0034 -0.7957 -0.6424 -0.5223
 -0.4225 -0.3355 -0.2570 -0.1848 -0.1179 -0.0561
 -3.4637 -3.3363 -3.2008 -3.0582 -2.9054 -2.7425 -2.5735 -2.4068 -2.2495 -2.1052
 -1.9740 -1.8527 -1.7363 -1.6210 -1.5033 -1.2208 -0.9747 -0.7830 -0.6420 -0.5326
 -0.4416 -0.3618 -0.2893 -0.2219 -0.1584 -0.0990 -0.0445  0.0048  0.0458  0.0693
 -3.0884 -2.9883 -2.8833 -2.7740 -2.6576 -2.5314 -2.3951 -2.2530 -2.1110 -1.9757
 -1.8503 -1.7349 -1.6282 -1.5265 -1.4261 -1.1789 -0.9578 -0.7774 -0.6426 -0.5408
 -0.4579 -0.3857 -0.3198 -0.2582 -0.1995 -0.1435 -0.0905 -0.0424 -0.0008  0.0312
  0.0466
 -2.7349 -2.6570 -2.5768 -2.4947 -2.4085 -2.3162 -2.2152 -2.1049 -1.9878 -1.8698
 -1.7554 -1.6480 -1.5483 -1.4552 -1.3658 -1.1493 -0.9480 -0.7779 -0.6451 -0.5459
 -0.4688 -0.4039 -0.3455 -0.2907 -0.2381 -0.1872 -0.1386 -0.0917 -0.0496 -0.0158
  0.0075
 -2.4097 -2.3504 -2.2910 -2.2316 -2.1698 -2.1045 -2.0333 -1.9542 -1.8662 -1.7710
 -1.6731 -1.5770 -1.4851 -1.3986 -1.3166 -1.1230 -0.9387 -0.7781 -0.6484 -0.5486
 -0.4734 -0.4141 -0.3631 -0.3160 -0.2707 -0.2264 -0.1831 -0.1414 -0.1020 -0.0675
 -0.0383
 -2.1118 -2.0724 -2.0315 -1.9893 -1.9467 -1.9020 -1.8539 -1.8006 -1.7400 -1.6704
 -1.5940 -1.5139 -1.4330 -1.3534 -1.2769 -1.0979 -0.9319 -0.7793 -0.6531 -0.5529
 -0.4766 -0.4190 -0.3733 -0.3336 -0.2963 -0.2597 -0.2235 -0.1878 -0.1530 -0.1202
 -0.0893
 -1.8542 -1.8230 -1.7939 -1.7668 -1.7397 -1.7106 -1.6801 -1.6461 -1.6069 -1.5586
 -1.5025 -1.4410 -1.3761 -1.3097 -1.2431 -1.0790 -0.9226 -0.7787 -0.6554 -0.5565
 -0.4793 -0.4209 -0.3771 -0.3425 -0.3125 -0.2840 -0.2558 -0.2275 -0.1991 -0.1713
 -0.1451
 -1.6369 -1.6021 -1.5782 -1.5641 -1.5488 -1.5303 -1.5136 -1.4941 -1.4706 -1.4408
 -1.4047 -1.3628 -1.3155 -1.2675 -1.2152 -1.0666 -0.9108 -0.7763 -0.6553
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F475W
 -4.7304 -4.4058 -4.1892 -4.0845 -4.1135 -4.5866 -4.2875 -3.9800 -3.7263 -3.5175
 -3.2442 -2.9744 -2.8346 -2.7276 -2.5516 -1.9225
 -4.6019 -4.2681 -4.0186 -3.8536 -3.7855 -3.9700 -3.7859 -3.5842 -3.3922 -3.2097
 -2.9976 -2.7830 -2.6133 -2.4545 -2.2676 -1.7313 -1.2898 -0.9585 -0.7131
 -4.4592 -4.1270 -3.8588 -3.6520 -3.5119 -3.4909 -3.3692 -3.2323 -3.0827 -2.9227
 -2.7541 -2.5789 -2.3983 -2.2138 -2.0264 -1.5684 -1.1871 -0.8955 -0.6787 -0.5130
 -0.3799
 -4.3023 -3.9825 -3.7098 -3.4797 -3.2926 -3.1493 -3.0374 -2.9245 -2.7978 -2.6565
 -2.5137 -2.3620 -2.1896 -2.0053 -1.8280 -1.4338 -1.1046 -0.8479 -0.6557 -0.5073
 -0.3867 -0.2841 -0.1920
 -4.1312 -3.8346 -3.5716 -3.3367 -3.1277 -2.9452 -2.7905 -2.6607 -2.5374 -2.4112
 -2.2763 -2.1324 -1.9872 -1.8291 -1.6724 -1.3275 -1.0423 -0.8157 -0.6440 -0.5101
 -0.4000 -0.3052 -0.2209 -0.1447 -0.0753
 -3.9459 -3.6833 -3.4442 -3.2230 -3.0172 -2.8270 -2.6536 -2.4989 -2.3611 -2.2344
 -2.1076 -1.9740 -1.8404 -1.7016 -1.5598 -1.2493 -0.9970 -0.7945 -0.6396 -0.5180
 -0.4173 -0.3297 -0.2510 -0.1789 -0.1123 -0.0508
 -3.7397 -3.5152 -3.3077 -3.1105 -2.9210 -2.7389 -2.5656 -2.4031 -2.2539 -2.1170
 -1.9885 -1.8636 -1.7387 -1.6164 -1.4885 -1.1982 -0.9666 -0.7811 -0.6385 -0.5274
 -0.4354 -0.3550 -0.2823 -0.2150 -0.1520 -0.0932 -0.0392  0.0096  0.0503  0.0734
 -3.5230 -3.3331 -3.1569 -2.9883 -2.8219 -2.6571 -2.4946 -2.3367 -2.1859 -2.0451
 -1.9137 -1.7896 -1.6701 -1.5556 -1.4406 -1.1712 -0.9499 -0.7743 -0.6385 -0.5349
 -0.4509 -0.3781 -0.3121 -0.2506 -0.1923 -0.1370 -0.0853 -0.0375  0.0041  0.0357
  0.0507
 -3.2800 -3.1395 -2.9977 -2.8549 -2.7132 -2.5701 -2.4244 -2.2785 -2.1349 -1.9961
 -1.8645 -1.7409 -1.6242 -1.5131 -1.4054 -1.1555 -0.9437 -0.7732 -0.6389 -0.5395
 -0.4592 -0.3960 -0.3373 -0.2827 -0.2305 -0.1802 -0.1322 -0.0890 -0.0509 -0.0175
  0.0118
 -3.0745 -2.9580 -2.8375 -2.7136 -2.5927 -2.4708 -2.3451 -2.2157 -2.0843 -1.9534
 -1.8258 -1.7041 -1.5893 -1.4810 -1.3774 -1.1409 -0.9390 -0.7739 -0.6423 -0.5416
 -0.4659 -0.4060 -0.3548 -0.3078 -0.2629 -0.2190 -0.1764 -0.1353 -0.0966 -0.0618
 -0.0339
 -2.8897 -2.7872 -2.6812 -2.5721 -2.4678 -2.3625 -2.2557 -2.1446 -2.0292 -1.9110
 -1.7922 -1.6757 -1.5638 -1.4580 -1.3578 -1.1300 -0.9369 -0.7760 -0.6468 -0.5454
 -0.4688 -0.4110 -0.3652 -0.3255 -0.2885 -0.2524 -0.2167 -0.1815 -0.1473 -0.1151
 -0.0848
 -2.7210 -2.6272 -2.5340 -2.4416 -2.3529 -2.2655 -2.1756 -2.0587 -1.9603 -1.8577
 -1.7518 -1.6447 -1.5390 -1.4369 -1.3398 -1.1197 -0.9330 -0.7769 -0.6495 -0.5488
 -0.4712 -0.4129 -0.3692 -0.3347 -0.3050 -0.2768 -0.2492 -0.2213 -0.1934 -0.1662
 -0.1405
 -2.5686 -2.4779 -2.3960 -2.3220 -2.2482 -2.1797 -2.0636 -1.9832 -1.8986 -1.7879
 -1.6971 -1.6032 -1.5077 -1.4127 -1.3234 -1.1100 -0.9273 -0.7766 -0.6504
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F475W
 -5.1578 -5.0090 -4.9539 -4.7562 -4.3882 -4.0755 -3.9892 -4.0014 -3.9148 -3.6851
 -3.4144 -3.1371 -2.8858 -2.6622 -2.4361 -1.8961
 -4.7432 -4.4846 -4.3174 -4.1207 -3.8783 -3.6732 -3.5637 -3.4945 -3.3857 -3.2148
 -3.0143 -2.7942 -2.5714 -2.3600 -2.1563 -1.6910 -1.2864 -0.9613 -0.6979
 -4.4302 -4.0996 -3.8545 -3.6501 -3.4774 -3.3333 -3.2093 -3.0927 -2.9707 -2.8351
 -2.6806 -2.5037 -2.3087 -2.1123 -1.9276 -1.5219 -1.1782 -0.8966 -0.6743 -0.5040
 -0.3791
 -4.2188 -3.8540 -3.5652 -3.3444 -3.1855 -3.0558 -2.9260 -2.7960 -2.6698 -2.5460
 -2.4133 -2.2656 -2.0977 -1.9191 -1.7500 -1.3888 -1.0925 -0.8476 -0.6560 -0.5064
 -0.3847 -0.2816 -0.1912
 -4.1090 -3.7478 -3.4495 -3.2036 -3.0026 -2.8407 -2.7138 -2.6044 -2.4830 -2.3475
 -2.2124 -2.0799 -1.9384 -1.7804 -1.6235 -1.2917 -1.0293 -0.8143 -0.6431 -0.5080
 -0.3970 -0.3015 -0.2170 -0.1406 -0.0713
 -4.0260 -3.6816 -3.3904 -3.1425 -2.9297 -2.7470 -2.5902 -2.4550 -2.3370 -2.2229
 -2.0940 -1.9560 -1.8227 -1.6839 -1.5392 -1.2263 -0.9854 -0.7923 -0.6377 -0.5147
 -0.4130 -0.3249 -0.2460 -0.1739 -0.1075 -0.0464
 -3.9353 -3.6185 -3.3446 -3.1054 -2.8939 -2.7053 -2.5364 -2.3850 -2.2483 -2.1227
 -2.0031 -1.8804 -1.7525 -1.6237 -1.4881 -1.1864 -0.9574 -0.7782 -0.6359 -0.5230
 -0.4299 -0.3491 -0.2762 -0.2091 -0.1463 -0.0879 -0.0343  0.0141  0.0545  0.0774
 -3.8245 -3.5418 -3.2925 -3.0697 -2.8674 -2.6819 -2.5109 -2.3526 -2.2066 -2.0711
 -1.9437 -1.8215 -1.7010 -1.5833 -1.4606 -1.1681 -0.9423 -0.7703 -0.6353 -0.5298
 -0.4446 -0.3712 -0.3052 -0.2437 -0.1858 -0.1309 -0.0798 -0.0326  0.0086  0.0400
  0.0548
 -3.6980 -3.4480 -3.2258 -3.0241 -2.8368 -2.6607 -2.4938 -2.3356 -2.1862 -2.0458
 -1.9135 -1.7879 -1.6677 -1.5519 -1.4388 -1.1644 -0.9387 -0.7677 -0.6359 -0.5339
 -0.4545 -0.3885 -0.3297 -0.2751 -0.2232 -0.1734 -0.1259 -0.0815 -0.0410 -0.0065
  0.0161
 -3.5604 -3.3397 -3.1419 -2.9616 -2.7920 -2.6294 -2.4717 -2.3188 -2.1714 -2.0304
 -1.8960 -1.7685 -1.6471 -1.5314 -1.4204 -1.1598 -0.9403 -0.7685 -0.6367 -0.5355
 -0.4587 -0.3982 -0.3468 -0.2998 -0.2551 -0.2117 -0.1697 -0.1292 -0.0912 -0.0570
 -0.0296
 -3.4281 -3.2320 -3.0521 -2.8884 -2.7354 -2.5875 -2.4426 -2.2991 -2.1579 -2.0202
 -1.8872 -1.7597 -1.6380 -1.5225 -1.4122 -1.1581 -0.9445 -0.7733 -0.6408 -0.5386
 -0.4614 -0.4032 -0.3571 -0.3174 -0.2805 -0.2447 -0.2096 -0.1751 -0.1415 -0.1099
 -0.0803
 -3.3052 -3.1249 -2.9594 -2.8067 -2.6647 -2.5301 -2.3983 -2.2668 -2.1354 -2.0049
 -1.8766 -1.7519 -1.6318 -1.5170 -1.4075 -1.1572 -0.9472 -0.7773 -0.6445 -0.5417
 -0.4633 -0.4049 -0.3611 -0.3266 -0.2970 -0.2691 -0.2419 -0.2146 -0.1873 -0.1607
 -0.1357
 -3.1918 -3.0184 -2.8640 -2.7191 -2.5848 -2.4586 -2.3373 -2.2178 -2.0978 -1.9776
 -1.8575 -1.7389 -1.6230 -1.5109 -1.4063 -1.1571 -0.9484 -0.7805 -0.6478
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F475W
 -5.6142 -5.2631 -4.9856 -4.7755 -4.5606 -4.3510 -4.1327 -3.9058 -3.6717 -3.4379
 -3.1998 -2.9607 -2.7298 -2.5126 -2.2689 -1.8136
 -5.1680 -4.7917 -4.4818 -4.2255 -4.0098 -3.8173 -3.6322 -3.4436 -3.2516 -3.0575
 -2.8554 -2.6439 -2.4296 -2.2256 -2.0243 -1.6163 -1.2653 -0.9629 -0.7201
 -4.7879 -4.3903 -4.0629 -3.7982 -3.5821 -3.3987 -3.2335 -3.0716 -2.9102 -2.7469
 -2.5755 -2.3915 -2.1970 -2.0061 -1.8304 -1.4588 -1.1537 -0.8949 -0.6826 -0.5143
 -0.3777
 -4.4739 -4.0589 -3.7289 -3.4936 -3.2776 -3.0952 -2.9366 -2.7898 -2.6475 -2.5061
 -2.3601 -2.2035 -2.0320 -1.8541 -1.6872 -1.3411 -1.0691 -0.8437 -0.6566 -0.5059
 -0.3814 -0.2784 -0.1877
 -4.2777 -3.8517 -3.5166 -3.2603 -3.0601 -2.8945 -2.7454 -2.6009 -2.4617 -2.3281
 -2.1963 -2.0613 -1.9151 -1.7539 -1.5947 -1.2632 -1.0115 -0.8093 -0.6421 -0.5056
 -0.3930 -0.2966 -0.2115 -0.1350 -0.0658
 -4.2243 -3.7950 -3.4432 -3.1658 -2.9469 -2.7696 -2.6198 -2.4857 -2.3575 -2.2270
 -2.0915 -1.9597 -1.8287 -1.6884 -1.5388 -1.2157 -0.9748 -0.7875 -0.6352 -0.5105
 -0.4071 -0.3181 -0.2388 -0.1667 -0.1007 -0.0406
 -4.2152 -3.7876 -3.4330 -3.1402 -2.8979 -2.6964 -2.5274 -2.3837 -2.2591 -2.1486
