 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F336W
 -9.3214 -6.7941 -4.6293 -5.1461 -9.0787-15.4864-13.8358 -9.3901 -5.6664 -4.2372
 -3.5246 -3.5173 -5.0252 -6.1850 -6.5959 -5.1633
-10.8143 -9.2578 -7.8059 -7.6302 -9.0626-11.9680-11.3301 -9.4808 -7.7221 -6.7456
 -6.1055 -5.8867 -6.3478 -6.6528 -6.5279 -5.0654 -4.1823 -3.6354 -3.5517
-11.1843-10.3094 -9.4239 -8.9201 -8.9079 -9.5603 -9.3758 -8.9308 -8.3671 -7.8010
 -7.3249 -7.0179 -6.8586 -6.6358 -6.2466 -4.8426 -3.8006 -3.2631 -2.9852 -2.7558
 -2.3562
-10.4314 -9.9489 -9.4833 -9.0157 -8.6148 -8.2634 -7.9729 -7.7399 -7.6013 -7.4036
 -7.1828 -6.9108 -6.5575 -6.1338 -5.7520 -4.4949 -3.5854 -2.9690 -2.5619 -2.2889
 -2.1189 -2.0233 -1.9791
-10.0068 -9.5594 -9.1211 -8.6824 -8.2683 -7.8811 -7.5323 -7.2287 -6.9661 -6.7312
 -6.5014 -6.2507 -5.9613 -5.6135 -5.2323 -4.2105 -3.3359 -2.7292 -2.3415 -2.0983
 -1.9491 -1.8648 -1.8262 -1.8171 -1.8246
 -9.5716 -9.1532 -8.7402 -8.3294 -7.9213 -7.5235 -7.1453 -6.7984 -6.4880 -6.2093
 -5.9508 -5.6965 -5.4265 -5.1262 -4.7965 -3.9464 -3.1454 -2.5572 -2.1775 -1.9459
 -1.8066 -1.7275 -1.6903 -1.6823 -1.6927 -1.7121
 -9.1259 -8.7303 -8.3406 -7.9567 -7.5737 -7.1906 -6.8119 -6.4490 -6.1124 -5.8063
 -5.5268 -5.2632 -5.0034 -4.7349 -4.4446 -3.7026 -3.0139 -2.4530 -2.0699 -1.8317
 -1.6914 -1.6114 -1.5715 -1.5598 -1.5677 -1.5870 -1.6104 -1.6323 -1.6477 -1.6520
 -8.6697 -8.2907 -7.9223 -7.5639 -7.2095 -6.8548 -6.4977 -6.1442 -5.8035 -5.4859
 -5.1954 -4.9275 -4.6757 -4.4296 -4.1756 -3.5215 -2.9138 -2.4025 -2.0170 -1.7607
 -1.6046 -1.5156 -1.4689 -1.4505 -1.4523 -1.4677 -1.4902 -1.5144 -1.5361 -1.5515
 -1.5574
 -8.2116 -7.8523 -7.5037 -7.1651 -6.8356 -6.5112 -6.1866 -5.8606 -5.5372 -5.2265
 -4.9355 -4.6681 -4.4221 -4.1916 -3.9663 -3.3952 -2.8490 -2.3806 -2.0065 -1.7325
 -1.5515 -1.4425 -1.3828 -1.3547 -1.3482 -1.3568 -1.3755 -1.3987 -1.4224 -1.4436
 -1.4602
 -7.7834 -7.4287 -7.0924 -6.7730 -6.4647 -6.1667 -5.8738 -5.5824 -5.2910 -5.0027
 -4.7256 -4.4663 -4.2263 -4.0047 -3.7959 -3.2968 -2.8054 -2.3714 -2.0141 -1.7338
 -1.5300 -1.3953 -1.3149 -1.2727 -1.2557 -1.2562 -1.2688 -1.2889 -1.3122 -1.3349
 -1.3562
 -7.3653 -7.0295 -6.7088 -6.4020 -6.1124 -5.8356 -5.5697 -5.3112 -5.0561 -4.8016
 -4.5527 -4.3130 -4.0845 -3.8692 -3.6677 -3.2084 -2.7820 -2.3767 -2.0340 -1.7552
 -1.5379 -1.3794 -1.2739 -1.2108 -1.1784 -1.1672 -1.1709 -1.1846 -1.2045 -1.2271
 -1.2509
 -6.9766 -6.6547 -6.3478 -6.0547 -5.7800 -5.5209 -5.2771 -5.0450 -4.8207 -4.5979
 -4.3780 -4.1637 -3.9574 -3.7613 -3.5763 -3.1512 -2.7576 -2.3840 -2.0539 -1.7795
 -1.5579 -1.3852 -1.2583 -1.1727 -1.1208 -1.0944 -1.0863 -1.0911 -1.1046 -1.1238
 -1.1455
 -6.6173 -6.3043 -6.0094 -5.7311 -5.4675 -5.2226 -4.9959 -4.7849 -4.5848 -4.3911
 -4.2025 -4.0188 -3.8396 -3.6810 -3.5216 -3.1252 -2.7322 -2.3933 -2.0738
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F336W
-10.4335-10.1222 -9.9245 -9.8884-10.0480-10.5910-10.1486 -9.5315 -8.9445 -8.4630
 -8.0095 -7.6592 -7.5737 -7.4597 -7.1395 -5.9365
-10.1947 -9.8099 -9.5139 -9.3365 -9.3011 -9.5035 -9.2444 -8.8910 -8.5230 -8.1724
 -7.8138 -7.4776 -7.2253 -6.9489 -6.5764 -5.4431 -4.4421 -3.6965 -3.1744
 -9.9682 -9.5266 -9.1535 -8.8648 -8.6752 -8.6193 -8.4495 -8.2496 -8.0202 -7.7617
 -7.4744 -7.1588 -6.8156 -6.4453 -6.0486 -4.9947 -4.0456 -3.3431 -2.8683 -2.5560
 -2.3557
 -9.7540 -9.2723 -8.8433 -8.4733 -8.1703 -7.9384 -7.7639 -7.6073 -7.4362 -7.2308
 -6.9914 -6.7029 -6.3446 -5.9489 -5.5561 -4.5913 -3.7103 -3.0474 -2.6090 -2.3272
 -2.1520 -2.0500 -1.9982
 -9.5521 -9.0470 -8.5833 -8.1620 -7.7865 -7.4608 -7.1876 -6.9641 -6.7709 -6.5797
 -6.3648 -6.1098 -5.8123 -5.4597 -5.0989 -4.2329 -3.4362 -2.8094 -2.3966 -2.1378
 -1.9798 -1.8895 -1.8457 -1.8323 -1.8345
 -9.3625 -8.8507 -8.3735 -7.9309 -7.5238 -7.1535 -6.8216 -6.5292 -6.2733 -6.0461
 -5.8237 -5.5863 -5.3276 -5.0279 -4.7051 -3.9380 -3.2304 -2.6391 -2.2352 -1.9862
 -1.8370 -1.7517 -1.7098 -1.6979 -1.7047 -1.7210
 -9.1685 -8.6630 -8.1875 -7.7402 -7.3222 -6.9339 -6.5755 -6.2475 -5.9510 -5.6829
 -5.4351 -5.1964 -4.9532 -4.6972 -4.4104 -3.7126 -3.0879 -2.5357 -2.1303 -1.8734
