 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F350LP
 -1.8823 -0.5352  0.8610  0.9826 -0.5180 -3.1893 -2.3619 -0.9203 -0.0666 -0.0287
  0.0553  0.0840 -0.3100 -0.7859 -1.0073 -0.7392
 -2.0104 -1.4365 -0.7730 -0.6491 -1.1898 -2.3885 -2.0481 -1.4124 -0.9382 -0.7630
 -0.6181 -0.5556 -0.6934 -0.8781 -0.9470 -0.7069 -0.5292 -0.4099 -0.3703
 -1.9305 -1.7797 -1.5578 -1.4425 -1.4606 -1.7486 -1.6669 -1.4979 -1.3031 -1.1268
 -0.9931 -0.9206 -0.9073 -0.9102 -0.8815 -0.6741 -0.5139 -0.4020 -0.3353 -0.2802
 -0.2028
 -1.6426 -1.5648 -1.4934 -1.3976 -1.3303 -1.2697 -1.2183 -1.1767 -1.1612 -1.1201
 -1.0698 -1.0110 -0.9518 -0.8821 -0.8108 -0.6408 -0.5008 -0.3963 -0.3183 -0.2604
 -0.2145 -0.1771 -0.1446
 -1.4233 -1.3806 -1.3364 -1.2781 -1.2245 -1.1707 -1.1196 -1.0732 -1.0320 -0.9938
 -0.9534 -0.9074 -0.8582 -0.8045 -0.7463 -0.6050 -0.4861 -0.3946 -0.3253 -0.2722
 -0.2300 -0.1951 -0.1651 -0.1392 -0.1171
 -1.2162 -1.2005 -1.1789 -1.1493 -1.1124 -1.0705 -1.0262 -0.9821 -0.9400 -0.9003
 -0.8624 -0.8242 -0.7827 -0.7400 -0.6924 -0.5739 -0.4715 -0.3912 -0.3301 -0.2825
 -0.2445 -0.2128 -0.1856 -0.1614 -0.1399 -0.1214
 -1.0213 -1.0245 -1.0209 -1.0112 -0.9939 -0.9691 -0.9381 -0.9034 -0.8670 -0.8305
 -0.7947 -0.7595 -0.7243 -0.6886 -0.6491 -0.5475 -0.4570 -0.3861 -0.3327 -0.2913
 -0.2580 -0.2302 -0.2061 -0.1845 -0.1648 -0.1471 -0.1319 -0.1211 -0.1169 -0.1214
 -0.8386 -0.8526 -0.8624 -0.8684 -0.8688 -0.8620 -0.8475 -0.8266 -0.8007 -0.7716
 -0.7410 -0.7097 -0.6783 -0.6466 -0.6140 -0.5263 -0.4445 -0.3792 -0.3313 -0.2959
 -0.2680 -0.2449 -0.2248 -0.2066 -0.1897 -0.1740 -0.1592 -0.1476 -0.1415 -0.1429
 -0.1531
 -0.6759 -0.6944 -0.7119 -0.7285 -0.7418 -0.7501 -0.7520 -0.7464 -0.7338 -0.7154
 -0.6927 -0.6673 -0.6405 -0.6129 -0.5841 -0.5086 -0.4341 -0.3722 -0.3266 -0.2950
 -0.2723 -0.2545 -0.2394 -0.2257 -0.2127 -0.2002 -0.1885 -0.1771 -0.1690 -0.1674
 -0.1743
 -0.5314 -0.5536 -0.5763 -0.5994 -0.6209 -0.6397 -0.6541 -0.6625 -0.6636 -0.6572
 -0.6444 -0.6268 -0.6058 -0.5827 -0.5579 -0.4914 -0.4238 -0.3647 -0.3203 -0.2897
 -0.2701 -0.2573 -0.2477 -0.2394 -0.2314 -0.2233 -0.2152 -0.2075 -0.2009 -0.1977
 -0.1982
 -0.4068 -0.4316 -0.4568 -0.4823 -0.5084 -0.5333 -0.5559 -0.5747 -0.5879 -0.5938
