 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F390M
 -8.0168 -5.7532 -3.6217 -3.7942 -7.1068-12.8113-10.9641 -6.8767 -3.7383 -2.9005
 -2.6479 -2.6700 -3.6773 -4.4925 -4.7244 -3.4561
 -8.8874 -7.4918 -6.1193 -5.8443 -7.0276 -9.6182 -8.8956 -7.1949 -5.6936 -4.9909
 -4.5851 -4.4135 -4.6809 -4.8596 -4.6963 -3.4313 -2.6847 -2.1620 -2.0592
 -8.9557 -8.1569 -7.3460 -6.8632 -6.8190 -7.4014 -7.2072 -6.7986 -6.2995 -5.8147
 -5.4228 -5.1586 -4.9915 -4.7826 -4.4359 -3.2725 -2.4563 -1.9724 -1.6918 -1.4255
 -1.0008
 -8.2217 -7.7485 -7.3018 -6.8509 -6.4811 -6.1608 -5.8989 -5.6879 -5.5559 -5.3719
 -5.1610 -4.9054 -4.6089 -4.2615 -3.9432 -2.9797 -2.2822 -1.7758 -1.4042 -1.1221
 -0.8990 -0.7148 -0.5595
 -7.8477 -7.4189 -7.0036 -6.5882 -6.2037 -5.8477 -5.5307 -5.2574 -5.0229 -4.8133
 -4.6065 -4.3810 -4.1286 -3.8484 -3.5528 -2.7881 -2.1458 -1.6840 -1.3520 -1.1015
 -0.9021 -0.7360 -0.5938 -0.4689 -0.3561
 -7.4925 -7.0997 -6.7130 -6.3290 -5.9490 -5.5811 -5.2349 -4.9217 -4.6457 -4.4021
 -4.1794 -3.9629 -3.7364 -3.4949 -3.2419 -2.6185 -2.0459 -1.6215 -1.3186 -1.0921
 -0.9121 -0.7616 -0.6316 -0.5169 -0.4142 -0.3210
 -7.1560 -6.7909 -6.4300 -6.0733 -5.7169 -5.3610 -5.0115 -4.6808 -4.3797 -4.1118
 -3.8734 -3.6545 -3.4438 -3.2308 -3.0105 -2.4709 -1.9825 -1.5883 -1.3040 -1.0939
 -0.9290 -0.7916 -0.6729 -0.5679 -0.4737 -0.3885 -0.3115 -0.2404 -0.1754 -0.1242
 -6.8382 -6.4925 -6.1546 -5.8241 -5.4953 -5.1650 -4.8326 -4.5060 -4.1962 -3.9141
 -3.6630 -3.4385 -3.2339 -3.0386 -2.8452 -2.3693 -1.9388 -1.5787 -1.3046 -1.1029
 -0.9483 -0.8220 -0.7136 -0.6180 -0.5323 -0.4547 -0.3839 -0.3204 -0.2651 -0.2186
 -0.1817
 -6.5516 -6.2279 -5.9104 -5.5990 -5.2933 -4.9898 -4.6842 -4.3769 -4.0747 -3.7896
 -3.5296 -3.2981 -3.0920 -2.9047 -2.7269 -2.3039 -1.9141 -1.5821 -1.3177 -1.1177
 -0.9673 -0.8488 -0.7499 -0.6637 -0.5868 -0.5174 -0.4548 -0.3971 -0.3464 -0.3052
 -0.2752
 -6.3286 -6.0109 -5.7055 -5.4115 -5.1231 -4.8404 -4.5589 -4.2764 -3.9933 -3.7155
 -3.4539 -3.2165 -3.0043 -2.8155 -2.6436 -2.2559 -1.8984 -1.5881 -1.3345 -1.1352
 -0.9839 -0.8690 -0.7776 -0.7008 -0.6333 -0.5729 -0.5184 -0.4693 -0.4253 -0.3879
 -0.3570
 -6.1499 -5.8501 -5.5572 -5.2709 -4.9945 -4.7243 -4.4599 -4.1984 -3.9373 -3.6765
 -3.4255 -3.1893 -2.9706 -2.7718 -2.5937 -2.2164 -1.8938 -1.5993 -1.3544 -1.1571
 -1.0033 -0.8867 -0.7986 -0.7290 -0.6708 -0.6197 -0.5743 -0.5335 -0.4970 -0.4650
 -0.4352
 -6.0638 -5.7455 -5.4485 -5.1711 -4.9013 -4.6386 -4.3837 -4.1349 -3.8900 -3.6451
 -3.4043 -3.1732 -2.9564 -2.7578 -2.5795 -2.2036 -1.8897 -1.6098 -1.3706 -1.1758
 -1.0212 -0.9018 -0.8123 -0.7461 -0.6952 -0.6536 -0.6178 -0.5862 -0.5581 -0.5335
 -0.5127
 -6.0702 -5.6970 -5.3794 -5.1121 -4.8435 -4.5833 -4.3195 -4.0787 -3.8440 -3.6149
 -3.3912 -3.1725 -2.9586 -2.7735 -2.6010 -2.2176 -1.8861 -1.6196 -1.3831
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F390M
 -8.0626 -7.7859 -7.6067 -7.5650 -7.7008 -8.2196 -7.8240 -7.3065 -6.8460 -6.5014
 -6.1555 -5.8351 -5.6934 -5.5304 -5.2280 -4.1312
 -7.8456 -7.5033 -7.2370 -7.0716 -7.0338 -7.2291 -6.9954 -6.6919 -6.3888 -6.1118
 -5.8200 -5.5252 -5.2851 -5.0264 -4.7015 -3.7249 -2.8465 -2.1761 -1.6746
 -7.6644 -7.2710 -6.9360 -6.6727 -6.4972 -6.4483 -6.2925 -6.1122 -5.9085 -5.6822
 -5.4339 -5.1644 -4.8746 -4.5651 -4.2367 -3.3734 -2.5921 -1.9912 -1.5501 -1.2173
 -0.9541
 -7.5190 -7.0890 -6.7037 -6.3683 -6.0910 -5.8772 -5.7153 -5.5676 -5.4051 -5.2124
 -4.9972 -4.7526 -4.4617 -4.1465 -3.8336 -3.0767 -2.3885 -1.8492 -1.4574 -1.1627
 -0.9301 -0.7391 -0.5742
 -7.4094 -6.9573 -6.5401 -6.1584 -5.8153 -5.5158 -5.2638 -5.0579 -4.8785 -4.7026
 -4.5100 -4.2898 -4.0465 -3.7706 -3.4922 -2.8348 -2.2357 -1.7501 -1.3966 -1.1327
 -0.9245 -0.7527 -0.6064 -0.4786 -0.3630
 -7.3356 -6.8759 -6.4452 -6.0430 -5.6701 -5.3287 -5.0218 -4.7530 -4.5208 -4.3180
 -4.1242 -3.9227 -3.7100 -3.4752 -3.2285 -2.6523 -2.1295 -1.6890 -1.3626 -1.1212
 -0.9321 -0.7759 -0.6424 -0.5252 -0.4208 -0.3261
 -7.2856 -6.8295 -6.3981 -5.9893 -5.6042 -5.2435 -4.9091 -4.6035 -4.3304 -4.0888
 -3.8722 -3.6702 -3.4710 -3.2673 -3.0481 -2.5260 -2.0644 -1.6599 -1.3505 -1.1233
 -0.9481 -0.8046 -0.6822 -0.5748 -0.4789 -0.3921 -0.3136 -0.2410 -0.1746 -0.1224
 -7.2653 -6.8158 -6.3893 -5.9840 -5.5966 -5.2289 -4.8815 -4.5568 -4.2570 -3.9866
 -3.7445 -3.5265 -3.3245 -3.1314 -2.9332 -2.4520 -2.0286 -1.6562 -1.3561 -1.1347
 -0.9680 -0.8346 -0.7221 -0.6240 -0.5364 -0.4573 -0.3859 -0.3210 -0.2641 -0.2166
 -0.1790
 -7.5292 -6.9204 -6.4211 -6.0205 -5.6366 -5.2687 -4.9163 -4.5818 -4.2671 -3.9750
 -3.7092 -3.4708 -3.2560 -3.0583 -2.8662 -2.4167 -2.0136 -1.6664 -1.3951 -1.1535
 -0.9986 -0.8624 -0.7586 -0.6696 -0.5906 -0.5195 -0.4554 -0.3991 -0.3503 -0.3083
 -0.2725
 -7.3782 -6.9890 -6.5598 -6.0952 -5.7142 -5.3485 -4.9958 -4.6571 -4.3331 -4.0269
 -3.7415 -3.4811 -3.2468 -3.0357 -2.8380 -2.3993 -2.0122 -1.6787 -1.3981 -1.1756
