 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F125W
  0.2892  0.6142  1.1408  1.2610  0.8278  0.5842  1.2019  1.6143  1.6575  1.5311
  1.4942  1.4495  1.2775  1.0272  0.8352  0.7346
  0.8013  0.9031  1.1158  1.1524  0.9739  0.8331  1.0464  1.2051  1.2425  1.2174
  1.2074  1.1720  1.0724  0.9372  0.8274  0.7298  0.6454  0.5635  0.4540
  1.0694  1.0551  1.0834  1.0753  1.0324  0.9639  0.9628  0.9753  0.9895  0.9982
  0.9931  0.9656  0.9157  0.8561  0.8037  0.7119  0.6177  0.5342  0.4408  0.3486
  0.2654
  1.0935  1.0702  1.0436  1.0297  1.0031  0.9767  0.9511  0.9250  0.8986  0.8736
  0.8514  0.8304  0.8074  0.7838  0.7641  0.6809  0.5979  0.5116  0.4238  0.3349
  0.2464  0.1581  0.0703
  1.1154  1.0878  1.0590  1.0355  1.0083  0.9807  0.9524  0.9233  0.8930  0.8627
  0.8343  0.8085  0.7840  0.7601  0.7359  0.6628  0.5795  0.4928  0.4051  0.3177
  0.2310  0.1450  0.0596 -0.0258 -0.1120
  1.1125  1.0860  1.0589  1.0324  1.0063  0.9795  0.9513  0.9216  0.8906  0.8589
  0.8269  0.7961  0.7677  0.7406  0.7148  0.6462  0.5648  0.4784  0.3906  0.3036
  0.2177  0.1330  0.0492 -0.0340 -0.1170 -0.2006
  1.0847  1.0648  1.0433  1.0204  0.9970  0.9731  0.9478  0.9199  0.8895  0.8576
  0.8248  0.7918  0.7597  0.7292  0.7008  0.6311  0.5538  0.4684  0.3803  0.2926
  0.2065  0.1221  0.0390 -0.0428 -0.1239 -0.2048 -0.2860 -0.3693 -0.4553 -0.5406
  1.0321  1.0242  1.0122  0.9965  0.9786  0.9591  0.9382  0.9147  0.8875  0.8572
  0.8248  0.7913  0.7578  0.7249  0.6936  0.6206  0.5452  0.4622  0.3745  0.2857
  0.1983  0.1130  0.0297 -0.0519 -0.1320 -0.2112 -0.2897 -0.3691 -0.4509 -0.5354
 -0.6198
  0.9512  0.9601  0.9619  0.9575  0.9486  0.9361  0.9209  0.9030  0.8814  0.8551
  0.8251  0.7924  0.7587  0.7248  0.6918  0.6147  0.5392  0.4586  0.3722  0.2831
  0.1941  0.1069  0.0223 -0.0600 -0.1402 -0.2188 -0.2965 -0.3734 -0.4511 -0.5310
 -0.6143
  0.8511  0.8748  0.8906  0.8993  0.9027  0.9005  0.8938  0.8829  0.8679  0.8480
  0.8227  0.7929  0.7602  0.7263  0.6926  0.6117  0.5352  0.4558  0.3712  0.2827
  0.1928  0.1036  0.0167 -0.0675 -0.1490 -0.2281 -0.3056 -0.3819 -0.4577 -0.5344
 -0.6123
  0.7376  0.7721  0.8008  0.8243  0.8411  0.8519  0.8562  0.8547  0.8475  0.8350
  0.8154  0.7900  0.7606  0.7291  0.6967  0.6144  0.5337  0.4551  0.3721  0.2853
  0.1959  0.1057  0.0168 -0.0698 -0.1534 -0.2340 -0.3123 -0.3887 -0.4637 -0.5381
 -0.6136
  0.5947  0.6520  0.6978  0.7334  0.7635  0.7874  0.8044  0.8144  0.8175  0.8124
  0.8000  0.7816  0.7582  0.7308  0.7004  0.6171  0.5335  0.4549  0.3733  0.2880
  0.1999  0.1102  0.0203 -0.0682 -0.1543 -0.2372 -0.3174 -0.3949 -0.4704 -0.5444
 -0.6177
  0.4224  0.5144  0.5816  0.6266  0.6699  0.7070  0.7377  0.7601  0.7748  0.7810
  0.7790  0.7696  0.7532  0.7314  0.7037  0.6198  0.5346  0.4552  0.3748
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F125W
  1.0673  1.0684  1.0632  1.0456  1.0057  0.9598  0.9769  0.9617  0.9367  0.9240
  0.9327  0.9437  0.9222  0.8745  0.8334  0.7687
  1.0485  1.0404  1.0294  1.0112  0.9792  0.9401  0.9322  0.9144  0.8940  0.8788
  0.8719  0.8658  0.8476  0.8187  0.7914  0.7319  0.6524  0.5647  0.4732
  1.0401  1.0238  1.0072  0.9875  0.9606  0.9271  0.9033  0.8822  0.8630  0.8451
  0.8278  0.8107  0.7933  0.7753  0.7563  0.7001  0.6232  0.5371  0.4478  0.3571
  0.2660
  1.0421  1.0186  0.9966  0.9745  0.9500  0.9208  0.8902  0.8649  0.8435  0.8227
  0.8005  0.7783  0.7594  0.7442  0.7281  0.6733  0.5988  0.5141  0.4263  0.3378
  0.2494  0.1611  0.0729
  1.0545  1.0248  0.9976  0.9722  0.9473  0.9212  0.8929  0.8627  0.8356  0.8117
  0.7900  0.7687  0.7459  0.7255  0.7068  0.6515  0.5792  0.4957  0.4087  0.3215
  0.2349  0.1488  0.0630 -0.0228 -0.1095
  1.0773  1.0424  1.0102  0.9806  0.9525  0.9249  0.8968  0.8676  0.8378  0.8091
  0.7833  0.7606  0.7375  0.7144  0.6927  0.6348  0.5641  0.4817  0.3948  0.3080
  0.2221  0.1373  0.0532 -0.0304 -0.1139 -0.1979
  1.1022  1.0653  1.0297  0.9966  0.9654  0.9352  0.9054  0.8754  0.8449  0.8146
  0.7857  0.7588  0.7339  0.7083  0.6846  0.6232  0.5532  0.4721  0.3851  0.2976
  0.2114  0.1268  0.0435 -0.0388 -0.1204 -0.2018 -0.2835 -0.3672 -0.4534 -0.5388
  1.1189  1.0852  1.0502  1.0156  0.9824  0.9503  0.9187  0.8872  0.8556  0.8239
  0.7928  0.7630  0.7350  0.7074  0.6810  0.6163  0.5459  0.4664  0.3798  0.2911
  0.2036  0.1180  0.0345 -0.0475 -0.1281 -0.2079 -0.2874 -0.3671 -0.4489 -0.5336
 -0.6180
  1.1111  1.0904  1.0636  1.0315  0.9989  0.9663  0.9341  0.9018  0.8690  0.8362
  0.8035  0.7714  0.7404  0.7107  0.6816  0.6129  0.5415  0.4634  0.3793  0.2888
  0.2015  0.1122  0.0273 -0.0554 -0.1361 -0.2152 -0.2934 -0.3722 -0.4518 -0.5319
 -0.6126
  1.1103  1.0883  1.0637  1.0367  1.0085  0.9782  0.9471  0.9152  0.8826  0.8494
  0.8158  0.7822  0.7490  0.7168  0.6853  0.6118  0.5390  0.4613  0.3772  0.2886
  0.1983  0.1088  0.0216 -0.0629 -0.1447 -0.2243 -0.3023 -0.3790 -0.4552 -0.5319
 -0.6105
  1.0590  1.0624  1.0511  1.0264  1.0059  0.9816  0.9542  0.9250  0.8941  0.8619
  0.8286  0.7946  0.7603  0.7262  0.6927  0.6139  0.5388  0.4613  0.3785  0.2913
  0.2014  0.1109  0.0216 -0.0652 -0.1491 -0.2302 -0.3089 -0.3857 -0.4611 -0.5359
 -0.6116
  1.0024  1.0127  1.0148  1.0093  0.9972  0.9791  0.9565  0.9261  0.8991  0.8699
  0.8386  0.8056  0.7714  0.7366  0.7019  0.6179  0.5397  0.4618  0.3801  0.2942
  0.2055  0.1153  0.0250 -0.0638 -0.1502 -0.2335 -0.3140 -0.3919 -0.4677 -0.5421
 -0.6157
  0.9407  0.9392  0.9547  0.9854  0.9824  0.9707  0.9437  0.9254  0.9031  0.8695
  0.8424  0.8124  0.7801  0.7461  0.7129  0.6238  0.5417  0.4628  0.3820
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F125W
  1.1646  1.1152  1.0348  0.9950  1.0016  0.9851  0.9152  0.8447  0.8109  0.8086
  0.8155  0.8280  0.8326  0.8261  0.8151  0.7655
  1.1052  1.0744  1.0258  0.9928  0.9759  0.9492  0.9024  0.8563  0.8252  0.8081
  0.7978  0.7936  0.7898  0.7825  0.7716  0.7247  0.6523  0.5665  0.4779
  1.0640  1.0437  1.0153  0.9874  0.9575  0.9255  0.8926  0.8609  0.8318  0.8062
  0.7850  0.7690  0.7577  0.7480  0.7362  0.6903  0.6219  0.5390  0.4513  0.3611
  0.2691
  1.0410  1.0231  1.0033  0.9788  0.9464  0.9140  0.8858  0.8585  0.8307  0.8029
  0.7771  0.7542  0.7363  0.7226  0.7089  0.6623  0.5965  0.5161  0.4294  0.3412
  0.2529  0.1644  0.0755
  1.0362  1.0126  0.9898  0.9670  0.9426  0.9147  0.8820  0.8491  0.8219  0.7982
  0.7741  0.7492  0.7256  0.7063  0.6897  0.6407  0.5761  0.4978  0.4123  0.3254
  0.2388  0.1525  0.0665 -0.0194 -0.1062
  1.0490  1.0186  0.9905  0.9643  0.9389  0.9128  0.8851  0.8553  0.8238  0.7940
  0.7694  0.7467  0.7224  0.6988  0.6781  0.6253  0.5608  0.4839  0.3990  0.3124
  0.2265  0.1414  0.0571 -0.0269 -0.1108 -0.1952
  1.0754  1.0386  1.0046  0.9735  0.9446  0.9167  0.8889  0.8603  0.8308  0.8011
  0.7723  0.7462  0.7221  0.6973  0.6738  0.6157  0.5503  0.4743  0.3898  0.3026
  0.2163  0.1313  0.0478 -0.0349 -0.1170 -0.1988 -0.2809 -0.3650 -0.4514 -0.5368
  1.1091  1.0681  1.0290  0.9930  0.9599  0.9288  0.8987  0.8690  0.8389  0.8089
  0.7795  0.7514  0.7251  0.6990  0.6737  0.6115  0.5440  0.4686  0.3846  0.2966
  0.2088  0.1230  0.0391 -0.0432 -0.1243 -0.2045 -0.2845 -0.3646 -0.4468 -0.5317
 -0.6161
  1.1402  1.0998  1.0589  1.0195  0.9827  0.9480  0.9151  0.8831  0.8515  0.8200
  0.7891  0.7591  0.7306  0.7033  0.6760  0.6111  0.5415  0.4660  0.3828  0.2945
  0.2051  0.1174  0.0322 -0.0509 -0.1320 -0.2115 -0.2902 -0.3684 -0.4469 -0.5271
 -0.6107
  1.1587  1.1241  1.0862  1.0470  1.0086  0.9717  0.9362  0.9019  0.8681  0.8347
  0.8018  0.7696  0.7387  0.7091  0.6802  0.6116  0.5408  0.4646  0.3823  0.2943
  0.2040  0.1142  0.0267 -0.0581 -0.1403 -0.2204 -0.2988 -0.3760 -0.4527 -0.5297
 -0.6086
  1.1575  1.1328  1.1029  1.0687  1.0325  0.9960  0.9596  0.9238  0.8885  0.8534
  0.8186  0.7843  0.7509  0.7186  0.6875  0.6142  0.5420  0.4655  0.3839  0.2972
  0.2071  0.1163  0.0267 -0.0604 -0.1446 -0.2261 -0.3052 -0.3825 -0.4583 -0.5335
 -0.6096
  1.1352  1.1219  1.1018  1.0766  1.0471  1.0143  0.9798  0.9447  0.9092  0.8734
  0.8375  0.8016  0.7661  0.7314  0.6978  0.6187  0.5438  0.4670  0.3859  0.3003
  0.2114  0.1207  0.0301 -0.0590 -0.1456 -0.2293 -0.3102 -0.3885 -0.4647 -0.5395
 -0.6134
  1.0918  1.0914  1.0811  1.0662  1.0457  1.0203  0.9911  0.9593  0.9259  0.8913
  0.8557  0.8194  0.7828  0.7464  0.7111  0.6251  0.5462  0.4691  0.3883
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F125W
  1.1019  1.0676  1.0300  0.9922  0.9565  0.9219  0.8903  0.8624  0.8401  0.8247
  0.8158  0.8117  0.8091  0.8042  0.7907  0.7535
  1.1173  1.0853  1.0486  1.0092  0.9687  0.9287  0.8908  0.8563  0.8266  0.8031
  0.7862  0.7753  0.7685  0.7617  0.7506  0.7120  0.6498  0.5691  0.4793
  1.1136  1.0873  1.0542  1.0165  0.9762  0.9351  0.8946  0.8565  0.8220  0.7925
  0.7688  0.7512  0.7392  0.7295  0.7185  0.6779  0.6179  0.5412  0.4547  0.3650
  0.2741
  1.0908  1.0736  1.0468  1.0141  0.9791  0.9411  0.9017  0.8630  0.8263  0.7929
  0.7636  0.7394  0.7212  0.7076  0.6944  0.6512  0.5920  0.5181  0.4342  0.3467
  0.2584  0.1697  0.0801
  1.0665  1.0524  1.0304  1.0017  0.9686  0.9336  0.8986  0.8646  0.8309  0.7978
  0.7666  0.7379  0.7133  0.6944  0.6783  0.6319  0.5721  0.4998  0.4178  0.3317
  0.2449  0.1584  0.0719 -0.0146 -0.1021
  1.0578  1.0357  1.0130  0.9865  0.9566  0.9247  0.8920  0.8592  0.8273  0.7970
  0.7689  0.7411  0.7140  0.6894  0.6693  0.6189  0.5579  0.4861  0.4052  0.3196
  0.2334  0.1480  0.0631 -0.0214 -0.1060 -0.1910
  1.0664  1.0377  1.0097  0.9825  0.9554  0.9276  0.8984  0.8675  0.8347  0.8008
  0.7697  0.7428  0.7168  0.6910  0.6670  0.6114  0.5487  0.4768  0.3963  0.3105
  0.2240  0.1386  0.0544 -0.0289 -0.1116 -0.1941 -0.2770 -0.3616 -0.4482 -0.5335
  1.0901  1.0542  1.0202  0.9879  0.9575  0.9282  0.8991  0.8696  0.8393  0.8087
  0.7781  0.7484  0.7211  0.6949  0.6696  0.6086  0.5437  0.4712  0.3909  0.3049
  0.2172  0.1308  0.0463 -0.0366 -0.1183 -0.1992 -0.2800 -0.3608 -0.4434 -0.5285
 -0.6128
  1.1240  1.0826  1.0428  1.0053  0.9702  0.9374  0.9064  0.8761  0.8458  0.8154
  0.7855  0.7563  0.7282  0.7007  0.6739  0.6103  0.5423  0.4689  0.3887  0.3027
  0.2138  0.1257  0.0399 -0.0437 -0.1254 -0.2057 -0.2851 -0.3640 -0.4431 -0.5238
 -0.6076
  1.1618  1.1185  1.0746  1.0322  0.9925  0.9555  0.9210  0.8883  0.8565  0.8251
  0.7942  0.7640  0.7349  0.7069  0.6790  0.6130  0.5432  0.4682  0.3880  0.3022
  0.2127  0.1228  0.0348 -0.0505 -0.1333 -0.2140 -0.2932 -0.3711 -0.4485 -0.5261
 -0.6054
  1.1935  1.1532  1.1096  1.0655  1.0227  0.9820  0.9438  0.9079  0.8735  0.8401
  0.8074  0.7753  0.7443  0.7144  0.6855  0.6162  0.5461  0.4704  0.3899  0.3048
  0.2157  0.1249  0.0350 -0.0525 -0.1373 -0.2193 -0.2991 -0.3771 -0.4537 -0.5296
 -0.6062
  1.2100  1.1777  1.1390  1.0975  1.0551  1.0130  0.9723  0.9335  0.8963  0.8603
  0.8253  0.7910  0.7575  0.7251  0.6939  0.6204  0.5488  0.4731  0.3926  0.3082
  0.2200  0.1294  0.0385 -0.0510 -0.1381 -0.2222 -0.3037 -0.3827 -0.4596 -0.5351
 -0.6097
  1.2095  1.1854  1.1555  1.1205  1.0823  1.0423  1.0019  0.9619  0.9228  0.8847
  0.8475  0.8109  0.7750  0.7399  0.7042  0.6256  0.5513  0.4763  0.3961
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F125W
  1.1361  1.0996  1.0599  1.0200  0.9801  0.9413  0.9042  0.8701  0.8403  0.8184
  0.8047  0.7969  0.7912  0.7859  0.7778  0.7427
  1.1545  1.1171  1.0762  1.0337  0.9904  0.9471  0.9046  0.8641  0.8283  0.7994
  0.7784  0.7647  0.7558  0.7479  0.7382  0.7011  0.6455  0.5725  0.4862
  1.1643  1.1294  1.0898  1.0470  1.0023  0.9567  0.9111  0.8666  0.8262  0.7916
  0.7641  0.7442  0.7308  0.7199  0.7083  0.6686  0.6132  0.5431  0.4610  0.3726
  0.2818
  1.1655  1.1365  1.1007  1.0599  1.0159  0.9702  0.9237  0.8776  0.8340  0.7950
  0.7618  0.7354  0.7162  0.7019  0.6881  0.6452  0.5889  0.5202  0.4410  0.3552
  0.2669  0.1780  0.0883
  1.1406  1.1220  1.0995  1.0647  1.0253  0.9821  0.9371  0.8917  0.8472  0.8056
  0.7683  0.7363  0.7107  0.6916  0.6752  0.6291  0.5713  0.5028  0.4252  0.3411
  0.2545  0.1674  0.0803 -0.0071 -0.0955
  1.1091  1.0960  1.0772  1.0523  1.0211  0.9834  0.9406  0.8984  0.8571  0.8171
  0.7792  0.7444  0.7135  0.6885  0.6685  0.6187  0.5592  0.4902  0.4131  0.3300
  0.2441  0.1580  0.0724 -0.0130 -0.0985 -0.1847
  1.0951  1.0761  1.0560  1.0339  1.0083  0.9781  0.9424  0.9016  0.8594  0.8197
  0.7847  0.7522  0.7212  0.6923  0.6675  0.6129  0.5515  0.4816  0.4044  0.3216
  0.2357  0.1496  0.0646 -0.0195 -0.1032 -0.1868 -0.2708 -0.3563 -0.4433 -0.5283
  1.0983  1.0734  1.0477  1.0215  0.9946  0.9659  0.9345  0.9006  0.8646  0.8270
  0.7896  0.7559  0.7261  0.6983  0.6716  0.6111  0.5475  0.4766  0.3990  0.3160
  0.2297  0.1429  0.0576 -0.0263 -0.1090 -0.1910 -0.2728 -0.3549 -0.4382 -0.5233
 -0.6074
  1.1148  1.0843  1.0532  1.0221  0.9912  0.9606  0.9297  0.8979  0.8649  0.8312
  0.7977  0.7646  0.7329  0.7038  0.6769  0.6129  0.5466  0.4744  0.3964  0.3132
  0.2285  0.1386  0.0521 -0.0325 -0.1152 -0.1965 -0.2770 -0.3568 -0.4370 -0.5186
 -0.6024
  1.1437  1.1060  1.0701  1.0338  0.9984  0.9642  0.9313  0.8991  0.8670  0.8346
  0.8025  0.7710  0.7405  0.7109  0.6826  0.6171  0.5480  0.4741  0.3953  0.3120
  0.2249  0.1359  0.0476 -0.0385 -0.1223 -0.2040 -0.2843 -0.3634 -0.4418 -0.5204
 -0.6003
  1.1795  1.1377  1.0977  1.0565  1.0166  0.9783  0.9420  0.9075  0.8744  0.8419
  0.8099  0.7783  0.7476  0.7180  0.6892  0.6214  0.5525  0.4769  0.3975  0.3142
  0.2273  0.1379  0.0481 -0.0401 -0.1256 -0.2086 -0.2895 -0.3685 -0.4462 -0.5231
 -0.6007
  1.2152  1.1735  1.1309  1.0875  1.0441  1.0020  0.9618  0.9240  0.8883  0.8542
  0.8211  0.7886  0.7568  0.7260  0.6961  0.6253  0.5563  0.4814  0.4010  0.3177
  0.2313  0.1421  0.0515 -0.0383 -0.1260 -0.2110 -0.2934 -0.3734 -0.4513 -0.5279
 -0.6034
  1.2450  1.2072  1.1660  1.1222  1.0775  1.0331  0.9900  0.9489  0.9099  0.8729
  0.8376  0.8033  0.7698  0.7371  0.7033  0.6288  0.5594  0.4876  0.4058
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = F125W
  1.1576  1.1189  1.0806  1.0424  1.0051  0.9676  0.9301  0.8939  0.8655  0.8329
  0.8130  0.7990  0.7879  0.7781  0.7682  0.7330
  1.1809  1.1415  1.1002  1.0581  1.0157  0.9730  0.9302  0.8878  0.8484  0.8151
  0.7893  0.7708  0.7572  0.7456  0.7338  0.6954  0.6425  0.5753  0.4949
  1.1996  1.1611  1.1190  1.0751  1.0299  0.9841  0.9378  0.8911  0.8472  0.8086
  0.7771  0.7534  0.7361  0.7220  0.7083  0.6668  0.6126  0.5465  0.4693  0.3837
  0.2934
  1.2137  1.1777  1.1370  1.0934  1.0478  1.0009  0.9529  0.9038  0.8565  0.8134
  0.7764  0.7468  0.7246  0.7073  0.6917  0.6472  0.5914  0.5252  0.4497  0.3669
  0.2794  0.1902  0.0997
  1.2205  1.1897  1.1524  1.1107  1.0661  1.0195  0.9715  0.9218  0.8724  0.8260
  0.7844  0.7491  0.7212  0.6997  0.6815  0.6340  0.5765  0.5096  0.4347  0.3535
  0.2680  0.1806  0.0926  0.0043 -0.0852
  1.1974  1.1835  1.1573  1.1222  1.0811  1.0363  0.9896  0.9411  0.8915  0.8433
  0.7985  0.7586  0.7250  0.6982  0.6767  0.6257  0.5664  0.4986  0.4236  0.3431
  0.2587  0.1725  0.0860 -0.0005 -0.0872 -0.1747
  1.1550  1.1462  1.1334  1.1130  1.0830  1.0440  0.9996  0.9533  0.9066  0.8601
  0.8151  0.7729  0.7350  0.7028  0.6767  0.6211  0.5601  0.4912  0.4157  0.3353
  0.2514  0.1657  0.0798 -0.0056 -0.0906 -0.1756 -0.2612 -0.3480 -0.4358 -0.5209
  1.1355  1.1203  1.1039  1.0856  1.0631  1.0348  1.0001  0.9587  0.9123  0.8662
  0.8236  0.7841  0.7470  0.7125  0.6819  0.6198  0.5568  0.4868  0.4107  0.3300
  0.2461  0.1603  0.0744 -0.0108 -0.0949 -0.1785 -0.2619 -0.3455 -0.4301 -0.5159
 -0.5995
  1.1346  1.1137  1.0915  1.0684  1.0442  1.0175  0.9870  0.9523  0.9135  0.8715
  0.8288  0.7883  0.7523  0.7200  0.6898  0.6217  0.5561  0.4849  0.4082  0.3272
  0.2431  0.1568  0.0702 -0.0155 -0.0997 -0.1825 -0.2647 -0.3463 -0.4283 -0.5107
 -0.5953
  1.1446  1.1200  1.0930  1.0649  1.0361  1.0066  0.9759  0.9432  0.9080  0.8705
  0.8320  0.7940  0.7578  0.7245  0.6947  0.6263  0.5576  0.4846  0.4070  0.3256
  0.2410  0.1543  0.0666 -0.0203 -0.1055 -0.1887 -0.2706 -0.3513 -0.4314 -0.5115
 -0.5923
  1.1636  1.1346  1.1045  1.0724  1.0395  1.0063  0.9729  0.9395  0.9055  0.8704
  0.8346  0.7987  0.7640  0.7310  0.7001  0.6315  0.5623  0.4876  0.4091  0.3273
  0.2426  0.1555  0.0671 -0.0212 -0.1078 -0.1922 -0.2745 -0.3551 -0.4344 -0.5129
 -0.5913
  1.1905  1.1572  1.1230  1.0880  1.0520  1.0152  0.9787  0.9429  0.9079  0.8732
  0.8387  0.8042  0.7702  0.7374  0.7061  0.6350  0.5675  0.4926  0.4130  0.3307
  0.2459  0.1587  0.0699 -0.0195 -0.1077 -0.1938 -0.2775 -0.3588 -0.4383 -0.5164
 -0.5935
  1.2234  1.1870  1.1494  1.1111  1.0723  1.0329  0.9934  0.9547  0.9174  0.8813
  0.8464  0.8121  0.7784  0.7454  0.7127  0.6368  0.5732  0.4996  0.4187
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value = F125W
  1.1515  1.1145  1.0785  1.0431  1.0086  0.9740  0.9389  0.9043  0.8765  0.8439
  0.8228  0.8068  0.7940  0.7825  0.7713  0.7345
  1.1780  1.1390  1.0988  1.0582  1.0177  0.9772  0.9365  0.8960  0.8579  0.8250
  0.7988  0.7790  0.7639  0.7509  0.7380  0.6982  0.6446  0.5783  0.5000
  1.2001  1.1609  1.1189  1.0755  1.0314  0.9871  0.9425  0.8976  0.8550  0.8172
  0.7859  0.7616  0.7432  0.7280  0.7134  0.6708  0.6163  0.5507  0.4749  0.3903
  0.3009
  1.2178  1.1802  1.1388  1.0950  1.0498  1.0038  0.9569  0.9091  0.8629  0.8205
  0.7841  0.7546  0.7319  0.7138  0.6975  0.6523  0.5963  0.5305  0.4559  0.3739
  0.2867  0.1973  0.1062
  1.2299  1.1959  1.1567  1.1141  1.0692  1.0229  0.9754  0.9264  0.8778  0.8319
  0.7909  0.7561  0.7283  0.7064  0.6878  0.6398  0.5824  0.5159  0.4415  0.3610
  0.2759  0.1883  0.0999  0.0108 -0.0797
  1.2197  1.1991  1.1682  1.1299  1.0871  1.0416  0.9947  0.9462  0.8967  0.8486
  0.8040  0.7645  0.7314  0.7049  0.6831  0.6319  0.5729  0.5056  0.4310  0.3511
  0.2672  0.1809  0.0940  0.0069 -0.0806 -0.1688
  1.1747  1.1674  1.1531  1.1289  1.0947  1.0537  1.0089  0.9627  0.9150  0.8671
