 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F475W
 -2.7959 -0.9743  0.6662  0.2782 -2.4529 -7.3245 -5.5126 -2.8148 -1.3701 -1.3970
 -1.2834 -1.1881 -1.6852 -2.1966 -2.2352 -1.4500
 -4.8562 -3.7969 -2.7006 -2.5306 -3.4076 -5.5763 -4.7964 -3.5712 -2.7138 -2.4032
 -2.1297 -1.9685 -2.0878 -2.2154 -2.1181 -1.4005 -0.9308 -0.6393 -0.5441
 -5.3668 -4.8261 -4.1929 -3.7982 -3.6887 -4.1651 -3.9319 -3.5581 -3.1524 -2.7862
 -2.4975 -2.3089 -2.2019 -2.0932 -1.9186 -1.3022 -0.8481 -0.5749 -0.4161 -0.2789
 -0.0695
 -4.3277 -4.0619 -3.8107 -3.5246 -3.2964 -3.0910 -2.9191 -2.7757 -2.6860 -2.5461
 -2.3869 -2.2094 -2.0275 -1.8301 -1.6367 -1.1551 -0.7958 -0.5345 -0.3422 -0.1951
 -0.0762  0.0253  0.1148
 -3.9281 -3.7181 -3.5096 -3.2820 -3.0672 -2.8597 -2.6691 -2.4999 -2.3504 -2.2124
 -2.0733 -1.9245 -1.7692 -1.6088 -1.4467 -1.0547 -0.7371 -0.5062 -0.3358 -0.2031
 -0.0940  0.0002  0.0844  0.1606  0.2300
 -3.5366 -3.3729 -3.2030 -3.0232 -2.8335 -2.6402 -2.4506 -2.2736 -2.1134 -1.9690
 -1.8354 -1.7054 -1.5719 -1.4368 -1.2989 -0.9733 -0.6934 -0.4857 -0.3324 -0.2123
 -0.1125 -0.0255  0.0530  0.1252  0.1921  0.2538
 -3.1534 -3.0263 -2.8909 -2.7482 -2.5954 -2.4325 -2.2636 -2.0968 -1.9395 -1.7952
 -1.6640 -1.5427 -1.4263 -1.3111 -1.1933 -0.9109 -0.6647 -0.4730 -0.3320 -0.2227
 -0.1317 -0.0518  0.0206  0.0881  0.1516  0.2109  0.2655  0.3148  0.3558  0.3793
 -2.7784 -2.6783 -2.5733 -2.4640 -2.3476 -2.2214 -2.0851 -1.9430 -1.8010 -1.6657
 -1.5403 -1.4249 -1.3182 -1.2165 -1.1161 -0.8689 -0.6478 -0.4674 -0.3326 -0.2308
 -0.1479 -0.0757 -0.0098  0.0518  0.1105  0.1664  0.2193  0.2675  0.3092  0.3412
  0.3565
 -2.4249 -2.3470 -2.2668 -2.1847 -2.0986 -2.0062 -1.9052 -1.7949 -1.6778 -1.5599
 -1.4454 -1.3380 -1.2383 -1.1452 -1.0559 -0.8393 -0.6380 -0.4679 -0.3351 -0.2359
