 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F350LP
 -2.0208 -0.6814  0.7131  0.8374 -0.6661 -3.3280 -2.4982 -1.0591 -0.2149 -0.1684
 -0.0854 -0.0654 -0.4513 -0.9318 -1.1547 -0.8853
 -2.1544 -1.5829 -0.9204 -0.7949 -1.3388 -2.5323 -2.1903 -1.5554 -1.0848 -0.9064
 -0.7629 -0.7023 -0.8376 -1.0247 -1.0937 -0.8527 -0.6765 -0.5581 -0.5172
 -2.0761 -1.9261 -1.7048 -1.5887 -1.6090 -1.8950 -1.8125 -1.6435 -1.4490 -1.2725
 -1.1399 -1.0663 -1.0533 -1.0569 -1.0279 -0.8200 -0.6609 -0.5490 -0.4818 -0.4264
 -0.3493
 -1.7859 -1.7110 -1.6401 -1.5440 -1.4768 -1.4162 -1.3648 -1.3234 -1.3077 -1.2665
 -1.2162 -1.1574 -1.0983 -1.0285 -0.9573 -0.7872 -0.6473 -0.5424 -0.4647 -0.4066
 -0.3609 -0.3232 -0.2910
 -1.5686 -1.5270 -1.4829 -1.4245 -1.3709 -1.3171 -1.2660 -1.2197 -1.1785 -1.1402
 -1.0999 -1.0538 -1.0046 -0.9509 -0.8927 -0.7514 -0.6325 -0.5410 -0.4717 -0.4186
 -0.3764 -0.3415 -0.3115 -0.2856 -0.2635
 -1.3626 -1.3470 -1.3253 -1.2957 -1.2588 -1.2169 -1.1726 -1.1285 -1.0864 -1.0467
 -1.0088 -0.9706 -0.9292 -0.8864 -0.8388 -0.7203 -0.6179 -0.5377 -0.4765 -0.4290
 -0.3909 -0.3593 -0.3320 -0.3079 -0.2865 -0.2679
 -1.1680 -1.1710 -1.1673 -1.1576 -1.1404 -1.1156 -1.0846 -1.0498 -1.0135 -0.9769
 -0.9411 -0.9060 -0.8707 -0.8350 -0.7956 -0.6939 -0.6035 -0.5325 -0.4791 -0.4378
 -0.4044 -0.3766 -0.3525 -0.3309 -0.3112 -0.2935 -0.2784 -0.2676 -0.2633 -0.2678
